 	la	tornade	d'	hier	a	emporté	beaucoup	de	toits	dans	notre	village	</S>
m	0.00635339	0.00614042	0.025433	0.0465854	0.365679	0.303691	0.0977586	0.0274013	0.043896	0.0205026	0.0145936	0.00231672	0.0396491
í	0.0321424	0.0940438	0.0312391	0.0134787	0.159268	0.214376	0.099436	0.0839971	0.184706	0.0283949	0.0225858	0.00120308	0.0351291
l	0.00562339	0.00375128	0.0174476	0.0323246	0.14983	0.163928	0.240868	0.124229	0.181967	0.0281769	0.0157159	0.0015086	0.0346299
a	0.00220613	0.00356717	0.00598912	0.0125625	0.0740976	0.138239	0.176485	0.11203	0.118995	0.127397	0.0096648	0.0036776	0.215089
p	0.00145755	0.000613394	0.00532967	0.0065898	0.0316493	0.084829	0.403746	0.310425	0.0768842	0.0378839	0.0199622	0.00292808	0.0177021
ó	0.00117084	0.000561795	0.00247872	0.0199441	0.0560556	0.191535	0.363338	0.0675073	0.0183545	0.0248873	0.000384161	0.22637	0.0274138
a	0.000266651	0.000354904	0.00216925	0.0127012	0.0569661	0.108394	0.377842	0.194015	0.0130249	0.0631539	0.000971835	0.100433	0.0697088
e	0.000798657	0.000476004	0.00764088	0.0042481	0.021517	0.0251706	0.293669	0.359352	0.145873	0.101502	0.0175164	0.00269858	0.0195381
l	0.00530886	0.00124608	0.00550603	0.00499103	0.0149237	0.0175869	0.0882415	0.0743835	0.317041	0.333355	0.00416101	0.0665436	0.0667111
a	0.000558841	0.000359209	0.000803748	0.00269278	0.00701051	0.0133035	0.0529487	0.0527515	0.195641	0.495767	0.0037849	0.0340225	0.140356
a	0.00013571	0.000152546	0.000886915	0.00130444	0.00737651	0.0364769	0.125361	0.151638	0.176065	0.365494	0.0192541	0.0496514	0.0662033
l	0.000144882	7.51914e-05	0.00120062	0.00116995	0.00656453	0.00435136	0.0913202	0.149278	0.304001	0.344645	0.0611557	0.0149236	0.02117
i	0.000825556	0.00054785	0.00140497	0.00264382	0.00782378	0.0174201	0.0554821	0.0678437	0.178186	0.37523	0.023451	0.0528992	0.216241
a	0.000265262	0.000127281	0.00136383	0.000594214	0.00198228	0.00184796	0.0547813	0.153091	0.34871	0.262549	0.11053	0.0206488	0.0435087
n	0.000420202	0.000252578	0.000641791	0.000836609	0.00263332	0.00496141	0.0144324	0.0173893	0.475163	0.348489	0.0202527	0.0454374	0.0690904
d	0.00214669	0.0128383	0.00409183	0.000951027	0.00482911	0.00541809	0.0165507	0.102729	0.535809	0.202709	0.0721991	0.0058502	0.0338787
é	0.000117129	0.00161688	0.00175924	0.00110111	0.00274345	0.00854482	0.0356879	0.150704	0.418849	0.280019	0.0260191	0.021994	0.0508442
e	3.07534e-05	0.000101667	0.000376303	0.00111442	0.00481577	0.0139874	0.0966886	0.12334	0.154494	0.406932	0.01603	0.0541754	0.127914
a	0.000445636	0.000217523	0.00192724	0.00128112	0.00463949	0.00318221	0.0835944	0.101369	0.186362	0.283782	0.092259	0.117691	0.12325
y	0.0016286	0.000782856	0.0026532	0.0030517	0.00785024	0.016267	0.0206995	0.0168834	0.153961	0.398564	0.0423342	0.153724	0.1816
í	0.000330383	0.000710339	0.00212151	0.00116416	0.0073887	0.00545033	0.0149118	0.0430395	0.0267868	0.415028	0.0972119	0.14806	0.237797
í	0.000284417	0.000177564	0.000782976	0.000260765	0.0015753	0.00128025	0.0107076	0.0244684	0.020901	0.180689	0.0936056	0.201592	0.463675
s	0.000160389	4.39967e-05	0.000427539	0.000347878	0.00269521	0.00117569	0.00727377	0.0110727	0.0547376	0.208104	0.233191	0.0372319	0.443538
á	0.000242793	0.000692856	0.000401309	0.000184231	0.00136689	0.00265005	0.00296239	0.00606201	0.0225466	0.24938	0.20118	0.0252046	0.487126
p	0.000235231	0.000211423	0.000890235	0.00014798	0.000582509	0.00119427	0.00354039	0.0116862	0.0191365	0.0498536	0.674298	0.0908045	0.147419
o	0.000484424	0.000302939	0.000654656	0.000291917	0.000641263	0.00227956	0.00564755	0.00673968	0.0108439	0.0928959	0.271522	0.447768	0.159928
o	7.85065e-05	0.00020331	0.000230117	0.000388559	0.000668105	0.0027016	0.0101878	0.013385	0.00838736	0.106698	0.012242	0.510596	0.334234
y	0.00113302	0.000325033	0.00346812	0.00105919	0.00460554	0.00247492	0.0251839	0.0307319	0.0185804	0.0759196	0.178703	0.0884481	0.569367
á	0.000562954	0.000957393	0.00598718	0.00247439	0.00897194	0.00650233	0.0410435	0.0648633	0.028941	0.160012	0.234882	0.155685	0.289116
b	0.000813556	0.000565757	0.00247706	0.000638946	0.00190199	0.00235541	0.00574953	0.0206136	0.00581577	0.0138066	0.88128	0.0251664	0.0388151
í	6.90511e-05	0.000214212	0.000470645	8.33727e-05	0.000389096	0.00075148	0.000731741	0.000966935	0.00394724	0.0033682	0.985605	0.0011393	0.00226371
s	0.000185845	0.000246283	0.000687712	4.19888e-05	0.000161058	0.000301767	0.000446388	0.00140407	0.0055931	0.00141194	0.987523	0.000358072	0.00163841
í	0.000569326	0.00126872	0.000303218	6.20498e-05	0.00019422	0.00170822	0.00084407	0.00150117	0.0140704	0.01103	0.906131	0.00214943	0.0601683
</S>	0.00124019	0.000595306	0.00108958	0.00125823	0.00154298	0.00162661	0.00573119	0.00752161	0.030872	0.0553979	0.0781556	0.0377779	0.777191
