 	tu	vantes	ta	force	mais	si	on	commence	le	combat	tuseras	le	premier	à	verser	les	larmes	</S>
n	0.00317635	0.116667	0.218132	0.188179	0.358045	0.0259872	0.00663185	0.0233408	0.00819264	0.0167952	0.0177585	0.00184705	0.00567435	0.00201863	0.00365062	0.000821538	0.00184241	0.00123954
d	0.0273984	0.0431276	0.367597	0.0562504	0.440417	0.0228124	0.0028703	0.00507051	0.0046619	0.00228285	0.00565483	0.00329702	0.00117779	0.00366419	0.000993381	0.00107284	0.00243634	0.00921611
z	0.0111016	0.0554703	0.246261	0.0772866	0.50323	0.0225044	0.00539098	0.0100766	0.00602753	0.00237973	0.0115122	0.00253672	0.0025369	0.00279983	0.00447167	0.00216403	0.00788851	0.0263612
a	0.00643747	0.19893	0.212959	0.0426846	0.279237	0.0279253	0.00840035	0.0188987	0.0174162	0.0170799	0.0441018	0.0127521	0.0153825	0.010471	0.00697735	0.00402026	0.0230045	0.0533222
n	0.00822572	0.129634	0.292559	0.0871731	0.100104	0.0779639	0.0552605	0.0551668	0.0354775	0.0193087	0.0380383	0.0150308	0.00475378	0.0105619	0.00140596	0.0045634	0.00921081	0.0555622
g	0.0270805	0.0497239	0.287596	0.177498	0.196718	0.0622672	0.0333819	0.0308462	0.021934	0.00852466	0.0136417	0.00841574	0.00426854	0.0087174	0.00352085	0.00626749	0.00358902	0.056009
á	0.0471729	0.0204584	0.242825	0.137417	0.375697	0.0953129	0.0208689	0.00727314	0.0041716	0.000777938	0.00542525	0.00218794	0.00109942	0.00157175	0.000336383	0.000858957	0.00327032	0.0332749
w	0.0047435	0.0010089	0.0381672	0.233009	0.118957	0.311146	0.152747	0.0464208	0.0225615	0.00939722	0.00500144	0.00805757	0.0041738	0.00970515	0.00385089	0.0103362	0.00199504	0.0187224
á	0.00223322	0.00109258	0.0716666	0.115607	0.0760033	0.0963954	0.16224	0.0743617	0.0811133	0.0177605	0.0196056	0.0592991	0.0392472	0.0460562	0.0208149	0.0521594	0.0127893	0.0515551
á	0.00967359	0.000665598	0.0429585	0.0879428	0.139733	0.194725	0.283405	0.0794795	0.030258	0.0296624	0.0176849	0.00942455	0.00925468	0.0123479	0.00841755	0.0104494	0.00705216	0.0268652
l	0.00854822	0.00451815	0.0134399	0.0234542	0.0500276	0.120315	0.285083	0.255999	0.094827	0.0526464	0.0328199	0.00777276	0.00919926	0.00813072	0.0092256	0.00527093	0.00514769	0.0135737
e	0.00661823	0.0193331	0.0222557	0.0311794	0.0370596	0.075775	0.319263	0.171046	0.0667841	0.0158337	0.0331517	0.0208289	0.00836014	0.0220247	0.0142981	0.0132235	0.0194359	0.103529
b	0.000615208	0.00310309	0.0422035	0.0318912	0.042678	0.0951448	0.220775	0.266932	0.13467	0.0259076	0.0375385	0.017593	0.00630324	0.011556	0.00596256	0.00813538	0.00755213	0.0414385
á	0.0017421	0.00165025	0.0347844	0.0203578	0.0245217	0.0370689	0.38455	0.238371	0.060927	0.117097	0.0363936	0.00614554	0.0193096	0.00474441	0.00564429	0.00192693	0.00118227	0.00358328
á	0.00136925	0.000468662	0.0488302	0.0513796	0.0369466	0.0848615	0.298978	0.152293	0.116065	0.0803399	0.0238907	0.0197333	0.0101164	0.0151162	0.00889579	0.0148403	0.00346992	0.0324056
n	0.00397224	0.001256	0.00558587	0.0101803	0.0140756	0.0492435	0.163171	0.15819	0.242593	0.181911	0.0449997	0.0482405	0.019753	0.0232677	0.00671209	0.00960541	0.00436082	0.0128824
d	0.0848252	0.00255089	0.0641047	0.0119122	0.19998	0.101169	0.168188	0.0992477	0.109834	0.0199068	0.0105204	0.0382355	0.0016241	0.0145475	0.00104345	0.0088165	0.00752799	0.0559659
í	0.00302321	0.00816777	0.0326464	0.0135129	0.201245	0.0655356	0.16493	0.161044	0.123619	0.0293444	0.0570069	0.0355743	0.00363519	0.0111915	0.00293839	0.00579894	0.0227277	0.0580596
e	0.00019235	0.00300127	0.0100781	0.0186564	0.0211251	0.0455666	0.0681558	0.133982	0.193214	0.0400438	0.227528	0.0703845	0.0274358	0.0291954	0.0115055	0.0126568	0.018142	0.0691371
t	0.000288557	0.0022807	0.00221772	0.00299992	0.00191052	0.0135893	0.0308139	0.0833507	0.330219	0.0490976	0.191183	0.103687	0.0539258	0.0529525	0.0259572	0.0134952	0.0039232	0.0381079
u	4.70412e-05	0.000412752	0.00199391	0.00173767	0.00134657	0.00275997	0.0325803	0.0505319	0.0721043	0.0923945	0.490549	0.031278	0.117405	0.0171114	0.0590532	0.00752743	0.00734267	0.0138246
m	4.3554e-05	0.000395486	0.00528337	0.00110572	0.00307206	0.00293787	0.0207225	0.0700214	0.277294	0.0703446	0.245581	0.0836198	0.0899921	0.0324958	0.034701	0.0120623	0.00616685	0.0441613
b	0.000460957	0.000100869	0.00630003	0.00302232	0.0252171	0.020995	0.0209111	0.0303954	0.131269	0.0930175	0.200195	0.193875	0.0952229	0.0809094	0.0188519	0.029156	0.0137771	0.0363238
a	0.00282735	0.00196083	0.0356725	0.00409284	0.0952977	0.0421609	0.0266966	0.0491684	0.149015	0.0780592	0.252441	0.10532	0.0379069	0.0417667	0.00630185	0.00955195	0.00896269	0.0527977
o	0.000264671	6.13355e-05	0.0020155	0.00289415	0.00494894	0.0195617	0.0298968	0.0214009	0.111914	0.0272562	0.0335372	0.381865	0.0279284	0.222381	0.0279006	0.0451768	0.00611899	0.0348781
k	4.45777e-05	0.00525824	0.00128336	0.000383456	0.000202615	0.0005187	0.00203771	0.00982155	0.026093	0.0355466	0.335056	0.0385834	0.22037	0.0703566	0.211897	0.00946916	0.0188799	0.0141983
y	1.36479e-06	0.000716868	0.000107968	2.0156e-05	3.16871e-05	3.48363e-05	0.000285531	0.00382168	0.00903038	0.0101776	0.58554	0.00557054	0.216451	0.0123408	0.137331	0.00261439	0.00693381	0.00899061
ε	7.54056e-06	0.000415206	0.000224717	0.000104838	9.43502e-05	0.000186191	0.000972862	0.00295944	0.00806959	0.0109799	0.650454	0.00556645	0.239233	0.0115056	0.0546429	0.00198376	0.00686741	0.00573241
l	3.45047e-05	0.000328961	0.00156304	0.00023978	0.00063329	0.000720815	0.00205297	0.00801018	0.0606409	0.0210265	0.308367	0.165925	0.22805	0.106762	0.0464206	0.0127763	0.00691686	0.0295314
i	0.000218362	0.000366723	0.0134506	0.00361694	0.0087178	0.00972969	0.0507425	0.0403552	0.100283	0.0744907	0.296831	0.0982945	0.0731916	0.0538159	0.0285093	0.040894	0.0247282	0.0817632
s	0.000190623	3.42841e-05	0.00239159	0.0028016	0.00456129	0.0121188	0.0157942	0.00844905	0.0319255	0.016977	0.00834071	0.281007	0.017497	0.260946	0.0679467	0.14185	0.0232192	0.103949
i	0.00055638	0.000958612	0.0106258	0.00757097	0.00851231	0.00978598	0.0299526	0.0173215	0.0420265	0.00926544	0.0331738	0.246169	0.0454561	0.147843	0.0336242	0.0651678	0.140448	0.151542
t	0.00038581	0.000419364	0.00991293	0.00438825	0.00347425	0.00347921	0.00412911	0.00296302	0.0124743	0.00557724	0.00815565	0.335769	0.0337088	0.231321	0.0157924	0.053232	0.192722	0.0820945
s	0.000148376	0.000615074	0.0039357	0.00830007	0.00225418	0.00239587	0.0138874	0.0102192	0.0186992	0.0197328	0.0843525	0.0610708	0.227702	0.082336	0.236613	0.048807	0.0818493	0.0970811
á	2.39207e-05	2.50244e-05	0.000188052	0.000127679	0.00012589	0.00018209	0.0017162	0.00144546	0.00652178	0.00285061	0.0759589	0.0268069	0.253361	0.0471428	0.114063	0.0368908	0.374022	0.0585474
n	0.00038324	0.000127693	0.00351142	0.00492938	0.00114446	0.00259357	0.0114979	0.00569905	0.0128629	0.019783	0.0157314	0.132305	0.148425	0.152597	0.0954676	0.095281	0.101444	0.196217
g	0.000373613	0.000974979	0.00357978	0.00440957	0.00638574	0.00883298	0.0228342	0.0146023	0.0219009	0.00736657	0.0905793	0.0825053	0.081085	0.107378	0.0373349	0.0643304	0.176912	0.268615
á	0.00197171	0.00077388	0.0144756	0.00509799	0.0341154	0.0171095	0.0282788	0.00979189	0.0340172	0.0047889	0.0783171	0.256638	0.0398263	0.122395	0.00928184	0.0264949	0.218726	0.0978996
y	0.000234622	7.53976e-05	0.00116153	0.00253855	0.00134222	0.00423892	0.00413318	0.00262238	0.00943589	0.00121299	0.00487346	0.0935433	0.0203724	0.235983	0.074668	0.290983	0.0969068	0.155674
é	4.54128e-05	0.001286	0.00402056	0.00195102	0.00141835	0.00202454	0.00575548	0.00680405	0.0196404	0.00102039	0.00635059	0.110225	0.0137884	0.132675	0.0672233	0.178758	0.3129	0.134113
e	8.4978e-05	0.000410263	0.00124947	0.00139207	0.000502131	0.000853208	0.00382246	0.00237234	0.0103954	0.000544378	0.00176238	0.0494399	0.0101171	0.0855879	0.0322622	0.161834	0.158362	0.479008
b	1.37644e-05	0.000425415	0.000377299	0.000314113	9.77773e-05	0.000548137	0.000941612	0.00177074	0.00462	0.000625387	0.00561151	0.0107898	0.00756327	0.063167	0.248584	0.139877	0.125757	0.388916
v	9.42147e-06	0.00030143	0.000217567	0.000206904	0.000288076	0.0010077	0.00663169	0.0173578	0.027663	0.0159298	0.0161673	0.0124918	0.11954	0.0626593	0.447474	0.155452	0.0818189	0.0347837
ú	3.57512e-05	8.2026e-05	0.000359847	0.000143288	0.000290174	0.000538506	0.00265683	0.00471518	0.0116807	0.00905314	0.0174812	0.0191525	0.17862	0.0816332	0.309186	0.168341	0.160448	0.0355816
r	0.000309045	0.000319906	0.00409421	0.000336618	0.000698786	0.000331869	0.00341782	0.00521278	0.0364917	0.0037395	0.0206474	0.0660307	0.058013	0.0943983	0.153748	0.247946	0.111735	0.192529
á	0.00016546	7.00296e-05	0.00124108	0.000377507	0.000987054	0.0011978	0.00297845	0.00440687	0.020387	0.00268899	0.0146148	0.0491843	0.0135563	0.0649742	0.0829717	0.231662	0.353408	0.155128
o	0.000224608	8.0021e-05	0.00147236	0.00275322	0.00225888	0.0048471	0.00372399	0.00234833	0.00782289	0.00132363	0.00161366	0.0885028	0.00605479	0.134475	0.0709901	0.292133	0.190835	0.188541
d	6.94127e-05	0.00459288	0.00251042	0.00107879	0.00083149	0.0014106	0.00261708	0.00914451	0.0169063	0.00478967	0.0134122	0.0111614	0.0102176	0.0620639	0.227177	0.114168	0.336968	0.180881
z	2.15395e-05	0.00264067	0.000415593	0.000268827	0.000347141	0.000549002	0.00142052	0.00585624	0.0144371	0.00199172	0.00611958	0.0113911	0.0108238	0.0346168	0.0893548	0.131488	0.438147	0.250111
á	4.65205e-05	0.00148696	0.00048292	0.00203596	0.00301258	0.00348479	0.00354898	0.00487989	0.00876282	0.01042	0.00968958	0.0440669	0.0152686	0.0861863	0.141372	0.185215	0.308385	0.171655
n	0.00012606	7.25588e-05	0.000986785	0.000543187	0.00097272	0.00091744	0.00161163	0.00246864	0.0154464	0.0017189	0.00192537	0.0791014	0.0101142	0.0875379	0.0845206	0.249636	0.135952	0.326348
ω	0.000114601	0.000288279	0.00178626	0.00156029	0.00335024	0.00254803	0.00702178	0.00524338	0.00617286	0.00285441	0.00479971	0.0161355	0.00475042	0.0245611	0.0179867	0.121731	0.469391	0.309704
</S>	0.000139968	0.000427904	0.000719211	0.000895623	0.000662111	0.00110172	0.00205252	0.00211267	0.00513234	0.0010625	0.00816268	0.0323544	0.00819716	0.0677516	0.0719576	0.098578	0.148333	0.550359
