 	l'	enfant	se	vante	devant	son	père	parce	qu'	il	vient	d'	avoir	une	nouvelle	voiture	</S>
r	0.0015255	0.000637382	0.0602215	0.102159	0.713812	0.0352617	0.00764624	0.00619672	0.0100062	0.00492028	0.00221882	0.00608884	0.00814461	0.0120591	0.00468602	0.00782786	0.0165889
ω	0.0034963	0.000689606	0.0322947	0.100029	0.142686	0.0844926	0.0434773	0.0559621	0.0390185	0.0114682	0.00947727	0.0163459	0.025498	0.0828204	0.0178297	0.013288	0.321126
l	0.00302362	0.000108324	0.00774335	0.00544759	0.0598531	0.641029	0.0346588	0.0658659	0.0800573	0.0405483	0.00955392	0.0119698	0.00751852	0.0114975	0.00971352	0.000706217	0.0107052
a	0.0134485	0.000133881	0.00567053	0.0147909	0.0651761	0.122923	0.150194	0.0943508	0.0500268	0.0210957	0.0135883	0.0204933	0.038322	0.0564771	0.0208708	0.0140497	0.298389
t	0.0034555	0.000244603	0.00139076	0.000754324	0.011679	0.269633	0.293778	0.198688	0.107085	0.0715809	0.00588682	0.0076917	0.00363272	0.00290172	0.00728117	0.0017707	0.0125454
á	0.000397821	8.50067e-05	0.000350355	0.00055938	0.0106276	0.0138616	0.878501	0.0332523	0.0220668	0.00634497	0.00215394	0.00330694	0.00328939	0.004091	0.00362113	0.00536837	0.012122
á	0.000429337	6.60604e-05	0.000927738	0.00197759	0.00620393	0.0187141	0.802546	0.0411824	0.0260636	0.0201888	0.00996895	0.00674956	0.00986726	0.0100061	0.010184	0.00233841	0.0325858
t	0.000335199	9.34712e-05	0.00297489	0.0018256	0.00219555	0.0322207	0.0558597	0.163142	0.121538	0.27786	0.163576	0.0906334	0.0422995	0.0147254	0.0141461	0.00274514	0.0138299
s	0.000555386	3.21469e-05	0.00204475	0.00446623	0.00862471	0.015655	0.158169	0.121205	0.0918829	0.0510443	0.0488908	0.0785257	0.0826451	0.0728983	0.202071	0.0224108	0.0388792
í	0.000247184	2.16211e-05	0.000474493	0.000966577	0.00583603	0.0231482	0.102645	0.180138	0.154	0.0757207	0.0471719	0.0721659	0.0813993	0.085827	0.10311	0.0103559	0.056773
n	0.00163952	0.000379186	0.00107805	0.000823168	0.00404804	0.02761	0.18815	0.144827	0.158102	0.141108	0.0613151	0.0677569	0.079609	0.0425944	0.0333752	0.011271	0.0363141
a	0.0105644	0.0010301	0.00433397	0.000636554	0.00703427	0.125228	0.0767184	0.188585	0.143798	0.0800326	0.0302329	0.0263581	0.022913	0.0266342	0.0114302	0.00488121	0.239589
á	0.000185277	8.90414e-06	0.00154891	0.00073738	0.000543998	0.00916627	0.016063	0.117717	0.107147	0.226939	0.188468	0.155344	0.0891158	0.0396889	0.0326068	0.00107579	0.0136437
m	0.00115979	1.77433e-05	0.00629044	0.0225328	0.00601354	0.00138763	0.00114342	0.00193142	0.00359908	0.0092433	0.216631	0.151357	0.349288	0.151572	0.0368945	0.0200838	0.0208537
i	0.000223043	3.24836e-05	0.000943941	0.0020192	0.00140423	0.000744307	0.000145025	0.00351041	0.00393034	0.014335	0.140529	0.222404	0.324938	0.171938	0.0583175	0.0139806	0.0406045
d	0.00024893	1.14772e-05	0.000875441	0.015658	0.00617243	0.000197297	4.38692e-05	0.000644622	0.000666522	0.00133294	0.0652053	0.131939	0.390753	0.160992	0.0183812	0.168946	0.0379321
i	1.84077e-05	2.59475e-06	0.000234303	0.00380906	0.00208593	0.000185587	5.99339e-05	0.000638669	0.000466045	0.00202465	0.0727576	0.156432	0.482816	0.210688	0.0216993	0.0247481	0.021334
á	2.4457e-05	4.20142e-06	0.000335094	0.00145597	0.000638422	0.000337193	7.55929e-05	0.00147779	0.00155963	0.00332425	0.0780068	0.259755	0.333394	0.241754	0.035052	0.0121954	0.0306104
o	0.000274443	1.94087e-05	0.00101277	0.00143717	0.00207197	0.0101842	0.00179058	0.0197562	0.0127006	0.0207158	0.0384479	0.0606529	0.114531	0.252451	0.307925	0.0691952	0.0868332
t	3.58922e-05	2.34575e-05	0.000386719	0.00250215	0.00289247	0.000163303	1.9689e-05	0.000179976	0.000123262	0.000299785	0.00541708	0.0190885	0.103135	0.131266	0.0291095	0.677078	0.0282787
ω	3.46699e-05	6.09515e-05	0.000433996	0.00166717	0.00236141	0.000218022	0.000238578	0.000583911	0.000502585	0.000952526	0.00845813	0.0281425	0.0998536	0.109613	0.0373782	0.674104	0.0353966
m	2.2555e-05	3.26089e-06	3.09431e-05	0.000127375	0.000510874	0.000262862	0.000501544	0.00170197	0.00259013	0.00275292	0.00470334	0.0171259	0.0334824	0.0746808	0.0478837	0.771597	0.0420228
b	4.37716e-05	2.31097e-06	6.26539e-05	0.000191716	0.00209076	0.000797877	0.000915826	0.00265337	0.00210753	0.00141456	0.00279732	0.0171323	0.0422574	0.236268	0.188172	0.355375	0.147717
í	4.33853e-05	1.81375e-06	5.24765e-05	0.000127423	0.00243394	0.00411846	0.000843509	0.0191872	0.0136595	0.00242157	0.0058036	0.0268614	0.0502841	0.245435	0.218914	0.086527	0.323286
l	0.000717225	2.75784e-05	0.000387011	0.000188414	0.00105299	0.00353559	0.000831276	0.0102322	0.0069035	0.00901038	0.00960874	0.0173748	0.0423603	0.204274	0.194389	0.0702496	0.428858
i	0.000288385	1.01319e-05	0.000497726	0.000597589	0.00310712	0.00551014	0.0089392	0.0233189	0.011795	0.00860062	0.0179612	0.0256104	0.0688524	0.255137	0.165884	0.182784	0.221106
m	0.000307849	2.88662e-05	0.000349605	0.000515813	0.0010927	0.00701214	0.00188104	0.00724745	0.00549571	0.00633969	0.0108743	0.0195313	0.0458997	0.204491	0.139801	0.0373036	0.511828
á	0.000402743	0.00459345	0.00484165	0.00522117	0.0198559	0.0431848	0.000588705	0.0112799	0.0135794	0.0314772	0.0404331	0.0906584	0.0688402	0.134823	0.306093	0.0344001	0.189727
p	0.00149009	0.00027632	0.00372142	0.00100708	0.00674712	0.0413335	0.00621952	0.0551312	0.0314757	0.0387099	0.0144552	0.0268116	0.0209762	0.0894739	0.377757	0.0491671	0.235247
á	3.18076e-05	6.47989e-05	0.00186848	0.0042294	0.00351267	0.00257408	0.000402575	0.00356752	0.00321006	0.00498528	0.0191761	0.029309	0.0536398	0.148169	0.145276	0.148795	0.431189
r	0.000142315	0.000124631	0.00293784	0.00254887	0.00216746	0.00911348	0.00552501	0.0239023	0.00953466	0.0138681	0.024086	0.0302685	0.0379184	0.132967	0.198172	0.0273146	0.479408
á	0.00329117	0.000526525	0.00151506	0.00138033	0.00478596	0.0296787	0.00253686	0.0160249	0.00696282	0.00697236	0.00913412	0.0123452	0.0329804	0.117386	0.0351693	0.043522	0.675789
a	0.000191303	9.06523e-05	0.000414381	0.000357217	0.000561138	0.00561083	0.0029845	0.0114125	0.00420554	0.00528696	0.0052158	0.00954051	0.0143102	0.0813252	0.120163	0.0444109	0.693919
d	0.000541766	7.36403e-05	0.00253701	0.0102367	0.00922234	0.00495768	0.000459872	0.0017073	0.00217402	0.00364439	0.0139356	0.023249	0.0628562	0.211681	0.0757273	0.164169	0.412828
í	4.34819e-05	2.01565e-05	0.000561749	0.00389209	0.00409939	0.00117575	0.000112019	0.00104127	0.000515463	0.000858847	0.00680115	0.016753	0.0712398	0.203086	0.0570095	0.0886977	0.544092
</S>	0.000452025	0.000101295	0.000334848	0.000675789	0.000635634	0.0044558	0.000282756	0.00948929	0.00384838	0.00937444	0.0124685	0.0247242	0.0497241	0.16854	0.24153	0.016804	0.456559
