 	les	gens	sont	déçus	du	fait	qu'	il	n'	y	a	pas	eu	de	gibier	pour	commémorer	la	mort	du	notable	</S>
ω	0.035344	0.0102915	0.0581141	0.533656	0.199431	0.0338217	0.0105329	0.00250729	0.000449787	0.00101231	0.00146199	0.000749147	0.00204156	0.006124	0.0429975	0.0164845	0.017576	0.00516904	0.00100381	0.00339257	0.00284129	0.0149983
l	0.00625185	0.000619142	0.0262769	0.1047	0.475472	0.126277	0.0522959	0.0150137	0.00959863	0.00853493	0.00804157	0.0118789	0.0128921	0.0249794	0.0137403	0.0355847	0.0308972	0.0196397	0.00472151	0.00338139	0.00064027	0.00856342
ω	0.00537472	0.00136822	0.0400498	0.142313	0.252875	0.149199	0.0612903	0.0256155	0.018528	0.0102267	0.0146828	0.00923154	0.0191659	0.0249256	0.0483418	0.0645462	0.0394252	0.0258682	0.0130194	0.0102871	0.00608785	0.0175793
t	0.00505683	0.000682882	0.0263938	0.168653	0.306386	0.151223	0.0158414	0.00574751	0.00837136	0.00173203	0.00508042	0.00521665	0.0143251	0.013744	0.0323897	0.0331109	0.0691989	0.050612	0.0178166	0.0156421	0.018414	0.0343618
s	0.00303863	0.0027932	0.0103604	0.0957227	0.160279	0.206743	0.0312517	0.027079	0.0472388	0.0195323	0.0131783	0.0140376	0.0225943	0.0214517	0.00727585	0.0673242	0.139821	0.0278908	0.0261378	0.00369726	0.0250188	0.0275335
í	0.00021726	0.000276784	0.00126575	0.0799672	0.0729233	0.15055	0.0235844	0.0149518	0.0145319	0.011008	0.0115104	0.0123692	0.0271963	0.0344896	0.0209338	0.05618	0.350202	0.0370769	0.0252215	0.0102759	0.0100379	0.0352304
n	0.00131213	0.000796822	0.00512168	0.0198069	0.0931209	0.173127	0.102703	0.0749689	0.0633278	0.0293035	0.0174906	0.0282608	0.0224466	0.039128	0.0204075	0.0592541	0.156857	0.0289915	0.0207963	0.00192008	0.00252114	0.0383382
a	0.0122595	0.00400623	0.00793392	0.0938043	0.0955518	0.10802	0.0825167	0.030223	0.00669068	0.00526557	0.00907535	0.00577168	0.0114578	0.0255951	0.153152	0.0723787	0.144098	0.0227048	0.00546258	0.00559857	0.0226576	0.0757761
e	0.00158679	0.000232301	0.00760391	0.00355645	0.0485044	0.111631	0.122527	0.0831081	0.0680982	0.0397438	0.0383497	0.0421685	0.0537035	0.0627484	0.0443133	0.0938663	0.0610933	0.0667977	0.0297859	0.00444091	0.000871927	0.015268
b	0.00116078	0.000224694	0.0192287	0.00700573	0.0178531	0.0439673	0.0120763	0.0269961	0.130284	0.0385449	0.0719963	0.0880592	0.069945	0.0481921	0.0489825	0.112109	0.0969093	0.0792869	0.060434	0.00991692	0.00369079	0.0131357
e	0.000555226	0.000578934	0.0115432	0.00394503	0.00690207	0.0267567	0.00626858	0.00988887	0.0548972	0.0298088	0.0587029	0.0847006	0.0917942	0.057213	0.0439585	0.0885605	0.146434	0.068659	0.181113	0.00923787	0.00603555	0.0124461
m	0.000598547	0.000157629	0.00711875	0.00685368	0.00998073	0.0247943	0.00607701	0.0127735	0.0629222	0.0277393	0.0610235	0.103081	0.0871814	0.0507619	0.0275553	0.0387455	0.115325	0.0554318	0.214025	0.00595519	0.00433279	0.0775662
b	0.000799757	0.0001255	0.000783616	0.000829778	0.00626283	0.0232759	0.0279967	0.0272783	0.0499616	0.0147094	0.0348554	0.0653544	0.0359967	0.0574364	0.0219068	0.123358	0.169128	0.158834	0.106498	0.0187906	0.0209186	0.0349004
e	0.0026973	0.000740298	0.000811065	0.00260778	0.0139559	0.0326179	0.00876211	0.00551135	0.00478001	0.0034504	0.0115242	0.0151476	0.0165673	0.0354913	0.0261247	0.0673122	0.423648	0.121278	0.0641772	0.0247982	0.0359013	0.0820954
y	0.000470207	9.50795e-05	0.000873626	0.000320683	0.00247566	0.00595265	0.00341758	0.00590508	0.0163505	0.0130948	0.0256209	0.0461583	0.0480614	0.0636723	0.0147405	0.0676577	0.106888	0.25001	0.262253	0.0250142	0.00836556	0.0326017
á	0.00108698	0.000242426	0.00167469	0.00880346	0.0146341	0.0246793	0.00812394	0.00728699	0.0127408	0.00662639	0.0244392	0.0186507	0.0340063	0.0438214	0.105019	0.112933	0.153864	0.150725	0.0964831	0.0732525	0.0403153	0.0605905
m	0.00161572	0.000366065	0.000674089	0.000672406	0.00191498	0.00296361	0.0032985	0.00422117	0.00422274	0.00925188	0.0146513	0.0105178	0.0152935	0.0328583	0.0601024	0.0755952	0.019113	0.203894	0.0867638	0.394734	0.0449657	0.0123095
w	0.000690221	0.000607633	0.00190252	0.000222363	0.0011101	0.00192226	0.00158442	0.00267136	0.00161365	0.00121948	0.00762464	0.00480903	0.00590133	0.0131883	0.0121961	0.0680905	0.0142482	0.154807	0.128784	0.0282275	0.503918	0.0446609
ε	0.00638711	0.00478697	0.000430996	0.000624858	0.00105718	0.00185731	0.00150302	0.00171075	0.000395741	0.000458141	0.00149597	0.000911319	0.00174992	0.00315814	0.00385036	0.0131178	0.0182977	0.0476185	0.0322623	0.00434801	0.842269	0.011709
n	9.98421e-05	3.12133e-05	9.95673e-05	0.000240813	0.000633391	0.00356802	0.00203777	0.00573062	0.0122401	0.00534207	0.0194392	0.02637	0.01854	0.0151774	0.00267924	0.0406576	0.0124964	0.0735675	0.229226	0.0378301	0.345331	0.148663
έ	0.000296511	0.000125369	0.000394724	0.000750792	0.00195272	0.00303946	0.0101817	0.0139505	0.0121741	0.0229024	0.0627079	0.102258	0.0535438	0.103926	0.0499238	0.200549	0.0907441	0.138154	0.0542719	0.0464966	0.0168829	0.0147742
é	0.00184283	5.87025e-05	0.00209512	0.000426391	0.00239905	0.00353906	0.0136858	0.0183287	0.00951842	0.0209686	0.0437203	0.0438712	0.0328069	0.0679888	0.0417343	0.135019	0.00971647	0.111927	0.138689	0.138155	0.0163753	0.147135
d	0.00170607	0.000288842	0.011292	0.00129635	0.00641893	0.0114333	0.00341516	0.00553393	0.0158354	0.0123304	0.0237858	0.0267675	0.0223346	0.0302824	0.0264391	0.0570868	0.00320814	0.078197	0.207278	0.289714	0.0293006	0.136056
z	0.000532373	7.08167e-05	0.00404901	0.000265845	0.000739345	0.00148222	0.000833195	0.00122716	0.00424423	0.00229235	0.0143543	0.0233503	0.0148628	0.0217634	0.0425153	0.0416078	0.0033788	0.0177373	0.138543	0.0250968	0.0100994	0.630955
e	0.000813739	0.000255328	0.000920476	0.00101596	0.00557123	0.00545337	0.00576824	0.00630938	0.00752154	0.00757915	0.0280849	0.0343258	0.020143	0.0443642	0.0305875	0.113953	0.0114874	0.0554118	0.0860355	0.0981633	0.331736	0.104499
l	0.000190911	3.06033e-05	0.000406633	0.000194591	0.00144652	0.00309538	0.00503847	0.0063061	0.0234425	0.0399425	0.0422421	0.0936698	0.0525456	0.0806218	0.103448	0.0918958	0.0181112	0.0364176	0.0570254	0.239806	0.01407	0.0900522
e	0.000945273	0.000141639	0.00614898	0.00158086	0.0023116	0.00355745	0.00185153	0.0042897	0.00832408	0.00611735	0.0135047	0.0175756	0.0133402	0.0169454	0.0102375	0.0247564	0.00324726	0.0274317	0.177114	0.104065	0.0521801	0.504334
m	0.000278126	0.000170296	0.00162928	0.00101944	0.00121526	0.000660764	0.000231995	0.000477571	0.00169239	0.00323109	0.0108105	0.0147962	0.0151684	0.0246515	0.0244926	0.0262412	0.0114493	0.0401247	0.121367	0.11989	0.212016	0.368387
b	0.000104214	0.000108547	0.0010239	0.000598091	0.00146909	0.0015229	0.00110279	0.000925309	0.000786061	0.000986442	0.00916658	0.00889097	0.00851122	0.0267468	0.0640954	0.0839557	0.0106805	0.0374802	0.0258729	0.0633892	0.51055	0.142033
v	0.000144663	4.99252e-05	0.000114577	9.10724e-05	0.000185389	0.000628493	0.00022619	0.000215952	0.000201482	0.000226604	0.00232058	0.00304737	0.0035256	0.00767123	0.00799016	0.0187425	0.0131296	0.0564427	0.066891	0.0276011	0.681941	0.108613
ú	0.000134501	4.34374e-05	7.7554e-05	0.000294922	0.0003389	0.00123282	0.000294069	0.00029801	0.000509765	0.00045507	0.004902	0.00630972	0.00721279	0.0135616	0.0248418	0.0324111	0.0210989	0.0346028	0.0575076	0.0394712	0.560051	0.194351
n	0.000263395	0.00015038	0.00137252	0.000425402	0.000782293	0.00127197	0.000413409	0.00105772	0.00566806	0.00649252	0.0200948	0.035519	0.026132	0.0264219	0.0165931	0.0249473	0.00787767	0.00734611	0.0488195	0.0190679	0.0619003	0.687383
y	0.00278279	0.00151419	0.00109238	0.00137434	0.00221809	0.00142462	0.00230074	0.00132881	0.00175721	0.00513592	0.0196147	0.0396227	0.030306	0.0840331	0.0607086	0.124708	0.0359405	0.0574945	0.0276781	0.086224	0.249343	0.163398
u	0.000346469	0.000110313	0.000168329	0.00498809	0.00226462	0.00249243	0.00120564	0.00111853	0.00963783	0.0126103	0.0352189	0.0872887	0.061662	0.0677796	0.0329712	0.0753268	0.0744323	0.016963	0.0412996	0.0571485	0.263644	0.151323
k	0.00178267	9.91918e-05	0.00140633	0.000550143	0.00163239	0.00197765	0.00390802	0.00434344	0.00448537	0.00842794	0.0240278	0.0271681	0.0193524	0.0330602	0.0236715	0.0563033	0.00351061	0.0373995	0.0788007	0.0923478	0.0271833	0.548562
a	0.00114717	0.00248507	0.00774693	0.00608449	0.0163294	0.0210914	0.00513555	0.0088721	0.0473427	0.117827	0.0498568	0.064095	0.0581216	0.0831252	0.0618403	0.0935371	0.0115708	0.0184134	0.0565321	0.102246	0.0123409	0.154258
á	0.000648921	0.000986936	0.00146145	0.000391067	0.000983415	0.00146188	0.000533752	0.000721262	0.00290778	0.00448655	0.00611942	0.00713599	0.010411	0.0164171	0.0168986	0.0279897	0.00296878	0.0140838	0.0542651	0.0212137	0.0244119	0.783502
</S>	0.000285713	2.46758e-05	0.00273054	0.000316409	0.0015146	0.00437073	0.00449958	0.0083954	0.0101371	0.00665562	0.00935639	0.0096806	0.00845019	0.0104788	0.00557694	0.0208685	0.00164566	0.0249371	0.0574762	0.0802258	0.0097923	0.722581
