 	les	femmes	sont	parties	occuper	les	espaces	favorables	à	la	culture	du	sésame	dans	la	savane	</S>
w	0.000599457	0.000273129	0.00145101	0.986152	0.0033575	0.00280361	0.000413455	0.00199069	0.000358573	0.000335692	0.0001456	0.000146212	0.000123536	0.000107181	7.94549e-05	5.75541e-05	0.00160509
á	0.00968816	0.00926497	0.0689487	0.486633	0.00759393	0.162192	0.0605612	0.0177848	0.0423025	0.0312583	0.0060524	0.0154541	0.000989557	0.0151533	0.0206873	0.000335497	0.0451007
o	0.0131433	0.00150197	0.0144281	0.0849148	0.0498099	0.523871	0.0449094	0.0509696	0.0529051	0.0505256	0.0238905	0.0314233	0.00480715	0.0172408	0.0182877	0.00331044	0.0140609
b	0.000269313	0.000134457	0.000328501	0.0406836	0.0331986	0.0533319	0.42162	0.409361	0.00830001	0.00353546	0.00329918	0.00264056	0.0138921	0.00163378	0.000662346	0.0035254	0.00358418
a	0.000127135	9.34376e-05	0.000287482	0.00101486	0.00430323	0.0120544	0.805688	0.154205	0.00690576	0.00262653	0.00130137	0.00117997	0.00204608	0.00182786	0.000561068	0.00365589	0.00212216
n	0.000119212	5.48601e-05	0.000657118	0.0166431	0.0174449	0.0296983	0.42727	0.44887	0.0142866	0.00431396	0.00125026	0.00204011	0.00908227	0.00523341	0.00133173	0.00166522	0.0200387
d	0.00423165	9.95778e-05	0.00113395	0.00777321	0.0322544	0.201582	0.0784058	0.422646	0.0562948	0.0485134	0.0174606	0.0262156	0.0487782	0.0181614	0.00550961	0.00115561	0.029784
á	0.00188145	2.22112e-05	0.000924573	0.00477288	0.00790437	0.0310102	0.0264302	0.612281	0.0632255	0.0473836	0.0217456	0.0252551	0.0818813	0.0139947	0.00220052	0.00180682	0.05728
p	0.00188593	0.000214569	0.0016487	0.00121589	0.00219076	0.17728	0.0434274	0.0791352	0.188302	0.162222	0.128125	0.110572	0.0295173	0.030441	0.0341077	0.00525019	0.00446389
ó	0.00145824	5.5035e-05	0.0002347	0.000293267	0.00107069	0.00335821	0.0223059	0.481039	0.0369564	0.0178278	0.00790151	0.00919969	0.395525	0.0127144	0.00389901	0.00236524	0.0037964
n	0.000450276	4.94562e-05	0.000340204	0.00191208	0.000610026	0.00486423	0.0171839	0.54333	0.0686839	0.0333221	0.0144126	0.0144258	0.26592	0.0164234	0.00292351	0.00790946	0.00723968
d	0.00100178	0.000239213	0.00148787	0.000790317	0.0106184	0.0319654	0.0940275	0.215218	0.173564	0.0808496	0.0570624	0.0793442	0.15942	0.0274034	0.00844535	0.0189305	0.0396326
á	0.000117592	2.61036e-05	0.000100752	0.000144866	0.00183608	0.00562945	0.0121379	0.169316	0.106203	0.111277	0.144349	0.109994	0.262213	0.0195229	0.00421159	0.0175554	0.0353654
y	0.000186771	3.34379e-05	0.000979699	0.000128054	0.000624777	0.0121391	0.00738128	0.0160707	0.110001	0.185449	0.226376	0.229535	0.0280035	0.0942094	0.0526607	0.019481	0.0167413
ó	0.00167647	6.64605e-05	0.0027355	0.000829149	0.00143861	0.00770016	0.00034956	0.00882213	0.0277183	0.11095	0.323394	0.127766	0.0760944	0.102036	0.0845931	0.106852	0.0169787
p	0.00232003	9.1768e-05	0.000545573	9.90033e-05	0.000552563	0.00396616	0.000265312	0.00461996	0.0196115	0.0637038	0.167307	0.0845347	0.0674522	0.0469411	0.0503619	0.475031	0.0125961
f	9.1092e-05	3.29074e-05	0.000288681	0.000168038	0.000738376	0.00129742	0.000957215	0.0474982	0.013184	0.027027	0.00860687	0.0177181	0.524949	0.0499195	0.0414443	0.253425	0.0126541
u	0.000164491	2.3065e-05	9.01108e-05	0.000796016	0.00108683	0.000515676	0.000927184	0.0856181	0.00952769	0.00985636	0.00178957	0.00598073	0.671318	0.048317	0.0140392	0.138132	0.0118178
n	0.000534835	3.22622e-05	2.48272e-05	0.000157831	6.64998e-05	0.00262882	0.000868742	0.0368018	0.0378358	0.0536064	0.0109079	0.0163834	0.490561	0.250137	0.047855	0.0179214	0.0336769
y	0.00123426	0.000176414	5.01215e-05	0.000265772	0.000259071	0.00269419	0.00146852	0.0192186	0.0297362	0.0961656	0.0406124	0.0750656	0.362775	0.214053	0.103347	0.0160486	0.0368304
ε	0.000891008	1.76365e-05	1.55129e-05	0.000108844	0.000127627	0.000568234	0.000347769	0.0363592	0.0123279	0.0422108	0.0143371	0.0332483	0.686365	0.108702	0.0200083	0.0129505	0.0314141
</S>	0.00254843	4.33173e-05	0.000800516	5.24417e-05	0.000510798	0.00529829	0.000442951	0.00103289	0.0154289	0.0643995	0.0591406	0.0945848	0.020508	0.268421	0.206644	0.0699216	0.190222
