 	mes	beaux-parents	boudent	contre	moi	parce	que	j'	ai	refusé	de	leur	donner	de	l'	argent	</S>
a	0.00471371	0.00118915	0.0859112	0.207499	0.173137	0.0826149	0.0609137	0.0241253	0.0171892	0.0355428	0.0466073	0.0138262	0.00748216	0.0437509	0.0291763	0.0063549	0.159965
n	0.0013804	0.000186719	0.0273333	0.239464	0.203222	0.370296	0.0738195	0.0233177	0.0133574	0.00873813	0.0089953	0.00525271	0.00246387	0.00450674	0.00696416	0.00381561	0.00688599
g	0.00464413	7.55053e-05	0.0030178	0.0209422	0.870933	0.00951167	0.0229909	0.032892	0.012248	0.00842139	0.001423	0.000856672	0.000300754	0.00106971	0.00158455	0.00554383	0.00354481
á	0.000878418	5.15561e-05	0.00625958	0.0215333	0.882351	0.0180349	0.0155282	0.0173393	0.00636987	0.0196612	0.00124193	0.000516267	0.000529521	0.00148774	0.00121206	0.00462606	0.00237858
t	0.00050889	0.000217137	0.00563113	0.141249	0.157608	0.348672	0.224934	0.0349907	0.0282934	0.0100951	0.0106921	0.0106969	0.00482985	0.00456584	0.0101162	0.00109427	0.00580633
s	0.000807358	0.00112962	0.00948466	0.0503857	0.0397203	0.658089	0.0883462	0.016031	0.0104755	0.0213674	0.0174567	0.0100826	0.0362311	0.0138934	0.00651911	0.000983127	0.0189971
í	0.000102315	0.000884833	0.00261626	0.0332683	0.031832	0.528591	0.144643	0.0232649	0.0106106	0.0378493	0.0462706	0.0279104	0.0414353	0.03237	0.014122	0.00253912	0.0216903
n	0.00127708	0.00233356	0.0012098	0.0352715	0.175048	0.496902	0.122346	0.0468333	0.0149235	0.0136295	0.00777756	0.0108871	0.0187561	0.0047484	0.00330571	0.00254043	0.0422107
a	0.00745298	0.00118056	0.00132303	0.020823	0.267914	0.184685	0.15189	0.0765684	0.0437389	0.0278098	0.0137498	0.0133542	0.0065834	0.00792979	0.00839375	0.0187196	0.147884
n	0.000482209	0.000237312	0.00132487	0.0286227	0.0599198	0.173029	0.31555	0.106996	0.156583	0.0584076	0.0238996	0.0228713	0.0169794	0.0106626	0.0126052	0.000988319	0.0108419
g	0.0152489	8.43311e-05	0.0011174	0.00647187	0.2393	0.0116973	0.224362	0.188708	0.107587	0.0649	0.013889	0.00796531	0.00164785	0.00607642	0.0130502	0.0225948	0.0753004
á	0.00110924	4.8238e-05	0.00164225	0.00626065	0.382875	0.0411303	0.192784	0.156816	0.0653125	0.0980037	0.00697218	0.00364722	0.00138879	0.00378608	0.00644995	0.0145815	0.0171924
í	0.00054814	0.00012605	0.00097238	0.00884695	0.0159166	0.0796743	0.330458	0.102214	0.174214	0.0757898	0.0651868	0.037357	0.0473577	0.0182211	0.0195384	0.0018371	0.0217423
t	0.00188528	0.00447931	0.0269827	0.0120351	0.0090407	0.00703446	0.0407239	0.0338966	0.0826717	0.466179	0.113644	0.019516	0.0751997	0.0679393	0.0137717	0.00132456	0.023676
ó	7.27532e-05	0.000623113	0.00621536	0.00366696	0.00629524	0.016326	0.0265634	0.0111416	0.0319973	0.517478	0.121825	0.0208498	0.0741357	0.105878	0.0171963	0.00177897	0.0379562
n	8.81176e-05	0.00018527	0.00282691	0.00604567	0.00930003	0.0541238	0.0360802	0.0151871	0.0284238	0.45709	0.106324	0.0496687	0.0791803	0.0684094	0.02445	0.00150339	0.0611138
i	0.000391874	0.0006461	0.00284283	0.0128355	0.0365109	0.0937307	0.0527215	0.0235922	0.0603637	0.269023	0.0916549	0.0639844	0.136447	0.0519844	0.0137301	0.00202386	0.0875176
o	9.31832e-05	3.28337e-05	0.000439686	0.00547711	0.0178528	0.0267686	0.0803199	0.0658541	0.098686	0.099967	0.165312	0.166048	0.102477	0.054125	0.079279	0.0196589	0.0176097
p	0.00128296	0.0014274	0.00551945	0.00641218	0.0173364	0.00509463	0.0134488	0.0209583	0.0461262	0.128523	0.234432	0.0689341	0.0976475	0.187272	0.0692411	0.0485419	0.0478019
έ	2.53718e-05	0.000390406	0.00108474	0.00142415	0.00160234	0.00449509	0.00424356	0.00111647	0.0063135	0.121994	0.180983	0.0262571	0.28577	0.264481	0.029815	0.00217958	0.0678245
b	0.000851643	0.000851271	0.00249288	0.00805323	0.0266713	0.0567408	0.0596463	0.0233912	0.0343334	0.107149	0.111357	0.096004	0.262665	0.0732905	0.054465	0.0067221	0.075315
á	0.00137619	0.0048581	0.00027356	0.0124756	0.0451603	0.0543892	0.0782779	0.0446141	0.0405803	0.0748448	0.107473	0.230091	0.171852	0.0422155	0.0504543	0.00449747	0.0365661
a	0.000387364	7.86275e-05	0.000114885	0.00226281	0.0058067	0.0111329	0.0340648	0.0406711	0.0359378	0.0167862	0.102106	0.164347	0.291056	0.0740168	0.0653811	0.0157551	0.140095
b	0.000445089	0.000116794	0.0003065	0.00367667	0.0029305	0.00369386	0.0167828	0.0204074	0.0353912	0.0154389	0.128276	0.16556	0.0367214	0.131013	0.314196	0.0317294	0.0933141
e	0.000464001	0.00953144	0.000135742	0.00322058	0.00308873	0.00660536	0.00819901	0.0141782	0.019385	0.0251655	0.159373	0.146064	0.115545	0.178698	0.188772	0.0572951	0.064279
a	6.71908e-05	0.000181056	3.70858e-05	0.00102049	0.00324791	0.00739147	0.006969	0.00788362	0.0146151	0.0204202	0.120406	0.150722	0.162838	0.162803	0.147408	0.0340851	0.159905
</S>	0.000289485	5.97304e-05	0.000206022	0.000986956	0.000837465	0.000702457	0.00587644	0.00658537	0.0152046	0.00968349	0.11058	0.0842933	0.0209661	0.175643	0.35833	0.0146773	0.195079
