 	a	ongondza	les	gens	ne	peuvent	pas	me	prendre	pour	un	faible	parce	que	j'	y	ai	construit	une	petite	maison	</S>
a	0.143131	0.00774753	0.296244	0.27533	0.0505053	0.00905531	0.0571052	0.0351335	0.020313	0.0188547	0.0100588	0.00500609	0.0200599	0.0143889	0.00748961	0.00854383	0.00420705	0.00122032	0.00123851	0.00132486	0.000827032	0.012216
r	0.111521	0.00546356	0.248739	0.270158	0.217986	0.0117724	0.0216297	0.0182597	0.00944112	0.0141878	0.00962391	0.00410374	0.00998174	0.00785279	0.00593289	0.00656167	0.00582656	0.00259561	0.00540131	0.00229251	0.000577633	0.0100908
e	0.108105	0.111095	0.23816	0.0313662	0.04782	0.00446099	0.0107984	0.189369	0.00472435	0.0116423	0.00507726	0.000697148	0.0128808	0.0123003	0.109769	0.00229458	0.0220075	0.00197798	0.00495043	0.0172873	0.0161786	0.037037
á	0.0165463	0.00904109	0.411277	0.141088	0.271386	0.0111381	0.021703	0.0318003	0.0122906	0.0150868	0.0083559	0.00228946	0.00530315	0.00554391	0.0079576	0.00275035	0.0071231	0.00355052	0.00458621	0.00465924	0.00178058	0.00474369
d	0.00576933	0.005052	0.0214633	0.029083	0.642705	0.181974	0.0261506	0.00679486	0.0254677	0.0104258	0.00540739	0.00434031	0.000886919	0.000956505	0.00161138	0.00108617	0.00298503	0.00975278	0.00734299	0.00105306	0.00116905	0.00852307
í	0.0039133	0.000462328	0.0146268	0.0250815	0.648498	0.151112	0.0328469	0.00900781	0.0250526	0.017843	0.00780521	0.00185196	0.0022859	0.00163511	0.00315538	0.00127791	0.00570681	0.00704897	0.0124067	0.0021033	0.00128249	0.0249957
o	0.00931332	0.000837263	0.0150318	0.0235267	0.545437	0.256473	0.0595677	0.0147914	0.0207798	0.0139371	0.00774174	0.00128273	0.00216737	0.0014764	0.00202824	0.00234449	0.00221414	0.00207177	0.0075832	0.00172457	0.000370215	0.00930009
b	0.000686832	0.00156258	0.000699553	0.00273806	0.0268834	0.848412	0.0464728	0.0110584	0.0428343	0.00528265	0.00294748	0.00332638	0.000680528	0.000331293	0.000421209	0.000333439	0.000262144	0.0015032	0.000933186	0.000267142	0.00123403	0.00112913
h	0.000370851	4.19588e-05	0.00051375	0.00556257	0.0032944	0.928748	0.0119423	0.00152294	0.0378589	0.00278092	0.00118575	0.00202846	0.000492357	0.000203383	0.000255608	0.000116117	8.39895e-05	0.000724643	0.000550218	0.000111499	0.000111309	0.00150008
e	3.97853e-05	6.10078e-06	4.15763e-05	0.000442898	0.000881501	0.987698	0.00164875	0.000156846	0.00722203	0.000662012	0.000292447	0.000222473	4.11012e-05	2.63032e-05	3.89511e-05	1.44379e-05	1.31317e-05	9.66262e-05	0.000152561	6.12809e-05	2.55479e-05	0.000215419
r	0.00104719	0.000192727	0.00150767	0.00771915	0.0163335	0.792797	0.0993178	0.015146	0.0307396	0.006678	0.00489635	0.0037671	0.00170747	0.000976704	0.000788771	0.0016261	0.00119588	0.00249769	0.00505886	0.00159772	0.000448683	0.00396029
á	0.000595593	0.000354776	0.00161384	0.00287238	0.00462428	0.849107	0.0608621	0.00899068	0.0138634	0.00716533	0.00847859	0.00667796	0.00415687	0.00173992	0.00108476	0.00216888	0.000832648	0.00114145	0.00506023	0.00605109	0.00215464	0.0104035
o	0.0044781	0.00124397	0.00685078	0.00329146	0.0373148	0.0972034	0.424802	0.233894	0.103481	0.0290001	0.0124367	0.00700222	0.0101062	0.00720315	0.00183083	0.00481494	0.00193244	0.000855765	0.00163716	0.00148353	0.00136086	0.00777656
k	0.00107572	0.000321539	0.000615226	0.00126471	0.0106862	0.136629	0.154999	0.0552669	0.50752	0.0672494	0.0202199	0.0248307	0.00205194	0.000885686	0.000973733	0.000811675	0.000625736	0.00381383	0.00250987	0.000227215	0.00117043	0.00625079
o	4.84235e-05	7.70507e-05	0.000226887	0.00107833	0.00146756	0.28381	0.0686224	0.00696304	0.513309	0.0208386	0.0119769	0.0529114	0.00298511	0.000702225	0.000521867	0.00158505	0.000484127	0.0144207	0.00852316	0.00123084	0.000430405	0.00778681
b	1.34935e-05	9.30474e-05	5.01678e-05	0.000266437	0.0019734	0.622819	0.05012	0.00714029	0.23641	0.0173109	0.00889092	0.0255041	0.00152424	0.000539509	0.00034277	0.00103444	0.000529517	0.00870388	0.00965341	0.00210745	0.000132043	0.00484024
h	0.0080649	0.00282891	0.00441315	0.00197013	0.0197294	0.320098	0.183519	0.0380087	0.202589	0.036038	0.0223837	0.0934626	0.0102674	0.0027716	0.001743	0.00523021	0.00145558	0.00769346	0.0088873	0.00271491	0.00147155	0.0246592
á	0.00185649	0.000790212	0.0010357	0.00102421	0.00305002	0.239451	0.108819	0.0275762	0.104808	0.0916582	0.0834809	0.0861975	0.0264772	0.0090481	0.00455604	0.0108174	0.00366635	0.00940182	0.0372049	0.0308122	0.00524719	0.113021
n	0.0140456	0.00274202	0.0162568	0.00931713	0.0107518	0.0127326	0.116173	0.206748	0.196483	0.201874	0.0795213	0.0391832	0.0336667	0.020771	0.00635413	0.00894533	0.00383589	0.00157607	0.0021409	0.00210307	0.000928224	0.0138495
g	0.0146462	0.0118732	0.00371721	0.000337827	0.000325274	0.000799385	0.00766543	0.44796	0.00416956	0.014435	0.00913516	0.00557411	0.0286866	0.0143485	0.0909104	0.00400798	0.0094856	0.00276231	0.00446288	0.011365	0.261662	0.0516709
á	0.00511056	0.106847	0.00517471	0.00113939	0.000770993	0.00178193	0.00950629	0.535215	0.0203327	0.0441378	0.028757	0.0701175	0.0217308	0.00659641	0.0565526	0.00334881	0.0061408	0.0057287	0.00695858	0.00313382	0.0435886	0.0173291
m	0.00085018	5.50763e-05	0.000958745	0.000269899	0.000534627	0.000780343	0.021109	0.0964969	0.03283	0.217367	0.171804	0.0492233	0.185048	0.0954538	0.0369712	0.0293151	0.0181025	0.00638256	0.00713726	0.0106023	0.0036304	0.0150783
b	0.00107854	6.67095e-05	0.0105652	0.00159264	0.00307171	0.000957527	0.0104469	0.0102933	0.0233653	0.352383	0.272634	0.093771	0.0385766	0.0558688	0.0221294	0.0101343	0.00569067	0.00373896	0.0079312	0.0116985	0.00288564	0.0611202
v	0.00133595	0.00025406	0.00363931	0.00400898	0.000723781	0.00842678	0.0196172	0.0208802	0.0476861	0.358995	0.288413	0.164553	0.0368424	0.0121167	0.0104982	0.00172686	0.00112012	0.00227907	0.00244141	0.00254081	0.0052064	0.00669445
a	0.00682746	0.000626171	0.00417565	0.00707385	0.000762787	0.0171516	0.0372425	0.0724436	0.0412615	0.240055	0.272371	0.161818	0.0454924	0.0164747	0.0164443	0.00309045	0.00237613	0.00242784	0.00586827	0.0124883	0.00768279	0.0258455
l	0.000428227	0.000131404	0.000907816	0.00058989	0.000901656	0.00978706	0.0575197	0.0230402	0.122257	0.22006	0.254857	0.169852	0.0656596	0.011783	0.00428022	0.00900203	0.00322791	0.0102541	0.0102083	0.004549	0.00152147	0.0191818
a	0.000301902	0.000357253	0.000836956	0.00053264	0.000638909	0.00482924	0.0148342	0.0554316	0.0538228	0.191402	0.169282	0.107208	0.0975896	0.0353678	0.0290531	0.0246864	0.0143572	0.0217792	0.0236998	0.00800838	0.00612331	0.139858
e	0.00036749	0.000143459	0.000689001	0.000211345	0.00145433	0.000428315	0.00711015	0.02082	0.0152114	0.130726	0.188071	0.0694746	0.154705	0.141465	0.0606476	0.0970446	0.0416947	0.02018	0.0135633	0.00829206	0.00252589	0.0251753
n	0.000700925	0.000528239	0.00172637	0.000773279	0.00960035	0.00418774	0.00646461	0.00850568	0.0250566	0.129639	0.153877	0.175868	0.0505579	0.0403573	0.06222	0.0314946	0.0445764	0.166611	0.028834	0.0045389	0.00943452	0.0444474
g	0.00414269	0.0288172	0.00445321	0.000332418	0.00554994	0.00244155	0.00747141	0.174232	0.0116877	0.0688371	0.061311	0.0172813	0.0395366	0.0244419	0.335434	0.00494413	0.0326482	0.0176362	0.0109849	0.00618414	0.106224	0.035409
w	0.000196146	0.00200562	0.0010327	7.52272e-05	0.000393525	0.000621919	0.00637547	0.125571	0.0135959	0.111101	0.122688	0.137427	0.145336	0.0226798	0.122429	0.00847338	0.0240268	0.0717465	0.0213063	0.00664356	0.0377062	0.0185687
ε	0.000380564	0.000373084	0.000296824	1.77534e-05	0.000313374	0.0013203	0.00474012	0.0181657	0.00397955	0.0799306	0.165673	0.200446	0.107912	0.0271614	0.0526146	0.0112858	0.0194883	0.0524246	0.053559	0.042881	0.0750313	0.0820042
n	0.000124094	5.46445e-05	0.00011198	3.46092e-05	0.000372683	0.00134896	0.00914954	0.00525758	0.011806	0.0984786	0.181349	0.278686	0.128367	0.0322702	0.0154312	0.0306319	0.0176143	0.0509565	0.0450827	0.0121855	0.00626075	0.0744271
d	0.00277755	0.00173721	0.00154062	0.000400024	0.000320348	0.00163598	0.00906461	0.0507156	0.00706901	0.0670124	0.116673	0.193669	0.164392	0.0539965	0.0637856	0.0260562	0.031984	0.0339268	0.0179898	0.0378137	0.0807496	0.0366908
z	0.000292717	0.000676985	0.000380075	3.62962e-05	0.000133748	0.000488855	0.00308377	0.0305482	0.00607389	0.0805365	0.141818	0.130029	0.162119	0.0401464	0.0941242	0.0148764	0.0346073	0.0399812	0.0311421	0.0426674	0.06355	0.0826881
ε	4.28512e-05	4.70027e-05	8.01033e-05	3.11354e-05	0.000132355	0.00160016	0.00787829	0.00473969	0.00833675	0.0884022	0.21102	0.398419	0.0626411	0.0131155	0.00945974	0.0105826	0.00895687	0.0268876	0.0424502	0.024813	0.0110064	0.0693571
k	0.000246261	4.37186e-05	0.000380671	8.32125e-05	0.00038701	0.000328658	0.00662983	0.0169299	0.00902516	0.0826946	0.147739	0.0320171	0.255852	0.137586	0.0816145	0.0900409	0.0552603	0.0161247	0.0193738	0.0199196	0.00760175	0.0201208
a	0.000228955	0.00021912	0.000895766	0.000729649	0.00061617	0.000578891	0.00480434	0.0094317	0.00571173	0.024141	0.0508626	0.275253	0.0993346	0.0473903	0.0200698	0.140619	0.0273839	0.191788	0.030695	0.00454928	0.0173145	0.0473832
á	0.000198596	9.75907e-05	0.00051103	0.0009359	0.000127178	0.000687993	0.00700526	0.0178144	0.0103336	0.0283845	0.0383502	0.077523	0.219376	0.0786384	0.0471017	0.152647	0.0433973	0.125734	0.0311401	0.00553446	0.028139	0.0863225
t	0.00035125	2.30349e-05	0.000492342	0.000282806	0.000355618	0.000104358	0.0011532	0.00448399	0.00102275	0.00932625	0.0151305	0.00362835	0.0906163	0.214923	0.148144	0.179066	0.180641	0.0244809	0.0212142	0.0358271	0.0310402	0.0376922
s	6.10754e-05	8.36212e-05	0.000445745	0.000145253	0.000235132	0.000238708	0.00312597	0.00357323	0.00271242	0.0157213	0.0339935	0.0744682	0.0710067	0.0614938	0.0353547	0.117739	0.0624763	0.353682	0.0639741	0.0219757	0.0208907	0.0566028
í	4.4022e-05	2.38199e-05	4.87456e-05	5.46947e-05	2.41344e-05	0.000512311	0.00127308	0.00279804	0.00322836	0.0152581	0.0253943	0.0316327	0.112285	0.0922718	0.0744664	0.183513	0.0744727	0.224498	0.0611475	0.0243347	0.0361686	0.0365498
n	0.00208991	0.00113957	0.00122546	0.00170534	0.000559527	0.000916605	0.00358059	0.0533688	0.00981664	0.0379987	0.0453089	0.0218745	0.159931	0.102488	0.220747	0.0869984	0.0770766	0.084299	0.019374	0.00920422	0.015457	0.044841
a	0.001592	0.00124319	0.00158967	0.000602786	0.000116725	0.000188859	0.00216116	0.0342002	0.00129158	0.0119849	0.01992	0.0108583	0.19828	0.128843	0.21102	0.0414641	0.0540226	0.0250667	0.00698407	0.0188285	0.149582	0.0801596
n	7.17128e-05	2.98146e-05	0.000231075	6.74496e-05	0.000133503	4.85846e-05	0.000859752	0.002823	0.000884273	0.0108191	0.0258193	0.00862655	0.0974369	0.137953	0.112928	0.176161	0.205331	0.0579393	0.0496058	0.0441088	0.0126931	0.0554287
g	0.00148521	0.00114629	0.000478376	6.79763e-05	4.477e-05	5.80821e-05	0.000685618	0.0263413	0.000380029	0.00548769	0.00692021	0.00248531	0.0581326	0.0466498	0.502456	0.0157465	0.0701931	0.0152755	0.00955468	0.0278966	0.132715	0.0757994
á	0.000153519	0.00107317	0.000185287	1.67556e-05	3.98268e-05	7.66342e-05	0.000275228	0.0176919	0.000201002	0.00516323	0.0104828	0.0191641	0.106334	0.0458748	0.458372	0.0135706	0.0430979	0.014841	0.00516888	0.013208	0.224532	0.0204773
l	0.000116444	1.07028e-05	8.1296e-05	2.55434e-05	8.73917e-05	4.80238e-05	0.000560908	0.00184563	0.000835191	0.0163307	0.0299781	0.01904	0.111648	0.151271	0.0901942	0.23219	0.135114	0.0476453	0.0515417	0.0384874	0.00839297	0.0645552
a	0.000618325	0.000205652	0.000591655	0.000320474	0.000689423	0.000482179	0.00134535	0.00659936	0.00273652	0.0157131	0.0183996	0.010692	0.0525966	0.0688162	0.252554	0.0585624	0.142826	0.0746284	0.0465693	0.0296905	0.0334739	0.18189
t	5.32471e-06	2.45409e-06	6.02519e-05	1.19527e-05	0.000112211	6.94098e-05	0.000643547	0.00104604	0.000642561	0.00801986	0.0169115	0.014649	0.0794859	0.0894184	0.0556695	0.133872	0.0997646	0.170026	0.100437	0.0801165	0.0464556	0.10258
ó	6.58017e-06	1.55383e-05	0.000111769	8.89925e-05	0.000168651	0.000290872	0.00209012	0.00151699	0.0028036	0.00987726	0.0189187	0.0827131	0.0254141	0.0183353	0.0128601	0.05452	0.035805	0.587378	0.0902962	0.0104777	0.0157336	0.0305774
n	1.14367e-05	2.2565e-05	2.42358e-05	1.95725e-05	4.21159e-05	0.000461534	0.000728864	0.00129812	0.00152459	0.0125094	0.0153191	0.0439906	0.0540408	0.0282807	0.0264188	0.0465457	0.0512831	0.475061	0.106959	0.0173029	0.0230254	0.0951305
g	7.64382e-05	0.000121948	4.39198e-05	3.56265e-05	6.51863e-05	0.0016901	0.00134442	0.000873073	0.00213907	0.0127876	0.0228087	0.09959	0.0367608	0.0189774	0.0216501	0.0555007	0.0494815	0.401583	0.105157	0.0170197	0.0246434	0.12765
á	0.000145749	9.38542e-05	0.000136622	3.75304e-05	0.000127671	0.000691294	0.00141551	0.00577521	0.00145014	0.0152559	0.023864	0.108102	0.0933176	0.042286	0.0929602	0.0423027	0.0611929	0.236448	0.0523576	0.0286864	0.104685	0.0886687
m	0.000828363	0.000102061	0.000282715	8.83422e-05	0.000285154	0.00023242	0.000973724	0.00130302	0.000664075	0.00683178	0.0133036	0.010822	0.0343283	0.0605265	0.0355276	0.115097	0.106288	0.0765943	0.161397	0.11948	0.0280886	0.226955
w	0.000259294	6.47352e-06	0.00158645	0.000847726	0.00107099	0.000229061	0.00289603	0.00147589	0.00153543	0.0220941	0.0416557	0.0201512	0.065957	0.102113	0.0485129	0.0505028	0.0342763	0.073273	0.151338	0.142264	0.0453785	0.192576
á	0.00354737	0.000147427	0.00192833	0.00103483	0.000179602	0.000764581	0.00102671	0.00147444	0.00113447	0.0118437	0.0224886	0.0220781	0.0955673	0.065422	0.0371029	0.0274335	0.0159339	0.089282	0.185156	0.0837744	0.215662	0.117018
n	0.0030058	0.000126874	0.0046403	0.00831636	0.000829738	0.00197901	0.00288443	0.0116582	0.00326443	0.0388369	0.0423339	0.0124705	0.0631592	0.0884567	0.0586527	0.0273501	0.0169786	0.0316621	0.0941678	0.268002	0.0642766	0.156948
a	0.00969332	0.000834944	0.013648	0.00711387	0.00195615	0.00248646	0.0104325	0.0404924	0.00556211	0.0289699	0.0276716	0.0117488	0.0510749	0.0707304	0.163464	0.0274258	0.0902412	0.064194	0.0497386	0.0984793	0.171205	0.0528362
y	0.000692244	0.000312842	0.000439755	0.000166055	0.000184878	0.000155791	0.0008941	0.00429258	0.00117715	0.0100737	0.0152239	0.00955763	0.0377617	0.0408936	0.0478385	0.0800643	0.0895195	0.0882832	0.199831	0.17494	0.0245122	0.173185
a	0.000118803	0.000323299	0.001015	0.00010331	0.00156647	0.000308375	0.00329015	0.00520047	0.00137544	0.0109779	0.0198245	0.00911095	0.03867	0.0532804	0.0691553	0.0414374	0.10857	0.147785	0.179614	0.15062	0.0529104	0.104744
n	0.000100848	0.00027693	0.000439796	6.26424e-05	0.000361661	0.000231796	0.000872765	0.00352903	0.000414154	0.00376766	0.00678939	0.00390086	0.0375862	0.0752674	0.0639943	0.0696889	0.0773585	0.0568083	0.148333	0.177783	0.0463185	0.226114
d	0.000115302	0.00135837	0.000155954	1.67263e-05	2.06904e-05	7.20524e-05	0.000190838	0.00655671	0.000208835	0.00218376	0.00304124	0.00103081	0.0160025	0.011096	0.159237	0.00451317	0.0240714	0.0226861	0.0635278	0.0858818	0.498246	0.0997867
é	0.000220753	0.000521322	0.000150566	1.67287e-05	0.000100466	0.000296276	0.000453352	0.00171394	0.000294903	0.00203176	0.00308899	0.00630846	0.0118027	0.00878892	0.0468532	0.00831903	0.0470977	0.0695934	0.123949	0.107045	0.187348	0.374005
e	1.09219e-05	2.24327e-05	2.53492e-05	1.2786e-05	3.30789e-05	0.000248799	0.000806034	0.00345756	0.00139681	0.0148744	0.0149546	0.0173729	0.074419	0.0380171	0.0600171	0.0395833	0.0717679	0.0915645	0.147976	0.0737641	0.0288858	0.32079
w	0.000226743	4.59879e-05	0.000185075	6.97248e-05	0.000269431	0.000150931	0.0011101	0.00148811	0.000891285	0.00974572	0.0166584	0.0095781	0.0327626	0.0361012	0.0386372	0.0616519	0.0754442	0.0620815	0.242794	0.171061	0.0144332	0.224613
ó	0.000234486	8.57566e-05	0.000140967	8.33558e-05	0.000311938	0.000532093	0.00202031	0.00113909	0.00234859	0.00911597	0.0192585	0.0807863	0.0403986	0.0516034	0.0281121	0.0758615	0.0595247	0.211718	0.179328	0.0636168	0.0176298	0.15615
o	2.87958e-05	9.89538e-06	1.49879e-05	9.23372e-06	2.75879e-05	0.000109213	0.000217456	0.000309436	0.000663144	0.00577238	0.00765534	0.0122455	0.0505596	0.0296397	0.0253794	0.0421153	0.0274784	0.101374	0.20882	0.0430797	0.0190833	0.425407
</S>	5.91013e-05	5.84063e-05	0.000290352	0.000119138	0.00219951	0.00205478	0.00173679	0.00252255	0.00503535	0.0110841	0.00852234	0.00199662	0.00566872	0.0112749	0.0218064	0.0153897	0.0364588	0.0571997	0.352432	0.0802055	0.024825	0.35906
