 	elle	a	mis	ses	plus	beaux	atours	pour	aller	à	la	ville	</S>
ó	0.00957771	0.00996951	0.0158353	0.164675	0.0543193	0.0783184	0.0114215	0.518484	0.0300558	0.0310138	0.00711536	0.000798265	0.068417
ó	0.00318391	0.00414975	0.0131278	0.0938012	0.219716	0.163207	0.0448931	0.329024	0.0766015	0.0218752	0.00653955	0.00425616	0.0196246
p	0.00288554	0.0169915	0.0813285	0.0469133	0.0880615	0.0351187	0.0207591	0.195237	0.469223	0.0224572	0.0052586	0.00291501	0.0128509
é	0.00016801	0.00429087	0.026757	0.0272055	0.144743	0.0216152	0.0822647	0.0644546	0.506601	0.0576212	0.0137755	0.00846452	0.0420384
n	0.000219166	0.00215627	0.0137613	0.0348738	0.190449	0.0516395	0.187749	0.0819466	0.180246	0.0793124	0.0421438	0.0151772	0.120326
d	0.000334848	0.00258718	0.0113615	0.0268549	0.131435	0.101566	0.332641	0.0940875	0.102525	0.0657738	0.0277182	0.0260895	0.0770264
í	0.000757335	0.00251419	0.00767392	0.0256244	0.0863563	0.104503	0.476464	0.0641147	0.0828841	0.0285899	0.0102532	0.0315423	0.0787223
m	0.00168841	0.00214146	0.00317331	0.0268193	0.0388277	0.0850411	0.0282956	0.365359	0.0623908	0.231074	0.123205	0.0132541	0.0187304
ó	0.00222111	0.00227452	0.00292732	0.0344928	0.0137164	0.0418503	0.00151949	0.348855	0.19205	0.110164	0.0438986	0.00754569	0.198486
i	0.00212101	0.00437789	0.0109469	0.0439177	0.0367797	0.0464022	0.0074021	0.149098	0.185359	0.168449	0.139996	0.162261	0.0428896
d	0.00052978	0.0031211	0.0175897	0.0162704	0.0115777	0.00845766	0.00427488	0.0164492	0.290085	0.257554	0.0989045	0.127289	0.147897
z	0.000108653	0.00108857	0.00352541	0.00586482	0.00420725	0.0018276	0.000396876	0.0111623	0.636982	0.121979	0.0453784	0.0497043	0.117776
w	0.000529619	0.00128898	0.00169621	0.00637967	0.00729858	0.00680337	0.00170275	0.0161302	0.794996	0.0648069	0.0239583	0.0220812	0.0523286
a	0.000166885	0.000778022	0.00244797	0.01236	0.00620832	0.0317455	0.00281642	0.134659	0.276786	0.237111	0.136672	0.034335	0.123914
l	3.57953e-05	0.000370706	0.000795895	0.00353966	0.00209189	0.00495244	0.000896639	0.0496249	0.0216057	0.26169	0.237249	0.0955981	0.321549
á	0.000188085	0.000741987	0.00418314	0.00849831	0.00694372	0.00335163	0.00188469	0.00702982	0.0486074	0.130509	0.108204	0.236863	0.442996
n	0.000516464	0.000990773	0.00133477	0.0136827	0.00902502	0.0126103	0.00439159	0.0423666	0.0104959	0.061292	0.174631	0.562548	0.106115
g	3.00856e-05	4.41962e-05	7.94742e-05	0.000259775	0.000181037	0.000554092	0.00121204	0.000508864	0.000997398	0.00313768	0.00483151	0.983782	0.00438229
y	1.09804e-05	3.91951e-05	4.32797e-05	0.000148344	0.000346845	0.000728407	0.00525234	0.000766088	0.00100726	0.00442494	0.00894929	0.965312	0.0129709
ε	3.29661e-06	1.30664e-05	1.85524e-05	0.00010021	0.000321202	0.00155329	0.00262446	0.000773728	0.0139859	0.0235198	0.0354673	0.73938	0.18224
l	1.30866e-05	5.73321e-05	9.41791e-05	0.000609167	0.00271196	0.0287105	0.0148242	0.0175136	0.017259	0.0727526	0.0774052	0.418908	0.349141
έ	2.00706e-05	5.04902e-05	0.000138143	0.000565953	0.00147498	0.00887994	0.00451459	0.00616611	0.0109258	0.0893	0.0930456	0.152671	0.632247
</S>	9.66784e-05	0.000290039	0.000777267	0.00388581	0.00270489	0.00871994	0.00164116	0.0185373	0.0100073	0.127916	0.115315	0.0762283	0.63388
