 	de	la	manière	ou	ils	nous	ont	lancé	des	pierres	il	devaient	se	placer	là	haute	</S>
é	0.0324049	0.0586717	0.117681	0.378305	0.0181708	0.0262812	0.0603759	0.0726694	0.0238361	0.00229469	0.0210402	0.0258809	0.00568613	0.00444221	0.00509871	0.00629273	0.140868
m	0.00698202	0.0024043	0.00222311	0.00416889	0.00523979	0.00819948	0.0482747	0.387792	0.0556235	0.00482679	0.00262936	0.382099	0.00591557	0.00526458	0.00623149	0.0194193	0.0527059
a	0.000740524	0.000391004	0.000228386	0.00206626	0.00223792	0.00711707	0.0533657	0.604283	0.0560078	0.0142795	0.0035995	0.225811	0.00823664	0.00548005	0.00418177	0.00294931	0.00902451
a	0.000301307	0.000142043	0.000289814	0.00286241	0.00166805	0.00633421	0.0921249	0.480947	0.0715601	0.00333624	0.00252038	0.273618	0.00796742	0.00513057	0.00408326	0.00573231	0.0413819
g	0.000558689	0.000506736	0.00102774	0.0041447	0.0278907	0.057034	0.113765	0.167209	0.218323	0.0591601	0.0267821	0.187288	0.0406406	0.0208092	0.0165441	0.0135617	0.0447547
h	0.00207834	0.00116108	0.00116606	0.010083	0.0274279	0.116046	0.111765	0.149853	0.130113	0.0721335	0.0330038	0.0986509	0.0680323	0.0471007	0.0233843	0.0236909	0.0843109
í	0.00339935	0.00384502	0.018539	0.0794134	0.0172716	0.0605919	0.0646865	0.0789521	0.291138	0.0922877	0.0934346	0.0369521	0.0373956	0.021726	0.0120006	0.00880065	0.079566
b	0.00073728	0.00208889	0.00650735	0.0499048	0.10455	0.122053	0.10552	0.0730065	0.162333	0.133659	0.121154	0.0226528	0.0426218	0.0226611	0.0108649	0.00324612	0.0164394
á	0.001174	0.00216116	0.00156302	0.00965363	0.300503	0.305567	0.0701398	0.024626	0.0134364	0.0695301	0.012559	0.00576174	0.0407875	0.0696743	0.0203056	0.0254009	0.0271566
a	0.000875898	0.00121621	0.000498582	0.00574504	0.15917	0.251628	0.129681	0.0227099	0.0226814	0.0780296	0.0528256	0.015114	0.114373	0.0688207	0.0304684	0.0194359	0.026727
b	0.000589598	0.000422982	0.000785849	0.00325311	0.0137234	0.0457038	0.124563	0.0542351	0.133813	0.0985857	0.137869	0.0454192	0.161474	0.0964218	0.0505544	0.0140355	0.0185497
í	0.00231702	0.00311145	0.00119242	0.00317696	0.0833471	0.342733	0.0740734	0.109059	0.0191851	0.0328479	0.00848681	0.0708506	0.0788756	0.0841689	0.0247215	0.0392399	0.0226131
s	0.0006028	0.00367665	0.00233656	0.0119017	0.11767	0.22694	0.0414023	0.00763194	0.0259635	0.053458	0.0313213	0.00365538	0.112827	0.158386	0.0864285	0.0337228	0.0820762
í	0.00891995	0.00755833	0.00210605	0.0300312	0.0366547	0.251888	0.112077	0.018262	0.0380477	0.0587703	0.167019	0.0199677	0.0346442	0.0262497	0.0216472	0.0193236	0.146834
a	0.00547016	0.00523966	0.00835102	0.00782428	0.00651806	0.0307365	0.0434187	0.0142992	0.113855	0.0288153	0.124529	0.00907078	0.158315	0.213609	0.144754	0.03248	0.0527142
k	0.00262497	0.00260113	0.00173645	0.00350137	0.0013993	0.00693113	0.0373257	0.0286241	0.0770924	0.012755	0.0237166	0.0303207	0.0932225	0.16113	0.268063	0.158948	0.0900079
y	0.000117532	0.000831352	0.000702809	0.000767	0.000587492	0.00309539	0.00437338	0.00258666	0.00619511	0.00395097	0.00543775	0.00300382	0.0996678	0.202389	0.113996	0.426984	0.125313
ε	0.000515192	0.00205329	0.000620378	0.00105205	0.00377271	0.00949601	0.0079765	0.00663923	0.0132754	0.0133668	0.00866495	0.00394764	0.135934	0.250217	0.11781	0.287801	0.136858
b	0.000475208	0.000611505	0.00230631	0.00498691	0.00759454	0.00936474	0.0053068	0.00142502	0.0137272	0.0044526	0.0279287	0.000404818	0.0919451	0.328067	0.289888	0.0951249	0.116391
á	0.00183842	0.0105012	0.00196098	0.00921993	0.0874152	0.179259	0.00571638	0.00111933	0.00381099	0.00977106	0.00818545	0.000684724	0.0421944	0.113227	0.157949	0.284856	0.0822903
a	0.000618011	0.0035738	0.00177842	0.00833524	0.0971188	0.114273	0.00636501	0.000895281	0.00405396	0.0068525	0.0173912	0.000572335	0.0692986	0.164088	0.14185	0.226596	0.136341
á	0.000597376	0.00109863	0.00213103	0.00188001	0.00153812	0.00361737	0.0103451	0.00637935	0.0169994	0.00195476	0.00933632	0.00399274	0.0346848	0.0510226	0.246868	0.202583	0.404971
d	0.00189783	0.00498819	0.00275754	0.00203864	0.000786083	0.00566163	0.014401	0.0100367	0.025415	0.00229463	0.00401038	0.0212534	0.0169737	0.0190647	0.15226	0.392101	0.324059
z	0.000198494	0.00253315	0.00130625	0.00283431	0.00052133	0.00364671	0.00994176	0.00386885	0.0127733	0.00334422	0.00923821	0.00392294	0.00595823	0.00856717	0.0761432	0.10522	0.749982
e	0.00880291	0.0204049	0.0452714	0.0279601	0.00422652	0.0135331	0.0336786	0.0276191	0.0394938	0.0105852	0.220401	0.0209302	0.0249091	0.0732224	0.0812229	0.0950677	0.252671
ó	0.000693755	0.00758113	0.00497201	0.00305579	0.000669591	0.00178608	0.00413497	0.00280667	0.0224562	0.00311509	0.0329159	0.00289331	0.060925	0.0890873	0.216619	0.163289	0.382999
t	0.00255583	0.0115007	0.00977966	0.00600109	0.00310682	0.00515872	0.00274627	0.00373454	0.0130884	0.00492555	0.00485709	0.00730074	0.0113693	0.0189	0.116873	0.453918	0.324185
á	5.39691e-05	0.000644578	0.000736184	0.000932447	0.00267068	0.00977437	0.00355415	0.000974817	0.00194239	0.00257584	0.00157555	0.00028916	0.00918126	0.0305589	0.0843423	0.664716	0.185477
n	0.000147203	0.00193454	0.00119755	0.00396493	0.011863	0.0137004	0.00302442	0.00129223	0.0048019	0.00440067	0.00689523	0.000201498	0.0215202	0.101579	0.10041	0.233058	0.49001
d	0.000267981	0.000310007	0.000411719	0.000752115	0.000882966	0.00111499	0.00104666	0.00042742	0.00116081	0.000281228	0.00309331	9.37523e-05	0.0247807	0.06971	0.0810961	0.33183	0.48274
a	0.000748263	0.00261424	0.00685292	0.00495867	0.000853666	0.00215514	0.00377097	0.00235701	0.00725608	0.000163667	0.00604486	0.000711747	0.0189391	0.0257179	0.0247137	0.189657	0.702485
</S>	0.000383886	0.000217185	0.00133826	0.00209324	0.000960698	0.00152269	0.00176816	0.000685822	0.00396689	0.000621121	0.00730703	0.000233737	0.0491656	0.077696	0.157058	0.201946	0.493035
