 	si	tu	attends	encore	un	peu	il	va	venir	</S>
a	4.07241e-05	0.000130617	0.00268579	0.00227739	0.0519402	0.0597995	0.0941338	0.0962435	0.0397916	0.652957
w	0.0011888	0.00449736	0.00119736	0.00669244	0.0208733	0.0615652	0.113666	0.422357	0.115918	0.252044
a	0.0224999	0.00655606	0.00782265	0.00793642	0.0392614	0.138995	0.287851	0.314085	0.0191795	0.155813
l	0.00139711	0.00470717	0.00225428	0.00728429	0.0241179	0.0814408	0.11285	0.34529	0.115608	0.30505
á	0.00285891	0.00779365	0.0273747	0.0445781	0.0867661	0.0395017	0.0788686	0.114716	0.114238	0.483304
a	0.00132486	0.00238561	0.00289073	0.0210952	0.0504221	0.0689594	0.12478	0.279024	0.148199	0.300919
y	0.000826723	0.00525964	0.0233214	0.0576586	0.0728857	0.0210723	0.0449428	0.113968	0.284853	0.375212
a	4.34043e-05	0.000477434	0.00473357	0.00954731	0.0307451	0.011493	0.0233552	0.111936	0.205664	0.602005
a	8.25492e-06	2.78654e-05	0.000696908	0.00124964	0.0127446	0.00991193	0.0179226	0.0389032	0.0326317	0.885903
</S>	0.000438517	0.00228544	0.00128878	0.024808	0.0432447	0.0772224	0.101857	0.233693	0.154336	0.360827
