 	de	la	manière	dont	il	lèche	l'	assiette	elle	sera	toute	propre	à	la	fin	</S>
á	0.00110213	0.00192154	0.00168433	0.0198948	0.0790789	0.0375694	0.24432	0.25327	0.249952	0.0574195	0.0275324	0.00955886	0.00717126	0.00369163	0.0023255	0.00350755
n	0.000500624	0.000399563	0.00158251	0.00500876	0.0183894	0.141099	0.114144	0.195201	0.201106	0.169489	0.069615	0.0278256	0.0175797	0.0126575	0.0157208	0.00968138
i	0.0013536	0.00303362	0.0136873	0.00899982	0.0353807	0.101758	0.166174	0.552536	0.0402453	0.0136795	0.0295682	0.015173	0.00431963	0.00186134	0.00177912	0.0104502
l	0.000284622	0.000156206	0.000680429	0.00584426	0.0090447	0.099239	0.0695668	0.0509967	0.217048	0.248047	0.125721	0.085591	0.0430158	0.0139342	0.0187907	0.0120394
í	0.00632452	0.00308339	0.00279377	0.00536044	0.011147	0.0313366	0.0365749	0.007165	0.187175	0.303407	0.151299	0.0760664	0.0471599	0.0143032	0.0150176	0.101786
i	0.00355865	0.0125176	0.00633135	0.0171487	0.0311182	0.00720707	0.0867376	0.011235	0.119155	0.165699	0.206197	0.195245	0.072114	0.0305652	0.0088831	0.0262888
t	0.00131436	0.000956948	0.00057352	0.000925254	0.0020987	0.0574418	0.018608	0.0360333	0.112312	0.394374	0.163701	0.090339	0.0566101	0.0124791	0.0365395	0.0156931
y	0.000171405	0.000321596	0.000824495	0.00085501	0.00131656	0.00460109	0.0351314	0.00884586	0.169012	0.228479	0.220438	0.148303	0.0908464	0.0238746	0.03653	0.0304495
έ	0.000776325	0.00134887	0.001035	0.00154694	0.00336531	0.00318943	0.051651	0.0126992	0.179706	0.118318	0.261024	0.238634	0.0696392	0.0173874	0.0072755	0.0324051
m	0.000612645	0.00119733	0.00148042	0.00506976	0.00458866	0.00147212	0.0338402	0.0129747	0.0695116	0.117927	0.23754	0.265246	0.0797507	0.0440204	0.0147921	0.109976
έ	0.00880092	0.00296243	0.00134865	0.00859918	0.00705365	0.000486983	0.0159374	0.00691443	0.0985586	0.162083	0.230049	0.136569	0.162546	0.0774507	0.00683519	0.0738045
ó	0.000717574	0.000565136	0.00136945	0.00645083	0.0130528	0.00423536	0.0237757	0.00442237	0.0583227	0.146992	0.168714	0.145639	0.215319	0.0913513	0.0174882	0.101584
t	0.0010498	0.000971884	0.000765764	0.00248657	0.00576278	0.0145213	0.0293346	0.00990716	0.0222486	0.042473	0.073112	0.0958169	0.230286	0.252945	0.202362	0.0159563
s	0.000153349	0.000554529	0.000983587	0.00154895	0.000824297	0.000424183	0.00576689	0.0010018	0.0523003	0.126121	0.149158	0.232711	0.17441	0.0914274	0.121976	0.0406379
ω	0.000614821	0.00115471	0.000691033	0.00145972	0.000461913	0.000447112	0.00303481	0.000445276	0.0250142	0.0932508	0.163554	0.257651	0.198956	0.108178	0.0759086	0.069177
k	0.000904171	0.0013973	0.00422304	0.017798	0.00462974	0.000639965	0.0257882	0.00319306	0.0652926	0.0694009	0.103565	0.189032	0.162491	0.11055	0.0390795	0.202015
y	0.00177225	0.00414938	0.0058801	0.0069176	0.000768671	0.00015141	0.00593341	0.00076317	0.0233889	0.0582599	0.117938	0.30773	0.14739	0.116671	0.0496997	0.152586
έ	0.00758439	0.0108298	0.00852901	0.00801591	0.000403095	0.000292248	0.00432552	0.00054255	0.020246	0.0519083	0.121492	0.467465	0.118173	0.0518555	0.0265587	0.101779
n	0.00202594	0.00288475	0.00510156	0.0114755	0.000658906	0.000247079	0.00399688	0.000540438	0.0243339	0.0551684	0.103939	0.386752	0.117043	0.0753974	0.0646747	0.145761
έ	0.00878615	0.00510418	0.005786	0.00699731	0.000637378	0.000734923	0.00676333	0.000280185	0.0216836	0.0572024	0.112452	0.465275	0.145576	0.0618812	0.0274483	0.0733911
n	0.00163204	0.00182571	0.00420903	0.0326979	0.0153584	0.0034591	0.0158777	0.00108663	0.0208917	0.0193239	0.0740025	0.170792	0.187737	0.147682	0.0747592	0.228665
έ	0.0066266	0.00613403	0.0352374	0.0156336	0.0044287	0.00439391	0.0125763	0.00471103	0.0172022	0.00651887	0.0892019	0.275879	0.0674007	0.0238722	0.0445464	0.385637
</S>	0.000154618	0.000209873	0.000255663	0.00101882	0.000958441	0.00101941	0.00352072	0.00046287	0.00571932	0.00553395	0.0405574	0.0877886	0.156419	0.0952289	0.0875831	0.513569
