 	je	n'	ai	pas	l'	habitude	de	taper	les	petits	enfants	</S>
ε	0.000355076	0.000451589	0.002881	0.00854872	0.0308116	0.06302	0.295623	0.145872	0.174407	0.142288	0.0723331	0.0634082
l	3.78086e-05	0.00155467	0.00267857	0.0114799	0.0229293	0.0547902	0.0849739	0.0626024	0.602928	0.103188	0.00793292	0.0449044
á	0.00358258	0.00530955	0.0167565	0.012029	0.0128416	0.0323757	0.0495863	0.161599	0.214707	0.0471057	0.00983495	0.434272
b	0.0015927	0.00870261	0.0124698	0.00870254	0.0165047	0.0267346	0.0555862	0.123225	0.357071	0.146418	0.167075	0.0759175
á	0.000404788	0.00720493	0.028837	0.00825391	0.00955106	0.0186206	0.0296799	0.12614	0.302852	0.129139	0.333758	0.00555867
n	0.000177391	0.00177645	0.00729399	0.00253727	0.00510123	0.00846985	0.0276577	0.10625	0.18695	0.149629	0.496139	0.00801796
a	0.00183368	0.00100485	0.0043875	0.00291437	0.00332307	0.0059191	0.020208	0.0408166	0.275346	0.266825	0.293085	0.0843371
b	0.000538386	0.0021771	0.00522203	0.00433075	0.0103183	0.0209022	0.0431181	0.0371174	0.403251	0.240159	0.0885101	0.144355
á	0.000766487	0.00416599	0.0122076	0.00944134	0.00751352	0.0176945	0.0303192	0.0650242	0.465787	0.203729	0.0616802	0.12167
n	0.00145018	0.00208934	0.0056781	0.0022869	0.00469617	0.00629307	0.0100715	0.0126182	0.206107	0.276612	0.300205	0.171892
d	0.0315827	0.000734995	0.00625173	0.000626388	0.00289406	0.00787034	0.00852104	0.00117612	0.0863841	0.720254	0.0816333	0.0520709
z	0.00404086	0.00127454	0.00467728	0.00180643	0.00493552	0.0112642	0.0152904	0.00914668	0.119962	0.370571	0.215458	0.241573
é	0.000259009	0.000410757	0.00133085	0.00244718	0.00619742	0.0152779	0.0279568	0.00939653	0.0462342	0.480039	0.141479	0.268972
s	0.000106348	0.0006152	0.00544952	0.00679564	0.0276204	0.0440172	0.0388505	0.00603203	0.0340763	0.212386	0.0375619	0.586489
i	0.000209855	0.000365813	0.00110432	0.00471139	0.0181316	0.0270776	0.0738209	0.012489	0.0764485	0.190518	0.124138	0.470985
k	0.000123007	0.00119862	0.00395625	0.00389538	0.00548768	0.00988444	0.0216178	0.0156538	0.137469	0.111063	0.0814292	0.608221
a	0.0010941	0.000869227	0.00173907	0.00269711	0.00232766	0.00613333	0.0144191	0.0684009	0.170162	0.17609	0.450018	0.10605
á	0.000162832	0.00022913	0.000835194	0.00027865	0.000721505	0.00141874	0.00327683	0.00673658	0.107761	0.172049	0.236494	0.470038
</S>	0.000470418	0.00266236	0.00711247	0.00284888	0.00244089	0.00349494	0.00297526	0.0031775	0.0388993	0.0496305	0.012978	0.873309
