 	ils	font	la	chasse	aux	hérissons	dans	la	petite	plaine	au	mi	lieu	de	la	forêt	</S>
a	0.00253348	0.0238211	0.0619082	0.0697049	0.581199	0.143719	0.0538723	0.0168877	0.0123143	0.00742774	0.00664674	0.00247479	0.00485448	0.00377415	0.00356607	0.00209097	0.0032056
m	0.00293711	0.0101325	0.0502957	0.285312	0.423464	0.110123	0.0362934	0.0228119	0.00982745	0.022025	0.00243705	0.0121458	0.00347709	0.00266831	0.00219047	0.00183268	0.00202607
b	0.000712814	0.000281638	0.00183953	0.0150387	0.0481347	0.888489	0.0119334	0.00799996	0.010583	0.00680282	0.00256795	0.00232017	0.00103334	0.0004334	0.000831593	2.02527e-05	0.000978061
é	4.26607e-05	3.15997e-05	0.000266572	0.00722464	0.003164	0.98369	0.000466987	0.000236938	0.000365183	0.002154	6.19317e-05	0.00192795	0.000196502	3.04992e-05	3.42321e-05	1.45751e-05	9.21795e-05
b	0.000238609	0.00235886	0.00680604	0.0434486	0.0288894	0.894933	0.00445194	0.00145764	0.00134759	0.00474784	0.0013657	0.00413319	0.00156039	0.000813102	0.000615007	2.44858e-05	0.00280892
h	6.44999e-05	0.00341304	0.02025	0.132021	0.124102	0.446043	0.0489015	0.0219251	0.0146135	0.0329433	0.0146859	0.0454457	0.0348053	0.0125014	0.00452344	0.00175359	0.0420081
á	0.000115751	0.00401853	0.0130936	0.0808828	0.075068	0.606542	0.0354388	0.00871854	0.0064509	0.0253921	0.00460501	0.0379899	0.0109911	0.00519273	0.00290164	0.000908374	0.0816901
s	2.94085e-05	0.00151206	0.00608949	0.0037848	0.10645	0.0489304	0.47595	0.171775	0.0703458	0.0642124	0.0211087	0.00191166	0.00788155	0.00424359	0.00363365	0.000388581	0.0117535
é	0.000108868	0.00102297	0.00590633	0.00289984	0.00938627	0.00924458	0.0998001	0.332819	0.243101	0.132663	0.0498692	0.00810496	0.0292972	0.013146	0.0163594	0.00388532	0.0423863
b	0.000715644	0.00116823	0.00338207	0.00217422	0.010968	0.00859538	0.0714263	0.173726	0.275411	0.275097	0.0419563	0.0216734	0.0334685	0.00763255	0.00813867	0.0456118	0.0188553
a	0.00342933	0.006525	0.00809847	0.00532456	0.0131224	0.0263269	0.0543975	0.131018	0.159134	0.142997	0.0307011	0.272117	0.0891063	0.0244461	0.00925931	0.0139138	0.0100832
l	0.000138858	0.00069635	0.00110494	0.00151115	0.0140062	0.0422463	0.025516	0.021421	0.0321272	0.0959967	0.0251673	0.643965	0.077613	0.00714533	0.0018274	0.00526351	0.00425391
á	2.47305e-05	0.00244294	0.00781992	0.0123616	0.019094	0.0068321	0.0413605	0.121165	0.110429	0.162379	0.121558	0.0808686	0.12073	0.0703293	0.0301607	0.0196461	0.0727988
y	9.41951e-05	0.00233114	0.0052162	0.00237732	0.0100333	0.00503011	0.0455217	0.114601	0.0883715	0.0882121	0.314648	0.0251673	0.168447	0.0431643	0.0319454	0.0122518	0.0425873
o	3.99988e-05	0.00122652	0.00984717	0.00243379	0.00790395	0.00212573	0.0464614	0.121542	0.178248	0.119272	0.131207	0.0183494	0.144283	0.046451	0.0685709	0.0262124	0.0758242
l	1.12193e-05	0.000125015	0.00262537	0.00149692	0.00401626	0.00241157	0.01607	0.0739808	0.254007	0.179871	0.22226	0.0101	0.117656	0.015972	0.0265917	0.0289031	0.0439018
ω	0.000252264	0.000831084	0.00171261	0.00158917	0.00366307	0.00074034	0.00702358	0.0272676	0.0369496	0.163073	0.111871	0.141649	0.314732	0.0692001	0.0347134	0.057754	0.0269795
n	5.27666e-05	0.000199115	0.000411653	0.000349372	0.000707816	0.000635115	0.00235783	0.0110286	0.00718318	0.199223	0.0581116	0.0828566	0.362505	0.0682606	0.0239415	0.134075	0.0481008
g	3.40236e-05	9.86296e-05	0.000635125	0.000941785	0.000972513	0.000495886	0.00315126	0.0186699	0.0397272	0.210382	0.095129	0.119194	0.240497	0.0795131	0.055714	0.0388763	0.0959677
ω	6.68382e-06	2.82136e-05	0.0002603	0.000348638	0.000534514	0.000329447	0.00212051	0.0105544	0.0265672	0.359716	0.0756336	0.172427	0.171722	0.0470747	0.0403351	0.0277593	0.0645822
</S>	4.9099e-06	4.30215e-05	0.000271176	0.000229677	0.00173501	0.000593419	0.00481993	0.00965782	0.0156331	0.0243484	0.200604	0.0572552	0.253765	0.179138	0.0934132	0.0359841	0.122504
