 	les	jeunes	d'	ongonza	pratiquent	la	pêche	au	filet	dans	le	ruisseau	vouma	pen-	dant	la	grande	saison	sèche	</S>
a	0.0277802	0.0270038	0.104734	0.570439	0.210692	0.0385706	0.00151029	0.00202149	9.56414e-05	0.000332775	0.00170876	0.00209912	0.00321854	0.000148153	0.00011859	0.00110909	0.000966493	0.000993775	0.000347927	0.00611019
b	0.0139743	0.00317557	0.111491	0.122392	0.177489	0.280169	0.0926238	0.104703	0.00261339	0.0363732	0.0102978	0.0086359	0.00869643	0.00519047	0.0022868	0.00371794	0.00462606	0.00501094	0.00111804	0.00541562
á	0.06149	0.0332811	0.0549352	0.0153696	0.128162	0.19623	0.117651	0.0775798	0.0142291	0.103215	0.0621495	0.0163084	0.00886158	0.00682011	0.0133472	0.0249621	0.0347967	0.0125477	0.00577646	0.0122877
a	0.0311429	0.00356294	0.0525234	0.0211303	0.174154	0.240846	0.16188	0.123935	0.0352564	0.0594886	0.0253968	0.0203599	0.0143858	0.0105475	0.00518395	0.00340414	0.00383856	0.00233425	0.00211075	0.00851993
d	0.00257085	0.00287162	0.00543313	0.00390288	0.0352762	0.14692	0.166089	0.0879072	0.22753	0.045822	0.0270732	0.0330847	0.00701647	0.163502	0.0315808	0.00254306	0.00150829	0.00136493	0.00138027	0.00662409
z	0.00092862	0.00104576	0.00232927	0.00237438	0.0295258	0.109386	0.0923948	0.0286009	0.0780727	0.0236019	0.0376699	0.0262959	0.000783667	0.431755	0.0778645	0.00790415	0.0027469	0.00162461	0.0046658	0.0404292
w	0.00224229	0.000899721	0.00597669	0.00687956	0.109415	0.0626243	0.0154878	0.0221048	0.00753202	0.00818784	0.0227156	0.014347	0.00443116	0.683015	0.0216801	0.00583233	0.00110289	0.000518799	0.00113998	0.00386694
á	0.00197522	0.000675026	0.0124194	0.0200236	0.0160943	0.0837832	0.0880971	0.16679	0.00807339	0.158734	0.13667	0.027588	0.0178646	0.0608289	0.0458205	0.0471409	0.0297075	0.018627	0.00820198	0.0508848
i	0.00161484	0.000348152	0.00246732	0.00534783	0.00331063	0.0171639	0.0129839	0.161858	0.0114007	0.146181	0.229026	0.198945	0.0644858	0.0692792	0.0243011	0.0247393	0.0116685	0.00856571	0.00276271	0.00355098
s	0.00154758	0.00211488	0.00137153	0.00141224	0.00429612	0.00983897	0.0441134	0.00802719	0.0621313	0.0126181	0.0563412	0.0752277	0.0202472	0.341077	0.274387	0.0310132	0.0110908	0.00744729	0.0220194	0.0136781
a	0.000381098	0.000145158	0.00115801	0.00154186	0.000765268	0.0089153	0.00771998	0.0259894	0.00520127	0.022472	0.139191	0.239082	0.0165512	0.370459	0.0681375	0.0351622	0.00843699	0.0145269	0.0159249	0.0182389
a	0.000234762	0.000119031	0.00105104	0.00135859	0.00517397	0.0158934	0.0198494	0.0324099	0.00845499	0.0379502	0.115432	0.123815	0.0222303	0.324959	0.154105	0.0517024	0.0125675	0.0122066	0.0220736	0.0384141
s	0.000373777	0.000131131	0.00180425	0.00082889	0.00038337	0.0105444	0.0229044	0.0879161	0.00981933	0.212076	0.148529	0.105548	0.028186	0.0895569	0.0943934	0.0678453	0.0476024	0.0399516	0.00813193	0.0234737
á	0.00105267	0.00031041	0.0040269	0.00375133	0.000871683	0.0188719	0.00963489	0.0317939	0.00287097	0.0202855	0.103074	0.185174	0.0273908	0.104294	0.0583322	0.139201	0.0738193	0.0764849	0.0433358	0.0954248
w	0.00167831	0.000596697	0.0019728	0.00108537	0.00291724	0.00553486	0.00438014	0.0155361	0.012681	0.0201332	0.0625963	0.15072	0.0431521	0.0907402	0.154118	0.164633	0.0645296	0.0747501	0.1125	0.0157455
ó	0.000416384	0.000371836	0.00140799	0.00124754	0.00481577	0.0142431	0.0158616	0.0251284	0.00647484	0.0262051	0.0489361	0.0594003	0.0455545	0.0444003	0.135412	0.206026	0.106189	0.120204	0.105514	0.0321915
m	0.000263199	6.07556e-05	0.000771012	0.000533985	0.000684638	0.00274066	0.0116383	0.00371564	0.00350378	0.00595041	0.0132856	0.0268867	0.0623186	0.114372	0.115631	0.199014	0.10449	0.0808349	0.206272	0.0470318
á	0.00102097	0.00072385	0.0043462	0.00270777	0.00267026	0.00750007	0.00159496	0.00442934	0.000616661	0.00611146	0.022956	0.0383339	0.0883463	0.247016	0.0691933	0.211156	0.102608	0.0588733	0.0419155	0.0878797
l	0.000891633	0.000332886	0.00173795	0.000663424	0.000854712	0.00216588	0.00380087	0.00283081	0.00196794	0.0037963	0.00814585	0.0129681	0.00777881	0.0597607	0.101083	0.163085	0.125582	0.167558	0.290866	0.0441297
e	0.000781879	0.000478708	0.001704	0.000630711	0.00028383	0.00806185	0.0121721	0.00633659	0.00158177	0.00446695	0.0122894	0.00843219	0.00361569	0.0810502	0.0574826	0.199747	0.102147	0.134802	0.200133	0.163802
b	9.57536e-05	5.09421e-05	0.00118449	0.000415096	0.000164484	0.00175794	0.0024685	0.00297775	0.000281897	0.00152561	0.00621081	0.0120598	0.00302227	0.0457745	0.0367806	0.142608	0.0850786	0.142086	0.368562	0.146895
h	0.00023662	0.00101878	0.00178861	0.000436581	0.000721473	0.00368805	0.00354247	0.00486451	0.00266312	0.0110659	0.0113691	0.00387609	0.000497732	0.00479409	0.313053	0.0972174	0.043709	0.0528412	0.414349	0.0282674
ó	0.000559023	0.000416113	0.00102562	0.00061494	0.00147842	0.0019732	0.00180921	0.0016498	0.000859634	0.00411426	0.0116263	0.00398547	0.000963192	0.0132995	0.348638	0.0831561	0.0607023	0.0468625	0.242854	0.173412
y	4.15193e-05	8.18657e-05	0.00016821	9.70023e-05	0.000436301	0.000575367	0.00180738	0.00180617	0.00123626	0.00357094	0.00721363	0.00946177	0.000818171	0.00534564	0.189298	0.0818868	0.071822	0.106512	0.293778	0.224044
á	0.00224556	0.000865838	0.00718521	0.00585148	0.00587782	0.0085695	0.0126879	0.00688003	0.00128486	0.00373478	0.0119584	0.0209004	0.00661125	0.0142533	0.0650284	0.165829	0.0895566	0.111	0.341761	0.117918
</S>	0.00240288	0.000794173	0.00245333	0.00167744	0.00194082	0.00389586	0.00567539	0.00842586	0.00136636	0.00611372	0.0067585	0.0122815	0.00669007	0.0141391	0.0275114	0.0704159	0.0785842	0.175363	0.365142	0.208368
