 	le	récolteur	de	vin	de	palme	renverse	la	lie	pour	nettoyer	la	calebasse	</S>
a	0.0161379	0.000334167	0.00892374	0.0050375	0.0262543	0.0337298	0.0711476	0.100801	0.318536	0.110144	0.0926955	0.0519989	0.0363472	0.127913
á	0.00198766	0.000276882	0.00300201	0.00137036	0.00475345	0.00864885	0.00541045	0.0951124	0.33703	0.16149	0.269623	0.0316964	0.0103656	0.0692329
á	0.000434254	0.000564664	0.00502956	0.00375385	0.00592919	0.0141213	0.00341649	0.0924338	0.0227408	0.154119	0.286186	0.331779	0.00453682	0.074956
t	0.000334319	0.00146712	0.00158084	0.00493453	0.00323271	0.00358965	0.00877714	0.0213537	0.00811441	0.0444552	0.709803	0.0926849	0.0622912	0.0373809
s	2.74498e-05	4.50252e-05	0.000203006	0.00134673	0.000902329	0.00133939	0.0445131	0.0311079	0.00785997	0.0100458	0.613446	0.0402841	0.209281	0.0395981
ú	6.76888e-05	6.75167e-05	0.00058678	0.00167984	0.00278793	0.00446911	0.0213734	0.073843	0.0411223	0.038463	0.46859	0.10642	0.168806	0.0717233
s	0.00123383	9.47159e-06	0.000427138	0.000307245	0.0021835	0.0091059	0.0144742	0.0556715	0.0263112	0.0329112	0.459159	0.110059	0.147699	0.140448
a	0.000542195	2.55152e-06	0.000545485	0.00064521	0.00616571	0.0180479	0.00491763	0.196052	0.163087	0.13173	0.197166	0.105668	0.0739561	0.101474
a	0.000145758	6.27789e-06	0.000402915	0.000293661	0.000986468	0.00203623	0.000537605	0.0210288	0.0248201	0.051863	0.275225	0.201068	0.0949395	0.326647
t	0.000249816	0.000310046	0.00361665	0.00726441	0.00657269	0.00709725	0.00368989	0.0287604	0.0113632	0.0545874	0.351081	0.231645	0.12369	0.170073
s	0.000157907	5.37436e-05	0.000725701	0.00157689	0.00173468	0.0018697	0.0105872	0.0182897	0.00355313	0.00909987	0.175026	0.0511224	0.594725	0.131478
ó	0.00028195	5.92926e-05	0.000690167	0.000985903	0.00157052	0.000966914	0.00176129	0.010946	0.0157112	0.021335	0.103783	0.0531533	0.690759	0.0979962
o	7.41469e-05	4.51027e-05	0.000159681	0.000324771	0.000628619	0.000879663	0.00190898	0.0119104	0.00893019	0.0164933	0.237776	0.0507234	0.468249	0.201897
</S>	0.00021314	4.29041e-05	0.00176581	0.00247125	0.0061017	0.00579386	0.0015422	0.019959	0.0121906	0.0370892	0.0929513	0.0796098	0.0527355	0.687534
