 	mon	oncle	m'	a	reproché	de	ne	pas	l'	avoir	invité	au	mariage	de	ma	fille	</S>
n	0.0508655	0.000324087	0.0326131	0.107105	0.136198	0.229768	0.145668	0.0909835	0.0286664	0.0167946	0.0513951	0.0120402	0.0263728	0.035362	0.00158543	0.00196299	0.0322948
a	0.0204751	0.000220449	0.0292011	0.0257786	0.0605427	0.257639	0.0694134	0.0403417	0.0316281	0.00628072	0.0681616	0.00883595	0.0172014	0.0336016	0.0211902	0.00461299	0.304876
n	0.00078685	5.72091e-05	0.0143944	0.021329	0.0216895	0.182287	0.281907	0.201004	0.115102	0.0539699	0.0188286	0.0279073	0.0152583	0.0134221	0.000821099	0.00074487	0.0304898
g	0.0356655	0.000558345	0.115332	0.0207724	0.0623813	0.291829	0.0907067	0.0545749	0.0519195	0.00691137	0.0279216	0.00713222	0.00895626	0.0263275	0.010536	0.016487	0.171989
á	0.00255645	0.00322207	0.0638761	0.0058176	0.042607	0.384883	0.104927	0.0929365	0.149786	0.0197897	0.0387227	0.00870531	0.0102031	0.0116973	0.0127423	0.0202621	0.0272661
í	0.000629523	1.17835e-05	0.00286437	0.00210193	0.00460688	0.121422	0.219423	0.249173	0.194225	0.106887	0.0156215	0.0543868	0.0123256	0.0044486	0.00240853	0.000274192	0.0091905
d	1.5775e-05	0.00010231	0.00143913	0.0136799	0.00945132	0.0213685	0.0724454	0.133459	0.0955524	0.442993	0.0281428	0.101037	0.0519707	0.0205559	0.000560257	0.000236311	0.00699018
z	1.24991e-05	1.11027e-05	0.00399331	0.0436158	0.0097196	0.042597	0.122706	0.165924	0.103691	0.248074	0.0393214	0.0481373	0.0324536	0.0730683	0.00145321	0.00126558	0.0639562
e	0.000417636	8.34246e-05	0.00762694	0.0196055	0.0238535	0.0514783	0.127604	0.225092	0.186551	0.162082	0.0454415	0.0406326	0.0260353	0.0253798	0.00729432	0.00436961	0.0464535
o	0.000136816	3.49326e-06	0.00293577	0.00327969	0.00358694	0.0269133	0.0460993	0.123095	0.141191	0.150685	0.115431	0.223433	0.0937156	0.031939	0.0101442	0.0008685	0.026543
b	4.7595e-06	1.9431e-05	0.00137719	0.0125972	0.0159756	0.00558254	0.0147947	0.0284247	0.0570135	0.18918	0.13009	0.117552	0.217287	0.145348	0.00351871	0.00260687	0.0586272
é	9.00535e-07	1.00307e-05	0.000967278	0.0104883	0.011527	0.00826058	0.040769	0.0790246	0.0586453	0.113935	0.244497	0.0732938	0.0800126	0.232644	0.00087027	0.00207976	0.042974
á	9.40601e-07	2.98442e-06	7.72635e-05	0.00108384	0.00353703	0.00254999	0.0234297	0.0447563	0.0352794	0.115738	0.136608	0.102135	0.196377	0.213545	0.000703203	0.00126686	0.12291
w	0.000365947	4.62165e-06	0.00280213	0.00300914	0.0029411	0.0165691	0.0152472	0.0250976	0.0432936	0.064027	0.114359	0.18166	0.171729	0.109512	0.124016	0.00769991	0.117667
a	0.00164417	1.49098e-05	0.00106074	0.00143849	0.00427863	0.013298	0.0316565	0.0545671	0.0639814	0.0422484	0.11267	0.135719	0.236933	0.0914441	0.0618606	0.00457012	0.142615
m	7.12543e-05	1.04266e-05	0.000272065	0.000195203	0.000604775	0.00483974	0.0067672	0.0182476	0.0361264	0.0434195	0.0597028	0.191231	0.298733	0.0915937	0.0866691	0.00959838	0.151918
í	1.80695e-05	8.18948e-06	0.000279058	0.000341561	0.00821775	0.0118918	0.0173203	0.0144574	0.0486193	0.0710359	0.151514	0.0926025	0.0248022	0.0391504	0.137097	0.304496	0.0781483
t	2.65761e-06	3.63822e-06	0.000267325	0.000321681	0.00098081	0.00641019	0.01157	0.0189974	0.0325433	0.0487091	0.0540177	0.0950454	0.189077	0.26349	0.0812962	0.0835756	0.113692
ώ	1.01237e-05	2.60671e-06	5.85183e-05	0.000174839	0.000752416	0.00124752	0.00705302	0.0168375	0.019864	0.0298749	0.00984389	0.107505	0.497905	0.220062	0.00746461	0.000560071	0.0807846
ω	9.53617e-05	3.57287e-06	2.60904e-05	4.28704e-05	0.000661309	0.00143787	0.00578534	0.0115719	0.0209937	0.0212269	0.0266639	0.0998024	0.402114	0.243463	0.00610558	0.00175928	0.158248
l	1.62664e-05	8.42054e-07	0.000199852	0.000432031	0.001489	0.00326392	0.00594046	0.00811246	0.0133082	0.0246847	0.0204932	0.0990374	0.158639	0.259506	0.141171	0.00970679	0.253999
á	5.82451e-05	1.94182e-06	0.00043391	0.00210704	0.0045895	0.00837165	0.0105225	0.0127146	0.0154284	0.0210848	0.0134472	0.0470425	0.208041	0.36707	0.0442408	0.00208884	0.242757
m	2.37749e-05	7.03703e-06	0.000742744	0.000320533	0.000616839	0.00310173	0.00118942	0.00219443	0.00481021	0.00268089	0.00390424	0.0164475	0.0270701	0.0436546	0.802898	0.00796946	0.0823685
w	6.82803e-06	1.19877e-06	0.000710441	0.000599352	0.00220431	0.00727022	0.00468838	0.00398345	0.0120627	0.0110053	0.0393492	0.0112161	0.0100983	0.0393473	0.0788864	0.736215	0.0423558
á	7.44162e-05	2.57852e-05	0.00230293	0.000221269	0.000325513	0.00151515	0.000857722	0.00107877	0.00187537	0.00115001	0.023991	0.00130661	0.00182431	0.00582815	0.00372257	0.951947	0.00195355
n	0.000127665	2.11066e-05	0.000392838	0.000195372	0.000945272	0.00700448	0.00845858	0.00955636	0.0178543	0.00563886	0.238505	0.0104301	0.0132329	0.0501148	0.165634	0.454789	0.0171002
a	0.00382024	0.000100647	0.00412641	0.00308185	0.0103611	0.024908	0.0180343	0.0171634	0.0445187	0.0136256	0.306323	0.02182	0.0406791	0.0383805	0.0699476	0.335744	0.0473653
y	0.0172541	9.73542e-05	0.000978367	0.00139539	0.004486	0.00519355	0.0113524	0.0259883	0.0949548	0.0293332	0.025277	0.0900555	0.18968	0.158295	0.0680237	0.0167014	0.260934
a	2.9205e-05	8.16037e-06	0.000553388	0.00106133	0.00317776	0.00279677	0.00467383	0.00917665	0.0180655	0.0104336	0.00417371	0.0349923	0.107053	0.155767	0.525131	0.00324629	0.119661
n	3.37304e-05	1.76022e-05	0.000151309	6.83648e-05	0.000341581	0.000779954	0.000266151	0.000683221	0.00175232	0.000453728	0.000483777	0.00312223	0.00586256	0.0119229	0.944436	0.00299805	0.0266264
g	0.00205699	0.000289334	0.00348572	0.000184367	0.00157659	0.00322051	0.00072555	0.000952763	0.00327272	0.00110736	0.0024789	0.00412173	0.0170901	0.0489559	0.758561	0.0272089	0.124712
á	0.00202789	0.000463215	0.00111047	0.000378387	0.0023904	0.00531925	0.00377184	0.00690294	0.0299071	0.00743849	0.0124136	0.012712	0.0369897	0.0790882	0.0336502	0.0566383	0.708798
k	0.000101406	3.23862e-06	0.000391636	0.00012005	0.000727003	0.00377103	0.00462499	0.00914527	0.0219065	0.0149763	0.0123529	0.0592194	0.111833	0.153342	0.142697	0.00377618	0.461012
a	3.96534e-06	9.44314e-07	6.80816e-05	0.000269401	0.000405193	0.000800321	0.00324623	0.00801783	0.00273367	0.00333741	0.00227888	0.0111253	0.179823	0.575537	0.0077292	0.000157368	0.204466
á	1.81993e-05	3.2757e-06	8.27928e-05	0.000240873	0.00031591	0.000503465	0.00168632	0.00456269	0.00507851	0.00829881	0.00576366	0.0494367	0.172911	0.234094	0.0197989	0.00147744	0.495728
</S>	0.000430543	6.19248e-05	0.0020367	0.00131053	0.00141352	0.00765372	0.0054254	0.0059575	0.00752902	0.0121173	0.00570392	0.0271987	0.0477738	0.126746	0.221531	0.00828341	0.518827
