 	on	ramasse	les	fruits	de	l'	arbre	obaaré	en	début	de	la	grande	saison	des	pluies	</S>
b	0.000124994	0.000350583	0.00159991	0.0009849	0.00112449	0.00261683	0.0148864	0.0223871	0.00760206	0.0549279	0.0713425	0.0716438	0.0768353	0.0654621	0.0211309	0.252189	0.334791
h	0.00512496	0.00534376	0.0267558	0.00337086	0.00636999	0.0205807	0.0327018	0.0257182	0.0514779	0.0431805	0.100812	0.158006	0.0986084	0.143327	0.101801	0.035202	0.141618
á	0.000416032	0.000832091	0.00185856	0.000518494	0.000938329	0.00606908	0.0203638	0.0214445	0.0243866	0.0523745	0.092581	0.174298	0.132224	0.185151	0.103115	0.0562517	0.127177
e	0.000614206	0.000538727	0.00377156	0.000753624	0.00215869	0.00424895	0.00347026	0.00319567	0.0213117	0.0129795	0.0279	0.0725166	0.0687096	0.105279	0.217094	0.0769173	0.37854
b	0.00139644	0.00148601	0.00376816	0.00201541	0.00417246	0.00785293	0.00493169	0.00618564	0.0194443	0.0210615	0.0281169	0.0479465	0.0406896	0.0405756	0.116753	0.320192	0.333412
h	0.000205922	0.000686436	0.00522561	0.00221082	0.00418686	0.00795777	0.0145269	0.0026056	0.0077443	0.0052433	0.0169874	0.0210407	0.0194575	0.0152048	0.0377774	0.804667	0.0342723
ó	0.000160564	0.000392401	0.00226748	0.000930054	0.00173657	0.00479113	0.0105366	0.00413586	0.00596867	0.00912333	0.0189176	0.0387353	0.035812	0.0393895	0.041351	0.72459	0.061162
y	1.55769e-05	7.73436e-05	0.000253595	0.000164972	0.000257113	0.000629697	0.00330973	0.00312119	0.00436014	0.0100155	0.0232728	0.047487	0.0501926	0.0955658	0.0854038	0.326772	0.349101
á	0.00368619	0.00271106	0.0121762	0.00580285	0.0154649	0.0147034	0.0110154	0.0299385	0.0351693	0.0348475	0.0849185	0.104229	0.0996829	0.0856247	0.120721	0.13954	0.199768
</S>	0.00432849	0.00212108	0.0129746	0.00455604	0.00589019	0.0086594	0.0183769	0.0312584	0.0283577	0.024462	0.0321522	0.0610807	0.0585882	0.0630884	0.222451	0.129888	0.291767
