 	dans	ce	village	que	tu	sois	pauvre	ou	riche	on	t'	enterre	avec	un	drap	blanc	</S>
d	0.02188	0.00566044	0.000164783	0.0254569	0.178811	0.133087	0.370423	0.128212	0.0121074	0.0374064	0.0139631	0.0283744	0.00794533	0.00485689	0.00788098	0.00385803	0.0199118
z	0.0066271	0.00189587	6.52987e-05	0.0114846	0.207708	0.102463	0.37863	0.101942	0.0246504	0.017983	0.0238699	0.0162701	0.00766717	0.0048033	0.00240012	0.00229657	0.0892437
a	0.00158093	0.00260035	0.000292382	0.0104073	0.0736509	0.266428	0.512347	0.0498301	0.0650933	0.00673654	0.00149138	0.00382824	0.000703045	0.000414779	0.000578354	0.000136322	0.00388168
e	0.00594757	0.00296358	0.000133398	0.020689	0.0893314	0.0594627	0.336266	0.26565	0.0296751	0.0719563	0.0283343	0.0149577	0.0117314	0.0112825	0.00534244	0.00939648	0.0368807
n	0.00851164	0.00405768	0.000565457	0.00863397	0.0328102	0.0256106	0.305281	0.285886	0.0417852	0.0928155	0.0237929	0.079017	0.017192	0.0072781	0.0170813	0.00729774	0.0423837
a	0.0175541	0.0108597	0.000526207	0.00933797	0.234519	0.0182382	0.0923718	0.192048	0.258817	0.0187261	0.0742383	0.0267324	0.00447079	0.00331447	0.00498729	0.00219131	0.0310671
n	0.000256538	0.000294455	4.81383e-05	0.00963635	0.0180922	0.00464467	0.29048	0.451104	0.0459179	0.0476623	0.0590532	0.0305443	0.00912276	0.00538127	0.00787209	0.00285942	0.0170301
g	0.00455973	0.00684223	0.000199257	0.00757706	0.146983	0.00802376	0.114709	0.340668	0.192811	0.0240622	0.060122	0.023778	0.00689439	0.00711393	0.00501126	0.0017474	0.0488976
a	0.000310019	0.00222767	0.000267759	0.00559846	0.124341	0.0018125	0.103666	0.303642	0.304759	0.0143378	0.0917461	0.0123065	0.00432766	0.00495766	0.00665868	0.00278122	0.0162608
b	0.00184835	0.00347099	0.000121323	0.00791629	0.0381962	0.00173831	0.0185361	0.349526	0.0655214	0.296458	0.107976	0.0454341	0.0271215	0.0148543	0.00228544	0.00349924	0.015496
á	0.00479225	0.00715359	5.75608e-05	0.0124964	0.0100509	0.00345826	0.0139405	0.072437	0.0532211	0.501539	0.0464122	0.107107	0.0631069	0.0300604	0.00447871	0.0279104	0.041778
a	0.00768549	0.010767	0.000194971	0.00756642	0.013092	0.000403719	0.00189426	0.045962	0.242196	0.378311	0.0693519	0.105451	0.0434272	0.0181763	0.00175944	0.0200165	0.0337455
k	0.00237855	0.00162002	6.14879e-05	0.00447401	0.0106229	0.00301857	0.0117264	0.0917629	0.0655439	0.385855	0.158706	0.143802	0.0643971	0.0200707	0.00877525	0.00754638	0.0196383
u	0.000148956	0.000291187	0.000256387	0.00376347	0.00123145	0.000757856	0.0288095	0.0839175	0.0266401	0.150938	0.0319323	0.380231	0.0781689	0.018989	0.0991816	0.0621151	0.0326282
n	0.00069018	0.000646869	0.000391881	0.00059828	0.000603797	0.00234875	0.0489498	0.0668486	0.0621985	0.0418838	0.0211155	0.505401	0.0358068	0.0201345	0.113292	0.0207323	0.0583575
d	0.0184313	0.00906785	0.000183649	0.00218605	0.00799696	0.00317541	0.0146421	0.139381	0.0771489	0.0433843	0.0668697	0.463638	0.0251592	0.0382877	0.0283454	0.00992499	0.0521784
á	0.00220849	0.00225924	0.000166394	0.00246138	0.00505775	0.00192652	0.0184185	0.287075	0.100292	0.112098	0.0894534	0.261089	0.0230289	0.0355439	0.0114815	0.0141016	0.0333387
m	0.00545138	0.00533276	0.000254115	0.00236415	0.0145394	0.0012201	0.00288239	0.0697194	0.049505	0.208392	0.18028	0.167051	0.133813	0.0750623	0.0168293	0.0214202	0.0458837
ó	0.00493791	0.00839447	3.17324e-05	0.00352544	0.00143427	0.00255377	0.00107747	0.0378092	0.103711	0.204001	0.104778	0.13914	0.0616836	0.0814181	0.00669102	0.0558583	0.182955
m	0.00032165	0.000985094	0.000127674	0.0029654	0.00354683	0.000326065	0.00180595	0.0358177	0.0252642	0.0609184	0.0987631	0.0971658	0.190857	0.0999248	0.122627	0.179953	0.07863
b	0.000661155	0.00385777	5.82002e-05	0.00460889	0.00524146	0.0198614	0.0105099	0.0222882	0.093341	0.068126	0.0662039	0.192234	0.0586331	0.0635174	0.0381375	0.107405	0.245315
e	0.000119197	0.000125437	1.02624e-05	0.000103223	0.00071274	0.0117397	0.00582473	0.013758	0.0416662	0.0256014	0.0650235	0.425803	0.0174908	0.0218833	0.207536	0.051715	0.110887
n	5.82276e-05	0.000177164	4.28149e-05	0.000766185	0.000491973	0.00783913	0.00204536	0.00676394	0.0117289	0.0375122	0.0154144	0.542542	0.0410038	0.0435523	0.105095	0.0449345	0.140032
d	0.000499214	0.0015287	0.000289294	0.00114049	0.00130059	0.00431599	0.00405303	0.0202774	0.0552664	0.0253876	0.0525338	0.466563	0.0586493	0.0602293	0.120682	0.023994	0.10329
z	0.000550613	0.00100165	0.00149583	0.00157	0.00259724	0.00147191	0.0143628	0.0599943	0.0492292	0.0272421	0.0419116	0.428296	0.0560018	0.0495712	0.0910025	0.0293625	0.144339
a	0.00103265	0.000862404	0.000200589	0.000674407	0.00129946	0.000766131	0.00329791	0.0708736	0.0352436	0.0174068	0.0567306	0.527702	0.0442058	0.0485505	0.0624252	0.0220079	0.106721
</S>	0.00162262	0.00156662	3.00413e-05	0.00159753	0.00235085	0.000349014	0.00075013	0.0208611	0.0106086	0.0806572	0.0759388	0.104023	0.229925	0.146781	0.0205348	0.0782816	0.224122
