 	la	manière	dont	il	ont	surpris	le	voleur	dans	la	maison	m'	a	fait	rire	</S>
y	0.030815	0.047047	0.265261	0.171069	0.0951435	0.0236367	0.0419331	0.0165221	0.0329935	0.0369051	0.0114963	0.0456639	0.0418023	0.0577088	0.0107734	0.0712294
é	0.166256	0.158252	0.307013	0.063095	0.037605	0.00649815	0.0140191	0.00882391	0.017982	0.0429007	0.022393	0.0356155	0.0192733	0.0181066	0.02762	0.0545473
é	0.0612939	0.0563365	0.340063	0.139518	0.0617169	0.0114905	0.0270322	0.00985805	0.0262369	0.0510605	0.0325599	0.0382474	0.0237807	0.0122831	0.015013	0.0935091
k	0.00705066	0.00389271	0.00960287	0.0205376	0.200759	0.333012	0.212101	0.0414631	0.00924246	0.00678385	0.00157218	0.00315609	0.014903	0.0500163	0.0427067	0.0431995
á	0.000977181	0.000435469	0.00159118	0.00693626	0.0913967	0.633415	0.121953	0.0215285	0.0284563	0.0213732	0.000588462	0.000521556	0.00795024	0.0172808	0.0147366	0.0308594
m	0.000565147	0.000588988	0.00725414	0.0350098	0.123348	0.467512	0.0955266	0.0773496	0.0250254	0.017046	0.00200222	0.000992967	0.0126524	0.0198494	0.0203202	0.0949571
b	0.014765	0.00330183	0.0134841	0.0280786	0.0574468	0.0835094	0.327402	0.155673	0.110561	0.110272	0.0392663	0.00268994	0.0142162	0.0120834	0.00363596	0.0236135
í	0.00878475	0.0117208	0.0976879	0.21818	0.0572803	0.0493207	0.059854	0.0586473	0.151027	0.11282	0.0201918	0.00200135	0.00856948	0.00520931	0.00470658	0.133999
s	0.00143033	0.00256808	0.0438978	0.362999	0.0984588	0.0131658	0.0384894	0.0611708	0.157338	0.0770793	0.0629147	0.0405142	0.0183822	0.00470883	0.000806898	0.0160755
í	0.0393559	0.0218462	0.0509932	0.0636772	0.036618	0.00796176	0.050531	0.099891	0.154999	0.216501	0.211875	0.0226784	0.00827807	0.00292563	0.00152699	0.0103417
b	0.00344343	0.00291529	0.0710095	0.238362	0.101119	0.00531687	0.0430139	0.0326951	0.236554	0.0953513	0.0638321	0.0928493	0.00895326	0.00286503	0.000360671	0.00135846
á	0.00533517	0.000894715	0.00385873	0.17584	0.21066	0.0388041	0.0446028	0.381515	0.0726582	0.0383076	0.0210893	0.00381868	0.00189057	0.000226188	0.000102203	0.000395839
a	0.000602787	0.000210054	0.0126658	0.232508	0.206374	0.0272191	0.0543194	0.125251	0.150082	0.0801435	0.0439694	0.0401097	0.0213341	0.00245803	0.000171457	0.00258216
m	0.0005552	0.000937459	0.00606123	0.0186773	0.102782	0.124024	0.22805	0.0213825	0.176775	0.123952	0.0226449	0.0488273	0.0484351	0.0542039	0.00277096	0.0199218
ú	0.00187818	0.00088893	0.0017994	0.00456004	0.0245277	0.00963817	0.256082	0.467652	0.142207	0.0623932	0.0038229	0.00512019	0.00748542	0.0041319	0.000786094	0.00702637
b	4.94393e-05	2.92366e-05	8.21565e-05	0.00137816	0.01412	0.00658891	0.220221	0.724972	0.0128638	0.00861336	0.00298948	0.00102963	0.00286643	0.00354607	0.000131149	0.000519598
h	0.0165301	0.00454072	0.00248597	0.0286039	0.121436	0.0198445	0.0855338	0.0477933	0.211354	0.216573	0.0300552	0.00736497	0.108412	0.0451701	0.00268633	0.0516156
u	0.0274818	0.0036195	0.0141344	0.00942666	0.00900989	0.00490581	0.0530262	0.0319499	0.238579	0.453056	0.0793359	0.00468888	0.0205969	0.0102403	0.00835955	0.0315891
s	0.00113429	0.000602971	0.000906121	0.00144705	0.00540012	0.00301902	0.0551121	0.00825444	0.272595	0.345324	0.0313822	0.0183254	0.0838339	0.131835	0.0214618	0.0193663
á	0.0998476	0.0264525	0.00735753	0.00249692	0.0101724	0.00356613	0.039915	0.0211299	0.203406	0.412769	0.0585297	0.0209748	0.0384204	0.0183008	0.0110291	0.0256319
n	0.00386464	0.00164443	0.00774459	0.00858856	0.00523854	0.000706522	0.0107915	0.00358962	0.0598164	0.404749	0.195406	0.14101	0.0727652	0.0507431	0.0260612	0.00728019
d	0.00283643	0.00523183	0.00289148	0.00137296	0.000851664	9.63711e-05	0.00133127	0.000247781	0.0181125	0.0906045	0.547716	0.294579	0.0184009	0.00765731	0.0025474	0.0055223
é	0.000304051	0.00195209	0.00130418	0.00113463	0.000343978	4.18978e-05	0.000870959	0.000523967	0.0123809	0.111237	0.565702	0.210646	0.0223937	0.00839432	0.0236422	0.0391274
e	0.000724732	0.000919377	0.00232202	0.00271219	0.00466892	0.000742754	0.0216798	0.00407733	0.0960996	0.201507	0.042793	0.0559011	0.156983	0.0872579	0.120708	0.200903
é	0.000676674	0.000616359	0.00154364	0.00167348	0.0029015	0.00113262	0.00327801	0.000112419	0.0300998	0.0482133	0.0180844	0.135966	0.363743	0.258604	0.0409061	0.0924485
p	0.000260247	0.000682381	0.000315808	0.000530894	0.0047721	0.00721982	0.0123922	0.000221744	0.00664714	0.0118128	0.00148726	0.00731904	0.10384	0.47145	0.30265	0.0683989
έ	1.38131e-05	5.34126e-05	1.37155e-05	3.5045e-05	0.000417929	0.00104509	0.00115233	3.813e-05	0.00075721	0.00531723	0.000315848	0.000791442	0.0783976	0.380941	0.437532	0.0931781
ε	0.00141457	0.000400062	0.00123474	0.00335705	0.00292847	0.00125514	0.00732955	0.000255943	0.0120101	0.0522121	0.0304763	0.0215938	0.107232	0.180589	0.272943	0.304768
n	0.00254071	0.000898142	0.00472787	0.00526439	0.00410747	0.00136458	0.00397182	0.00107809	0.00884966	0.0314013	0.0215626	0.0985262	0.086869	0.170957	0.252145	0.305737
g	0.0105438	0.00488047	0.00285115	0.00295634	0.00116215	8.06704e-05	0.000795956	0.00138179	0.00414608	0.0283052	0.285108	0.136571	0.0392511	0.0252013	0.175164	0.281601
á	0.00030861	0.00114284	0.00308144	0.00336372	0.00102577	8.65169e-05	0.000406395	0.000187733	0.00691317	0.057594	0.259006	0.364855	0.0411418	0.0182109	0.0993093	0.143367
l	0.00165702	0.000306727	0.00392711	0.00232661	0.00143399	0.000306676	0.00414777	0.000603238	0.0125567	0.0730009	0.0177254	0.0391404	0.0928116	0.0944079	0.270398	0.38525
e	0.00137911	0.000477269	0.00114451	0.00216777	0.0033155	0.00207308	0.00262147	0.00022915	0.0076334	0.0162257	0.00963984	0.0209441	0.0484813	0.0559967	0.352829	0.474842
t	0.000320195	0.00030184	0.000423426	0.00068028	0.000432443	0.000170652	0.00101078	0.000211954	0.00253839	0.0125278	0.00340646	0.00901833	0.0222396	0.0384953	0.534773	0.373449
ω	0.00031344	0.000348853	0.000186663	0.000439125	0.00138434	0.00153766	0.0022747	0.000587752	0.00423844	0.0211394	0.0043906	0.00318174	0.0652414	0.107926	0.635833	0.150977
t	0.000122884	2.39324e-05	6.12152e-05	0.000108823	0.000163429	0.000251263	0.000513297	0.000289279	0.00204554	0.0123642	0.00238659	0.0044355	0.018031	0.0326067	0.669104	0.257493
ω	0.0012106	0.000267895	0.000300741	0.000591777	0.000857578	0.0022884	0.000928583	0.00146572	0.0120068	0.0384721	0.010466	0.00974912	0.129118	0.089857	0.322238	0.380181
ω	0.00246279	0.000410847	0.00156759	0.000833502	0.000633491	0.000492072	0.00174815	0.000769296	0.00651008	0.0331849	0.0105029	0.0144147	0.0508288	0.0828522	0.34263	0.450158
</S>	0.00384002	0.00201946	0.00351016	0.00510143	0.00862013	0.00526827	0.0144839	0.00104308	0.0228323	0.025885	0.0042781	0.00712151	0.0419448	0.163681	0.250029	0.440342
