 	les	oiseaux	viennent	nombreux	sur	ce	palmier	à	huile	car	celui-ci	produit	de	meilleures	noix	</S>
í	0.000822822	0.000130579	0.00132975	0.00190868	0.00778951	0.0039184	0.000687423	0.00269004	0.00590681	0.0127358	0.000890696	0.00923078	0.100317	0.14339	0.0532026	0.655049
l	0.00142458	0.000212179	0.000359072	0.00156523	0.00584302	0.00749342	0.00528888	0.00778808	0.0234378	0.0315603	0.0106338	0.0501481	0.0844222	0.0481776	0.0820666	0.639579
a	0.00166506	0.000124812	0.000326689	0.0027344	0.00826424	0.00632	0.00327305	0.00362285	0.00438451	0.0104238	0.00205055	0.00619908	0.0269201	0.0667778	0.08734	0.769573
m	0.000713315	0.000250415	0.000446497	0.00149881	0.0120275	0.0177771	0.00248821	0.00637515	0.0139601	0.0360135	0.00182239	0.00717174	0.0629993	0.150259	0.431479	0.254718
b	0.00100746	0.000124591	0.000899221	0.0001447	0.00947089	0.0681767	0.0087383	0.022441	0.0385824	0.0315362	0.000719394	0.00292362	0.0260491	0.107806	0.648036	0.0333446
í	0.000272469	9.53524e-06	9.46074e-05	0.000327107	0.000391438	0.0040962	0.00146919	0.00185873	0.00431863	0.00431074	0.000706612	0.00339585	0.00980693	0.0259076	0.906891	0.0361438
a	0.000935974	0.000137664	0.000915653	0.000932115	0.00125503	0.00423735	0.00544331	0.00479395	0.0116668	0.0157198	0.0136268	0.0274438	0.0394397	0.0369251	0.622257	0.21427
m	0.00215395	0.000169395	0.00188008	0.00327495	0.00923427	0.0106297	0.0072862	0.0139779	0.0119866	0.0223039	0.0141503	0.021151	0.0458325	0.063442	0.126555	0.645973
b	0.00152076	0.00022905	0.00155817	0.00271141	0.0306487	0.100807	0.0177124	0.0444324	0.0282163	0.0415035	0.00963695	0.0241031	0.0569566	0.224559	0.323979	0.0914254
v	0.00164756	4.9036e-05	0.000215119	0.00325007	0.00197916	0.0259332	0.00536512	0.00874546	0.013158	0.0293113	0.00803797	0.0227304	0.074689	0.0645873	0.493572	0.246729
έ	0.00283301	0.000104694	0.000500797	0.00614208	0.00248843	0.0166078	0.00404991	0.00663998	0.0118914	0.0385116	0.0241821	0.0238164	0.0757131	0.0468875	0.218879	0.520752
m	8.77514e-05	1.55563e-05	5.86718e-05	0.00025472	0.00121946	0.00478943	0.00125296	0.00473371	0.0105205	0.022259	0.00321725	0.0224895	0.0439809	0.0453216	0.0379072	0.801892
b	0.00180074	0.000166849	0.000353823	0.00210216	0.00792147	0.0293559	0.00456369	0.0116468	0.0100584	0.0579995	0.0296508	0.0399897	0.137652	0.237071	0.0869671	0.342699
v	0.0110782	0.000876539	0.000359427	0.00610181	0.00950908	0.093485	0.00870028	0.0163132	0.0131169	0.119467	0.0610982	0.0840821	0.143237	0.179859	0.0779702	0.174746
έ	0.00887036	0.000411928	0.000322222	0.0119706	0.0110179	0.0330166	0.001723	0.00457004	0.00310979	0.0464569	0.0226908	0.0206404	0.0832591	0.166112	0.0299567	0.555871
</S>	0.000204474	1.33167e-05	0.000157666	0.000421903	0.00295678	0.00280788	0.00105116	0.00263407	0.00286347	0.0106295	0.00177434	0.00725216	0.0350194	0.0495601	0.0277618	0.854892
