 	la	manière	dont	ils	ont	fermé	la	maison	laisse	libre	accès	au	voleur	</S>
b	0.00224941	0.00681599	0.041692	0.2794	0.138635	0.0807012	0.255035	0.113645	0.0411705	0.0125744	0.00258539	0.00994191	0.00219675	0.0133567
á	7.29029e-05	4.18375e-05	5.8215e-05	0.959478	0.00991976	0.0184986	0.00255571	0.00143109	0.000893498	0.00412919	0.000737629	0.000284932	0.00175929	0.00013931
a	0.000144056	5.93818e-05	0.00015415	0.844873	0.0145759	0.024379	0.0139043	0.00571323	0.00567962	0.0466165	0.00337451	0.00490584	0.0308171	0.00480313
n	0.000280947	0.000564676	0.00346637	0.240433	0.0784481	0.0614218	0.346742	0.131682	0.0470364	0.0632826	0.00362068	0.00971488	0.00760865	0.00569789
d	0.002508	0.0078317	0.0286385	0.0693025	0.0412817	0.0717707	0.204024	0.435876	0.0819305	0.0192629	0.00837639	0.00772696	0.00132112	0.0201493
é	0.000314239	0.00178176	0.00664149	0.00401839	0.00709159	0.00552601	0.0507102	0.896822	0.022557	0.00176518	0.000331646	0.000305954	0.000188818	0.00194572
e	0.00074196	0.00154631	0.0132141	0.00432429	0.0584745	0.0357067	0.194376	0.225835	0.366545	0.0307007	0.0385173	0.0117923	0.00104582	0.0171806
m	0.00344211	0.00232768	0.0140322	0.00139176	0.0770837	0.0253533	0.312452	0.0575058	0.314179	0.0578245	0.0577479	0.0537352	0.00330384	0.0196212
ú	0.00875083	0.00576899	0.00156309	0.00212294	0.0455126	0.005485	0.159582	0.00339805	0.0419972	0.355071	0.0115053	0.0381509	0.148015	0.173077
b	0.000326614	0.000180309	0.00010313	0.00157896	0.0240986	0.0121671	0.130642	0.0187121	0.190735	0.429593	0.0844202	0.0244611	0.0217338	0.0612485
h	0.00108867	0.000654317	0.00031441	0.0234258	0.0761406	0.031867	0.173448	0.00466931	0.14216	0.272946	0.183574	0.0461748	0.0265484	0.016989
u	0.000253028	0.000116136	0.000311923	0.000462575	0.00515555	0.0191891	0.126334	0.0430215	0.209373	0.405465	0.121584	0.0202977	0.00685151	0.0415854
m	0.000260812	0.000117835	0.000149593	0.000212613	0.00302778	0.00424419	0.0849191	0.0167844	0.472657	0.0884186	0.198905	0.0959975	0.00644012	0.0278655
ó	0.0159845	0.00491153	0.00126955	0.00120323	0.0036868	0.000830552	0.0574674	0.00440123	0.121393	0.207126	0.0364134	0.133691	0.191549	0.220073
o	0.00156127	0.000977528	0.00165947	0.000219272	0.00515281	0.0027286	0.0245145	0.00450061	0.110704	0.077987	0.231854	0.25732	0.0672396	0.213581
k	0.00118941	0.000839336	0.000839134	0.000270287	0.0100966	0.00572112	0.022023	0.00309054	0.0887372	0.0846081	0.543319	0.120671	0.027998	0.0905966
ó	9.59681e-05	3.54575e-05	5.94412e-05	0.000116301	0.00485789	0.0213962	0.0109605	0.000560224	0.0577249	0.0486245	0.722261	0.0191127	0.0087863	0.105409
a	5.28021e-05	1.92841e-05	2.95888e-05	9.20865e-05	0.00332982	0.012065	0.0111018	0.000377602	0.0283191	0.0702345	0.82012	0.0167834	0.0041546	0.0333201
</S>	0.0007764	0.000232835	0.0014814	0.000151358	0.0016326	0.00104457	0.0172727	0.00509229	0.0486099	0.0270187	0.072927	0.680876	0.0462665	0.0966178
