 	ses	parents	ne	veulent	plus	de	lui	parce	qu'	il	a	des	attributs	de	la	sorcellerie	</S>
l	0.0169376	0.0104806	0.0327885	0.0667527	0.299644	0.218812	0.147669	0.0712947	0.0731943	0.0261724	0.0047584	0.0076765	0.00565996	0.00994619	0.00500142	0.000552347	0.00265981
a	0.0120899	0.0104178	0.0624702	0.160994	0.179933	0.143202	0.0856838	0.0727283	0.0289732	0.0217765	0.0133186	0.0129214	0.0187855	0.0364259	0.0232326	0.0196516	0.0973952
w	0.0121488	0.00528344	0.0086182	0.0391329	0.124154	0.264352	0.237611	0.23711	0.0343101	0.0133368	0.00316984	0.00396022	0.00312531	0.00210781	0.00214822	0.00445632	0.00497486
a	0.017239	0.0073631	0.0262518	0.0332117	0.113519	0.21174	0.191827	0.254407	0.0621258	0.0360902	0.00667227	0.00769178	0.00815249	0.00457612	0.00232891	0.00714792	0.00965452
t	0.00102016	0.000734164	0.00860428	0.0262595	0.214337	0.238291	0.18102	0.172723	0.0616148	0.0455376	0.0124303	0.0107068	0.0043174	0.00449519	0.00407984	0.00425118	0.00957718
s	0.0102799	0.00345335	0.0134082	0.0405579	0.122691	0.193389	0.15267	0.307369	0.081322	0.0359137	0.00577444	0.00387506	0.0028052	0.00414552	0.00153163	0.0101188	0.0106949
í	0.00052116	0.000613421	0.00423717	0.0766496	0.055806	0.0740583	0.0885055	0.536493	0.0809429	0.0235043	0.00466363	0.00591306	0.012476	0.00471482	0.00115549	0.00579721	0.0239484
n	0.00220366	0.00301972	0.002783	0.0128472	0.0684595	0.10902	0.119789	0.424699	0.119427	0.0436301	0.00414216	0.00399058	0.0321155	0.00207885	0.000862009	0.00495132	0.0459815
a	0.0237798	0.0452008	0.0042617	0.0117798	0.0431673	0.105533	0.128417	0.206356	0.120671	0.0247592	0.0090942	0.00571017	0.039046	0.0400507	0.011404	0.0203092	0.16046
w	0.00178125	0.000818423	0.00256842	0.00189459	0.0304608	0.0567546	0.0839252	0.108764	0.333043	0.242276	0.0702699	0.0297463	0.0133785	0.00871269	0.0036207	0.00106058	0.0109249
a	0.00712367	0.00538651	0.0155125	0.00355119	0.0473904	0.0757401	0.070291	0.151944	0.172044	0.319743	0.0531881	0.021617	0.00792143	0.01624	0.00593512	0.00486131	0.0215116
a	0.000956712	0.000534319	0.00117692	0.000436388	0.0261882	0.0411806	0.065952	0.0978893	0.250547	0.344038	0.0939719	0.0344342	0.00424897	0.014045	0.0129112	0.00216326	0.00932532
d	0.00803643	0.0117091	0.0478065	0.0214139	0.0164577	0.0105855	0.0148637	0.0103494	0.0135177	0.130744	0.482742	0.136643	0.0460983	0.0175177	0.00885163	0.00422956	0.0184334
í	0.00490446	0.00745629	0.01768	0.00752198	0.0081817	0.0148454	0.0252652	0.0137017	0.010712	0.0358026	0.375631	0.222799	0.134132	0.0434289	0.0142809	0.0120428	0.0516141
l	0.000910228	0.000491612	0.00402147	0.0025621	0.0109077	0.0128542	0.0160969	0.0190014	0.0212644	0.0341012	0.215017	0.225406	0.147012	0.09538	0.0545097	0.0226263	0.117837
a	0.000959065	0.000398326	0.00222725	0.00224078	0.00647162	0.00820585	0.0141189	0.0195008	0.0395171	0.0881901	0.169014	0.212774	0.176083	0.104319	0.0465434	0.0125813	0.0968555
b	0.000804929	0.000775722	0.00149335	0.00305781	0.00718135	0.0103629	0.0166452	0.0399252	0.0279394	0.0313793	0.0436286	0.141931	0.205627	0.133832	0.113976	0.153719	0.0677214
h	0.00427167	0.00518071	0.0128218	0.00272865	0.032829	0.0381484	0.0367331	0.0529776	0.0252195	0.025307	0.0350282	0.104661	0.441808	0.0567958	0.0265643	0.0828551	0.0160696
á	0.000174206	0.000110248	0.000885105	0.000689485	0.00244079	0.00259653	0.00225893	0.00321422	0.000638423	0.00104575	0.00779636	0.0434593	0.89048	0.0144352	0.00264364	0.0125983	0.0145335
n	0.000264129	8.16124e-05	0.000220403	0.000408002	0.000864918	0.00246013	0.00358099	0.00640328	0.00310239	0.00247034	0.00642564	0.0752187	0.770933	0.0470722	0.00744496	0.0198173	0.0532321
d	9.81198e-05	0.000204602	0.000966598	0.00195457	0.00232971	0.00373754	0.00447049	0.00880986	0.00664368	0.00435244	0.0165502	0.0868462	0.617227	0.0944218	0.0150772	0.0402324	0.0960779
á	0.000134841	0.000325327	0.000336202	0.00150765	0.00139344	0.00356529	0.00440903	0.00483088	0.00325545	0.00193528	0.00916366	0.0334227	0.441462	0.099733	0.0270973	0.13294	0.234488
</S>	0.000873308	0.000395578	0.00141547	0.000958459	0.00481977	0.00527447	0.0054906	0.00426161	0.0144272	0.0115872	0.0205314	0.042714	0.0247034	0.304931	0.243188	0.103822	0.210607
