 	tu	ne	veux	jamais	reconnaître	tes	actes	même	si	on	te	prends	la	main	dans	le	sac	tu	n'	acceptes	pas	</S>
i	0.0657068	0.104322	0.076333	0.133526	0.0763155	0.0666514	0.0679772	0.0338044	0.0346406	0.0322067	0.0516086	0.00970957	0.012261	0.00939422	0.00771806	0.0208333	0.028502	0.0258088	0.00483315	0.00154074	0.00263585	0.13367
á	0.0732363	0.0996006	0.242074	0.373017	0.0763293	0.0279217	0.0354369	0.0165152	0.00949788	0.00903165	0.00339394	0.00326191	0.00435503	0.00300596	0.00342088	0.00292297	0.00157557	0.00208521	0.000597969	0.00148517	0.000921056	0.0103143
p	0.0190808	0.24128	0.341094	0.176689	0.0611371	0.0117399	0.0226539	0.012008	0.0327801	0.0089868	0.00488646	0.0129195	0.0131766	0.00837066	0.00909484	0.00349393	0.00203354	0.000570693	0.00232775	0.00168699	0.00321046	0.0107783
i	0.00106454	0.0453004	0.324174	0.181756	0.125161	0.0131234	0.0225431	0.0173928	0.0435161	0.0145316	0.00459563	0.0443709	0.0196416	0.0361015	0.0128277	0.00978501	0.0134761	0.000588156	0.0141259	0.00990849	0.0126086	0.0334073
a	0.0104296	0.054936	0.234305	0.166619	0.136458	0.0333841	0.0295888	0.021217	0.0318149	0.018067	0.0114189	0.0248217	0.0174765	0.0269926	0.0190105	0.0112195	0.00623589	0.00239591	0.00503002	0.00961958	0.00629783	0.122662
s	0.00983152	0.0144635	0.0649758	0.154841	0.307221	0.168732	0.128946	0.0454799	0.0203113	0.0149798	0.00679651	0.00494766	0.00755966	0.00464756	0.00823347	0.00413962	0.00157671	0.00415197	0.00166904	0.00421248	0.00221823	0.0200655
i	0.00263028	0.00886155	0.0268183	0.065128	0.349978	0.264206	0.17237	0.0348581	0.0280096	0.0052503	0.00582115	0.00186922	0.00242145	0.000820683	0.00359129	0.00523064	0.00492449	0.0024396	0.00079106	0.000281101	0.00162989	0.0120696
n	0.00192077	0.00420934	0.0310848	0.137981	0.333496	0.22433	0.157549	0.0542451	0.0208997	0.00753685	0.00404053	0.00107848	0.00257106	0.000470953	0.00165035	0.00310772	0.00311633	0.00167042	0.001138	0.000464811	0.00176078	0.00567679
ω	0.00311096	0.0028984	0.00942006	0.0516874	0.235413	0.433489	0.162585	0.0154073	0.0174313	0.00649055	0.0158515	0.00290107	0.00513471	0.00319261	0.00468454	0.00669527	0.00959434	0.00158492	0.000789651	0.000813519	0.00229883	0.0085252
k	0.000451406	0.00389078	0.0179438	0.101075	0.359093	0.192506	0.193451	0.0374673	0.0312796	0.0104043	0.00627291	0.00190902	0.00653803	0.00249704	0.00258425	0.00541811	0.00316859	0.00223922	0.00127299	0.00182697	0.00199132	0.0167192
í	0.0029762	0.00197482	0.0295477	0.167732	0.164938	0.0913873	0.118994	0.112978	0.052976	0.0401594	0.0140446	0.0337373	0.0150478	0.0353307	0.0102163	0.0212242	0.0285865	0.00512199	0.0118594	0.0111972	0.00693628	0.0230336
g	0.00121366	0.00232331	0.0306576	0.0700124	0.122983	0.114597	0.208838	0.130787	0.101099	0.0513566	0.0109565	0.0179953	0.0120286	0.0192099	0.012123	0.00896317	0.00438795	0.00615753	0.00514702	0.00848453	0.00345222	0.0572257
h	0.00122966	0.00572855	0.0277346	0.0783444	0.131506	0.0813265	0.106368	0.137822	0.10119	0.0731018	0.0357466	0.0187956	0.0294115	0.0127738	0.0218035	0.0338012	0.0115513	0.0303065	0.00969419	0.00408833	0.00425059	0.0434254
i	0.000430031	0.00222431	0.0107374	0.0876625	0.172287	0.162467	0.222769	0.0641871	0.0664288	0.0261587	0.0546331	0.00662065	0.0173467	0.00492633	0.00984986	0.0161898	0.00376232	0.00338092	0.00177498	0.00123391	0.00378664	0.0611438
g	0.000204989	0.00315656	0.0178935	0.0758135	0.114706	0.106152	0.312828	0.183394	0.0932103	0.029269	0.00694499	0.00957227	0.00803771	0.00418576	0.00523635	0.00342913	0.00106707	0.00115889	0.00117588	0.00184129	0.00167462	0.0190478
h	0.00462361	0.00329717	0.0107558	0.0309449	0.041014	0.078974	0.0924785	0.189707	0.144164	0.109804	0.0473152	0.0432904	0.0227076	0.0391061	0.0154124	0.0254248	0.0190821	0.0155819	0.0147822	0.00976011	0.0114771	0.0302973
i	0.00090902	0.00110276	0.00348755	0.0221904	0.0619496	0.160842	0.166348	0.0905381	0.107728	0.065653	0.0668683	0.0139853	0.0173296	0.0174939	0.0148823	0.0326078	0.0114718	0.0125924	0.00437445	0.00393071	0.00576663	0.117949
m	8.92074e-05	0.000926736	0.00796931	0.0315774	0.0553962	0.0791865	0.268064	0.246256	0.155475	0.0531725	0.0132864	0.0181518	0.00767636	0.00930678	0.00583732	0.00615961	0.00302603	0.00127717	0.00150367	0.00252523	0.00177436	0.0313617
ó	0.000476266	0.00173229	0.00252907	0.00841429	0.0767227	0.184972	0.249429	0.142226	0.164672	0.0470971	0.0198072	0.0101241	0.0100571	0.00987745	0.0112869	0.00894031	0.0011011	0.00211382	0.00306505	0.00194922	0.0101335	0.0332732
y	0.000491834	0.00368618	0.0102757	0.0263575	0.0663387	0.067081	0.121637	0.148935	0.186637	0.107622	0.0182746	0.0763393	0.0293611	0.0350697	0.0150739	0.0113701	0.00594109	0.00162303	0.0121871	0.0243379	0.015731	0.0156288
í	0.000463611	0.00984725	0.00999598	0.0259949	0.0816284	0.239778	0.390365	0.0838924	0.0992662	0.0188622	0.0113356	0.00487338	0.00387699	0.000685851	0.00243926	0.00361862	0.00356386	0.00107877	0.000507137	0.000152539	0.00346946	0.00430453
b	0.000974828	0.00135325	0.00282483	0.0103585	0.0225357	0.0783115	0.15331	0.257308	0.143192	0.135016	0.0692475	0.0182044	0.0146297	0.00194125	0.00584008	0.0120015	0.0227067	0.0207475	0.00541619	0.00103668	0.00381458	0.0192293
h	0.000719879	0.00210232	0.00970104	0.017888	0.0208682	0.0219841	0.0424406	0.158278	0.176104	0.181279	0.0400986	0.0858521	0.0447462	0.0943883	0.0144561	0.0132677	0.00528785	0.00176948	0.0108066	0.0343862	0.0114367	0.0121391
a	0.000153752	0.000327059	0.00092772	0.00281493	0.00877495	0.0443966	0.0432792	0.112493	0.120776	0.18154	0.166985	0.0525106	0.0316097	0.0651479	0.015191	0.0244622	0.00880456	0.0158912	0.00919243	0.0305331	0.00541707	0.0587717
n	8.20878e-05	0.000194113	0.00188219	0.00543401	0.0184334	0.0685949	0.130544	0.204189	0.133072	0.157328	0.0714772	0.0744815	0.0163509	0.0337329	0.00912677	0.013959	0.012462	0.00715558	0.00259209	0.00555921	0.00474163	0.0286073
ω	0.000577307	0.000687882	0.00184999	0.013105	0.0424628	0.17204	0.248669	0.0706917	0.11221	0.0497284	0.115114	0.0105313	0.00649876	0.00432398	0.0049329	0.0313086	0.0447301	0.0173192	0.00231506	0.00111111	0.00270623	0.0470879
o	6.92108e-05	0.000119105	0.000609159	0.0032503	0.0251668	0.0566898	0.155387	0.147739	0.112122	0.16307	0.115709	0.0500554	0.0438176	0.0132749	0.0106845	0.0224319	0.0321202	0.0146948	0.00413646	0.00414452	0.00726064	0.0174473
d	2.8612e-05	0.0119795	0.0128969	0.0129607	0.0070483	0.00341941	0.0203398	0.0175904	0.104678	0.0239984	0.0141768	0.173853	0.148803	0.130697	0.068624	0.0224939	0.0146171	0.000339546	0.022215	0.059709	0.0600638	0.0694684
í	2.96262e-05	0.00237728	0.00649075	0.0150154	0.0086633	0.00311599	0.0265196	0.0304067	0.057301	0.0249631	0.00598454	0.0517969	0.107972	0.021246	0.18682	0.0399963	0.0023317	0.000237663	0.00436768	0.00714987	0.0770176	0.320197
o	1.06461e-05	0.000419644	0.00256213	0.0109599	0.00457148	0.0078591	0.0233509	0.0358597	0.0272833	0.0426075	0.0233359	0.133422	0.18585	0.0481125	0.132177	0.0566795	0.00379846	0.00308372	0.0121633	0.0220793	0.027005	0.19681
b	5.0683e-06	0.00148323	0.00437561	0.00626313	0.00255932	0.00126117	0.00602487	0.0041472	0.00684784	0.00579742	0.00575637	0.0494958	0.115872	0.150674	0.127905	0.0748572	0.0169733	0.00121323	0.019909	0.108454	0.0833536	0.206772
é	1.13467e-05	0.000143796	0.0010138	0.00220165	0.00129248	0.000790194	0.00193258	0.0107762	0.00747404	0.0216197	0.0158189	0.055341	0.0725865	0.41025	0.0579489	0.0462107	0.00799419	0.00166757	0.0263847	0.180093	0.0442052	0.0342439
n	4.19621e-06	8.64474e-05	0.00104706	0.0017969	0.00352315	0.00547555	0.0202305	0.0265368	0.0283236	0.0440556	0.0228292	0.0708473	0.0618319	0.174747	0.0947228	0.0938435	0.0516723	0.0134482	0.0356972	0.0324877	0.0483663	0.168426
y	2.31299e-05	0.000227609	0.00162312	0.00458151	0.00496111	0.00622373	0.0286529	0.0223417	0.0293638	0.0468548	0.0520784	0.128735	0.079202	0.123747	0.0639566	0.0947416	0.0943863	0.0177775	0.0443717	0.0305388	0.0334537	0.0921571
a	1.08722e-05	0.00011066	0.00105869	0.00587224	0.0044635	0.00540138	0.0330706	0.0145054	0.0293154	0.0233392	0.0307525	0.0711833	0.0511939	0.099633	0.0441743	0.130752	0.17113	0.00762854	0.0484679	0.0244218	0.0759608	0.127553
k	2.34505e-05	9.36872e-05	0.000682815	0.00289904	0.002977	0.00519564	0.0173623	0.0179955	0.0059979	0.0214222	0.0223907	0.0341783	0.0846037	0.0579486	0.144493	0.179326	0.075264	0.0704793	0.0348988	0.0477822	0.0582845	0.115701
a	2.12497e-05	8.86927e-05	0.00215241	0.00325093	0.00125158	0.00132879	0.00436688	0.0339681	0.0110334	0.0394992	0.0134542	0.0610366	0.0334426	0.0730752	0.0623979	0.117987	0.254298	0.0679476	0.0989534	0.0641239	0.0234615	0.0328613
á	2.11556e-05	6.12996e-05	0.00053037	0.000804639	0.00187386	0.00434967	0.015687	0.0277985	0.0169645	0.0413207	0.0264661	0.0248829	0.0241002	0.0320872	0.0487606	0.0993141	0.223854	0.113752	0.0854163	0.0286968	0.0222213	0.161037
</S>	9.71185e-05	0.000423908	0.000434641	0.000703104	0.000908912	0.00127686	0.00467459	0.0099166	0.00913544	0.0173895	0.0133114	0.0127175	0.0625965	0.0278165	0.190413	0.0951868	0.0378449	0.128147	0.0609793	0.0545435	0.0291854	0.242298
