 	la	manière	dont	il	se	gave	d'	oseille	montre	qu'	il	meurt	de	faim	</S>
h	0.00162575	0.0012369	0.0772056	0.0841708	0.265734	0.280128	0.0688038	0.0941235	0.0596388	0.0338415	0.00926218	0.00724328	0.00421927	0.00413623	0.00863088
í	0.00648406	0.00827285	0.246739	0.166178	0.135794	0.186021	0.117558	0.0259915	0.024069	0.00936351	0.00803902	0.00271941	0.00368378	0.00285625	0.0562307
l	0.00064423	0.00214041	0.0475248	0.376955	0.217814	0.147429	0.10809	0.0268562	0.0302079	0.013181	0.015383	0.00259785	0.00238327	0.00154872	0.00724387
á	0.00846302	0.00406149	0.0254214	0.115726	0.171836	0.256899	0.117713	0.017778	0.113752	0.0424845	0.0112678	0.0154311	0.0223952	0.0242333	0.0525381
w	0.00348476	0.00140464	0.00689473	0.196965	0.175787	0.0398045	0.239672	0.110128	0.105163	0.0436585	0.0532802	0.00635504	0.00478867	0.00891307	0.00370028
á	0.0045805	0.00384531	0.0117786	0.210627	0.145796	0.0290392	0.0899601	0.0765395	0.13172	0.116883	0.0922027	0.0417371	0.0222078	0.00536667	0.0177164
a	0.00203617	0.000356981	0.0030517	0.146684	0.174409	0.0362223	0.242105	0.104462	0.103127	0.0703653	0.075869	0.00978685	0.00967282	0.00692797	0.0149249
b	0.00349831	0.00190663	0.00973265	0.0357095	0.165642	0.119256	0.212103	0.201906	0.11477	0.0478615	0.0386003	0.0239593	0.00679004	0.00881965	0.00944489
v	0.00111644	0.000177577	0.00109331	0.00608298	0.0618561	0.149374	0.031329	0.698766	0.0131013	0.0108155	0.0123554	0.00995505	0.000822712	0.00132605	0.00182903
i	0.000313378	3.24987e-05	0.000643321	0.0113809	0.082395	0.0270891	0.248514	0.499509	0.0337679	0.0363524	0.0347907	0.00463125	0.00626874	0.00173042	0.0125815
á	0.00254529	0.00143903	0.0155396	0.0745961	0.0765943	0.0535054	0.39835	0.053734	0.123325	0.0685258	0.080783	0.00862972	0.00795862	0.00367846	0.0307959
y	0.00371934	0.00375962	0.0137985	0.0399109	0.0656201	0.0181592	0.115689	0.0506192	0.242678	0.211898	0.151135	0.0326824	0.0219097	0.00660023	0.0218207
é	0.0333865	0.0341052	0.0257133	0.0156905	0.034557	0.0237323	0.0613714	0.00356863	0.31299	0.183328	0.0650178	0.0786616	0.0455276	0.0249954	0.057355
á	0.00851982	0.0117151	0.0052794	0.0171595	0.0117101	0.00325748	0.110772	0.00621658	0.305587	0.251052	0.153443	0.0309561	0.0263306	0.014888	0.0431135
m	0.0036249	0.00224027	0.00866375	0.0130047	0.017923	0.0120502	0.0363264	0.0250765	0.134441	0.267196	0.184674	0.111027	0.0862205	0.0289394	0.0685918
i	0.0025235	0.000634212	0.00120014	0.00783743	0.0767769	0.0163759	0.126297	0.00901084	0.0247574	0.135546	0.122576	0.119771	0.21602	0.0543676	0.0863051
y	0.000458496	5.31134e-05	0.000501611	0.00139233	0.0229882	0.046914	0.0372735	0.0153657	0.0279124	0.0809502	0.061128	0.414492	0.115824	0.0326057	0.142141
ú	0.00103865	0.00398024	0.00897159	0.00258507	0.00759903	0.00922395	0.0130359	0.000602162	0.0644966	0.103587	0.0374862	0.275108	0.188816	0.158532	0.124938
r	0.00120236	0.000494902	0.000429986	0.000930284	0.00468337	0.0044319	0.0238845	0.00251749	0.07495	0.130163	0.038513	0.105186	0.167121	0.275423	0.17007
á	0.0154305	0.000191182	0.000751065	0.000863305	0.00457319	0.00937337	0.0518182	0.00183314	0.0377024	0.173139	0.0740355	0.0931332	0.228803	0.191554	0.116798
n	0.000530509	0.000248431	0.00138006	0.0052106	0.00412939	0.00137938	0.0167502	0.00296755	0.0449762	0.150757	0.129425	0.067627	0.27185	0.170402	0.132368
d	0.00280015	0.000774163	0.000445127	0.000538598	0.000827327	0.000238507	0.00354515	0.000346759	0.0130096	0.023335	0.00883941	0.047093	0.0748635	0.738344	0.0849992
z	0.000353114	0.000394305	0.000125371	0.000350833	0.000593812	0.000373554	0.00145945	0.000269012	0.00492339	0.00801118	0.00274214	0.0449399	0.106023	0.693219	0.136222
a	6.35591e-05	1.40233e-05	2.17097e-05	9.37253e-06	5.5786e-05	0.000167124	0.000633248	1.60644e-05	0.000946506	0.0026289	0.00120356	0.0241387	0.0643199	0.859434	0.0463472
a	8.60478e-05	4.81079e-05	0.000242531	0.000147956	0.000702235	0.000942289	0.0101894	0.000522542	0.00986949	0.0123576	0.00639182	0.0193463	0.053785	0.473584	0.411785
</S>	0.0010835	0.000167035	0.000846356	0.0014777	0.00230584	0.00158925	0.0207529	0.000583624	0.0159054	0.0373852	0.0371384	0.0155829	0.189198	0.169074	0.50691
