 	itoua	est	taquin	c'	est	pourquoi	ses	amis	refusent	de	lui	parler	</S>
i	0.000485796	0.00473897	0.012376	0.00539755	0.0144389	0.013692	0.0398329	0.673517	0.191354	0.0288707	0.00369469	0.00760364	0.00399822
a	0.000144695	0.00402545	0.00651155	0.0157999	0.040219	0.0703404	0.137579	0.300704	0.334145	0.0422132	0.00857227	0.00618672	0.0335581
á	5.85166e-05	0.0023194	0.00383964	0.0253444	0.0220833	0.0856368	0.260913	0.0588922	0.254136	0.155705	0.106224	0.00673462	0.0181129
m	0.00209554	0.00740447	0.0108881	0.0118357	0.0174759	0.027887	0.0260314	0.105672	0.284169	0.339846	0.0443157	0.0841836	0.0381957
i	0.000196099	0.0104574	0.00368634	0.00476094	0.0111541	0.0372771	0.0399768	0.104441	0.358698	0.227373	0.110364	0.0173705	0.0742453
k	0.00109954	0.00247502	0.0064709	0.00193406	0.00514973	0.00951735	0.00534446	0.139519	0.520346	0.157309	0.0188556	0.0734896	0.0584898
a	0.000157329	0.0010585	0.00334864	0.00119668	0.00344391	0.00609317	0.0112309	0.20404	0.552475	0.103351	0.0102897	0.0660639	0.0372505
n	0.0002869	0.00059631	0.00402102	0.0045114	0.0133227	0.0216671	0.0446764	0.0875665	0.424241	0.177665	0.0173699	0.0805379	0.123538
g	0.00106559	0.00415549	0.0184728	0.0134735	0.026584	0.0637865	0.0483524	0.0873074	0.250857	0.221502	0.0485319	0.0549637	0.160948
á	0.00466894	0.0133931	0.0287638	0.0164058	0.0488705	0.193604	0.0822609	0.0641247	0.26258	0.179184	0.0385611	0.00786487	0.0597186
w	6.38341e-05	0.000526398	0.00304144	0.00687926	0.00487648	0.0127869	0.0178005	0.00191037	0.0302589	0.320954	0.514143	0.0442876	0.0424719
a	0.000144383	0.00157514	0.00621153	0.0353474	0.0292036	0.0549451	0.145256	0.00762165	0.0498043	0.220329	0.373356	0.0332979	0.0429076
e	8.18702e-05	0.00013604	0.00160201	0.00353435	0.00222176	0.00651016	0.00875668	0.00261491	0.0187017	0.316149	0.443098	0.069522	0.127072
s	9.3266e-05	0.00175528	0.004589	0.00638003	0.0036179	0.00405676	0.00376303	0.00427539	0.0101968	0.189048	0.111661	0.485561	0.175003
w	0.000325534	0.00111481	0.000716939	0.00212132	0.00551275	0.0111795	0.00965442	0.00414193	0.028502	0.298085	0.148891	0.185353	0.304403
é	0.000193137	0.000146523	0.000437564	0.00141461	0.00334955	0.0069343	0.00588309	0.00107284	0.0178496	0.280145	0.290309	0.132056	0.26021
l	1.15011e-05	7.17003e-05	0.000389762	0.000932544	0.0012295	0.00274459	0.0071194	0.00232966	0.0217031	0.145841	0.152494	0.275791	0.389343
é	7.62865e-05	0.00056491	0.00256974	0.00263152	0.00371428	0.00480332	0.00346927	0.00210715	0.0109614	0.149938	0.121392	0.264904	0.432867
</S>	8.79991e-05	0.000206326	0.00197772	0.00119536	0.000902689	0.00219283	0.00252236	0.00171225	0.0105969	0.135365	0.119111	0.368284	0.355845
