 	le	soldat	qui	est	en	train	de	frapper	la	vieille	femme	dans	le	marché	n'	est	pas	miséricordieux	</S>
έ	0.00374724	0.0128958	0.00520593	0.0665811	0.117344	0.0313806	0.0392274	0.540172	0.127171	0.0211392	0.00637258	0.00747721	0.00427313	0.00211867	0.00403814	0.00455769	0.00203152	0.00068236	0.00358424
r	0.0107144	0.00384338	0.02263	0.0968967	0.0872848	0.00590226	0.0749407	0.379206	0.188539	0.0327427	0.0103789	0.0223246	0.0127215	0.00930008	0.00728204	0.00787146	0.00845437	0.000708155	0.0182588
έ	0.0144724	0.00174964	0.0438811	0.0978982	0.0972993	0.00308078	0.187743	0.184135	0.205323	0.055706	0.000843933	0.018069	0.0203882	0.0142653	0.00999754	0.00465299	0.0134197	0.00327284	0.0238027
e	0.00305822	0.000136736	0.0436922	0.0440347	0.0503008	0.00399259	0.167378	0.311662	0.198119	0.103671	0.0243202	0.0219362	0.00765813	0.00427523	0.00364707	0.00320445	0.00420404	0.00127219	0.0034383
d	0.00176636	0.00151248	0.000740372	0.00412534	0.00481579	0.000943511	0.00762926	0.137601	0.518563	0.133973	0.0840881	0.0259741	0.0206918	0.0176849	0.00623255	0.010862	0.0066897	0.00835479	0.00775116
ú	0.000884449	0.000974799	0.00049525	0.00296309	0.00110425	6.94239e-05	0.00327557	0.105556	0.56021	0.0505869	0.0887855	0.0483378	0.0272472	0.0542639	0.0115618	0.00903976	0.00674185	0.0033572	0.024545
n	0.00137538	0.000216264	0.00174185	0.00388933	0.0019479	0.000169887	0.00689371	0.0293969	0.439634	0.207596	0.149306	0.0415194	0.0291662	0.0579687	0.009006	0.00491619	0.00621948	0.00307516	0.00596271
u	0.000721788	7.88315e-05	0.00750909	0.00514669	0.00184398	3.12014e-05	0.00901897	0.0108475	0.209054	0.442835	0.0380833	0.111532	0.0839829	0.0508911	0.0124043	0.00256912	0.00560131	0.000841746	0.00700681
y	0.000653723	7.07775e-05	0.00325982	0.00148648	0.00132878	0.000134145	0.0107288	0.00804353	0.1164	0.417367	0.00383345	0.257354	0.10313	0.0434247	0.0119505	0.00505217	0.0047976	0.00245966	0.00852477
ó	0.00426239	0.00175561	0.0111458	0.00266959	0.0010954	7.81343e-05	0.0043574	0.00361799	0.0551399	0.165037	0.025924	0.153398	0.173409	0.305382	0.0528818	0.0114242	0.00536232	0.00279875	0.0202605
y	0.00186332	0.00170012	0.00326867	0.000649926	0.000417785	0.00020931	0.00176307	0.00131184	0.0241102	0.0987067	0.133939	0.139499	0.164635	0.357354	0.0346279	0.0065549	0.00440787	0.0139791	0.0110035
ú	0.000438395	0.00049135	0.000969437	0.000719059	0.000903997	6.43222e-05	0.000908113	0.00640381	0.0952962	0.0792288	0.0383544	0.183955	0.216659	0.2738	0.0357816	0.0183219	0.0115383	0.0110314	0.0251342
r	0.00170023	0.000189759	0.00092385	0.000624677	0.000157482	3.84961e-05	0.000603353	0.00106545	0.0279889	0.071056	0.0942955	0.0934461	0.123511	0.461721	0.0437506	0.0130945	0.00785945	0.0184618	0.0395119
u	0.000525681	6.22929e-05	0.0010209	0.00122695	0.000643399	0.00019093	0.000921274	0.00117781	0.0330393	0.0989738	0.0302875	0.0714838	0.20239	0.395243	0.085811	0.0335284	0.0200182	0.00660454	0.0168514
s	0.000319875	2.14021e-05	0.000823431	0.000361046	0.000283813	3.09913e-05	0.00129409	0.000681926	0.0122086	0.0630253	0.00157894	0.259943	0.254329	0.142338	0.118687	0.0730909	0.0451768	0.00786414	0.0179427
á	0.000954674	0.0001082	0.00177927	0.000856634	0.000424173	3.23363e-05	0.000569961	0.000568054	0.0138283	0.070897	0.000903863	0.0885377	0.192063	0.335283	0.129873	0.065878	0.0468385	0.0119159	0.0386885
d	0.00230897	0.000550881	0.00627299	0.00124086	0.000799616	0.000530176	0.00168617	0.000347647	0.00251193	0.0324889	0.00391546	0.0329502	0.131286	0.367783	0.164489	0.0692285	0.0699603	0.104856	0.00679429
z	0.00052262	0.000144953	0.000623729	0.000491806	5.8812e-05	3.383e-06	9.169e-05	0.000181422	0.00433638	0.00442879	0.0311275	0.0298421	0.0939474	0.559317	0.0786899	0.0392607	0.0367924	0.0809684	0.0391706
á	0.00103227	0.00102256	0.00090695	0.0011902	8.56978e-05	1.15632e-05	0.000150303	0.0002867	0.00361332	0.00670454	0.0475939	0.0197107	0.0652229	0.602681	0.0996668	0.0588076	0.0295336	0.0417827	0.0199966
n	3.80419e-05	4.48912e-05	8.80304e-05	7.99328e-05	9.7228e-05	4.89753e-05	4.2773e-05	0.000118585	0.000979647	0.00298021	0.0014504	0.022879	0.0768269	0.273517	0.190934	0.237638	0.105194	0.056135	0.0309078
d	0.000104975	0.000456523	0.00103651	0.00165935	0.00279183	0.000274989	0.000917752	0.0018911	0.00703481	0.0123997	0.000453484	0.0536063	0.144483	0.133533	0.141586	0.171352	0.163382	0.0866966	0.0763388
e	0.000531767	0.000307741	0.000416934	0.000292115	0.000411309	3.46263e-05	0.000309201	0.000643843	0.00253503	0.00210078	0.000794877	0.0213711	0.0620431	0.178519	0.0828345	0.0483547	0.0749095	0.233735	0.289854
ó	0.000140531	3.72957e-05	0.000616975	0.000346593	0.000493791	7.29582e-05	0.000576725	0.000383606	0.00235478	0.00772506	0.000177601	0.0391638	0.0714407	0.0563605	0.109051	0.161481	0.301719	0.120111	0.127747
d	0.000662521	0.000496473	0.001068	0.00102386	0.000877008	9.17542e-05	0.000863305	0.00176958	0.0104052	0.00709469	0.000424806	0.0268086	0.0255342	0.0400498	0.0409281	0.104533	0.250919	0.334009	0.15244
i	5.77647e-05	4.36205e-05	0.000246638	0.000569241	0.000147216	2.59676e-06	0.000100752	0.000482856	0.00504797	0.00166218	0.00122253	0.0118416	0.0167338	0.0436113	0.0221989	0.0541213	0.253262	0.156308	0.43234
b	5.66434e-05	1.10845e-05	0.000312872	0.000577921	0.000237406	1.22413e-05	0.000137613	0.000204303	0.00352453	0.00790168	0.00118575	0.0279799	0.0401553	0.0448485	0.050853	0.122805	0.354448	0.132925	0.211824
v	9.68822e-05	1.55836e-05	0.000169251	0.000496048	0.00111911	0.000251156	0.000143745	0.000536333	0.00235991	0.00653739	5.78895e-05	0.00975749	0.0258534	0.0166576	0.0316709	0.157473	0.442453	0.2352	0.0691521
á	0.000544745	0.00024751	0.000153897	0.000463336	0.00137518	0.00108399	0.000183789	0.000785503	0.00302701	0.00988298	9.24546e-05	0.0168483	0.0422985	0.0528815	0.0875338	0.184852	0.271397	0.174181	0.152167
n	0.000910531	3.79108e-05	0.000811052	0.00051284	0.00127472	0.00057294	0.000484219	0.000579116	0.00133912	0.00677345	0.000292036	0.00836324	0.0208317	0.0458612	0.0595119	0.102028	0.154171	0.231416	0.364229
y	0.00140844	9.29601e-05	0.000267028	0.000163804	0.000328093	3.30551e-05	0.000313703	0.000504562	0.00396995	0.0044557	0.000241957	0.0103435	0.0306888	0.0469196	0.0257751	0.032637	0.186995	0.365011	0.289851
i	0.00066233	5.32842e-05	0.000521385	0.000290094	0.000294745	2.24562e-05	0.000136261	0.000321249	0.00378085	0.00485214	0.000299732	0.0125772	0.0242508	0.0292409	0.0180825	0.0288845	0.14402	0.346957	0.384752
k	1.57549e-05	3.59465e-06	1.80393e-05	1.7518e-05	2.50845e-05	1.05853e-05	7.19845e-06	3.60667e-05	0.000533481	0.000667593	7.54831e-05	0.0016238	0.00759363	0.00795271	0.00843212	0.0250975	0.0725893	0.666064	0.209236
a	0.000122303	2.9013e-05	0.000235078	0.000706699	0.000972542	0.000211147	0.000105744	0.000248697	0.00144178	0.00232915	2.9665e-06	0.00628861	0.00697619	0.00467438	0.0150427	0.0376051	0.168117	0.403256	0.351635
á	0.000184854	3.22128e-05	0.000261294	0.000228376	0.000443936	0.000277114	0.000202689	0.000315751	0.00146117	0.00340212	2.51589e-05	0.0103295	0.017259	0.0280981	0.0590712	0.128414	0.10503	0.198719	0.446245
</S>	0.0010409	0.000431002	0.00279565	0.00370401	0.0033608	0.000235164	0.00590343	0.00525161	0.0079879	0.00582179	0.000711168	0.0474215	0.0245629	0.0267337	0.0316353	0.0280073	0.139422	0.129268	0.535705
