 	cet	homme	avait	éprouvé	une	grande	honte	le	jour	où	on	l'	avait	pris	en	adultère	</S>
á	0.00023217	0.000578562	0.00926929	0.00793296	0.0136772	0.0490502	0.147214	0.0703265	0.36032	0.0931956	0.17169	0.0261758	0.0159102	0.0133829	0.00434938	0.0145728	0.00212165
á	0.000495482	0.00110378	0.0214885	0.0105093	0.00728108	0.0271337	0.0987954	0.0616854	0.240239	0.0926555	0.267583	0.0661073	0.0773713	0.00752839	0.00826703	0.00527284	0.00648312
p	0.000280357	0.00223626	0.0377918	0.00304421	0.0197967	0.0353388	0.106367	0.122783	0.0915734	0.122249	0.198014	0.150251	0.055907	0.0144604	0.00880282	0.0065485	0.0245568
i	0.000257836	0.000177543	0.00247057	0.0190538	0.0623665	0.0412552	0.0443567	0.0240826	0.0870847	0.0330679	0.149925	0.0999741	0.0470037	0.320315	0.0226076	0.0158531	0.0301486
á	0.000535903	0.000350436	0.00703596	0.00728101	0.0275631	0.0305341	0.0561553	0.0474519	0.098163	0.0559512	0.250002	0.125329	0.0722978	0.106544	0.0168004	0.00826604	0.0897386
b	0.000273604	0.000611013	0.0177804	0.00061447	0.00395939	0.00606204	0.0245857	0.04108	0.0409075	0.122447	0.260861	0.23224	0.151261	0.0358124	0.0221943	0.0128545	0.0264559
á	0.000491909	0.000229296	0.00962579	0.00289753	0.00486491	0.0068148	0.026472	0.0282553	0.150389	0.0882506	0.384327	0.0754963	0.0655007	0.0745938	0.036755	0.033795	0.0112408
a	0.000445389	0.000526467	0.00834156	0.00086584	0.00237746	0.0035599	0.0107648	0.0179013	0.060446	0.0660208	0.288609	0.133063	0.244952	0.0845441	0.0309388	0.0192948	0.0273492
d	6.27033e-05	0.000282279	0.00433943	0.00142076	0.00645859	0.00819089	0.0145188	0.0155335	0.021048	0.03754	0.162762	0.199678	0.121813	0.238769	0.0759588	0.0399825	0.0516416
í	0.000106118	1.3662e-05	0.000950065	0.000219071	0.00778766	0.00652423	0.026566	0.0140149	0.0207442	0.0242409	0.171548	0.225599	0.0653029	0.219476	0.0416161	0.0502978	0.124993
a	0.000277438	5.35562e-05	0.00530552	8.70241e-05	0.00185471	0.00353521	0.0167034	0.0221708	0.0249804	0.0487093	0.148653	0.175669	0.117259	0.19934	0.0874619	0.0345969	0.113342
m	7.44294e-05	0.000467894	0.00597581	0.00206645	0.0114083	0.00961834	0.00948225	0.00915951	0.00554541	0.0100602	0.0433451	0.0792345	0.0596252	0.275124	0.235357	0.161729	0.0817268
ó	0.0045587	0.000671914	0.00571743	0.000199866	0.0138199	0.0215471	0.0190351	0.0267342	0.00833665	0.0303332	0.034474	0.141536	0.0631622	0.0830427	0.297341	0.0881529	0.161337
b	0.00185228	0.000422476	0.00370925	6.2006e-05	0.0103922	0.0224282	0.0189534	0.0283966	0.004734	0.0122148	0.0131389	0.0681832	0.0200469	0.0818088	0.209347	0.473659	0.0306511
ω	0.000497943	0.000251841	0.00683628	0.00218612	0.0102088	0.0258161	0.0257683	0.0257815	0.0236027	0.0206119	0.0679413	0.058222	0.0385836	0.273688	0.205791	0.190625	0.0235877
s	0.000114997	8.95516e-05	0.00133244	0.00219302	0.000997484	0.0036839	0.0125144	0.00838058	0.0124102	0.00875676	0.0283067	0.0192753	0.017558	0.223808	0.101457	0.533961	0.0251605
i	7.21155e-06	6.55318e-06	0.000130573	0.000656736	0.00398919	0.00331183	0.00374381	0.00344836	0.0094464	0.008557	0.0222988	0.0281567	0.021415	0.631786	0.0763442	0.0793428	0.107359
</S>	0.000165843	3.44263e-05	0.000901263	3.91521e-05	0.00167229	0.00291995	0.00366492	0.0113332	0.00534238	0.0171565	0.0180233	0.0468597	0.0324188	0.0940189	0.166747	0.028705	0.569997
