 	le	côté	paternel	de	ma	femme	m'	a	exigé	beaucoup	d'	argent	pour	la	dot	</S>
n	0.00132681	0.00323239	0.0014217	0.0209209	0.0563944	0.0122301	0.299953	0.182392	0.119252	0.134663	0.0789792	0.0227584	0.0251807	0.0221989	0.00428377	0.0148131
g	0.00302612	0.00231601	0.000342052	0.0156391	0.117055	0.00595431	0.322995	0.0597863	0.0455018	0.218978	0.0572115	0.1109	0.014853	0.0126571	0.00292957	0.00985489
á	0.000627521	0.000619302	0.000892207	0.0172963	0.138137	0.0443525	0.396275	0.0342238	0.0175657	0.0953496	0.02882	0.205286	0.00583402	0.00699274	0.00348962	0.00423891
m	0.000664472	0.000832027	0.000597899	0.0083285	0.0171677	0.000837141	0.0393325	0.0590607	0.0521495	0.306939	0.268418	0.101181	0.0696987	0.0565473	0.00888445	0.00936095
b	0.00152778	0.000295955	0.00038253	0.00553067	0.0222328	0.00464553	0.0110531	0.0315586	0.0223497	0.0753944	0.124068	0.511436	0.0817382	0.0557946	0.00311403	0.0488778
ώ	0.000770384	6.86391e-05	2.77921e-05	0.00398972	0.0116149	0.00167211	0.00170763	0.0209527	0.0902457	0.0559065	0.149665	0.557955	0.0799408	0.0155022	0.00335497	0.00662612
n	0.000797601	0.000865564	0.00027713	0.00463641	0.00330669	0.00119237	0.00256878	0.0159135	0.0985743	0.0579098	0.180699	0.407176	0.172313	0.0222674	0.0197501	0.0117521
g	0.00312285	0.00176367	0.000882788	0.0144112	0.014684	0.00132164	0.0200958	0.0328001	0.155779	0.211443	0.204017	0.111718	0.100206	0.042026	0.0179402	0.067789
ω	0.00212561	0.00185496	0.000353169	0.0113697	0.0275824	0.00370154	0.0373655	0.0166985	0.0188859	0.195901	0.118481	0.481794	0.0524754	0.0130835	0.00304256	0.015285
n	0.000348824	0.000570143	0.000205088	0.00437458	0.0101953	0.000709929	0.0333216	0.0360661	0.027194	0.173421	0.176905	0.0717101	0.251266	0.163629	0.0178032	0.0322804
d	0.00165803	0.00167311	0.000299829	0.0113611	0.00890924	0.00112143	0.109008	0.0337715	0.0158873	0.182281	0.134732	0.190929	0.101488	0.0935048	0.0210081	0.0923673
z	0.000287989	0.00013862	0.000642163	0.00553778	0.0153123	0.00335192	0.105854	0.0125472	0.00783286	0.153678	0.107414	0.310448	0.082811	0.0753378	0.0198117	0.098995
í	0.000151618	0.000140406	0.000152446	0.00520332	0.00852477	0.00133802	0.0158619	0.0168751	0.0108285	0.210339	0.199148	0.200995	0.129159	0.0594032	0.00805511	0.133825
í	5.36984e-05	4.05216e-05	0.000918966	0.00986996	0.00974324	0.00284201	0.0139068	0.0323622	0.0350996	0.0991186	0.102426	0.0515653	0.14291	0.0691244	0.00996056	0.420058
m	8.95468e-05	0.000308058	0.000235255	0.00129566	0.00168395	0.000157451	0.0227022	0.0180913	0.0064646	0.0741828	0.0960894	0.0421911	0.254417	0.244488	0.0477951	0.189809
í	0.00256659	0.00121154	0.00044183	0.0144529	0.0159217	0.0020994	0.00895258	0.0237826	0.00503064	0.0452946	0.0972816	0.106036	0.224728	0.262067	0.0318501	0.158283
t	0.000417275	0.000502106	0.000632427	0.00561933	0.00442957	0.000198938	0.0185377	0.0134708	0.0123846	0.05625	0.0669645	0.0262546	0.177429	0.154324	0.364768	0.0978176
ώ	0.000223818	0.000346175	0.00380126	0.00571571	0.00120397	0.000144869	0.00103621	0.00915825	0.00565359	0.0247275	0.0825509	0.00414631	0.120011	0.100936	0.576269	0.0640761
ω	4.49308e-05	5.79271e-05	0.000371342	0.0003274	0.000459265	2.8935e-05	0.000927303	0.00266581	0.00992079	0.0222816	0.0570324	0.0125528	0.119626	0.114832	0.582027	0.0768443
l	0.000229956	0.000425623	0.000123254	0.00132576	0.000728067	0.0001014	0.0026215	0.00580893	0.00348132	0.0304847	0.0448167	0.0124993	0.21172	0.333457	0.192044	0.160132
á	0.000675662	0.000361354	0.000764322	0.00546027	0.00151253	9.07963e-05	0.00231185	0.00446797	0.0105551	0.0286643	0.0327972	0.0064001	0.0792341	0.125521	0.274712	0.426472
m	0.000874641	0.0016502	0.00154974	0.0114247	0.0244217	0.000508122	0.0623239	0.00791926	0.00277166	0.0564753	0.0395837	0.0309179	0.0838062	0.298486	0.1661	0.211186
w	0.000616411	0.000665253	0.000419484	0.0147932	0.0287165	0.00868589	0.0107082	0.0196378	0.00481534	0.0499609	0.07809	0.202322	0.134463	0.261922	0.0447209	0.139463
á	0.00474416	0.000757346	0.000620457	0.00520095	0.0561845	0.00724205	0.0103987	0.0103287	0.0081611	0.0229438	0.0475813	0.497042	0.135359	0.0441325	0.0627868	0.0865169
n	0.00263079	0.000832061	9.45027e-05	0.00165379	0.0111466	0.000151188	0.00325913	0.0125487	0.0247441	0.0286489	0.0730888	0.25486	0.173987	0.180052	0.0489739	0.183327
a	0.0026257	0.00206878	0.00247037	0.0104739	0.0184212	0.00563589	0.0120129	0.0119771	0.00628711	0.0316838	0.0506084	0.107694	0.103	0.127784	0.0259243	0.481333
y	0.00101218	0.00154499	0.00153829	0.00443209	0.0029281	0.0008421	0.00944695	0.0086216	0.00462942	0.0387926	0.0430705	0.0195931	0.151798	0.211673	0.078277	0.421799
a	0.000878875	0.00091599	0.00235345	0.0187208	0.018507	0.00183466	0.011729	0.0129803	0.00372269	0.0454812	0.0406301	0.0218319	0.0793395	0.269218	0.179403	0.292453
b	0.00305596	0.00154171	0.000609646	0.0250155	0.0531522	0.000940317	0.0364114	0.00994078	0.00403956	0.0524324	0.0266293	0.0117129	0.0382575	0.271256	0.106151	0.358854
á	0.00397721	0.0203373	0.000583974	0.0162571	0.0125524	0.00106742	0.0237878	0.024693	0.032535	0.0321517	0.0559336	0.0155954	0.121554	0.208891	0.311161	0.118922
a	0.00264954	0.00620417	0.0051341	0.0158291	0.0170172	0.000286236	0.0341161	0.0138594	0.0143487	0.0539173	0.0567296	0.0369095	0.0929734	0.138558	0.349155	0.162313
</S>	0.00127381	0.00105137	0.000880296	0.00612996	0.00273762	0.000761666	0.00547313	0.00735969	0.00628934	0.0195657	0.0257842	0.00389991	0.0716717	0.180664	0.145182	0.521276
