 	il	a	enterré	un	fétiche	au	milieu	de	la	route	ensuite	il	m'	a	maudit	</S>
y	0.000274889	0.00103805	0.00123197	0.0114442	0.0302571	0.0561829	0.109517	0.14333	0.207675	0.123695	0.0271003	0.172424	0.0151759	0.0552061	0.00659684	0.0388506
ó	0.000721893	0.00130698	0.000620129	0.0125124	0.00624538	0.053312	0.241758	0.148221	0.122879	0.0718263	0.134595	0.148621	0.0110529	0.00844848	0.00302493	0.0348553
p	0.00162095	0.00058843	0.000185633	0.00534493	0.00280438	0.0206785	0.13433	0.0667079	0.0668883	0.0583339	0.23431	0.363203	0.0156669	0.00733775	0.0115929	0.0104067
o	0.000335434	0.00068721	0.00154901	0.00690492	0.00744833	0.0300024	0.0374815	0.0590403	0.0786716	0.428834	0.0738229	0.244023	0.00108855	0.0058913	0.00955999	0.0146597
n	0.000536173	0.000608186	0.00168055	0.00412552	0.00220365	0.0174627	0.0434899	0.0314275	0.061906	0.377287	0.263232	0.170791	0.0010873	0.00342821	0.0104061	0.0103272
g	0.00103843	0.00243888	0.00609262	0.00412268	0.00354246	0.0116245	0.0194181	0.035332	0.108138	0.164671	0.427766	0.123138	0.00190668	0.00519749	0.0103043	0.0752692
a	0.000943978	0.000966523	0.00098795	0.00143132	0.00205496	0.0118284	0.067726	0.0728303	0.114586	0.0332396	0.336074	0.268332	0.0535256	0.00460963	0.00341269	0.0274515
l	0.00194006	0.00517937	0.00186831	0.00477485	0.00696421	0.0122001	0.0330789	0.0352175	0.079722	0.0375487	0.0770689	0.246148	0.0851811	0.173355	0.0389669	0.160786
ó	0.00322689	0.00425261	0.00121488	0.00675377	0.00824443	0.0153435	0.0307243	0.028591	0.0483645	0.0113986	0.0995568	0.0793028	0.13276	0.121932	0.0481436	0.36019
p	0.000635711	0.000387701	0.000119552	0.00386445	0.00306805	0.00947864	0.0376372	0.0233591	0.0413801	0.0245972	0.0868711	0.254046	0.0999532	0.110612	0.0764973	0.227492
f	9.314e-05	0.00060897	0.00312234	0.0083956	0.00863067	0.0203595	0.0199296	0.0282653	0.0699576	0.254113	0.0637585	0.152273	0.00723552	0.0971091	0.153266	0.112882
a	0.000104877	0.000893574	0.017448	0.0166705	0.0125887	0.0284537	0.045924	0.0181505	0.0451738	0.0490085	0.0259687	0.108227	0.0115375	0.141087	0.200625	0.278139
a	0.000140181	0.000231815	0.000809268	0.00250648	0.00215251	0.00387958	0.0130237	0.00602247	0.0129209	0.0304546	0.00984623	0.1195	0.0382335	0.161868	0.173184	0.425226
k	0.000314954	0.00108495	0.0018623	0.00715896	0.00849103	0.00967112	0.0178544	0.012126	0.0167778	0.0048901	0.00811096	0.0360052	0.0680553	0.28657	0.200676	0.320351
w	4.74675e-05	0.00032987	0.00545362	0.00504597	0.0193266	0.0162937	0.00565932	0.0151701	0.0354036	0.0535633	0.00820627	0.0456135	0.00405759	0.123206	0.277291	0.385333
ε	0.000592043	0.00015348	0.00163448	0.00559341	0.0240212	0.0120885	0.0152437	0.02808	0.0354182	0.0492426	0.014913	0.249864	0.0610906	0.0741828	0.204687	0.223195
r	6.09227e-05	9.12692e-05	0.000460049	0.00407772	0.00365086	0.00745157	0.0222537	0.0241255	0.0404989	0.031394	0.0236097	0.185531	0.0209533	0.0582954	0.0649439	0.512602
í	0.000386226	0.000381175	0.000630153	0.00267994	0.00281299	0.00786159	0.0494968	0.0337396	0.064528	0.0146172	0.0943084	0.14151	0.122344	0.104127	0.0713151	0.289263
i	0.000925428	0.000303729	0.000204707	0.00323567	0.00366154	0.0041147	0.0203635	0.0114151	0.0130913	0.0028301	0.00529218	0.0639494	0.36068	0.204885	0.0264537	0.278594
s	0.00232873	0.00183055	0.00232171	0.0071419	0.0110386	0.0150056	0.0235433	0.0170493	0.0215073	0.00980756	0.0170684	0.026935	0.0798617	0.141143	0.146143	0.477274
é	7.97951e-05	0.000888736	0.0012228	0.00339591	0.00114011	0.00805846	0.0598819	0.00391655	0.00572295	0.0024256	0.00673442	0.00844787	0.034284	0.081541	0.212672	0.569587
b	1.67287e-05	6.32273e-05	0.000138151	0.000794875	0.000561674	0.00170478	0.0116376	0.00278397	0.00509484	0.0021944	0.00788802	0.0227902	0.0289529	0.0703555	0.144245	0.700779
h	7.56644e-05	0.000173226	0.000932396	0.00170052	0.0040937	0.00504497	0.0105244	0.00830882	0.0156061	0.0177866	0.00377775	0.0491611	0.0413108	0.180968	0.241685	0.418851
i	3.18072e-05	6.5561e-05	0.00154305	0.00357944	0.00603352	0.00638788	0.0117674	0.0140817	0.0247795	0.00775969	0.00564479	0.0709748	0.015484	0.0825291	0.126334	0.623003
m	0.000149097	0.00020424	0.00105517	0.00832361	0.00687154	0.0108362	0.0197468	0.0181672	0.0242611	0.0162158	0.00862538	0.0855676	0.0283686	0.111149	0.124464	0.535995
ó	0.000776833	0.00105644	0.00068157	0.0317276	0.0155256	0.0376787	0.137042	0.0380766	0.0296369	0.00277586	0.0234542	0.0967131	0.0444434	0.0500287	0.0769893	0.413393
n	0.000562198	0.000666075	0.00145005	0.0108793	0.0115095	0.0178933	0.0399256	0.0255521	0.0284825	0.00894998	0.0214007	0.0804523	0.085018	0.117246	0.126433	0.423579
g	0.000850515	0.000298953	0.000120185	0.00210224	0.00152889	0.00583436	0.0493904	0.0202587	0.0185875	0.000721125	0.0644857	0.0354704	0.47026	0.032734	0.0347357	0.262621
á	0.000238375	0.000392821	0.000188827	0.000508394	0.000448877	0.00147194	0.0124253	0.00563915	0.00626704	0.000568007	0.0637871	0.0203538	0.747121	0.0321543	0.0151977	0.0932373
</S>	0.000717121	0.000132242	4.73668e-05	0.00180678	0.00135185	0.00301764	0.00909149	0.010134	0.0127693	0.00453651	0.0528332	0.129132	0.0519676	0.0539851	0.1053	0.563178
