 	je	n'	accepte	pas	de	partir	à	la	chasse	avec	toi	car	tu	es	faible	</S>
o	0.00135609	0.0163078	0.0942338	0.17647	0.333967	0.159218	0.128903	0.047242	0.0105238	0.012995	0.00631807	0.00610329	0.00270473	0.00197092	0.00075297	0.000932726
d	0.000409039	0.0168178	0.054984	0.0966158	0.115817	0.517592	0.095947	0.0432243	0.0480727	0.00470006	0.0010652	0.000584153	0.000116746	0.000367163	0.00215794	0.0015292
z	0.000212157	0.00426767	0.00643358	0.0267718	0.0280317	0.81841	0.0479274	0.0313961	0.0186458	0.00461166	0.000683687	0.000601226	4.69967e-05	0.000141742	0.00396748	0.00785124
w	0.000343666	0.00466482	0.00145691	0.0033711	0.00262604	0.968774	0.00681915	0.00398338	0.00172542	0.00162384	0.000534279	0.000492041	5.66244e-05	0.000348276	0.00185995	0.00132076
á	0.000211694	0.0229384	0.0327653	0.0468876	0.0721785	0.225925	0.160512	0.134644	0.0456393	0.0386264	0.0205286	0.0275292	0.00360504	0.00658691	0.0146088	0.146813
o	0.00064147	0.00807663	0.0227813	0.0568351	0.12983	0.202304	0.274929	0.194517	0.03602	0.0280315	0.0171402	0.00793213	0.00240965	0.00377539	0.00548742	0.00928972
k	0.00075963	0.0138658	0.0283237	0.0357815	0.0719272	0.100682	0.113233	0.190726	0.34986	0.0531936	0.0210828	0.0055771	0.00125338	0.00238643	0.00774274	0.00360487
i	3.28381e-05	0.000742856	0.00826974	0.0188427	0.0240325	0.0691761	0.0333584	0.0759264	0.610072	0.0921166	0.0125465	0.0163929	0.00209643	0.0017631	0.0148618	0.019769
a	1.44372e-05	0.000487317	0.00642543	0.019095	0.0317995	0.0547321	0.0540188	0.0995082	0.565184	0.104702	0.0167773	0.0207426	0.00416978	0.00145371	0.00306875	0.0178202
l	7.13813e-05	0.000812537	0.00157564	0.00985156	0.0261158	0.0110081	0.109587	0.231017	0.166155	0.217846	0.115061	0.0780021	0.0101927	0.00300416	0.00111933	0.0185804
a	0.00106145	0.00333664	0.00176491	0.0158416	0.0214639	0.0226485	0.0493955	0.115501	0.120863	0.161004	0.134295	0.105822	0.0440635	0.0281343	0.0222148	0.15259
n	0.000244029	0.000919295	0.000546647	0.00336466	0.0103783	0.00665469	0.0349337	0.0963112	0.0686884	0.24315	0.227917	0.169804	0.061149	0.026236	0.0103162	0.0393865
ω	0.0023663	0.000684366	0.000359406	0.00127872	0.00168874	0.000654006	0.00601006	0.0215784	0.00953258	0.0386682	0.682032	0.0388043	0.109425	0.0677562	0.00684068	0.0123208
k	0.000217917	0.000590608	8.21881e-05	0.000744131	0.00192517	0.00149377	0.0162589	0.0307167	0.0191294	0.0969192	0.323595	0.116631	0.152356	0.169704	0.0204068	0.0492307
a	0.000264035	0.000557898	0.00344082	0.0169714	0.020349	0.0187559	0.0549567	0.117428	0.294346	0.289989	0.0355019	0.114271	0.00420369	0.00174943	0.00484469	0.0223709
á	0.00021477	0.000402477	0.00388084	0.0054344	0.00896994	0.0159295	0.0312498	0.0738003	0.224083	0.211567	0.0535024	0.171778	0.0228441	0.00572186	0.00930485	0.161317
t	0.000768288	0.00315352	0.000793268	0.00556426	0.00913186	0.00311775	0.0324135	0.0468853	0.0274986	0.0897805	0.124364	0.21875	0.238192	0.114818	0.0105061	0.074264
s	0.000460207	0.000951278	0.000908317	0.0123391	0.017564	0.0122353	0.0285442	0.0593291	0.0957223	0.147429	0.0666325	0.25115	0.083707	0.0809647	0.0463326	0.0957296
í	4.10059e-05	0.000193353	0.000328634	0.00221125	0.00292354	0.00260812	0.0133671	0.0399195	0.0435976	0.122682	0.10667	0.356472	0.183758	0.0711231	0.0109581	0.0431467
n	0.000291342	0.00104978	0.000787083	0.00276394	0.00813174	0.00525808	0.0191608	0.0389218	0.0336763	0.0737551	0.0875914	0.345237	0.211993	0.0766404	0.0247057	0.0700363
a	0.00126647	0.00100046	0.000371552	0.00201475	0.00127965	0.00187642	0.00434788	0.0154297	0.00812035	0.0604837	0.239216	0.248899	0.207007	0.0763344	0.0292014	0.103151
n	3.92502e-05	0.000280328	5.6739e-05	0.00125312	0.00379626	0.00135221	0.018155	0.0340152	0.0169844	0.0654421	0.120661	0.232385	0.29057	0.145478	0.00804865	0.0614827
ω	0.00119152	0.00045319	3.03681e-05	0.000526161	0.000474464	0.000477751	0.0017432	0.00485618	0.00128314	0.0207634	0.294201	0.0926153	0.300847	0.212426	0.0267338	0.0413776
o	2.86669e-05	0.000107131	1.13044e-05	0.00023978	0.000572325	0.000469754	0.00462842	0.00862625	0.00477099	0.0264277	0.0846798	0.13423	0.215332	0.31058	0.0359485	0.173347
d	0.000255961	0.0202474	0.00959608	0.0454467	0.0633737	0.0405166	0.0464881	0.05669	0.0471023	0.040614	0.0210111	0.033229	0.024816	0.203365	0.245297	0.101951
i	0.000159784	0.00706223	0.00267047	0.00847839	0.00724513	0.0119331	0.0233347	0.040781	0.0128634	0.0176626	0.0128878	0.0227555	0.0187975	0.0379556	0.115207	0.660206
f	2.00141e-05	0.00130538	0.00161676	0.0124751	0.0239909	0.00891657	0.060197	0.118998	0.0730433	0.0496265	0.0262314	0.0477222	0.0262867	0.0650639	0.096935	0.387572
ε	9.72522e-05	0.000643269	0.00359069	0.0054473	0.00562546	0.00859978	0.00698594	0.0259836	0.0529213	0.0814704	0.0334437	0.142981	0.0452545	0.0582966	0.370658	0.158001
n	2.81911e-05	0.000140514	0.000734486	0.000695038	0.0018752	0.00183624	0.00502255	0.0136422	0.032918	0.0402126	0.0456167	0.117175	0.0754376	0.232067	0.253688	0.17891
y	9.5326e-05	0.000132184	0.000191073	0.000569898	0.00164129	0.00110047	0.00330254	0.0120287	0.00898676	0.0218481	0.11009	0.0748899	0.0963219	0.19758	0.423202	0.0480201
έ	6.07337e-05	0.00010341	0.000471642	0.000585407	0.000866671	0.00242322	0.00371443	0.00858235	0.00747331	0.0181925	0.0426285	0.102747	0.0689073	0.199497	0.405308	0.138439
ε	6.29678e-06	6.96055e-05	0.000244931	0.00113906	0.00287815	0.0008251	0.00518152	0.00993429	0.00480106	0.0139389	0.0316235	0.0742913	0.0449085	0.0518916	0.0816117	0.676655
f	0.000183605	0.00104878	0.00213018	0.0082832	0.0132182	0.00352663	0.0137297	0.0168117	0.0118135	0.017428	0.0383882	0.060444	0.0625408	0.148465	0.214178	0.387811
ε	7.36156e-05	0.000553008	0.00380329	0.00766936	0.0114858	0.0115745	0.0163956	0.0311248	0.065532	0.117994	0.0481212	0.155513	0.022906	0.0283834	0.379971	0.098899
n	5.72513e-05	9.55078e-05	0.000650943	0.000482797	0.00153223	0.00101983	0.00195153	0.00585721	0.0151748	0.0456176	0.0651632	0.131353	0.0401114	0.0803178	0.444129	0.166486
y	0.000132501	9.60505e-05	0.000436215	0.000483225	0.00136108	0.000637133	0.00243512	0.00801768	0.00948839	0.0248184	0.101565	0.102776	0.090083	0.183872	0.395949	0.077849
έ	0.000514712	0.000618338	0.00110424	0.00116205	0.00127949	0.00248034	0.00315026	0.00657578	0.00382367	0.0200806	0.0895065	0.158426	0.105512	0.203089	0.255975	0.146702
ε	7.05561e-05	0.000175051	0.000266601	0.00161211	0.00326051	0.000675252	0.00333289	0.00570057	0.00631992	0.0141567	0.0643693	0.129104	0.131471	0.115569	0.0963296	0.427587
</S>	0.00018368	0.00156733	0.00325621	0.013674	0.032237	0.0101038	0.0255272	0.0267861	0.0151724	0.0266361	0.0365375	0.0696555	0.0444627	0.132482	0.131899	0.42982
