 	ngala	a	calé	avec	une	pierre	son	panier	de	manioc	qui	a	failli	tomber	</S>
á	2.97192e-05	0.00306418	0.00360449	0.00912172	0.0202271	0.0483382	0.212854	0.223107	0.131961	0.0106186	0.1879	0.0336835	0.000359861	0.00577124	0.10936
á	0.000644266	0.00334146	0.00115194	0.00577979	0.00921713	0.0316413	0.0598827	0.113232	0.134876	0.154148	0.186558	0.111777	0.0939253	0.059303	0.0345217
y	0.000440274	0.00103198	0.00207637	0.00148817	0.00143607	0.00346501	0.00622989	0.0114526	0.0137302	0.0352153	0.039358	0.210418	0.623095	0.0293939	0.0211683
é	8.49342e-05	0.000452499	0.00147176	0.000590127	0.000948075	0.000132818	0.00362246	0.00862652	0.0133173	0.00174651	0.0278328	0.0817532	0.843937	0.00551185	0.009972
n	2.65785e-05	0.000192581	0.000462086	0.000735678	0.00259716	0.000898541	0.0148569	0.0168079	0.0150591	0.00510391	0.0349041	0.0795012	0.750466	0.0226626	0.0557252
g	4.742e-05	0.000419968	0.00086462	0.00543936	0.010069	0.0048936	0.0192115	0.050142	0.0801875	0.0170064	0.0709144	0.187394	0.484741	0.0458634	0.0228055
í	0.000129991	0.0010669	0.000461621	0.00853187	0.0385485	0.00926743	0.0826311	0.107386	0.12856	0.0181587	0.108189	0.096176	0.297949	0.0392946	0.0636482
o	4.06002e-05	0.00140622	0.000650575	0.00313549	0.00368822	0.00993539	0.0332003	0.0700973	0.0826078	0.0325012	0.17972	0.214756	0.0900073	0.131169	0.147085
b	4.15394e-05	0.00131965	0.00546399	0.00414643	0.00541745	0.00704521	0.004778	0.00696154	0.00626322	0.00954699	0.013592	0.0622271	0.258644	0.542658	0.0718948
v	1.17202e-05	0.0014576	0.00392562	0.0175489	0.0279004	0.0495676	0.016603	0.0194407	0.0250075	0.0449284	0.0187178	0.0337681	0.0103686	0.67599	0.0547639
a	1.27848e-05	0.00170355	0.00490907	0.00752914	0.00545642	0.0187836	0.0129149	0.0162938	0.0285618	0.0440249	0.0277013	0.0435848	0.0110156	0.727418	0.0500902
m	2.2123e-05	0.000123092	0.000663643	0.000499109	0.000529227	0.00143591	0.0015206	0.00293891	0.00526276	0.00359001	0.0145908	0.0398383	0.0701839	0.427968	0.430834
í	5.99379e-06	0.00175418	0.0083199	0.0113555	0.018765	0.0272149	0.0595188	0.0646066	0.0721762	0.0102225	0.101258	0.0706525	0.00478749	0.28544	0.263922
b	3.74749e-05	0.00109988	0.000482449	0.00367994	0.00341136	0.011318	0.0113782	0.0174381	0.0233801	0.012093	0.0288127	0.0317508	0.0314902	0.513467	0.310161
v	3.11771e-05	0.000714953	0.0011047	0.00369062	0.00180719	0.01018	0.00471641	0.00685282	0.0112821	0.0231709	0.00670722	0.0232555	0.00427858	0.802233	0.099975
e	2.6787e-05	0.000472361	0.00120324	0.00203791	0.000771989	0.00718034	0.00339118	0.00467665	0.00813517	0.00496885	0.00548827	0.0107411	0.00268945	0.907088	0.0411287
</S>	4.4268e-06	4.23425e-05	0.000173193	0.000181742	0.00032299	0.000929383	0.000779842	0.000779289	0.000947395	0.000643975	0.00209384	0.00450829	0.0161123	0.732742	0.239739
