 	ma	femme	a	un	foulard	rouge	celui	de	ta	femme	est	noir	</S>
y	0.00212107	6.68056e-05	0.00179935	0.00168202	0.000806749	0.0205595	0.0802263	0.0994853	0.130812	0.0517734	0.436858	0.0383588	0.135451
a	0.000481072	0.000259212	0.00377031	0.00533126	0.00322385	0.124549	0.144821	0.21504	0.21409	0.0727089	0.0996866	0.0738442	0.0421942
n	9.26408e-05	1.11199e-05	0.000396661	0.000757739	0.00069545	0.0228765	0.0769858	0.147473	0.26022	0.0331065	0.198584	0.0593329	0.199467
ω	0.00146469	8.63922e-05	0.00026417	0.00126707	0.00216189	0.0190943	0.061046	0.0766121	0.432764	0.0382362	0.0597914	0.0728332	0.234379
í	9.54384e-05	0.000101656	0.000613677	0.00113372	0.0010219	0.00999837	0.01756	0.0189986	0.0164619	0.0691637	0.152641	0.0886811	0.623529
d	0.000175447	0.000446253	0.0124222	0.0153236	0.0033954	0.00532567	0.00928009	0.0177533	0.0219124	0.0202303	0.292936	0.20383	0.39697
í	2.34516e-05	0.000110195	0.00142277	0.00395557	0.00153709	0.00358557	0.00620976	0.0127026	0.0115769	0.00676596	0.205914	0.0743161	0.67188
p	0.000105525	3.25245e-05	0.00149057	0.00285871	0.00120321	0.0140592	0.0259753	0.0587123	0.0646765	0.00879737	0.335178	0.0445153	0.442395
i	0.000139927	4.39817e-05	0.00148506	0.00352899	0.00281506	0.00870791	0.0148153	0.0683337	0.0570353	0.00681723	0.131439	0.46934	0.235498
</S>	0.000162298	1.32098e-05	0.000814204	0.00225072	0.00104946	0.0115309	0.0114281	0.0457462	0.044964	0.00780232	0.113629	0.179235	0.581374
