 	après	avoir	abattu	l'	arbre	la	souche	demeure	plantée	dans	le	champ	</S>
ú	0.000472251	0.00156156	0.00163393	0.0238999	0.644989	0.216763	0.0261085	0.051157	0.00284031	0.0221241	0.00524992	0.000905039	0.00229542
a	0.0234181	0.0137727	0.0436477	0.137825	0.415219	0.174033	0.127098	0.0281182	0.0122194	0.0150839	0.00539289	0.000257708	0.00391445
e	0.00116916	0.00189437	0.00781645	0.0599463	0.175342	0.498085	0.151103	0.0181657	0.0200086	0.0245821	0.00710251	7.63049e-05	0.0347084
n	0.0107332	0.0166486	0.0329273	0.0450901	0.0665821	0.175205	0.313579	0.159605	0.0620685	0.062035	0.015578	0.000869009	0.0390799
g	0.0142889	0.00460454	0.00395132	0.017273	0.0082451	0.12578	0.701304	0.0284287	0.0561042	0.0159875	0.00415452	0.00158878	0.0182903
i	0.000777339	0.000447762	0.00146382	0.00419343	0.00207298	0.0147178	0.859649	0.0710692	0.0278261	0.00269034	0.00129265	0.0124363	0.0013638
n	0.000326985	0.00116447	0.00626044	0.0307356	0.015036	0.0893757	0.705177	0.0526628	0.0537503	0.0291926	0.00766279	0.00189393	0.00676173
g	0.0026459	0.00445061	0.0085849	0.0220272	0.00923858	0.0865927	0.58861	0.149782	0.045477	0.023527	0.0075728	0.00149346	0.0499975
i	0.00215414	0.00100316	0.00515822	0.00736642	0.00486547	0.0333927	0.638003	0.217811	0.0560954	0.00314615	0.00292974	0.00757349	0.0205018
n	0.00238161	0.00585739	0.00975074	0.0208917	0.0236213	0.113542	0.222583	0.115029	0.318753	0.0990126	0.0313842	0.000244002	0.0369498
a	0.0552131	0.00628287	0.0168211	0.0185757	0.00474357	0.0326584	0.261342	0.0298461	0.40253	0.0448574	0.0383126	0.00581688	0.083
é	0.00027309	0.000489942	0.00116467	0.00427965	0.00381311	0.0320183	0.251902	0.0493124	0.488154	0.11346	0.0298981	0.00437831	0.0208562
b	0.0026954	0.0124534	0.0128296	0.0336151	0.0196788	0.0392158	0.0621049	0.0931041	0.147509	0.484514	0.0751951	0.00293682	0.0141488
v	0.000209015	0.0103607	0.00206871	0.023003	0.0851049	0.0734781	0.0442403	0.0540952	0.0641052	0.544711	0.0594208	0.000324367	0.0388784
u	0.000484671	0.00117036	0.0019998	0.00717243	0.0246511	0.0354102	0.0232773	0.0360808	0.115286	0.561859	0.127485	0.00081524	0.0643084
ú	0.00226422	0.00165561	0.000542568	0.00663614	0.00769447	0.0550669	0.0567497	0.0409005	0.163964	0.481508	0.0917769	0.000773331	0.0904675
p	0.000807142	0.000958385	0.00100981	0.00277885	0.00402914	0.00916295	0.0192725	0.0423946	0.242042	0.358101	0.178097	0.00844517	0.132901
a	0.00128645	0.00265171	0.00455516	0.00741132	0.00765624	0.010984	0.0233288	0.131012	0.200845	0.140237	0.187786	0.0319725	0.250274
s	0.000375697	0.000568261	0.000594198	0.00166108	0.00291865	0.00552677	0.0136413	0.0335505	0.283686	0.309718	0.10097	0.00598633	0.240803
á	0.00016156	0.000254757	0.000380231	0.00119436	0.003739	0.00524335	0.0302275	0.187882	0.117933	0.154059	0.183596	0.0653849	0.249943
n	0.000558728	0.000175352	0.00037103	0.00165828	0.00191938	0.00409705	0.00450156	0.00403969	0.182453	0.233511	0.419054	0.0650903	0.0825714
g	0.00219128	0.000163472	0.000462022	0.000810583	0.000334657	0.00161899	0.0149595	0.00318582	0.197972	0.0463276	0.190355	0.508307	0.0333122
o	0.000571367	7.1092e-05	0.000132907	0.000165311	5.43705e-05	0.000208301	0.00634405	0.00112019	0.0776596	0.00851118	0.0161484	0.884028	0.00498519
n	4.16376e-05	7.55136e-06	1.87118e-05	0.000102942	5.66119e-05	0.00036859	0.0157509	0.00512074	0.0457254	0.0091859	0.0178791	0.861178	0.0445639
d	0.00125786	0.000757764	0.00149344	0.00335528	0.00165043	0.00498012	0.0205706	0.028356	0.0949015	0.0496679	0.0582786	0.0635184	0.671212
a	0.00214383	0.000382534	0.00204085	0.00104362	0.000328355	0.000961175	0.0203679	0.0343043	0.0864516	0.0100615	0.0326942	0.55173	0.257491
</S>	0.000236144	0.000477027	0.000827405	0.00094292	0.00134279	0.00329389	0.0220098	0.0109296	0.0962172	0.150632	0.212182	0.0248511	0.476057
