 	cette	femme-ci	ne	jouit	plus	d'	une	bonne	santé	depuis	la	mort	de	son	mari	</S>
m	0.00896277	0.015759	0.0551514	0.264744	0.293631	0.115472	0.0438802	0.0313677	0.0694389	0.0192367	0.0161032	0.00961533	0.0100651	0.00692466	0.0185104	0.0211374
b	0.0108466	0.00261851	0.0452954	0.00438441	0.130023	0.372927	0.199764	0.0742342	0.0324002	0.0126972	0.0569131	0.0246048	0.00712616	0.00466707	0.00407706	0.0174208
v	0.00292528	0.00566633	0.0758791	0.0123798	0.132549	0.393638	0.131345	0.100494	0.0336991	0.0129095	0.0424066	0.0141102	0.00650595	0.00278406	0.0048527	0.0278559
a	0.00315409	0.00262697	0.0935276	0.0185352	0.25217	0.242702	0.0713773	0.122827	0.0544923	0.0204607	0.0295568	0.00929723	0.0124243	0.00847247	0.0013665	0.0570094
l	0.017073	0.000514279	0.0552292	0.0990293	0.316963	0.259073	0.0566093	0.0395636	0.00527883	0.0217625	0.0101029	0.0113902	0.00982088	0.00355524	0.000907496	0.0931275
a	0.00407035	0.000469888	0.029357	0.0313321	0.151227	0.119118	0.100191	0.0971553	0.0707981	0.0861565	0.051718	0.0336548	0.0486227	0.033623	0.00663574	0.13587
e	0.00421098	0.000272218	0.0110871	0.00882507	0.188285	0.227428	0.208814	0.120188	0.0464844	0.0453566	0.0498559	0.018556	0.0125875	0.0112996	0.00602341	0.0407269
f	0.00146305	0.00268313	0.0167231	0.0628909	0.142968	0.433249	0.0825799	0.0120121	0.0189493	0.0386354	0.0627705	0.0470224	0.0157802	0.00277464	0.0343762	0.0251227
u	0.000372736	0.000485637	0.0159935	0.063441	0.129524	0.496022	0.0667604	0.0127249	0.00439021	0.0432412	0.0623719	0.0422229	0.024095	0.00262471	0.0106936	0.0250364
u	0.00483541	0.000103984	0.00563064	0.0172397	0.0729567	0.404525	0.137589	0.0425449	0.00351706	0.0638962	0.0491104	0.03309	0.0236897	0.0042803	0.0190179	0.117973
l	0.00117697	3.71002e-05	0.00203804	0.00127841	0.047989	0.124657	0.152395	0.114435	0.0476816	0.288349	0.101525	0.0607273	0.0283067	0.0110931	0.000429045	0.017881
a	0.00149629	9.39263e-05	0.00296598	0.00289832	0.0251069	0.105419	0.0955583	0.0605849	0.0599745	0.214263	0.150518	0.0836952	0.0619629	0.0217081	0.00660692	0.107147
l	0.00247578	0.000128123	0.00188991	0.000260925	0.0151454	0.0590349	0.188298	0.159769	0.0940795	0.115562	0.21136	0.0527123	0.0281214	0.0290239	0.0110034	0.0311362
a	0.00412659	0.000828106	0.00190351	0.000747341	0.00353339	0.0478121	0.1324	0.0308562	0.15659	0.0872874	0.226583	0.0588711	0.0589119	0.0345317	0.0540517	0.100966
a	0.00100455	0.000112784	0.00126869	0.000121509	0.00910125	0.0460285	0.202612	0.0984444	0.0480579	0.0860517	0.278714	0.0600391	0.04944	0.0519523	0.0454968	0.0215542
w	0.000756627	0.000133784	0.00373907	0.0039101	0.0091526	0.0269708	0.0540566	0.0164803	0.0503213	0.0826013	0.193484	0.235128	0.136334	0.0569268	0.0380099	0.0919934
á	0.00179763	0.000586456	0.0111315	0.00371211	0.0147354	0.0645405	0.0568568	0.0289797	0.0500495	0.0904173	0.116762	0.144354	0.216198	0.0944298	0.0120854	0.0933643
á	0.00100343	0.000101458	0.00271636	0.0032795	0.0245577	0.0611321	0.0639626	0.0849047	0.0910023	0.111393	0.119348	0.174087	0.0617041	0.0464009	0.0188076	0.135599
l	0.000838922	0.00035706	0.00234679	0.00192122	0.00624545	0.00978702	0.0245235	0.0318022	0.0670079	0.0592526	0.111156	0.231022	0.198588	0.167564	0.042562	0.0450246
í	0.00125357	0.000326848	0.00130414	0.000481529	0.00205707	0.0152074	0.0368137	0.00810894	0.0561538	0.0359138	0.140814	0.125601	0.126214	0.0724752	0.112637	0.264638
w	0.00175498	5.64392e-05	0.0011782	0.000291068	0.00803315	0.0189956	0.0813418	0.0989542	0.0641768	0.0475178	0.105348	0.0874541	0.112914	0.217814	0.06796	0.0862096
á	0.00109397	0.000159427	0.0022006	0.00228859	0.0125062	0.0250931	0.0548556	0.0714341	0.105555	0.109167	0.0975283	0.138238	0.132587	0.158294	0.0107812	0.0782172
o	0.00126473	8.99871e-05	0.0011784	0.000827264	0.0111239	0.0124936	0.0386715	0.0537583	0.0618209	0.0528906	0.0772179	0.147963	0.118246	0.244767	0.0419016	0.135784
l	8.68808e-05	6.67761e-05	0.000633293	0.00159185	0.00105156	0.00384393	0.00405054	0.000584771	0.00184502	0.00347863	0.0188406	0.0601294	0.0680469	0.0421342	0.686084	0.107532
ó	7.33449e-05	6.32289e-05	0.00156209	0.000918739	0.00077765	0.00622001	0.00468308	0.000490023	0.00110479	0.00380064	0.0082433	0.0152495	0.0408756	0.0420738	0.821391	0.0524727
m	9.40377e-06	4.51668e-06	0.00014389	3.23492e-05	0.000147846	0.00132386	0.00231671	0.000322747	0.000214347	0.00160821	0.00519868	0.00267578	0.00916953	0.0142015	0.937565	0.0250656
i	0.000191386	2.22761e-05	0.00078789	0.000785565	0.00206703	0.0066912	0.0110719	0.0031196	0.00283869	0.0222032	0.0284621	0.0628285	0.0628903	0.0819467	0.341739	0.372355
</S>	0.00972184	0.000601548	0.00124246	0.00100943	0.00392385	0.00615057	0.0151176	0.0151465	0.0288341	0.0208913	0.0200973	0.0617814	0.0657749	0.107963	0.0254858	0.616259
