 	la	cour	de	l'	école	est	humide	à	cause	de	la	pluie	qui	est	tombée	hier	</S>
k	0.0340583	0.0297068	0.179397	0.291441	0.302594	0.0414201	0.0610656	0.0080703	0.00778827	0.00624822	0.0056413	0.00330441	0.00406163	0.00364823	0.00431419	0.000693476	0.0165463
ώ	0.00525614	0.00214955	0.0499622	0.167731	0.709435	0.0355927	0.00637158	0.00124304	0.00416779	0.00271439	0.00153168	0.00123708	0.000855642	0.0031175	0.00201508	0.000657459	0.00596217
ώ	0.000957065	0.00248123	0.0275919	0.0557714	0.74418	0.0654557	0.00871284	0.0106807	0.00944747	0.00676836	0.00810795	0.00656542	0.00132063	0.00918117	0.0211336	0.000694124	0.0209504
l	0.0140887	0.00396281	0.150633	0.313616	0.1374	0.277434	0.00680063	0.0124305	0.0138913	0.0146806	0.0130357	0.00851439	0.00428051	0.00941142	0.00936856	0.00133285	0.00911911
i	0.0144734	0.0120658	0.165414	0.207941	0.16831	0.0953938	0.0142889	0.0221994	0.0244814	0.0250463	0.0190854	0.020891	0.00831676	0.0180167	0.0244878	0.00267994	0.156908
í	0.0108885	0.0148293	0.199094	0.172005	0.0579305	0.337253	0.0593034	0.0487412	0.0159991	0.013526	0.0139527	0.0135619	0.00907317	0.00906259	0.0103639	0.00108032	0.0133355
d	0.00777879	0.00317681	0.0559355	0.0813139	0.0634855	0.45242	0.257015	0.0169115	0.0155964	0.00715199	0.0049465	0.00567676	0.00803798	0.00881268	0.00619353	0.00151626	0.0040318
í	0.0042896	0.00199673	0.0329579	0.0529206	0.0158268	0.305686	0.244093	0.0613738	0.0638693	0.0386019	0.0164351	0.0127633	0.0433769	0.0170522	0.00946641	0.00138071	0.0779097
l	0.00451933	0.00210568	0.0503367	0.0787317	0.050251	0.337556	0.185307	0.0961257	0.0548547	0.0335777	0.0210069	0.00951015	0.0164916	0.0169699	0.0101962	0.00756292	0.0248969
a	0.00205883	0.00167002	0.0252826	0.022663	0.00987898	0.150567	0.400049	0.0840724	0.0567394	0.0404693	0.0244389	0.0163777	0.0187359	0.0142824	0.0135182	0.00676163	0.112435
m	0.00213686	0.00278026	0.00835127	0.012147	0.0176416	0.0619559	0.675654	0.0901892	0.0355955	0.0247908	0.0187964	0.00841249	0.00808179	0.00510169	0.00409467	0.00556412	0.0187069
ω	0.000604019	0.00226603	0.00199659	0.00549151	0.000597133	0.0108622	0.785737	0.103263	0.0363526	0.0227701	0.011683	0.00811866	0.00545899	0.00195591	0.000697417	0.000176179	0.00196956
m	0.00012881	0.00030645	0.00176391	0.00598183	0.017182	0.0438481	0.683247	0.0488167	0.075465	0.0331824	0.0185006	0.00752431	0.00301907	0.0173341	0.0155769	0.012085	0.0160381
b	0.000558427	0.0003586	0.000817876	0.00235461	0.00235214	0.0409041	0.551413	0.109269	0.0817085	0.0714889	0.0658506	0.0274592	0.0299721	0.00846441	0.00282752	0.000955556	0.00324471
i	0.00014264	9.82463e-05	0.00330192	0.013308	0.00139814	0.033507	0.0557548	0.237119	0.184758	0.15006	0.0971874	0.116048	0.016169	0.0310818	0.025316	0.00059482	0.0341558
m	0.00105451	0.000240944	0.00633018	0.00803079	0.00422644	0.0423689	0.0198823	0.108992	0.248491	0.199872	0.154328	0.0643701	0.0290153	0.0437388	0.0251509	0.00893305	0.0349747
ó	0.000693609	0.000964491	0.0014595	0.00304312	0.00038676	0.0224888	0.0712983	0.304169	0.14856	0.143894	0.113776	0.143308	0.0187728	0.0151481	0.00714923	0.000218578	0.00466967
m	0.000876145	0.000619086	0.00255123	0.00368349	0.00484616	0.0200688	0.0311676	0.072345	0.126859	0.166301	0.253433	0.129712	0.0509473	0.0573677	0.0491362	0.014552	0.0155341
b	0.000756767	0.0011245	0.0107276	0.00933708	0.00153276	0.0221002	0.0696478	0.103996	0.193965	0.203965	0.140103	0.125914	0.0315212	0.0479259	0.0201721	0.002226	0.0149849
v	0.000284881	5.43643e-05	0.000294265	0.0011256	0.000616748	0.00599817	0.00617752	0.0981883	0.121552	0.126443	0.161156	0.412043	0.0117227	0.0255034	0.0230094	0.000323385	0.00550692
u	0.0011316	0.000954424	0.00186046	0.00554937	0.00390304	0.0154532	0.0169466	0.133595	0.125844	0.122983	0.12631	0.217722	0.0200526	0.0404211	0.0426559	0.00132327	0.123295
á	0.00335241	0.00129222	0.00474603	0.0140805	0.0192017	0.0243351	0.0726829	0.145387	0.152562	0.136651	0.111421	0.0724329	0.0703109	0.073914	0.0350703	0.00302607	0.0595342
y	0.000416757	0.000368018	0.00713846	0.00317073	0.000870628	0.00712948	0.00672015	0.0509386	0.0824937	0.134389	0.156015	0.13409	0.157993	0.130894	0.0880357	0.010677	0.0286593
e	0.00314712	0.00509787	0.0235048	0.0191997	0.0071772	0.0155175	0.0273131	0.119602	0.0702339	0.123333	0.155	0.0912635	0.214098	0.0460604	0.0197726	0.0233338	0.0363456
e	0.000964601	0.000641272	0.00940228	0.00885234	0.00147198	0.00414161	0.00222564	0.0246012	0.0460421	0.120342	0.192552	0.096197	0.312197	0.0702279	0.0284108	0.026931	0.0548
n	0.000164238	0.000199929	0.00621815	0.00448372	0.00649942	0.00997419	0.0120103	0.0109623	0.0412909	0.0626148	0.0755587	0.0725919	0.105524	0.233516	0.214603	0.0735333	0.0702561
ώ	0.00120402	0.00356171	0.00453857	0.00609596	0.0020387	0.00328992	0.00574128	0.024017	0.02301	0.0442317	0.0883592	0.188055	0.410208	0.0688356	0.0645286	0.00262946	0.0596553
í	2.87669e-05	4.70747e-05	0.000396146	0.000958949	0.00376903	0.00558128	0.0076079	0.0266443	0.0393143	0.0629268	0.109427	0.0639741	0.0823482	0.190868	0.285286	0.0184671	0.102356
l	0.000400187	6.32706e-05	0.00359508	0.00168529	0.00076911	0.00576218	0.00376228	0.0142684	0.0390641	0.0760929	0.102164	0.0659441	0.0955564	0.163822	0.223561	0.0486744	0.154815
a	0.000921195	0.000273825	0.00450197	0.00284036	0.00268826	0.00713965	0.00710017	0.00835696	0.0246066	0.0466333	0.0562104	0.0488569	0.0708103	0.123886	0.198557	0.0814887	0.315129
p	0.000211927	0.000362852	0.00337401	0.00215478	0.00166573	0.00291872	0.00410991	0.0120076	0.0155974	0.0409745	0.0823786	0.0450249	0.068565	0.0953291	0.160835	0.289886	0.174603
ó	5.91108e-05	7.03446e-05	0.00163122	0.00228083	0.00342137	0.00177548	0.000322608	0.00175164	0.010882	0.0211842	0.0286614	0.0165322	0.0356845	0.0638824	0.0414535	0.720134	0.050273
a	1.77367e-05	6.74506e-06	5.03499e-05	0.000127283	0.000917002	0.000365297	0.000987794	0.00100589	0.00620988	0.0136552	0.0182633	0.00559283	0.00960605	0.0361178	0.0431428	0.745743	0.118191
</S>	0.000281444	5.33589e-05	0.00182407	0.00191901	0.0018017	0.00427796	0.00106516	0.0038643	0.00746669	0.0132984	0.0244927	0.0390107	0.0760709	0.11647	0.330633	0.12608	0.251391
