 	si	un	cadet	meurt	et	laisse	des	parcelles	il	ne	faut	pas	espérer	c'	est	l'	héritage	de	ses	enfants	</S>
l	9.60993e-05	0.00424225	0.00075474	0.00671224	0.0350662	0.813099	0.0522491	0.0251518	0.00111762	0.0033031	0.00341875	0.00603588	0.0138608	0.00769885	0.00669535	0.00392016	0.000991515	0.00316106	0.00144134	0.00072624	0.0102579
ú	0.000157903	0.00370991	0.000591667	0.01025	0.0758496	0.423384	0.176504	0.0861093	0.00847313	0.0121663	0.0100447	0.0174374	0.0241354	0.0270531	0.0263256	0.0239158	0.0103667	0.0156864	0.0084999	0.00123978	0.0380999
p	0.000292956	0.0077981	0.000296998	0.013928	0.178249	0.134014	0.326387	0.204676	0.0765054	0.0112407	0.00850302	0.00508934	0.00107014	0.00367251	0.00365752	0.00355712	0.00336208	0.00349408	0.00317937	0.000724202	0.0103026
á	0.00169837	0.00334928	5.35523e-05	0.00097304	0.01274	0.361333	0.0872691	0.126219	0.0778875	0.0904472	0.053807	0.0263424	0.0490272	0.0158066	0.0137616	0.0125136	0.00722412	0.0199897	0.0066712	0.00816421	0.0247214
n	0.000913935	0.00137592	6.46653e-05	0.000818711	0.0117474	0.0606086	0.103038	0.21993	0.138661	0.0740651	0.0361312	0.0198646	0.0136267	0.0162127	0.0203234	0.0234783	0.0180149	0.0301643	0.0150154	0.0406018	0.155344
g	0.000461636	0.000457518	7.52262e-05	0.000423222	0.0100594	0.0462771	0.191583	0.216692	0.0834415	0.0347171	0.0873971	0.0121059	0.00156629	0.0100477	0.0124716	0.0471964	0.0633119	0.0289873	0.024952	0.0515209	0.0762552
e	0.00149098	0.000616832	2.74959e-05	0.000427768	0.0109872	0.043785	0.460205	0.352506	0.0335989	0.00298014	0.0145428	0.00222369	0.000339128	0.00181847	0.00250212	0.0115627	0.0215979	0.00515808	0.00214924	0.0124986	0.0189821
l	0.000351975	0.00314968	0.000182461	0.00334812	0.0204862	0.0169555	0.184227	0.170546	0.376926	0.0703572	0.0486706	0.0206668	0.0050387	0.00921528	0.00813743	0.00794026	0.00734267	0.00878051	0.00862332	0.00124133	0.0278136
e	0.00117515	0.0069232	0.000453133	0.00818885	0.0163701	0.0112214	0.102408	0.0868904	0.173119	0.107148	0.109336	0.0562074	0.0129476	0.0429911	0.0290818	0.0349661	0.0386898	0.0315866	0.0175442	0.00376782	0.108984
t	0.00109931	0.00600168	0.000267764	0.00103246	0.00303197	0.006364	0.0994473	0.100329	0.33419	0.104418	0.146408	0.0367565	0.00636532	0.012619	0.00976198	0.024927	0.0386716	0.0209192	0.0173579	0.0107603	0.0192713
a	0.000595295	0.00194369	0.000198805	0.000521472	0.00279571	0.02882	0.0544325	0.064914	0.17241	0.255438	0.160579	0.0581936	0.0586211	0.0202609	0.0209679	0.0263537	0.0103753	0.026038	0.00802953	0.0116181	0.0168932
a	3.40833e-05	0.000683157	2.29014e-05	0.000220972	0.000815643	0.0170125	0.0246423	0.0339219	0.17382	0.290649	0.160519	0.0720686	0.0583513	0.0207742	0.0174241	0.0155084	0.00940629	0.028517	0.0154487	0.00813731	0.0520234
w	0.00018922	0.00305837	0.000253479	0.00306156	0.00644436	0.00210975	0.01394	0.0203838	0.249885	0.254423	0.154634	0.103361	0.0179369	0.0280197	0.0245537	0.0182321	0.0160679	0.0206541	0.0207651	0.00237681	0.0396502
á	0.00129182	0.00341197	4.41231e-05	0.0009894	0.0102114	0.015051	0.0157107	0.0169109	0.058381	0.137116	0.172928	0.128516	0.0444374	0.0707312	0.078336	0.0541113	0.022565	0.0694651	0.0341195	0.00444158	0.06123
á	0.000381853	0.00191059	9.77921e-05	0.000450752	0.00306406	0.00295886	0.0105796	0.0141808	0.120884	0.231305	0.16186	0.108926	0.0527669	0.038349	0.0344775	0.0345312	0.0335961	0.0384942	0.0290595	0.0150093	0.0671171
l	0.000213951	0.00168858	0.000492596	0.00181853	0.00230666	0.00149868	0.00670159	0.0063258	0.0655914	0.177649	0.172374	0.187817	0.0343974	0.0653161	0.0466672	0.0527326	0.0583497	0.0455179	0.0326732	0.00771985	0.0321479
e	0.000479952	0.00268811	0.000345295	0.00188662	0.00422023	0.00245226	0.0159265	0.00874259	0.0516768	0.12794	0.163043	0.14309	0.0550044	0.0894971	0.0643145	0.0628253	0.0407365	0.0500289	0.0205705	0.00195845	0.0925733
k	2.15374e-05	0.000982414	6.36671e-05	0.000393154	0.00196469	0.00191472	0.0140145	0.0111567	0.0569533	0.134678	0.166899	0.186674	0.046744	0.0695068	0.0561905	0.0719824	0.0642796	0.0555261	0.0293812	0.00553969	0.0251334
a	3.06954e-05	0.000133267	2.02116e-05	6.37311e-05	0.000321794	0.00534997	0.00593699	0.00459611	0.0264316	0.291009	0.287523	0.0893172	0.139611	0.0217589	0.0217885	0.0272093	0.00967613	0.0415444	0.0137122	0.00706516	0.00690071
n	1.09892e-05	0.000269651	6.27327e-06	4.49389e-05	0.000293319	0.00375195	0.00429654	0.00527663	0.0321949	0.166644	0.15845	0.202304	0.147662	0.0462356	0.0446685	0.0413861	0.0204679	0.0680097	0.0175258	0.00924584	0.0312551
í	5.95596e-05	0.000380756	2.63457e-05	0.000229381	0.00221766	0.00735073	0.0165665	0.0102516	0.0403878	0.132893	0.311478	0.112947	0.0267385	0.0373676	0.0340443	0.0680477	0.0569523	0.048578	0.016361	0.0189254	0.058198
o	5.14729e-05	0.000474831	1.62209e-05	0.000216426	0.0010501	0.00163486	0.0049562	0.00631706	0.0562815	0.0885557	0.0928823	0.185141	0.0796807	0.077526	0.0708822	0.0634561	0.0553529	0.137165	0.052618	0.00383279	0.0219093
t	6.94802e-05	0.00363361	0.000338513	0.00166154	0.00283504	0.00188987	0.00439311	0.00211256	0.00537689	0.0248814	0.0312021	0.142354	0.0727407	0.132881	0.106562	0.0559128	0.0489751	0.151381	0.144649	0.0231566	0.0429923
é	1.40542e-05	0.000113758	7.31504e-06	5.74226e-05	0.000389118	0.00464322	0.00184546	0.000788806	0.0024993	0.0481269	0.0525175	0.106411	0.402944	0.0800727	0.0766655	0.045731	0.0113393	0.0833891	0.0302383	0.012395	0.0398114
m	7.31816e-06	0.000153213	2.95006e-06	2.82554e-05	0.000165618	0.00173896	0.000941661	0.000943456	0.00694826	0.0636842	0.0530159	0.117577	0.241185	0.0821916	0.0819725	0.0471841	0.0269973	0.1066	0.0449047	0.0328505	0.0909072
a	3.75191e-06	0.000177605	2.15396e-05	9.32409e-05	0.000326576	0.00129607	0.00178995	0.00167368	0.00622212	0.0323783	0.0270654	0.148511	0.122909	0.0946482	0.111753	0.104037	0.0573372	0.127823	0.0704906	0.019058	0.0723846
b	1.79444e-05	0.000611553	1.1272e-05	9.91521e-05	0.000288625	0.000237148	0.000936446	0.00100436	0.006386	0.0145764	0.0123716	0.0608162	0.0544863	0.0982109	0.0839977	0.0950753	0.118481	0.149866	0.1544	0.0308866	0.11724
e	0.000208721	0.000179202	4.84795e-05	5.96948e-05	0.000519128	0.0010406	0.00222701	0.00139609	0.012693	0.0558354	0.0265483	0.0409069	0.0416849	0.0335911	0.0517671	0.106662	0.0512863	0.122018	0.179408	0.180888	0.0910315
a	2.8635e-05	9.03039e-05	5.10598e-06	1.45549e-05	0.000196542	0.000196703	0.00125658	0.00144305	0.00729728	0.0178428	0.0116353	0.0258304	0.0115415	0.0266672	0.0411545	0.0978239	0.101565	0.112192	0.103186	0.360561	0.0794715
b	4.24747e-05	0.00120426	4.96683e-05	0.000380326	0.00101717	0.000412632	0.00128693	0.000768465	0.00531417	0.0137619	0.00908804	0.0661217	0.0309727	0.117036	0.0899298	0.0614583	0.0591795	0.131822	0.194079	0.028845	0.18723
á	5.036e-05	0.000131206	2.7736e-05	5.82272e-05	0.000609497	0.00161695	0.00301093	0.00126641	0.00702184	0.0558901	0.0321064	0.0603283	0.0468969	0.0514394	0.0809497	0.101918	0.0358158	0.13745	0.22709	0.0880413	0.0682813
b	1.95642e-05	0.000255306	8.10306e-06	3.45922e-05	0.000368551	0.000384749	0.0014336	0.00173822	0.00713454	0.0274296	0.0185744	0.0411238	0.024424	0.0427041	0.0535902	0.0728382	0.0690504	0.111167	0.168904	0.221383	0.137435
á	0.000118929	0.000146311	2.28858e-05	2.53032e-05	0.000454398	0.00122561	0.000985127	0.00061282	0.00529415	0.0561031	0.0333532	0.0312878	0.0130135	0.0298339	0.0617783	0.0849278	0.047215	0.0852656	0.242931	0.21317	0.0922345
n	4.19642e-05	0.000641928	2.3719e-05	4.30409e-05	0.000393172	0.000257474	0.0013721	0.0014107	0.0075341	0.020502	0.0101367	0.0345208	0.0210076	0.0427411	0.0484835	0.064526	0.0637818	0.121377	0.234844	0.261212	0.0651502
a	0.000396561	0.000740525	1.49334e-05	4.17492e-05	0.000525824	0.000324487	0.00223316	0.00172831	0.00539386	0.00596525	0.0142113	0.0163432	0.00142838	0.0308587	0.0303241	0.0660739	0.19953	0.109727	0.150952	0.283375	0.0798115
</S>	6.71761e-06	5.82203e-05	4.53146e-06	3.61588e-05	0.000129505	8.65957e-05	0.00116553	0.000785031	0.00577097	0.00642236	0.00797372	0.0423897	0.0190486	0.0941422	0.0602612	0.0883706	0.109682	0.168509	0.141983	0.0175581	0.235617
