 	la	giffle	qu'	il	m'	a	donnée	a	provoqué	de	nouveau	mes	maux	de	tête	</S>
a	0.00752642	0.00624438	0.0426936	0.143337	0.174605	0.106912	0.151087	0.0960485	0.0293116	0.0580764	0.0560356	0.0501013	0.0200282	0.0191193	0.00392212	0.0349519
n	0.00242935	0.000872894	0.0172393	0.0510063	0.11014	0.16951	0.0579993	0.149311	0.238163	0.119805	0.0272539	0.0275758	0.00844191	0.00793507	0.00193898	0.0103784
g	0.0460123	0.00407475	0.0336736	0.013055	0.222792	0.0754032	0.00804132	0.262173	0.0283372	0.0589232	0.0424959	0.0951261	0.0230982	0.0125179	0.000756301	0.0735201
á	0.00249332	0.00257147	0.0109867	0.0118878	0.318288	0.087378	0.0113068	0.091184	0.13087	0.0776128	0.0664744	0.120998	0.0293318	0.0129883	0.00390957	0.0217197
í	0.00440072	0.00150648	0.00916944	0.0145583	0.0241982	0.0576198	0.0124614	0.177085	0.0520815	0.36793	0.130024	0.0788551	0.0257337	0.0265429	0.00431826	0.0135149
t	0.00730221	0.00392205	0.00112839	0.000341582	0.000494542	0.0100223	0.0104803	0.0415064	0.0527663	0.473859	0.287165	0.0638724	0.0302341	0.006491	0.00708215	0.00333263
ú	0.000614056	0.000935584	0.000180555	0.000155636	0.000138561	0.00402376	0.0108281	0.0140283	0.157032	0.315384	0.18438	0.0794676	0.132424	0.0248794	0.0536655	0.0218625
m	0.0062779	0.000736303	0.000538135	0.000325957	0.00119111	0.0038022	0.0262782	0.0207481	0.0641831	0.193567	0.211443	0.0916805	0.109543	0.0353826	0.0355534	0.198751
b	0.0025815	0.000234953	0.00185022	0.00196293	0.00585444	0.00813557	0.0133314	0.185746	0.00546885	0.0795981	0.501134	0.117142	0.0322383	0.0207896	0.00523312	0.0186994
u	0.00793338	0.00200161	0.00417925	0.00348512	0.0127661	0.00338303	0.0110715	0.0726042	0.0106585	0.0856515	0.457352	0.140727	0.0879505	0.0424139	0.0153077	0.0425145
s	0.000428877	0.000238123	0.00137178	0.00144306	0.00552855	0.00772152	0.000989803	0.0452259	0.016904	0.147724	0.175004	0.33257	0.12238	0.100843	0.00673218	0.0348953
u	0.00208275	0.000165544	0.000951332	0.000152039	0.000433308	0.000967009	0.000824222	0.17611	0.000786741	0.0904224	0.300122	0.280934	0.0793714	0.0303194	0.00493712	0.0314204
n	0.00196832	0.000149199	0.00679549	0.00158913	0.0064304	0.0103856	0.000658482	0.128761	0.00115283	0.114106	0.0821542	0.445805	0.0864269	0.0918626	0.00377171	0.0179836
g	0.00233397	9.03641e-05	0.00312225	0.000704585	0.00752217	0.00262183	0.000129105	0.140436	0.000850073	0.0378372	0.0919303	0.596436	0.0649784	0.0346887	0.00108902	0.0152301
á	0.000482071	0.000304568	0.00184126	0.00151409	0.0320691	0.00627997	0.00011599	0.0272285	0.00409739	0.0386441	0.0679699	0.641128	0.0835543	0.0526297	0.00382777	0.0383129
i	0.0013544	0.000225161	0.00201747	0.000977919	0.000892679	0.00123719	0.000777217	0.0171489	0.00140145	0.0367916	0.0774562	0.249154	0.240015	0.275532	0.0455975	0.0494215
b	0.00183241	0.00128689	0.000472368	0.000105906	9.00794e-05	0.000572622	0.00056094	0.00140988	0.00190765	0.0297476	0.0466337	0.0576038	0.271574	0.160712	0.360238	0.0652517
o	0.000401891	0.00105678	0.000227642	7.97252e-05	0.000130736	0.000163326	0.0015384	0.00226674	0.0235251	0.00964273	0.0126777	0.0340617	0.224989	0.0429463	0.634401	0.0118914
ó	0.000152018	0.000270102	3.24951e-05	2.53058e-05	2.81946e-05	0.000213391	0.0037806	0.00155388	0.0195363	0.0155719	0.00817493	0.0301596	0.260221	0.0766499	0.492057	0.0915739
b	0.00580715	0.000415629	0.00578603	0.00102427	0.00103007	0.00262707	0.000755113	0.0231697	0.00350623	0.024392	0.0194039	0.106817	0.204404	0.33211	0.0606023	0.208149
v	0.000918468	0.0100437	0.00461883	0.00170909	0.000668273	0.000603956	0.00569646	0.0282679	0.235838	0.0328531	0.0145935	0.0903304	0.268465	0.119026	0.148182	0.0381854
ú	0.00558953	0.00307754	0.00121217	0.000315053	0.000155198	0.000151822	0.00436272	0.00980369	0.0132076	0.0182847	0.0468782	0.113965	0.36862	0.0962929	0.212475	0.10561
a	0.000670281	5.47462e-05	3.44667e-05	1.55142e-05	2.02855e-05	4.78105e-05	0.000675834	0.00233011	0.000366414	0.00483987	0.0235504	0.0443535	0.29864	0.204282	0.18558	0.234539
</S>	0.000980206	8.35423e-05	0.00145705	0.000160269	0.000246458	0.000790142	0.000336636	0.00573286	0.000638302	0.0120877	0.0104225	0.0534891	0.168303	0.351946	0.0824997	0.310827
