 	ingobha	haït	les	enfants	des	autres	parce	qu'	elle	est	stérile	</S>
n	0.000772882	0.00185758	0.0140257	0.0561954	0.0484587	0.0652827	0.194026	0.167611	0.211081	0.0288069	0.0935124	0.11837
a	0.0030544	0.0013139	0.0132453	0.0186836	0.0325792	0.0245702	0.159741	0.268996	0.0690467	0.0153062	0.119875	0.273588
w	0.000237248	6.48089e-05	0.00677818	0.0030738	0.0297573	0.0265365	0.109468	0.372522	0.179028	0.197844	0.0173274	0.0573633
a	0.00119848	0.000358831	0.0135988	0.00827085	0.0808501	0.012345	0.165968	0.347986	0.227813	0.0476188	0.0320357	0.0619568
a	0.000822312	0.000142867	0.00439854	0.00554399	0.0224165	0.0104655	0.0640536	0.267719	0.200572	0.217384	0.0456963	0.160786
d	0.00223182	0.000389065	0.00141024	0.000334818	0.00962308	0.0114792	0.0132404	0.041276	0.198113	0.58944	0.0202082	0.112254
í	0.00285538	0.000456526	0.00163191	0.000173608	0.0044842	0.0265501	0.0268537	0.054682	0.0715524	0.361538	0.0285928	0.420629
e	0.000582661	3.87328e-05	0.000981397	0.000202954	0.00336926	0.00850399	0.0271248	0.0718298	0.10714	0.54253	0.0788646	0.158831
n	0.00449717	0.00253915	0.00251216	0.00255389	0.00262964	0.00773072	0.00531918	0.0117683	0.0583435	0.14576	0.620506	0.13584
g	0.0218192	0.000680126	0.00168865	0.000275305	0.00222515	0.0021757	0.00251577	0.0106294	0.0113185	0.056847	0.710028	0.179797
o	0.00120897	0.000230655	0.00325001	0.00194023	0.00486009	0.00292627	0.00461014	0.0158244	0.0156063	0.0232245	0.862355	0.0639632
m	0.000344107	0.00020881	0.000569043	0.000163305	0.00191048	0.00238264	0.00392548	0.00709522	0.00591062	0.0151509	0.744756	0.217584
b	0.0199185	0.00128109	0.00612909	0.00214166	0.0172587	0.0151043	0.039092	0.0863956	0.131763	0.140913	0.145999	0.394004
a	0.00886944	0.00467906	0.00393747	0.00180306	0.00886439	0.0104756	0.0234999	0.0301328	0.0390806	0.0249181	0.382091	0.461648
</S>	0.000580658	0.000293967	0.00537675	0.000556879	0.00986169	0.00477152	0.0340325	0.13186	0.0887262	0.146208	0.13982	0.437911
