 	la	femme	qui	est	partie	récolter	du	manioc	au	champ	a	laissé	des	traces	sur	le	chemin	pour	permettre	à	son	mari	de	la	suivre	</S>
á	0.00618341	0.000430417	0.00485692	0.00563266	0.0379958	0.0183524	0.103812	0.240421	0.362419	0.00202721	0.0224085	0.00242337	0.0118159	0.00836986	0.0268774	0.0231814	0.00340311	0.0191806	0.0189161	0.027153	0.00718263	0.00164748	0.0068903	0.00520308	0.000753892	0.0324626
i	0.00551563	0.000478478	0.00936137	0.00896394	0.0118353	0.00756428	0.1759	0.130676	0.351437	0.0593928	0.0482682	0.00794586	0.0159034	0.0062389	0.0155121	0.015635	0.00860142	0.0111796	0.00873419	0.0242174	0.0167061	0.00426699	0.0118443	0.0159707	0.00426651	0.0235842
k	0.000455468	0.000231327	0.00137126	0.00197191	0.00550781	0.0157177	0.0594582	0.629515	0.0765098	0.0290525	0.0109891	0.029774	0.0264639	0.0225915	0.0116402	0.00554701	0.00365549	0.00414791	0.0085465	0.00664328	0.00265617	0.00817303	0.00803998	0.00564554	0.00876073	0.0169344
ώ	4.09239e-05	1.70081e-05	8.56208e-05	8.81385e-05	0.000169945	0.00780674	0.00774808	0.883719	0.00343834	0.0138107	0.00271866	0.00197794	0.00722257	0.0213396	0.00399133	0.00242449	0.00970905	0.0035727	0.00308081	0.00325374	0.000859119	0.00396882	0.00672421	0.00156058	0.00568674	0.00498544
ώ	0.000182919	3.55143e-05	0.000347808	0.000265984	0.000306401	0.00316854	0.0436155	0.690037	0.007104	0.062114	0.0199553	0.00260882	0.0153543	0.0176656	0.00807656	0.00669305	0.0314134	0.00600016	0.00544623	0.00854615	0.00712007	0.00737862	0.0160876	0.00881183	0.00902964	0.0226348
s	0.00046332	6.86355e-06	0.00180181	0.00170708	0.00220523	0.00105105	0.0554498	0.0797795	0.261215	0.0324558	0.162939	0.0576402	0.116114	0.0239378	0.033723	0.0315807	0.0153678	0.0207407	0.00853071	0.0146322	0.0150327	0.00561004	0.0126667	0.0124782	0.00320873	0.0296625
á	0.00217471	2.46331e-05	0.00302011	0.00124675	0.00425318	0.0066432	0.0443967	0.0496591	0.141098	0.0760571	0.110647	0.105794	0.0781883	0.0318185	0.0596393	0.0447384	0.0180197	0.0125131	0.00363305	0.0152696	0.0156997	0.0173442	0.0255393	0.0122068	0.0152905	0.105085
n	0.0033379	5.32623e-05	0.00138596	0.0014909	0.000838934	0.000772994	0.0137069	0.00508926	0.152525	0.285539	0.318386	0.108873	0.0390568	0.00893498	0.0103	0.0077906	0.00741466	0.00336772	0.00271268	0.00466298	0.00811611	0.00411831	0.00241761	0.00338019	0.00134365	0.00438574
g	0.010408	0.000575464	0.00268958	0.000519471	0.0018472	0.000619122	0.00757725	0.0019901	0.11127	0.506323	0.17813	0.0818714	0.0259765	0.00551046	0.0125164	0.00841302	0.00378451	0.00174985	0.000421523	0.00344168	0.0061147	0.00765839	0.00463381	0.00335987	0.00361467	0.00898449
o	0.000938313	0.00218396	0.000718928	0.000131973	0.000287078	0.000117221	0.00282223	0.000722792	0.0086955	0.886082	0.0282497	0.0267904	0.00963243	0.00403278	0.00339379	0.00181534	0.00231892	0.000392312	0.000196793	0.000987694	0.00209442	0.00619378	0.00257103	0.00159318	0.00426723	0.00277013
n	8.49261e-05	0.000224642	0.000188531	5.16082e-05	0.000168835	0.000400992	0.00278673	0.00148473	0.00861413	0.864576	0.0188912	0.0101026	0.0116569	0.00621258	0.00592341	0.00321129	0.00699938	0.00108584	0.000832665	0.00250923	0.00463486	0.0309689	0.00298072	0.00131395	0.0118338	0.00226194
d	0.00681345	0.00593944	0.0211143	0.00830789	0.0156834	0.00415002	0.0353362	0.00864396	0.0574509	0.0238672	0.256083	0.0539317	0.105482	0.0691493	0.0590113	0.0272626	0.0173068	0.0177319	0.0107396	0.0262396	0.0215137	0.0338199	0.011321	0.00376197	0.0110157	0.0883233
a	0.00257859	0.001981	0.00502091	0.000766195	0.00305668	0.00185139	0.00665746	0.00382193	0.0256418	0.386072	0.152739	0.0364211	0.030669	0.0406424	0.0368905	0.0203271	0.0148297	0.00677549	0.00494328	0.0158984	0.0228935	0.0708595	0.00888399	0.00257608	0.0347067	0.0624966
á	0.00029838	5.41935e-05	0.00287355	0.00262302	0.00374546	0.000368349	0.0188118	0.00493546	0.0960757	0.0210947	0.314761	0.146475	0.157222	0.029572	0.0682918	0.0368832	0.00849601	0.013845	0.00813599	0.0119273	0.0221408	0.0154475	0.00434349	0.00394715	0.000886315	0.00674469
y	0.00193817	0.00016279	0.000758112	0.00303449	0.00617316	0.0133938	0.00333541	0.00618043	0.00136591	0.00287323	0.00552572	0.521643	0.0899613	0.0948218	0.0319007	0.0128829	0.0179459	0.00680666	0.0394591	0.00887002	0.0192611	0.0879889	0.0088658	0.0072071	0.0030995	0.00454487
í	0.000138241	3.15923e-05	0.000205907	0.00039325	0.000617405	0.00223104	0.000715131	0.000288595	0.0020562	0.014108	0.0089505	0.808879	0.0291991	0.0165028	0.0171318	0.00811498	0.00995313	0.00245963	0.00428146	0.0038184	0.015533	0.0410843	0.0039987	0.00238514	0.00218947	0.00473298
i	0.000112901	2.69173e-06	8.3386e-05	0.000238515	0.000699301	0.00164195	0.00265327	0.0060776	0.0090649	0.0109508	0.0167825	0.422943	0.122422	0.130733	0.0379038	0.0239621	0.0273977	0.0117273	0.028584	0.012668	0.0216272	0.0453584	0.0112823	0.0105951	0.00796255	0.0365252
o	0.000232994	7.21311e-06	0.000221418	0.000383002	0.000396134	0.000176203	0.00195446	0.000993973	0.0242632	0.00575657	0.0386304	0.0268365	0.102594	0.0862344	0.141324	0.118746	0.0588999	0.0615605	0.0585889	0.0766562	0.0951625	0.0502776	0.0174242	0.0149131	0.00595752	0.01181
l	3.53742e-05	4.33671e-05	0.000127411	0.000216499	0.000472408	0.00110275	0.000922048	0.00249266	0.00144847	0.00184212	0.00155696	0.0372547	0.107381	0.305172	0.10561	0.0445744	0.0386364	0.0218904	0.0719764	0.0431935	0.0228995	0.113966	0.0252905	0.0112092	0.0330869	0.00759896
o	1.89048e-05	2.80805e-05	9.2551e-05	0.000178273	0.000322272	0.00331293	0.000543701	0.00213267	0.000764672	0.00261406	0.0012623	0.0750402	0.0528061	0.23611	0.0574346	0.0156243	0.0251783	0.00567226	0.0275717	0.0165724	0.0146279	0.326781	0.0317093	0.00864313	0.0603957	0.0345635
m	1.24917e-05	8.18556e-05	9.78768e-05	0.000142346	0.000267863	0.00373209	0.000853942	0.00101057	0.000872459	0.00535118	0.000893082	0.00953178	0.0415952	0.240557	0.0645003	0.0182232	0.0394799	0.00895421	0.0434009	0.0185362	0.0174912	0.37755	0.0233797	0.00364477	0.0649246	0.0149152
i	7.58509e-06	2.5599e-06	2.86138e-05	1.84895e-05	7.3466e-05	0.000561864	0.0010045	0.00164961	0.00136028	0.00108454	0.00159946	0.00154149	0.0442911	0.400785	0.135688	0.0553568	0.0181654	0.0371652	0.0680354	0.0498509	0.0205688	0.0565423	0.0289208	0.00615356	0.015977	0.0535668
d	6.57287e-05	1.53124e-06	7.70046e-05	7.09277e-05	6.9216e-05	7.12885e-05	0.00122693	0.00136725	0.00378023	0.000947291	0.0124145	0.00304955	0.0459736	0.0761907	0.0990976	0.0963389	0.0800053	0.113772	0.0729182	0.105576	0.121991	0.066802	0.0523398	0.021128	0.00669008	0.0180356
z	6.21521e-06	2.45048e-06	4.10895e-05	2.27756e-05	3.07672e-05	0.000244748	0.000314502	0.000510585	0.00147582	0.00173417	0.00146268	0.0110816	0.0301284	0.0846596	0.0867045	0.0633902	0.0638675	0.0461512	0.0243736	0.0544321	0.0477817	0.198831	0.0771913	0.0186965	0.0794532	0.107412
é	5.96462e-05	7.17506e-05	9.95949e-05	0.000134833	0.000485129	0.00082235	0.000336487	0.000310878	0.00213106	0.000757188	0.00194278	0.00595659	0.0208496	0.161331	0.0752813	0.0434841	0.0205912	0.0528655	0.163038	0.0802296	0.0324533	0.193969	0.0573379	0.0128876	0.0505429	0.0220307
e	0.000115975	6.70066e-06	5.06977e-05	6.78706e-05	0.000245344	0.000353028	0.00033715	0.000599652	0.00131618	0.000513676	0.0023706	0.00631826	0.0224346	0.130617	0.0506073	0.0506944	0.0361061	0.085437	0.18433	0.0843848	0.0469326	0.0661296	0.0740236	0.0428505	0.0476412	0.0655154
ó	1.08298e-05	2.04597e-07	4.96427e-05	6.7619e-05	0.000104278	8.01098e-05	0.000428932	0.00067287	0.00131965	3.76509e-05	0.00119717	0.00182652	0.0184118	0.03419	0.0458711	0.0537144	0.0137003	0.103331	0.101798	0.128848	0.0591413	0.0598251	0.134561	0.0919242	0.0511642	0.0977245
k	2.98096e-05	1.45612e-05	0.000206306	0.000413483	0.000407574	0.000859974	0.00156187	0.00288445	0.000829767	0.000359565	0.000400282	0.00380073	0.0103415	0.0192336	0.0162748	0.0108542	0.0139237	0.0289839	0.110596	0.0438451	0.0198627	0.138682	0.177493	0.154427	0.184109	0.0596049
ó	6.48955e-06	3.11025e-06	3.15026e-05	3.79832e-05	3.39319e-05	0.000232412	0.000482829	0.00478264	0.000398559	0.000755841	0.000361616	0.000503506	0.00821835	0.0313717	0.0105651	0.0115842	0.106365	0.0299397	0.0522424	0.0290756	0.0260484	0.129041	0.241557	0.0777409	0.189253	0.049367
ó	9.12924e-06	1.98978e-06	2.28601e-05	3.04322e-05	2.07475e-05	0.000490959	0.000307422	0.00177673	0.000133242	0.00145316	0.00096335	0.00111392	0.013545	0.0428248	0.0139724	0.0110902	0.107343	0.0379823	0.0988952	0.0396947	0.0363631	0.222857	0.162686	0.06424	0.100456	0.0417256
m	0.000135131	2.24973e-06	0.000434357	0.000385426	0.000332501	0.000124798	0.00192881	0.000625024	0.00382331	0.000326397	0.00441593	0.00187743	0.0143598	0.00985413	0.0269089	0.040903	0.0192552	0.108583	0.0605073	0.0908799	0.0710538	0.0565469	0.154807	0.197155	0.0493662	0.0854086
i	0.00012747	3.52944e-05	0.00078665	0.00051907	0.000569582	5.55691e-05	0.00224241	0.000681807	0.00489993	3.01488e-05	0.00143353	0.000133679	0.0140667	0.0140739	0.05682	0.0661846	0.00620805	0.150307	0.174685	0.118608	0.0454522	0.0131695	0.0848152	0.144238	0.0271632	0.0726934
l	5.56822e-05	4.32797e-05	0.000272855	0.000256157	0.000260488	8.36296e-05	0.000858192	0.000474924	0.00476575	0.000474003	0.00119787	0.000399285	0.00567506	0.00650902	0.0103531	0.0160199	0.0131445	0.0460781	0.0938208	0.0689657	0.0350965	0.0399076	0.123155	0.223384	0.173361	0.135387
ω	0.000421634	0.000196749	0.000258777	0.000158712	0.00022233	0.000253101	0.000377697	0.000667277	0.00281839	0.000558035	0.00182229	0.000996894	0.00418125	0.0103496	0.0118138	0.0113105	0.0104781	0.0206033	0.0149568	0.0387825	0.0150006	0.09267	0.119361	0.0643667	0.420546	0.156828
n	0.000786688	0.000225465	0.000428808	0.000437959	0.000340345	9.2533e-05	0.000398805	0.000114833	0.00226877	0.000550644	0.00297418	0.00252849	0.00664019	0.00903687	0.0143878	0.0110522	0.012211	0.00747843	0.0163509	0.0191172	0.0178377	0.0805049	0.0716468	0.0407813	0.601167	0.0806402
d	1.1004e-05	1.12394e-05	1.69321e-05	6.06613e-06	2.42603e-05	5.56494e-05	7.93491e-05	0.000156373	0.000115776	0.000161046	0.0002145	0.000140386	0.00424703	0.0219528	0.014753	0.011739	0.0115508	0.0155543	0.0144752	0.0195058	0.007192	0.0563918	0.0909652	0.0413276	0.606481	0.0828719
ω	1.41936e-05	3.74062e-06	2.45753e-05	8.13599e-06	5.31748e-05	0.000104016	0.000100909	0.000114331	0.000110826	0.000196625	0.000260126	0.000138617	0.00430682	0.0222275	0.0149243	0.0132714	0.00642799	0.0116191	0.00917017	0.0139438	0.00759063	0.0259924	0.0822798	0.0354711	0.573979	0.177667
ω	2.7374e-05	4.73122e-06	2.72242e-05	1.16979e-05	1.98566e-05	6.94728e-05	0.000277676	0.000163817	0.000675313	0.00252403	0.00332773	0.000427834	0.0142846	0.0259788	0.0325935	0.0385265	0.054756	0.0304936	0.00831149	0.0298237	0.0317154	0.049464	0.13305	0.0727169	0.339611	0.131117
l	0.000292297	4.05401e-06	0.000383746	0.000262891	0.000321624	8.35966e-05	0.00307002	0.000921648	0.00492829	0.000335831	0.00363903	0.000310896	0.0142949	0.00672102	0.0284944	0.0479827	0.0139782	0.0781923	0.0175911	0.0581731	0.0527796	0.0133762	0.153815	0.243541	0.054403	0.202104
á	0.000104332	2.44775e-05	0.000208931	0.000271072	0.000355569	0.000392797	0.00152842	0.0014036	0.00453958	0.000585229	0.00254694	0.00526297	0.0133925	0.0143472	0.0188992	0.0196526	0.0121848	0.030081	0.0225202	0.0371863	0.0235967	0.0493018	0.18586	0.178627	0.171359	0.205767
w	0.000928026	0.000419012	0.00277464	0.00189505	0.00088348	0.000302749	0.00607384	0.000356124	0.022455	0.0145276	0.0146795	0.00115254	0.00470826	0.00243785	0.00786836	0.0200107	0.0199435	0.0342028	0.0166978	0.0578775	0.101131	0.0240789	0.0928153	0.219335	0.172281	0.160165
a	0.00161727	0.000205366	0.000279131	0.000572364	0.00026278	0.000193338	0.00124926	0.00180247	0.0101344	0.000812438	0.00678128	0.00216505	0.0106569	0.00920303	0.0143133	0.0325185	0.0309405	0.084686	0.0466844	0.113279	0.0854684	0.0216916	0.128818	0.212471	0.0786936	0.104501
</S>	6.89742e-05	5.55807e-05	3.23856e-05	4.24381e-05	4.03564e-05	3.83665e-05	0.000169704	0.000118435	0.000694915	0.000595208	0.00152964	0.000425997	0.0035514	0.00426626	0.00699544	0.0128212	0.0349116	0.0483785	0.030213	0.0333894	0.0317204	0.0577458	0.139641	0.163489	0.147483	0.281583
