 	les	danseurs	de	kyebé-kyebé	obtiennent	un	rythme	en	battant	la	main	sur	le	bras	gauche	plié	</S>
b	0.00538156	0.00202634	0.0290232	0.00515751	0.00658701	0.0152809	0.00436287	0.0669255	0.271489	0.215139	0.134111	0.134794	0.0508025	0.0433003	0.0047069	0.00322216	0.00768938
á	0.00656997	0.0138592	0.0238264	0.0229675	0.0398229	0.0489031	0.0122719	0.0451281	0.422831	0.0582394	0.0583023	0.0776243	0.0457183	0.0621436	0.0332147	0.0069407	0.0216361
a	0.00314723	0.00381615	0.0157774	0.0033919	0.0133817	0.0273954	0.0226168	0.0318063	0.301505	0.112051	0.0415495	0.156909	0.0864759	0.103515	0.021732	0.0220618	0.032868
b	0.00262948	0.00358119	0.0171482	0.0104711	0.00512658	0.00450663	0.00270155	0.00706089	0.0483537	0.0255055	0.0950699	0.206431	0.162552	0.32476	0.0477148	0.0237366	0.012651
έ	0.000748868	0.0054806	0.00921033	0.00809054	0.0087846	0.00343557	0.00655681	0.00353087	0.0256491	0.00616847	0.194441	0.0266217	0.0344013	0.608273	0.0478804	0.00616774	0.00455975
r	0.00054495	0.000201373	0.00216684	0.00379296	0.00399245	0.00501031	0.00409671	0.00675749	0.0876983	0.0261458	0.0974581	0.123834	0.132855	0.268421	0.133792	0.0429543	0.0602793
έ	0.00371481	0.0025132	0.00491129	0.0099479	0.00777422	0.012648	0.00172547	0.0136259	0.310907	0.108867	0.0313611	0.104101	0.120612	0.0358402	0.0703148	0.0608654	0.100271
a	0.0070596	0.000815592	0.0114057	0.00917742	0.00361807	0.00799098	0.00356905	0.00716216	0.0694349	0.0642929	0.00933383	0.213937	0.2421	0.132469	0.127521	0.0579348	0.032178
k	0.00805926	0.00537072	0.0356251	0.0156597	0.00491948	0.00847351	0.00222125	0.0123826	0.0253575	0.0146846	0.00719623	0.17796	0.135593	0.134985	0.276767	0.115793	0.0189533
ω	0.000206156	0.00119141	0.00521527	0.0162621	0.0182324	0.00793607	0.00425575	0.0033281	0.0171434	0.00475695	0.0168383	0.0437802	0.0685145	0.24182	0.397145	0.109481	0.0438932
í	0.000148014	0.000180863	0.000465752	0.0016919	0.00124337	0.00189474	0.00336462	0.000851434	0.00741297	0.0067314	0.104915	0.0222902	0.126002	0.403601	0.22299	0.0713949	0.0248213
</S>	0.00242152	0.000486574	0.01403	0.00166652	0.00161635	0.0117475	0.00115483	0.00479401	0.0161037	0.0329446	0.00778856	0.102876	0.164715	0.100991	0.14401	0.23592	0.156734
