 	le	père	a	conseillé	son	fils	de	se	marier	avec	une	femme	de	la	même	tribu	</S>
i	0.0122755	0.000496082	0.0757142	0.0362688	0.199171	0.0559397	0.41291	0.119024	0.0188145	0.0248087	0.0113905	0.00411499	0.00714095	0.00645517	0.00834355	0.00019479	0.00693824
t	0.00262956	0.00046929	0.00831529	0.0195214	0.0243657	0.0303565	0.127643	0.160077	0.447225	0.0955788	0.0311999	0.00543995	0.0140893	0.00754497	0.00682445	0.00659399	0.0121269
é	0.000116751	1.83262e-05	0.000934598	0.0164892	0.0117355	0.00536097	0.0772903	0.0873701	0.695888	0.0462949	0.0241311	0.00178937	0.00750865	0.00328627	0.0031265	0.0118196	0.00684013
b	0.000579638	1.60322e-05	0.00166614	0.0429868	0.0166525	0.00346502	0.0472132	0.073031	0.665699	0.0313582	0.0114582	0.0013091	0.0111653	0.00765669	0.00758754	0.0128891	0.0652669
h	0.00043787	3.16001e-06	0.000224342	0.0543531	0.0103496	0.00053011	0.0296512	0.0461876	0.73278	0.0795868	0.0181279	0.000785731	0.00619134	0.00513185	0.00575955	0.000349255	0.00955087
i	0.000943259	1.31324e-05	0.00105794	0.00871523	0.0187494	0.00161528	0.0392497	0.0771412	0.481181	0.111245	0.0330479	0.00425821	0.0184473	0.013406	0.00934064	0.00502656	0.176562
m	0.000766471	1.46682e-05	0.00115921	0.000959255	0.00988571	0.00104198	0.0492349	0.114774	0.141415	0.345955	0.219736	0.0101993	0.031135	0.0224258	0.0193267	0.00334528	0.0286269
í	0.00714953	8.19305e-05	0.000703771	0.000118052	0.0133587	0.0612404	0.0323107	0.0883252	0.00497547	0.216584	0.147162	0.199107	0.0625618	0.0572791	0.0179376	0.00113434	0.0899701
t	0.00147323	3.83268e-05	0.00166073	0.000193198	0.00751178	0.0043084	0.0106606	0.033856	0.0106403	0.166682	0.328379	0.172854	0.119486	0.0641165	0.0584361	0.00596524	0.0137386
ώ	0.000371584	8.2785e-05	0.000322277	0.00103094	0.00366615	0.000474598	0.0126177	0.0193546	0.147279	0.154501	0.30934	0.0213702	0.101382	0.0408156	0.0318433	0.139535	0.0160135
ω	9.26325e-05	1.03307e-05	8.4526e-05	0.0007983	0.00215193	0.000153319	0.00748747	0.0121093	0.365268	0.0558182	0.0894417	0.00701451	0.127709	0.0785044	0.0531293	0.13334	0.0668876
l	0.00114774	9.30724e-06	0.00178903	0.000376067	0.00460582	0.00135775	0.00996844	0.0271359	0.00841942	0.160951	0.0915719	0.0662063	0.209742	0.189474	0.185565	0.00604433	0.0356358
á	0.00155175	9.62006e-06	0.00281984	0.00178829	0.00484378	0.000776095	0.00979013	0.0184743	0.00523524	0.0931635	0.0991259	0.0682786	0.210678	0.144669	0.105092	0.00830318	0.225401
m	0.00914342	0.000520191	0.00363065	0.000310556	0.0604636	0.00324775	0.00886331	0.00825998	0.00132393	0.0327612	0.0947121	0.0440568	0.138913	0.164822	0.203808	0.181114	0.044049
w	0.00110328	0.000234231	0.00174437	8.58722e-06	0.00446992	0.0967183	0.00466082	0.00997947	0.000119452	0.0197113	0.047791	0.454683	0.0947829	0.0760659	0.0167844	0.117215	0.0539275
á	0.00295471	0.00010007	0.000343067	2.18163e-05	0.00595022	0.378044	0.00239259	0.00705021	0.000312673	0.0111582	0.0198437	0.280541	0.0656116	0.033297	0.00609252	0.154906	0.0313812
s	0.0192376	8.43096e-05	0.00223604	0.000367197	0.0296647	0.064496	0.0105985	0.056914	0.00185681	0.0787733	0.0972723	0.0687949	0.131366	0.226834	0.136044	0.0137181	0.0617426
í	0.00271327	4.8675e-05	0.00327935	0.00112473	0.00409499	0.00914505	0.00576833	0.00804945	0.00129152	0.0334307	0.065566	0.182809	0.283855	0.147422	0.0462122	0.0179406	0.18725
y	0.00398596	3.95697e-05	0.002017	0.000604537	0.00367757	0.000245499	0.00537842	0.00668645	0.0014875	0.0163876	0.0278831	0.015837	0.153151	0.220879	0.307938	0.0294841	0.204318
a	0.00118395	3.31262e-05	0.00205689	0.00215086	0.0121287	0.000512581	0.00674277	0.00430292	0.00279565	0.0179605	0.0755208	0.0904923	0.19994	0.173593	0.0942406	0.178309	0.138036
p	0.000343593	8.56204e-06	0.000365422	1.36289e-05	0.00894882	0.00019911	0.00300468	0.00204596	0.000138804	0.0126538	0.0861304	0.0220708	0.135158	0.191186	0.141601	0.211564	0.184568
o	3.8658e-05	1.15382e-05	7.17481e-05	0.000387351	0.000400117	3.10619e-05	0.000937439	0.00148893	0.0314127	0.0107181	0.0164219	0.00190601	0.0587787	0.0368193	0.0341192	0.75474	0.0517172
o	0.000372786	1.73456e-05	0.000227929	0.00110804	0.00163236	0.000172988	0.00137699	0.00284028	0.0069766	0.00528165	0.017741	0.00392121	0.0655728	0.0515507	0.0109255	0.777577	0.0527053
</S>	0.000246343	2.40771e-06	0.000280879	0.000711316	0.001648	4.88981e-05	0.00429249	0.00505928	0.00135002	0.00907575	0.0129679	0.00187888	0.116434	0.25603	0.297522	0.0457933	0.246659
