 	le	fil	indigène	fabriqué	avec	l'	écorce	de	la	liane	lekosa	est	résistant	</S>
k	0.000540438	0.000771873	0.000760874	0.0108969	0.0171929	0.046566	0.223702	0.108469	0.190574	0.167972	0.0852868	0.0182021	0.0139311	0.115134
ó	0.000189841	0.000342889	0.00101028	0.00100361	0.00460073	0.00311486	0.197673	0.0472555	0.0974228	0.0752591	0.505303	0.00990613	0.0115354	0.0453834
s	6.84551e-05	0.000150795	0.00112374	0.00748329	0.00976723	0.0101989	0.235427	0.0348343	0.0405876	0.0738786	0.455448	0.0181066	0.0484547	0.0644699
á	0.000821437	0.000720517	0.000719969	0.0012319	0.00918954	0.0133866	0.101367	0.0767009	0.0815841	0.16464	0.299004	0.0357649	0.0549825	0.159887
ó	0.00204209	0.000357653	0.000869254	0.00201425	0.00380712	0.00513684	0.00468339	0.0747167	0.0929297	0.155528	0.111829	0.418368	0.03594	0.0917785
d	0.00294026	0.00362054	0.00663681	0.00672627	0.00686884	0.00847435	0.00879156	0.0463722	0.0705508	0.0673908	0.252162	0.280074	0.151279	0.0881129
í	0.0005012	0.00215276	0.00119407	0.000584179	0.000887965	0.00268836	0.00146914	0.0522874	0.162056	0.0736695	0.0422038	0.0825105	0.0686864	0.509109
l	0.000763949	0.000459927	0.000251977	0.000803418	0.00154802	0.00392483	0.00334119	0.0597216	0.104616	0.0931181	0.109558	0.131935	0.189147	0.300811
a	0.000413738	0.000405425	0.00108066	0.00169923	0.00231178	0.00504021	0.00548739	0.0611395	0.130714	0.0928863	0.0109201	0.166883	0.0620896	0.458929
b	0.000173179	0.000150016	0.000188159	0.000844278	0.00110841	0.00264366	0.00441674	0.0337507	0.0880921	0.17916	0.0327095	0.10843	0.106696	0.441637
v	0.0016264	0.00130732	0.00674087	0.00690163	0.00972585	0.00671535	0.00485542	0.0556081	0.197768	0.129568	0.356355	0.142367	0.0218731	0.0585877
ú	0.00154699	0.000576187	0.00380408	0.00149669	0.00819212	0.00567334	0.00319159	0.056372	0.189952	0.176537	0.375048	0.0469745	0.049476	0.0811594
s	0.000539531	0.000152043	7.09368e-05	0.000450916	0.000678071	0.000780754	0.00229089	0.0210424	0.066945	0.0829089	0.341205	0.0382287	0.237431	0.207276
u	0.00192976	0.0019053	0.000423923	0.000973921	0.0033612	0.00527255	0.0141719	0.0575512	0.177248	0.349657	0.133989	0.042299	0.120492	0.0907249
</S>	0.000837453	0.000354071	0.00037888	0.000952168	0.00166283	0.00435853	0.0019616	0.0342239	0.036237	0.0748554	0.0120811	0.211576	0.0746823	0.545839
