 	il	ne	faut	pas	lui	servir	le	repas	dans	une	même	assiette	que	les	autres	car	il	prend	plus	que	sa	part	de	nourriture	</S>
a	0.000676255	0.00144047	0.00409035	0.00080475	0.00397657	0.0186924	0.00107698	0.00257284	0.00281529	0.00299884	0.00548513	0.766601	0.0515483	0.0286772	0.00441285	0.00443875	0.00740339	0.000756623	0.00451658	0.00331278	0.0042559	0.0274222	0.00234029	0.0030849	0.0465992
w	0.000104951	0.000330025	0.000903934	0.00113729	0.00244377	0.00274408	0.00249143	0.00200288	0.0092586	0.0166553	0.0185359	0.0490372	0.140528	0.236861	0.0853602	0.223618	0.113434	0.015471	0.0191602	0.0117051	0.00740496	0.00901768	0.0104501	0.00241867	0.0189252
a	0.00101282	0.00267191	0.00339332	0.0039307	0.0109643	0.0063886	0.00582266	0.00707248	0.0132414	0.00589611	0.0101302	0.0232206	0.111036	0.0836091	0.055749	0.108262	0.160642	0.00961421	0.0585161	0.069544	0.0485524	0.0364261	0.0418697	0.0549473	0.0674865
a	0.000257764	0.000529083	0.000669413	0.000941278	0.00144515	0.000883133	0.00151343	0.000917982	0.00361514	0.00564327	0.00608427	0.0107402	0.0392745	0.118027	0.102844	0.349262	0.199633	0.0233318	0.0329901	0.0258219	0.0159714	0.0109112	0.0245626	0.00532454	0.0188058
d	0.00194603	0.00624558	0.00155938	0.0051738	0.00784739	0.00136334	0.00474138	0.00311276	0.0188624	0.00811214	0.00973457	0.0233968	0.043687	0.0458412	0.0590966	0.164152	0.169635	0.128564	0.0570669	0.0474105	0.0132346	0.0168203	0.016732	0.00634724	0.139316
í	0.000872055	0.00165204	0.000278342	0.00223974	0.00329478	0.000511087	0.00224687	0.00461516	0.0127182	0.00911931	0.0236731	0.300074	0.0549251	0.137486	0.0617485	0.109892	0.0689655	0.0621648	0.0244509	0.0126686	0.0102015	0.0106218	0.00943051	0.00195548	0.0741957
l	0.000178296	0.000390114	0.000176193	0.000918551	0.00227822	0.000434823	0.00110914	0.00269494	0.0135112	0.00812671	0.0249516	0.0989643	0.038497	0.0872434	0.0655943	0.173718	0.121318	0.101613	0.0570939	0.026877	0.02154	0.0312456	0.0343517	0.00413254	0.0830417
a	0.000258675	0.000606058	0.000249913	0.00091905	0.00189164	0.000380815	0.00125115	0.00197836	0.00510743	0.00402642	0.00633681	0.0544524	0.0256974	0.0594441	0.0425826	0.216193	0.248433	0.0772796	0.0492352	0.0388284	0.0199722	0.0192841	0.0197631	0.00840787	0.0974213
b	5.19312e-05	0.000258833	0.000825402	0.0012105	0.00230166	0.00114126	0.00117407	0.00109646	0.00265264	0.00454777	0.00619152	0.0118261	0.0245324	0.0619148	0.0551532	0.130025	0.125376	0.207299	0.104673	0.0758503	0.0493374	0.0375885	0.0321503	0.0173608	0.0454617
v	0.00019396	0.00114782	0.00152383	0.00253594	0.00642682	0.0015305	0.00260071	0.00453096	0.00686161	0.00343859	0.00697651	0.019031	0.0541623	0.0727197	0.104997	0.0779764	0.109559	0.170049	0.107918	0.0728029	0.0458231	0.0249627	0.0213047	0.0608585	0.0200686
ú	1.81732e-05	7.56792e-05	0.000154688	0.000260693	0.000447853	0.000179589	0.000652552	0.000468819	0.00124196	0.00231229	0.00251278	0.0036611	0.0391095	0.0290613	0.0311014	0.0440212	0.046005	0.181557	0.231458	0.129911	0.103514	0.0401792	0.0406336	0.0511639	0.0202983
b	0.000100183	0.000270051	0.000124818	0.000540638	0.000776976	0.000218298	0.00231194	0.0038047	0.00887543	0.0378784	0.032233	0.0102647	0.0253151	0.0653006	0.055902	0.138132	0.0671764	0.186208	0.12878	0.0634901	0.0651775	0.0214125	0.0564423	0.00609067	0.0231733
h	0.000224944	0.000429788	0.000269109	0.000491664	0.00145054	0.000313696	0.00100489	0.00456737	0.00552586	0.00724081	0.011591	0.0171351	0.0305491	0.0451349	0.0234687	0.0601606	0.0694927	0.160828	0.130673	0.0797878	0.123124	0.0542581	0.0679461	0.0262748	0.0780576
ú	5.93837e-05	0.000186452	0.000114181	0.00039569	0.000668783	0.0004276	0.00153741	0.00137197	0.00387455	0.0200149	0.0159255	0.00542962	0.0414656	0.0507554	0.0242136	0.0595353	0.0574673	0.162879	0.166416	0.109589	0.129212	0.0412696	0.0502392	0.0164184	0.0405332
l	0.000157193	0.000196459	6.45348e-05	0.000369438	0.000472426	0.000156267	0.000604046	0.000697135	0.00159138	0.00389679	0.00327493	0.00407939	0.00908401	0.0159372	0.0109071	0.0574641	0.0601093	0.135234	0.203882	0.142647	0.0988367	0.0447411	0.101936	0.0207681	0.0828928
á	0.000118403	0.000244752	0.000203766	0.000341585	0.000556321	0.000225446	0.000513267	0.000304037	0.00135457	0.00289	0.00200499	0.00575612	0.0129449	0.0228432	0.0101229	0.0496447	0.056527	0.259374	0.162705	0.103454	0.0672408	0.0294391	0.0472078	0.0182498	0.145733
s	5.00866e-05	9.14295e-05	0.000522909	0.000628901	0.0011046	0.000817749	0.000715553	0.000593645	0.00143375	0.00143306	0.00174595	0.00195946	0.00461368	0.0166967	0.0046402	0.0182854	0.0445948	0.0217373	0.115826	0.131916	0.142633	0.113457	0.120764	0.19995	0.0537876
í	0.000276692	0.00141906	0.000879114	0.0011898	0.00568539	0.00290019	0.00106416	0.00250383	0.00474119	0.00351547	0.00581703	0.11332	0.0192679	0.0505158	0.007895	0.0164606	0.0298871	0.1249	0.132385	0.0897082	0.0802278	0.0655341	0.0485444	0.0457286	0.145634
d	3.30958e-05	0.000129989	0.000225439	0.000631726	0.00129556	0.000357101	0.000746085	0.00098256	0.00218948	0.00149825	0.00322836	0.00906041	0.00876291	0.0364808	0.00929625	0.0391787	0.0551002	0.0114185	0.109494	0.0992543	0.117164	0.110816	0.144914	0.10543	0.132314
z	5.92029e-05	0.000134179	6.81316e-05	0.000165234	0.000483519	0.000232165	0.000207975	0.000556798	0.000787984	0.00117336	0.00155467	0.0184999	0.0024825	0.00853879	0.00211926	0.00726954	0.0168633	0.126728	0.107579	0.0479454	0.0612999	0.0629317	0.0264864	0.0415768	0.464256
á	0.000574809	0.000399021	0.00021546	0.000981117	0.00128774	0.000504719	0.0012971	0.00328539	0.00257032	0.00697168	0.0051588	0.0157922	0.00808188	0.0483054	0.00633311	0.0356306	0.0455612	0.113526	0.0806275	0.046846	0.103279	0.0280818	0.0640792	0.054851	0.325759
a	5.28134e-05	4.02896e-05	2.07175e-05	0.000116888	0.000169083	2.9817e-05	0.000231244	0.000334172	0.000745467	0.00141518	0.0022191	0.00307076	0.00360736	0.0136533	0.00796232	0.0367792	0.0259636	0.0475304	0.106992	0.0911473	0.133024	0.0443133	0.127056	0.157256	0.19627
</S>	3.66914e-05	0.000119279	0.000153254	0.000527885	0.000810437	0.00033738	0.000861309	0.000656049	0.00232968	0.00107959	0.00177369	0.00263246	0.00489626	0.0077142	0.00323357	0.0143654	0.0308301	0.0125756	0.0919206	0.110535	0.0871142	0.149331	0.146546	0.104371	0.22525
