 	je	suis	venu	ici	pour	m'	entretenir	avec	toi	concernant	ce	qui	s'	était	passé	entre	nos	deus	femmes	</S>
m	0.012534	0.0419996	0.00911399	0.190855	0.337847	0.160613	0.0333474	0.00943284	0.00537048	0.0168954	0.0133023	0.00532687	0.00769247	0.00331667	0.00453174	0.0109588	0.0249825	0.049072	0.0111317	0.0516763
í	0.000536961	0.00267092	0.0024931	0.191598	0.508748	0.153345	0.0583689	0.0169212	0.00256048	0.00200224	0.00953708	0.022709	0.0061826	0.000791414	0.000523155	0.00068981	0.000690173	0.00300849	0.00504526	0.0115783
m	0.000725413	0.0163665	0.00112264	0.0974272	0.140607	0.0774788	0.458021	0.0327251	0.00346384	0.00355749	0.0180053	0.0261885	0.0156167	0.0101221	0.0156701	0.0209642	0.0139717	0.0116801	0.0140872	0.0221984
ω	5.09699e-05	0.00152406	0.000568717	0.0486415	0.263424	0.155348	0.325881	0.0488564	0.0034834	0.00240188	0.0277566	0.0890688	0.0192679	0.00170765	0.000790143	0.000490057	0.000395073	0.0011214	0.00654316	0.00267858
ω	1.21475e-05	0.00116274	8.67836e-05	0.0383104	0.0316789	0.00543098	0.786207	0.0325224	0.00119718	0.000538266	0.0136155	0.0189134	0.0150228	0.0145736	0.0136643	0.0108391	0.00216852	0.000330752	0.00264788	0.0110777
l	3.82741e-05	0.00244253	0.000222925	0.00952239	0.0891829	0.0373149	0.247103	0.183084	0.0163317	0.0155964	0.138813	0.0949499	0.100739	0.0190122	0.015647	0.0127108	0.00370999	0.00302961	0.00065253	0.00989731
a	0.000724783	0.00212441	0.00328664	0.0166093	0.0131728	0.0536639	0.124028	0.0886838	0.0556127	0.0531263	0.114749	0.105516	0.0839456	0.0545457	0.044646	0.0405308	0.0232606	0.0154222	0.00787409	0.0984771
n	0.00114323	0.0113309	0.00165924	0.00155078	0.0117198	0.187183	0.0155043	0.0699525	0.0745115	0.115139	0.192358	0.12057	0.0786049	0.0224389	0.0119462	0.0180827	0.0202771	0.0249938	0.00607225	0.0149628
ω	0.00991148	0.00214962	0.000559947	0.00127004	0.00213287	0.159758	0.00972314	0.0315381	0.376574	0.104768	0.0818711	0.0748364	0.0383235	0.0168179	0.0153231	0.025751	0.017881	0.00975136	0.00553877	0.0155207
m	0.000367174	0.00199314	0.00145299	0.00205008	0.00608625	0.115216	0.145447	0.0903222	0.0730705	0.065769	0.090643	0.0408421	0.148623	0.0814505	0.0667658	0.0419889	0.00548622	0.00192651	0.00183464	0.0186655
ó	3.50067e-05	0.000614139	4.99346e-05	0.00553231	0.0366337	0.0104298	0.0833981	0.104685	0.0195426	0.0140829	0.180091	0.247563	0.118732	0.0361903	0.0323124	0.0187589	0.00580226	0.0104607	0.0117043	0.0633809
y	5.07096e-05	0.00261845	7.91337e-05	0.00344355	0.0112417	0.0128507	0.0167001	0.0359741	0.0264041	0.0485692	0.143931	0.210752	0.106742	0.097669	0.128544	0.0953919	0.0179303	0.0230395	0.0118013	0.00626617
á	5.02993e-05	0.00144265	0.000354592	0.00178263	0.00163045	0.0109568	0.00399208	0.03531	0.0580277	0.0446486	0.14044	0.308184	0.0759985	0.205455	0.05182	0.0174282	0.0105398	0.00209906	0.0226278	0.00721162
á	0.000205318	0.00472557	0.00110053	0.000730334	0.00352546	0.0294677	0.000979934	0.0205487	0.105629	0.259813	0.140594	0.0845998	0.0710809	0.0707882	0.0313911	0.0334537	0.0571211	0.0489115	0.0138757	0.0214579
l	0.000216377	0.000912119	0.000439009	0.00225303	0.00319324	0.00381379	0.00185145	0.0108619	0.0434907	0.068719	0.099222	0.0999413	0.104091	0.147705	0.150484	0.161619	0.0611388	0.0233102	0.0101624	0.00657566
e	0.000251705	0.00154938	0.000568236	0.00209334	0.000943354	0.0073858	0.0134955	0.025667	0.0363376	0.0276995	0.0678194	0.0885697	0.0566015	0.199531	0.176915	0.131563	0.0385023	0.00802859	0.0273854	0.0890931
á	8.8151e-06	0.000827033	2.59239e-05	0.000327728	0.00122624	0.00201525	0.00253675	0.0173411	0.0371911	0.049977	0.0904639	0.0831583	0.0627814	0.103484	0.172234	0.25088	0.0836873	0.0176178	0.00983059	0.014386
p	5.72226e-05	0.00130592	0.00134346	0.00336957	0.00138001	0.00134707	0.00224833	0.00377559	0.00385105	0.00424235	0.0181705	0.026518	0.0348655	0.190619	0.436422	0.191073	0.0381358	0.00456415	0.0167711	0.0199405
á	1.48561e-06	0.000197589	0.000141388	0.00152366	0.000506669	0.000183158	0.013449	0.00528626	0.00116539	0.00125765	0.0172066	0.0195107	0.0282809	0.264596	0.317387	0.252426	0.0298655	0.00147375	0.00863514	0.0369064
n	4.46626e-05	0.00069564	0.000696124	0.00171766	0.000994235	0.000352675	0.0025361	0.00290135	0.00138434	0.00375919	0.0215806	0.0148405	0.03621	0.303123	0.315017	0.184372	0.0700262	0.00456288	0.0049691	0.0302167
y	0.00031256	0.000216709	0.000130878	0.000516429	0.0005442	0.00177755	0.00159362	0.00800035	0.060308	0.103096	0.0564726	0.0280587	0.0592304	0.12954	0.131157	0.231218	0.10265	0.0142642	0.00404029	0.0668726
a	0.000146505	0.000412668	0.00020295	0.00103441	0.000593942	0.00153297	0.00980475	0.03619	0.1117	0.0741072	0.0996311	0.0397166	0.0745807	0.0977273	0.0836919	0.253286	0.0480641	0.00374418	0.00362989	0.060203
a	8.35091e-05	0.000834671	0.000194271	0.000671669	0.00144982	0.00256455	0.00123072	0.00436242	0.0213389	0.0428327	0.0284981	0.0204359	0.042753	0.0672171	0.13251	0.19079	0.239658	0.0900148	0.0545093	0.0580509
b	0.000125934	0.000477929	0.000216675	0.00127891	0.00117351	0.00449498	0.00177736	0.00739054	0.00805732	0.00999652	0.0121347	0.0098362	0.014895	0.0380578	0.120065	0.160801	0.289656	0.115913	0.0908466	0.112804
á	9.84441e-06	0.000461488	0.000152086	0.00197607	0.00253434	0.00344497	0.00532352	0.00374113	0.00112162	0.00609098	0.0148603	0.0102849	0.0096383	0.011868	0.0967114	0.142347	0.140123	0.365705	0.104831	0.0787754
s	3.33026e-05	0.000354124	0.00024719	0.000788785	0.00141295	0.0058783	0.000266834	0.00134253	0.00205915	0.0128203	0.0110305	0.00410427	0.00626619	0.00945966	0.0316524	0.0564535	0.281111	0.40504	0.0858192	0.0838598
í	2.99486e-05	0.000101678	4.63111e-05	0.000272705	0.000107367	0.000323585	0.000332157	0.00244178	0.0294324	0.0225397	0.00910075	0.0163116	0.00842792	0.0329808	0.0660979	0.215254	0.351283	0.0649278	0.0652245	0.114763
b	7.48367e-06	0.000402677	2.76581e-05	0.000162459	0.000459035	0.00122637	0.000421617	0.00195919	0.00626835	0.00940927	0.00898965	0.00502879	0.0128812	0.0258206	0.0494399	0.0846145	0.35201	0.0972165	0.0808376	0.262818
á	3.30734e-05	0.000422393	0.000354486	0.000507195	0.000836751	0.00347524	0.000490134	0.000262615	0.000443008	0.00668496	0.00332635	0.00223895	0.00239674	0.00138428	0.00930861	0.0282045	0.0855854	0.811258	0.0314284	0.0113591
b	0.00019564	0.00107606	0.000601641	0.000555675	0.0030716	0.0117099	0.000493015	0.00110568	0.00171309	0.00751255	0.00617197	0.00182981	0.00385434	0.00276787	0.0114421	0.0302791	0.142568	0.651821	0.0605951	0.0606358
í	2.03585e-05	0.00015862	0.000559215	0.000664184	0.000509625	0.00177181	0.000672838	0.00012278	0.000138086	0.00186101	0.0010876	0.00124633	0.00108574	0.00181792	0.0116172	0.0402662	0.10219	0.753852	0.052457	0.0279017
s	0.000134601	0.00159068	0.00101697	0.000766531	0.00280562	0.0142675	0.000486561	0.000363819	0.000957692	0.00868199	0.0062561	0.00235921	0.00326858	0.0017846	0.00976374	0.0249892	0.0647283	0.734668	0.100758	0.0203522
í	2.52105e-05	0.00010464	0.000115763	0.000453667	0.000221759	0.00204337	0.00077882	0.00256085	0.00575272	0.00676519	0.00381862	0.00499687	0.00298323	0.00716913	0.0198215	0.0563241	0.245579	0.205391	0.158709	0.276385
á	2.3813e-05	0.000342992	7.15859e-05	0.000266433	0.000559304	0.000929658	0.000759399	0.00244596	0.00328079	0.00357724	0.0044533	0.00295034	0.00699567	0.0157931	0.0406294	0.0734455	0.183426	0.109895	0.0860798	0.464075
b	5.55287e-05	0.00123287	0.000806391	0.00622018	0.00250986	0.00386138	0.00368537	0.0147303	0.00566269	0.00584534	0.0135557	0.0123142	0.01523	0.0344467	0.0653366	0.037773	0.109551	0.135763	0.228642	0.302778
a	1.1849e-05	0.000355949	0.000371887	0.00200516	0.00111004	0.00175894	0.00743477	0.0027601	0.000673576	0.00278819	0.00487395	0.0035183	0.00412865	0.00675021	0.0568132	0.118246	0.0880333	0.466319	0.175113	0.0569341
á	3.44892e-06	7.46746e-05	0.000103389	0.000447967	0.000475924	0.00119814	0.000343296	0.00121467	0.00103305	0.00236566	0.00271914	0.00154753	0.00250518	0.00714134	0.0250518	0.0402098	0.121388	0.246677	0.0944064	0.451093
</S>	2.48901e-05	0.00120802	0.000219102	0.00139406	0.00122619	0.00234298	0.00109918	0.00718861	0.00489176	0.00655858	0.00523351	0.00335718	0.0063744	0.00899185	0.0230057	0.0185381	0.0803426	0.145745	0.0746363	0.607622
