 	si	tu	accomplis	des	actes	justes	devant	dieu	tu	auras	une	longue	vie	</S>
ε	0.000502093	0.000252558	0.00143572	0.0108451	0.0662962	0.807803	0.0328879	0.0451026	0.00435799	0.0162469	0.00550521	0.000909029	0.00246958	0.00538672
ε	0.000143127	0.00012019	0.00287334	0.0185233	0.0976145	0.543559	0.134225	0.0189261	0.0107883	0.0412377	0.0192311	0.0112385	0.0207366	0.0807832
t	0.000207566	0.000535858	0.00488244	0.0257194	0.0948275	0.275882	0.293615	0.108301	0.037075	0.0885227	0.0302671	0.0140563	0.00511113	0.0209975
ε	0.000111526	9.8544e-05	0.00234485	0.00749876	0.0287352	0.820418	0.0309292	0.0187815	0.00915109	0.0455293	0.0219148	0.00338669	0.00377067	0.00732961
ε	3.73618e-05	3.65366e-05	0.00179889	0.0179897	0.0416756	0.404258	0.164932	0.0755078	0.0556095	0.102906	0.0478087	0.0277921	0.00873205	0.0509149
ó	8.36379e-05	0.000442331	0.00350782	0.0126419	0.0502736	0.113638	0.21711	0.246831	0.0602794	0.213404	0.0511346	0.00828224	0.00719734	0.015175
m	0.000459253	0.00161661	0.00858376	0.0199218	0.0537751	0.0172197	0.119829	0.189193	0.0349746	0.357893	0.0903139	0.0299109	0.0630461	0.0132634
í	0.000206011	0.000865168	0.00164507	0.0138423	0.0103572	0.00393273	0.102488	0.114695	0.0269215	0.500429	0.0932158	0.00967021	0.0646399	0.0570913
s	4.18773e-05	0.000186284	0.000629489	0.00499351	0.0107878	0.01349	0.123196	0.0871293	0.0353014	0.455111	0.115868	0.0422029	0.0781054	0.0329581
i	0.000101918	0.000937405	0.00222717	0.00300698	0.0310928	0.00529184	0.0791645	0.211037	0.062241	0.190914	0.0929534	0.0756442	0.106298	0.13909
m	1.78383e-05	9.27099e-05	0.000200077	0.00346335	0.010281	0.0086535	0.128918	0.205558	0.0357198	0.248113	0.203104	0.0551599	0.0332633	0.0674544
á	0.000133115	9.43096e-05	0.000142437	0.00502342	0.00374284	0.00227457	0.189669	0.084472	0.0698803	0.381001	0.109721	0.0167825	0.0383675	0.0986963
n	0.000127771	0.000424201	0.000291126	0.00248174	0.00273757	0.00279867	0.022957	0.0818167	0.216391	0.210162	0.318335	0.0978902	0.0229678	0.0206195
z	0.000144296	0.000818023	4.82688e-05	0.000579918	0.0005983	0.000159613	0.0116432	0.45992	0.352852	0.0632686	0.0477443	0.0458952	0.00624536	0.0100823
a	0.000339201	0.00223798	0.000145648	0.00220675	0.00100516	0.000388509	0.0192175	0.581725	0.152342	0.0272334	0.0460585	0.112222	0.028149	0.0267292
m	5.4927e-06	5.87229e-05	0.000312325	0.00310667	0.00830444	0.010502	0.0770646	0.116344	0.0525088	0.15116	0.227494	0.168633	0.0418783	0.142627
b	0.000948919	0.000427864	8.22415e-05	0.00289666	0.00100066	0.00176249	0.0811462	0.100047	0.0800343	0.423327	0.130758	0.0218445	0.0271408	0.128583
é	0.000646899	0.000182595	0.00049889	0.00591312	0.00309943	0.00354516	0.0527787	0.234527	0.0324328	0.482473	0.0845347	0.00456403	0.0210472	0.0737562
n	0.000127073	0.000246015	0.000243735	0.00267843	0.00482428	0.0184092	0.0265068	0.0136733	0.0457872	0.262067	0.33987	0.0930498	0.0365801	0.155936
ω	0.00138787	0.00221045	0.00150198	0.00606445	0.00675086	0.00271215	0.0200275	0.203488	0.209953	0.235036	0.178877	0.0600345	0.0212182	0.0507382
l	0.000222562	0.000205573	0.000230011	0.00194358	0.00442717	0.00566276	0.0287108	0.0277143	0.0893978	0.228079	0.287727	0.156194	0.0457768	0.123709
ó	0.000619392	0.000626099	0.000994834	0.00508399	0.00639808	0.0111287	0.03401	0.0145146	0.0529131	0.15428	0.113297	0.132016	0.101214	0.372903
o	0.000109316	6.79379e-05	0.000242786	0.00122858	0.00149464	0.00581162	0.0270622	0.0109893	0.0513206	0.127938	0.286565	0.275258	0.120979	0.0909314
d	4.84993e-05	0.000101464	0.00365314	0.00614251	0.0116624	0.00484493	0.023331	0.00560115	0.00859076	0.0567589	0.086307	0.346369	0.31712	0.12947
i	9.51101e-06	3.13455e-05	0.0017576	0.00218631	0.00931787	0.00159447	0.0185581	0.00640633	0.00294704	0.0351721	0.117615	0.143572	0.188615	0.472218
á	1.11615e-05	1.22264e-05	0.000463122	0.00194423	0.0040754	0.000995444	0.0288599	0.0170478	0.00535639	0.0498066	0.142451	0.159211	0.141752	0.448015
l	0.000319044	0.000783271	0.000545749	0.00278276	0.00275011	0.00303274	0.00965579	0.0130422	0.0840852	0.0496364	0.201303	0.314456	0.166148	0.151459
e	0.000494252	0.000632997	0.000559274	0.00139787	0.00190591	0.00378805	0.0116703	0.00671176	0.0371642	0.0456411	0.164885	0.319038	0.17239	0.233721
b	8.48267e-06	3.26637e-05	5.95049e-05	0.000710793	0.000481341	0.00126221	0.0067307	0.00649211	0.0313792	0.0733341	0.181753	0.155807	0.321917	0.220032
í	0.000304403	0.000211671	0.000246854	0.00564418	0.000521173	0.0016456	0.0483068	0.057997	0.150487	0.0818823	0.24029	0.25452	0.0806862	0.0772568
i	0.00028536	0.000424668	0.000103936	0.00313777	0.000595747	0.0033583	0.0328444	0.0702485	0.152039	0.157145	0.195063	0.0930088	0.128688	0.163057
</S>	4.79142e-05	5.68228e-05	0.000122534	0.0004902	0.000836464	0.0030091	0.00235885	0.00040967	0.00666736	0.0227124	0.0734865	0.181709	0.188884	0.519209
