 	la	manière	dont	ils	ont	augmenté	les	salaires	des	fonctionnaires	a	émerveillé	tout	le	pays	</S>
m	0.00343158	0.00167229	0.00858891	0.00737692	0.0112601	0.0169963	0.0853069	0.039518	0.243081	0.0983082	0.244272	0.0851619	0.0933604	0.0405206	0.00158687	0.0195584
b	0.0238061	0.00286083	0.000750214	0.0043606	0.00662166	0.00715557	0.031865	0.00266033	0.0482687	0.00617181	0.184741	0.599751	0.0276746	0.0204395	0.00157996	0.0312935
ώ	0.00111034	0.000380841	0.000327342	0.00361278	0.000735305	0.0221254	0.00554768	0.00143449	0.0292875	0.00604863	0.0310734	0.871227	0.0084559	0.00254857	0.00600118	0.0100839
n	0.000155512	7.03538e-05	0.000181562	0.00297763	0.0041362	0.0221754	0.00544431	0.00117652	0.0215288	0.0103614	0.0560009	0.811853	0.0328465	0.0125442	0.00210159	0.0164464
g	0.00503674	0.00183551	0.00133996	0.000205345	0.000659592	0.0291382	0.00436538	0.00676812	0.0717797	0.0373343	0.081627	0.438644	0.086299	0.048537	0.0119816	0.174449
ω	0.00635173	0.00684482	0.00673057	0.000256059	0.000186596	0.0194865	0.00254164	0.00101217	0.0166053	0.00842257	0.0273236	0.844808	0.0253516	0.00597836	0.00114091	0.0269596
é	0.000557987	0.00053362	0.00339183	0.00133294	0.00185176	0.00502228	0.0155763	0.00343186	0.0745894	0.0111523	0.2765	0.0265092	0.461142	0.089479	0.00359155	0.0253377
k	0.013486	0.00221952	0.0117265	0.0018381	0.0118035	0.00506953	0.00805941	0.0130664	0.0555692	0.0283374	0.165066	0.0019314	0.256637	0.303552	0.0701319	0.0515066
y	0.000280555	0.000163971	0.000336019	0.00131272	0.00166673	0.00130931	0.0013205	0.00154134	0.0630166	0.0141135	0.0591101	0.0142588	0.202996	0.264141	0.0713539	0.303079
e	0.00106006	8.20055e-05	0.000228951	0.000842939	0.00137691	0.000681677	0.000971693	0.00133551	0.0307158	0.00620408	0.0450109	0.00901266	0.0934372	0.213804	0.233388	0.361848
p	0.00178198	0.000207398	0.00167286	0.00201172	0.000992802	0.000736952	0.0107973	0.00277563	0.0324782	0.0144275	0.0620203	0.00864324	0.252625	0.246563	0.188046	0.17422
o	0.000671696	0.000415281	0.00120768	0.0013592	0.000675586	0.000187289	0.00132794	0.000239296	0.00479608	0.000275766	0.017408	0.00108655	0.0653547	0.0880003	0.716469	0.100525
o	0.000188769	4.20769e-05	0.000173856	0.000364042	0.000913389	0.000864272	0.000851644	0.000263479	0.00293043	0.000287852	0.0106002	0.00133793	0.0462403	0.0620361	0.75892	0.113985
é	0.000942545	6.94664e-05	0.000630501	0.000285655	0.000673347	0.000513051	0.00156391	0.000606367	0.0108596	0.00354849	0.0244862	0.000692195	0.126645	0.407844	0.0598027	0.360836
t	0.00704275	0.000930171	0.00973144	0.00144632	0.00381755	0.00236423	0.00503447	0.00405661	0.0260837	0.0174747	0.0630032	0.00108665	0.163298	0.353533	0.0857828	0.255314
s	0.00016654	0.00015897	0.00065805	0.000764579	0.000669928	0.00040437	0.000680709	0.000336006	0.00973992	0.0011148	0.0247431	0.00131609	0.109843	0.183879	0.499337	0.166188
ω	0.00217015	0.000131935	0.000598465	0.000544489	0.000563017	0.00071212	0.000702616	0.000307013	0.0176553	0.000692704	0.0443424	0.0069384	0.210883	0.274972	0.30002	0.138767
e	0.00310757	0.000431839	0.00284659	0.000965497	0.000364706	0.000522847	0.00690719	0.00045919	0.0126546	0.00239424	0.0432774	0.00316943	0.169038	0.117536	0.11037	0.525955
s	0.00255503	0.000614447	0.00254891	0.00426718	0.00274457	0.00340241	0.00239988	0.00101738	0.00904116	0.00309253	0.0307184	0.00881567	0.105595	0.280694	0.159348	0.383146
ε	0.00167067	0.000378436	0.0038347	0.000384783	0.00220182	0.00510244	0.0021411	0.00926032	0.0218587	0.0281842	0.0405339	0.0086545	0.0744347	0.206323	0.219855	0.375182
</S>	0.000641966	6.46583e-05	0.00043749	0.000146407	0.000111893	0.000420016	0.000374769	0.000344703	0.00205083	0.000923875	0.0139826	0.00373521	0.0913006	0.120938	0.228956	0.535571
