 	c'	est	lui	qui	a	embourbé	le	véhicule	à	l'	entrée	d'	ekyembe	</S>
o	0.0112106	0.0120251	0.0263326	0.0226488	0.0175037	0.000927991	0.595364	0.0499086	0.119198	0.0885504	0.02468	0.00780662	0.00616745	0.0176762
t	0.0010527	0.000901479	0.000282712	0.00184688	0.00525513	0.0148586	0.109937	0.772644	0.0287329	0.00683454	0.0189127	0.00340346	0.0223773	0.0129599
ω	0.000176275	0.000405427	0.000118287	0.000808505	0.00113179	0.000983015	0.0151251	0.934216	0.00786702	0.00530565	0.00895944	0.00149709	0.0137248	0.00968123
m	1.29482e-05	9.47369e-05	7.72403e-05	0.000617698	0.00161317	0.00730507	0.0151152	0.789457	0.0109558	0.0144727	0.12171	0.0061438	0.01624	0.0161848
b	0.000151764	9.5734e-05	5.00883e-05	0.000144856	0.000863317	0.00210625	0.0332	0.609854	0.086487	0.0572936	0.051566	0.0317112	0.0182762	0.1082
í	0.000590095	0.000470043	0.000544363	0.00100061	0.00330098	0.00554847	0.0137147	0.611132	0.038792	0.029634	0.0193868	0.0207057	0.0456054	0.209574
l	0.00705289	0.00266359	0.00306527	0.00125993	0.00290751	0.0103322	0.0985985	0.0652356	0.452778	0.180244	0.0574032	0.0184573	0.00614823	0.0938544
i	0.00314282	0.00327662	0.00675334	0.0037043	0.00186331	0.00430739	0.0825699	0.0745057	0.15008	0.196604	0.15444	0.0268551	0.058177	0.233721
m	0.000283861	0.000494466	0.000751047	0.00083797	0.00114168	0.000281186	0.0402055	0.00294178	0.376601	0.311627	0.120879	0.0498488	0.00680598	0.0872999
ó	0.0251358	0.0338833	0.0181542	0.00286189	0.0114572	0.00122329	0.0665509	0.0175334	0.232394	0.0949257	0.0393	0.197445	0.0469678	0.212168
n	0.00067642	0.00134035	0.00235346	0.00195972	0.00177412	0.000270783	0.0407466	0.00257779	0.190586	0.252832	0.199114	0.164756	0.0448619	0.0961508
ω	0.000908595	0.00136956	0.00198927	0.00629673	0.000661557	0.000239921	0.00720741	0.00289489	0.16527	0.285285	0.412442	0.0231901	0.0254466	0.0667977
ω	5.61576e-05	0.000293731	0.00036266	0.000852955	0.000246178	2.18408e-05	0.00364321	0.00284256	0.118101	0.27874	0.475984	0.0316124	0.0100607	0.0771827
m	0.00181079	0.00214818	0.00207744	0.00608313	0.00689344	0.000724135	0.0470823	0.00499972	0.0848493	0.0820497	0.115415	0.295332	0.226568	0.123968
e	0.00111432	0.00631932	0.00335998	0.0036552	0.0182865	0.00118219	0.0207122	0.00335194	0.122608	0.0437797	0.0206545	0.339134	0.221415	0.194428
k	9.68854e-05	0.000365387	0.000366999	0.00104147	0.00248885	0.000675072	0.00660545	0.0022565	0.0723136	0.041482	0.0975815	0.216019	0.408017	0.150691
y	3.51635e-05	0.000181518	0.000130952	0.000458964	0.000820162	0.00167723	0.00318005	0.00959871	0.0128164	0.0165973	0.0781541	0.0565086	0.706426	0.113414
e	0.000251366	0.000371201	0.000239176	0.00032181	0.000351043	0.00113116	0.0102485	0.0477068	0.0182778	0.0378539	0.104544	0.0585316	0.667125	0.0530467
m	8.51996e-05	7.64437e-05	0.000100517	0.000180681	0.000198415	0.00106455	0.0171175	0.0225467	0.0516831	0.0796913	0.087626	0.219475	0.396616	0.123539
b	9.14952e-05	6.00623e-05	4.33935e-05	3.33177e-05	8.05926e-05	0.000219175	0.00137413	0.00475471	0.0377761	0.0174552	0.0103625	0.0946774	0.664015	0.169057
e	0.00135872	0.00060794	0.00085182	0.000596245	0.000904745	0.0011414	0.00744794	0.00991249	0.0585133	0.0353978	0.0181679	0.0600854	0.619514	0.1855
</S>	0.000174178	0.000273818	0.000260406	0.000422206	0.000527915	0.000399284	0.00455551	0.000747175	0.0350912	0.0444347	0.0336759	0.359155	0.131774	0.388509
