 	la	manière	dont	il	s'	est	épuisé	montre	qu'	il	fume	beaucoup	</S>
l	0.000585709	0.00127239	0.00227587	0.00701796	0.0128355	0.0109531	0.000790495	0.0858549	0.227651	0.407622	0.131991	0.0479078	0.0632424
á	0.00205218	0.00228762	0.00376773	0.00749642	0.0336978	0.0312447	0.00309155	0.0731847	0.0715271	0.118436	0.151576	0.0753669	0.426272
a	0.000636295	0.000799299	0.00603847	0.0102252	0.0148678	0.0233683	0.00162444	0.0297579	0.0956572	0.169524	0.260147	0.14071	0.246645
n	0.000623078	0.000673782	0.00129142	0.00192018	0.0156223	0.0255142	0.0160665	0.0427537	0.0187142	0.0955429	0.566189	0.146296	0.0687932
y	0.000190349	0.000355432	0.00192701	0.000749062	0.00910988	0.0115746	0.000913383	0.0136853	0.00876575	0.0304592	0.788952	0.072793	0.0605251
w	0.00218331	0.00145281	0.0022757	0.00114521	0.0128439	0.0191918	0.00228218	0.0173861	0.0167453	0.0205513	0.761486	0.0920249	0.0504315
á	0.005553	0.00308097	0.00450016	0.00227927	0.0219349	0.0227472	0.00300872	0.0805378	0.0890499	0.0599179	0.515656	0.104489	0.0872456
á	0.000913828	0.000335543	0.00069006	0.0019481	0.00741936	0.0153871	0.00107401	0.0341641	0.0869916	0.0766084	0.115966	0.180669	0.477834
a	0.00369031	0.00366951	0.00576332	0.0201904	0.0195553	0.0150161	0.000801528	0.0263219	0.116745	0.141444	0.146986	0.310414	0.189402
k	0.000458635	0.000341544	0.000679644	0.00207068	0.00702756	0.0110463	0.00415484	0.0193662	0.021506	0.0369625	0.138541	0.502077	0.255768
έ	4.55633e-05	2.29098e-05	0.000145458	0.000416981	0.00392555	0.00937088	0.0203522	0.00585958	0.015729	0.0353182	0.279238	0.35402	0.275556
έ	0.000530472	0.000122863	0.000604091	0.00223169	0.00444407	0.0061708	0.0154032	0.0377015	0.0799626	0.0615745	0.197297	0.128154	0.465803
o	0.00748285	0.00234588	0.00280551	0.00606813	0.0113847	0.0145665	0.00127233	0.0260652	0.0855892	0.0947711	0.100243	0.2424	0.405005
y	0.000259385	0.000184234	0.00144268	0.0024054	0.0118609	0.0311046	0.0110015	0.0186516	0.0104598	0.010526	0.0884032	0.406259	0.407442
í	0.000283579	0.000545605	0.00642809	0.00241443	0.0125962	0.0135775	0.000485405	0.0226854	0.0201234	0.0351688	0.210055	0.228266	0.44737
í	0.000380747	0.000695373	0.00247837	0.00367237	0.00342191	0.00369125	0.000414168	0.00931899	0.0143656	0.0283241	0.0370803	0.203841	0.692316
</S>	0.000224684	0.000110579	0.000268008	0.000831876	0.00277738	0.00544724	0.000731694	0.00989531	0.0238449	0.0227884	0.043101	0.276308	0.613671
