 	autant	hier	j'	étais	heureux	autant	je	suis	triste	aujourd'	hui	</S>
a	0.00152014	0.0241721	0.00368305	0.00432417	0.0119237	0.0571751	0.134228	0.164525	0.339608	0.0375669	0.0123114	0.208962
i	0.00084003	0.000238423	0.00151724	0.000588473	0.00382243	0.0167278	0.0576012	0.250958	0.26738	0.249473	0.0288195	0.122034
d	0.00294119	0.000231576	0.00197178	0.00290626	0.0193494	0.0203969	0.0347209	0.117912	0.127176	0.277262	0.168932	0.226201
í	0.000674107	0.000359567	0.00133361	0.00490856	0.0123244	0.0120276	0.023375	0.122621	0.170087	0.0609548	0.00819266	0.583141
l	0.000644517	3.54506e-05	0.00140218	0.00114864	0.00927337	0.0166444	0.0439817	0.0963781	0.0548691	0.177213	0.144748	0.453661
a	0.000734388	0.000289041	0.00312166	0.00211984	0.00830136	0.0189687	0.102246	0.0983667	0.172481	0.218735	0.0303109	0.344326
n	0.000576751	0.000283875	0.00536658	0.00090058	0.00732975	0.0202711	0.100253	0.106747	0.284099	0.217378	0.0556255	0.201169
y	0.00201711	4.28561e-05	0.0146142	0.000285443	0.000404372	0.00734109	0.433092	0.0535121	0.421191	0.0428279	0.0058588	0.018813
i	0.00609781	0.000103607	0.0464071	0.000300946	0.000341504	0.00928506	0.483843	0.0512701	0.332465	0.046292	0.00863338	0.0149609
n	7.52118e-05	1.32432e-05	0.000191981	0.000319622	0.00121301	0.0153861	0.05568	0.0871539	0.703813	0.0189169	0.00103335	0.116204
g	0.000297934	0.000257512	0.000352251	0.00049387	0.00793511	0.0112995	0.0235422	0.0757017	0.258523	0.14126	0.0106417	0.469695
a	0.000239408	0.000407456	0.000635866	0.000479729	0.00350606	0.0508944	0.113534	0.101063	0.469472	0.0738607	0.00753755	0.17837
b	0.00113011	0.000185839	0.00278906	0.0012947	0.00244808	0.0145735	0.0662286	0.089749	0.101542	0.318845	0.0314289	0.369786
v	0.000500173	0.000656379	0.00551948	0.000349836	0.00223463	0.00375832	0.0204221	0.150747	0.132937	0.337774	0.182887	0.162213
á	0.0101131	0.0001023	0.00129749	9.69054e-05	0.000644665	0.00311883	0.00987086	0.0785809	0.171579	0.425059	0.21232	0.0872166
a	0.0011385	0.000221288	0.00167404	8.57558e-05	0.000234316	0.00119812	0.0113633	0.0259592	0.0279415	0.131743	0.562158	0.236283
b	0.00136024	9.59757e-05	0.00147879	0.00412447	0.00930242	0.0148134	0.0228949	0.0783466	0.0878686	0.342921	0.0881903	0.348603
v	0.000240731	0.000649524	0.0031629	0.00058343	0.00556907	0.00667335	0.0152181	0.14899	0.0811646	0.300598	0.283367	0.153783
ú	0.000751494	4.3183e-05	0.000195094	0.000209292	0.000972987	0.00380017	0.0082	0.130562	0.235829	0.383558	0.102633	0.133245
u	0.000397032	0.000542799	0.000430775	6.68958e-05	0.00403728	0.00904055	0.0177751	0.060241	0.0481328	0.326984	0.112805	0.419547
</S>	0.00109109	1.48126e-05	0.000431454	0.000952438	0.00742847	0.00698999	0.0109043	0.0335366	0.0336246	0.263367	0.122473	0.519186
