 	avec	la	pluie	qui	était	tombée	on	ne	pouvait	plus	avancer	</S>
e	0.00107823	0.00104861	0.00132548	0.00215343	0.0018183	0.0177252	0.01063	0.0647712	0.874207	0.00623673	0.0121694	0.00683664
r	0.000638735	0.000335805	0.00104988	0.00675103	0.00722771	0.027917	0.0560328	0.142627	0.690202	0.0269139	0.00788063	0.032423
á	0.00133083	0.00155777	0.00553062	0.00641855	0.00751218	0.120278	0.0557787	0.206891	0.243681	0.0311434	0.0386189	0.281259
o	0.00202887	0.00117268	0.00212538	0.00777325	0.00442432	0.053367	0.288416	0.211096	0.178295	0.166418	0.0418091	0.0430747
b	0.000667289	0.00112163	0.00325722	0.00140138	0.0028795	0.0105941	0.0176134	0.102357	0.636088	0.111778	0.0788678	0.0333747
v	0.000505493	0.00175192	0.00838604	0.00498568	0.000706745	0.0163273	0.011846	0.068161	0.795307	0.0265408	0.047167	0.0183149
ú	0.000727014	0.000667895	0.00258939	0.00229873	0.00052282	0.0135666	0.0291554	0.0677072	0.782116	0.0309671	0.0524476	0.0172346
r	0.00416338	0.00256229	0.000411985	0.00503064	0.000625164	0.0118998	0.0659147	0.109268	0.486284	0.236675	0.0210442	0.0561219
á	0.00117325	0.000820044	0.000569915	0.0016816	0.00103742	0.0103623	0.0337954	0.111204	0.135982	0.277409	0.121755	0.30421
ω	0.00267784	0.00128296	0.0015122	0.00698153	0.00343823	0.0090929	0.0567814	0.0379911	0.0386768	0.549668	0.142225	0.149672
d	0.00128763	0.00168639	0.00235696	0.00472267	0.00189195	0.00839115	0.0152312	0.0439274	0.106278	0.393692	0.23437	0.186165
z	0.000397702	0.000742722	0.00703969	0.0054553	0.00461302	0.0117319	0.0107298	0.021088	0.120048	0.223003	0.238363	0.356788
w	0.00174394	0.00321396	0.0156112	0.00641477	0.0410376	0.0455082	0.0514265	0.110126	0.138746	0.167954	0.242198	0.17602
á	0.00327363	0.00154484	0.00322116	0.00217417	0.0033155	0.0165942	0.0259533	0.0717109	0.134734	0.0786112	0.259236	0.399631
l	0.000431126	0.000323915	0.00439623	0.00107158	0.0034621	0.013292	0.0108579	0.0204052	0.04219	0.213539	0.481082	0.208949
a	0.00111157	0.000556499	0.0023626	0.00225709	0.00261715	0.0153541	0.017102	0.0279132	0.0182192	0.151447	0.250957	0.510103
b	0.000687426	0.000468667	0.000286417	0.00142994	0.000322829	0.00169971	0.00423896	0.0119117	0.0244648	0.240953	0.388985	0.324551
o	0.000581217	0.00100131	0.00128562	0.00735677	0.00118702	0.0107492	0.0396455	0.0320106	0.0723924	0.597141	0.152058	0.0845912
s	0.000953551	0.00336362	0.00184962	0.00441467	0.00467414	0.0150662	0.022296	0.0785142	0.382295	0.112845	0.183993	0.189736
ó	0.000776333	0.00154449	0.00210926	0.00224379	0.001982	0.00582997	0.0060158	0.0444414	0.136603	0.272934	0.171511	0.354009
k	0.00078426	0.000558232	0.000806575	0.00320253	0.00131538	0.00499623	0.0202408	0.0228218	0.0364279	0.239791	0.0839095	0.585146
a	0.00132447	0.00117855	0.000258924	0.00687459	0.00183264	0.00466329	0.0173525	0.0272972	0.00949258	0.350395	0.0442787	0.535051
á	0.000287499	0.000253449	5.98528e-05	0.000758479	0.00105494	0.00107277	0.00454736	0.0101752	0.0256294	0.171102	0.0538318	0.731227
</S>	0.00137228	0.000686927	0.00193352	0.00338448	0.00660525	0.0105995	0.023935	0.0126013	0.00808232	0.0945597	0.0565274	0.779712
