 	j'	étais	triste	parce	que	mon	oncle	m'	a	traité	d'	ingrat	</S>
a	0.0186886	0.00333027	0.116622	0.116908	0.121665	0.20446	0.139206	0.137135	0.0204574	0.0186609	0.0143725	0.00775095	0.0807431
n	0.00205112	0.00364464	0.0163586	0.0590923	0.173494	0.274978	0.177685	0.0874952	0.132383	0.0308473	0.0216467	0.0053143	0.0150102
g	0.0342946	0.00487952	0.0660577	0.0203093	0.0579291	0.260027	0.356292	0.127982	0.0210444	0.0073132	0.00663854	0.00219045	0.0350411
ó	0.00159658	0.000467906	0.0274753	0.0093086	0.0146935	0.104312	0.761739	0.0567358	0.0122079	0.00264103	0.00228729	0.00300322	0.00353177
l	0.00173563	0.000512135	0.0240909	0.0156634	0.0146117	0.0731368	0.753424	0.0635805	0.018133	0.00622133	0.00879731	0.00831795	0.0117759
ó	0.00144805	0.00326333	0.0178887	0.0449424	0.116349	0.132186	0.266717	0.092096	0.133278	0.0865325	0.0637321	0.0217085	0.019858
m	0.000871266	0.00106105	0.00581171	0.0249953	0.046794	0.0411112	0.370561	0.0856485	0.150132	0.0763536	0.0643299	0.0797064	0.0526237
i	0.000498992	0.0100735	0.0118661	0.036575	0.0812123	0.134015	0.0871828	0.126163	0.123842	0.111703	0.192401	0.00819842	0.0762692
á	0.000102143	0.00168374	0.00402769	0.00494467	0.0466176	0.0474224	0.00586861	0.170452	0.146716	0.300279	0.221008	0.0041719	0.0467066
t	0.00134924	0.0282174	0.0128477	0.00828175	0.0299122	0.0256864	0.0164171	0.042847	0.172818	0.177689	0.28256	0.0862635	0.115111
i	2.57738e-05	0.00114081	0.00138843	0.00295687	0.00785972	0.00464343	0.00175981	0.00698312	0.0812433	0.122121	0.161245	0.529817	0.0788152
i	5.97883e-05	0.00176584	0.00545265	0.00937412	0.0214853	0.026668	0.00295966	0.0168144	0.108043	0.163265	0.258816	0.288353	0.0969431
l	0.000385959	0.000216192	0.00285677	0.0108199	0.0248997	0.0959598	0.0147898	0.302262	0.112133	0.0977178	0.220976	0.0571752	0.0598079
a	0.000979131	0.000409197	0.00331783	0.0119823	0.0253294	0.0650809	0.00690367	0.131574	0.0986633	0.101198	0.134854	0.176068	0.24364
n	0.00014842	0.000161568	0.00267951	0.0077087	0.0102811	0.0667638	0.0134479	0.276934	0.129629	0.0938729	0.190353	0.118014	0.0900059
g	0.0105651	0.000196289	0.013735	0.00615351	0.00964419	0.323126	0.0543969	0.443695	0.0421717	0.0248566	0.0331044	0.0150463	0.0233088
á	0.00076383	9.47705e-05	0.00454525	0.00454244	0.00801195	0.176731	0.122736	0.546047	0.0498502	0.0138279	0.0214041	0.0122219	0.0392238
w	0.000247226	0.000318173	0.00266209	0.0073739	0.0197122	0.0764616	0.0111861	0.079507	0.125359	0.158449	0.285233	0.0206325	0.212858
á	0.000840577	0.00073666	0.00373999	0.0155459	0.0214596	0.052999	0.0128981	0.04481	0.1186	0.186143	0.18521	0.254877	0.102141
r	0.000704605	0.000340682	0.00337942	0.00751715	0.0121934	0.111706	0.025865	0.163937	0.0739475	0.0649024	0.0931429	0.334015	0.108349
e	0.000528831	0.000264785	0.00571338	0.00611594	0.0106376	0.056677	0.00541689	0.151887	0.0670524	0.0760587	0.0730743	0.175252	0.371321
n	8.64824e-05	0.000173314	0.000602704	0.00211685	0.00550374	0.0242414	0.0129851	0.0534965	0.0652545	0.054924	0.0986608	0.20111	0.480845
g	0.00113102	0.00117103	0.00594185	0.00624211	0.00750935	0.018835	0.00507009	0.0490163	0.0366799	0.0478393	0.147098	0.341454	0.332012
á	0.000287328	0.000124124	0.00312022	0.00179913	0.00305734	0.0375141	0.0172732	0.114527	0.0342813	0.0233467	0.0570401	0.344255	0.363374
i	0.00016311	0.000251727	0.00125403	0.00388137	0.00663084	0.0226781	0.00225666	0.0242954	0.0581823	0.085864	0.196625	0.0871239	0.510794
d	6.44797e-05	0.00134201	0.00182839	0.00205053	0.00479814	0.00351813	0.000569054	0.0047171	0.0171994	0.0388175	0.110091	0.35024	0.464764
i	6.22859e-06	0.00586994	0.000802954	0.00106673	0.00200377	0.00133449	0.000139786	0.00232178	0.00796199	0.00690044	0.0516821	0.654538	0.265371
l	5.2072e-06	0.00163444	0.000998338	0.00116184	0.0029041	0.00505061	0.000140992	0.00315027	0.0204469	0.0257771	0.171609	0.260233	0.506888
o	0.000211813	0.000321835	0.000684385	0.00184185	0.00335566	0.00458099	0.000285984	0.0098974	0.0210321	0.036258	0.0603557	0.342805	0.518369
l	7.12514e-06	0.000362016	0.000669196	0.00129286	0.00174363	0.00387838	0.000546119	0.00542399	0.0126005	0.0117414	0.0635855	0.522778	0.375371
é	2.32247e-05	0.000648781	0.0019082	0.00310913	0.00493333	0.00424193	0.000311113	0.00272119	0.018674	0.0198912	0.0619548	0.630049	0.251534
n	1.23397e-05	0.000109021	0.000614248	0.001155	0.00139529	0.00325022	0.000792914	0.00431232	0.0169083	0.0147573	0.0918053	0.603373	0.261515
g	4.60689e-05	0.00015781	0.00163428	0.00260811	0.00384544	0.00409126	0.000627324	0.00973311	0.0282604	0.0740982	0.139734	0.335887	0.399277
i	0.000416591	0.000569899	0.00589428	0.00621491	0.00760691	0.027096	0.0247252	0.0657069	0.0445615	0.0420874	0.0977776	0.225199	0.452144
</S>	9.26003e-05	0.000256368	0.00438152	0.00990586	0.0103976	0.0166048	0.00214729	0.0167516	0.0273822	0.0597501	0.17813	0.0614531	0.612747
