 	ces	enfants	sont	rentrés	au	village	et	personne	d'	eux	m'	a	dit	au-revoir	</S>
i	0.0204733	5.52441e-05	0.0317379	0.0074672	0.0746978	0.0401459	0.130482	0.111168	0.232996	0.145549	0.0497175	0.0404198	0.037893	0.0578772	0.0193204
o	0.00611035	9.15859e-05	0.0115052	0.00293622	0.0465145	0.0186778	0.134493	0.0716176	0.174286	0.166962	0.12423	0.112972	0.0878909	0.0225919	0.0191207
l	0.00320099	0.00013012	0.0156269	0.0152705	0.00603087	0.0745927	0.0221904	0.0831197	0.12109	0.062409	0.00481466	0.0141262	0.290922	0.224033	0.0624432
a	0.00589314	3.62423e-05	0.0257567	0.0387325	0.00495446	0.00920927	0.00745472	0.0211406	0.0729882	0.0268414	0.0017061	0.00809874	0.314153	0.289154	0.173881
a	0.000538406	5.85174e-05	0.010995	0.0129425	0.0158734	0.071211	0.0466004	0.0642857	0.222621	0.0737941	0.00114778	0.00820074	0.197282	0.122864	0.151585
n	0.00172982	5.72783e-05	0.00285857	0.00140556	0.010819	0.00774433	0.0429022	0.0336898	0.111579	0.142706	0.178739	0.151459	0.175172	0.0905696	0.0485701
i	0.0116954	0.000462677	0.00356374	0.00646227	0.00467515	0.00252553	0.0210591	0.0123175	0.0877292	0.0347692	0.309041	0.0683127	0.0262972	0.336802	0.0742878
l	0.00103127	5.94641e-05	0.00259779	0.000472999	0.010633	0.00472468	0.0524857	0.0301538	0.0903721	0.0721985	0.0850937	0.108873	0.0923965	0.180627	0.26828
a	0.00768416	8.18843e-05	0.0158273	0.00456932	0.0153014	0.0105442	0.025207	0.0218061	0.0688911	0.0307724	0.0325351	0.0689169	0.0962819	0.143181	0.4584
n	0.00161424	0.000319798	0.00325721	0.00180679	0.00815526	0.00481095	0.0276124	0.0120824	0.0563553	0.0744896	0.179522	0.0860102	0.0442536	0.38068	0.11903
g	0.00977213	3.70646e-05	0.000610645	0.000894074	0.000608664	8.62201e-05	0.00175325	0.00121324	0.0078719	0.00255987	0.279914	0.00882934	0.00650887	0.630179	0.0491618
á	0.00105019	0.000637193	0.00105982	0.000792481	0.000897758	0.00041704	0.00445949	0.00347658	0.00974715	0.00307646	0.0814769	0.0148539	0.0121456	0.765227	0.100682
k	0.000885845	1.41569e-05	0.00162058	0.000861746	0.0030905	0.0029836	0.0246455	0.0223049	0.0578745	0.0282694	0.0127465	0.046844	0.0736164	0.179719	0.544523
a	0.00809694	0.00108922	0.0119808	0.0370647	0.0306581	0.0549849	0.0149219	0.00597458	0.0315321	0.0504607	0.00155169	0.0225601	0.115403	0.363516	0.250205
á	0.00198175	5.59796e-05	0.00194766	0.00438482	0.00625232	0.0126444	0.00651002	0.00354392	0.0367296	0.0374495	0.00873033	0.0249315	0.0590277	0.153025	0.642786
</S>	0.000436978	7.54402e-05	0.00544783	0.00179201	0.00499748	0.0016631	0.00931556	0.00764105	0.0138044	0.0161859	0.0626926	0.0954421	0.0323807	0.136023	0.612102
