 	avant	que	l'	enfant	ne	voy	age	son	père	l'	a	béni	</S>
g	0.000300564	0.00240474	0.0229601	0.0145213	0.17223	0.467691	0.0918077	0.0989006	0.035119	0.018181	0.00648184	0.0014982	0.0679031
o	0.000736683	0.00117269	0.0187387	0.0109467	0.232835	0.386227	0.271909	0.0565865	0.00701329	0.00669127	0.00164897	0.00111736	0.00437697
l	0.000160706	0.000565241	0.0241261	0.00280343	0.0829734	0.0689828	0.669034	0.11748	0.00868091	0.014806	0.00294488	0.00204964	0.00539242
o	6.33382e-05	0.00472815	0.00904368	0.00341279	0.0864766	0.113613	0.362199	0.106655	0.0373244	0.058278	0.0196249	0.00496219	0.193619
y	4.68923e-05	0.00153138	0.00427325	0.000743625	0.0410847	0.0478928	0.308193	0.306583	0.0740184	0.124586	0.0550018	0.00277313	0.033272
á	0.000787753	0.0130135	0.0239065	0.00143506	0.0586915	0.017045	0.467406	0.211992	0.114062	0.0415067	0.0189082	0.00623248	0.025013
p	0.000269877	0.00217499	0.00715405	0.000956699	0.00777759	0.0054499	0.2453	0.377671	0.177611	0.0933491	0.0538751	0.0140115	0.0143996
o	0.00011665	0.000665907	0.000809458	0.000148265	0.00253596	0.00383152	0.462067	0.0819197	0.362581	0.0278737	0.00607839	0.0405609	0.0108112
o	3.60243e-05	0.000104462	0.000718285	0.000114273	0.00381041	0.0119912	0.584638	0.115275	0.212382	0.0270351	0.00900885	0.0165846	0.0183022
t	1.16269e-05	0.000843104	0.00176145	0.000331921	0.00350428	0.0010302	0.0250796	0.119806	0.0446769	0.33608	0.347918	0.0061054	0.112851
á	4.95775e-05	0.000563898	0.00142788	0.000137063	0.00474922	0.00345001	0.199923	0.11994	0.120346	0.126277	0.0617754	0.155024	0.206336
á	0.000139789	0.00105831	0.00164772	0.00101014	0.002532	0.00162246	0.0280308	0.0534956	0.636873	0.0376298	0.0523923	0.0468048	0.136763
á	6.36906e-05	0.00118561	0.0024298	0.00157146	0.00443585	0.00125379	0.00966024	0.068405	0.143737	0.133182	0.446142	0.0249774	0.162956
b	0.00327003	0.0110912	0.00921116	0.000558941	0.0104314	0.00469792	0.007721	0.027184	0.0268603	0.197389	0.482463	0.0903073	0.128815
h	0.000408472	0.00498037	0.00395811	0.000494627	0.00328868	0.00260168	0.00265307	0.0354192	0.00794712	0.347196	0.372636	0.0998127	0.118604
á	0.000460814	0.00299912	0.00332245	0.00082304	0.00395964	0.00390073	0.0120196	0.103267	0.0214151	0.29439	0.219298	0.131855	0.202288
m	1.15222e-05	0.000416825	0.00126531	0.000684791	0.00217565	0.00147849	0.013581	0.0467325	0.176949	0.116506	0.170073	0.147854	0.322271
b	5.57158e-05	0.00305795	0.00599083	0.0126806	0.00967054	0.0167431	0.0101241	0.0877295	0.0287837	0.133448	0.16157	0.255868	0.274279
i	0.000387152	0.000304522	0.0020804	0.000862748	0.00100723	0.0103787	0.0154601	0.175085	0.00260331	0.184199	0.0547222	0.415	0.137909
w	5.10085e-05	0.000437869	0.00131713	0.000255277	0.000806109	0.00409365	0.0185896	0.06857	0.00648694	0.113296	0.0461839	0.588755	0.151158
á	3.6565e-05	0.000336606	0.000863763	0.000148735	0.00257673	0.00565076	0.0372368	0.0956247	0.0469954	0.152464	0.110907	0.337029	0.21013
l	0.000196291	0.000918141	0.00293575	0.00143015	0.00201592	0.00167525	0.0087165	0.0483548	0.0852422	0.0607207	0.11964	0.373469	0.294685
e	0.000136969	0.00126557	0.00173715	0.000346556	0.0061332	0.012577	0.0156776	0.0425762	0.0900771	0.122138	0.183657	0.0704601	0.453217
t	4.22345e-05	0.000385361	0.00108439	0.000327811	0.00282823	0.00376659	0.0535507	0.0443914	0.0384073	0.0643338	0.0687719	0.255243	0.466867
s	0.000189129	0.000601986	0.00109477	0.000106802	0.00146357	0.00210211	0.0262937	0.0267305	0.0464094	0.0822115	0.0609569	0.614875	0.136965
a	0.000102996	8.77177e-05	0.00012052	8.88432e-06	0.000313558	0.00257886	0.0413374	0.012492	0.00454726	0.0256757	0.00826605	0.863004	0.0414651
t	2.89724e-05	7.9553e-05	0.000281325	4.72433e-05	0.000340797	0.00081807	0.00905875	0.0113145	0.0120947	0.0226651	0.0124141	0.723546	0.207311
s	0.000113247	0.000291281	0.000323309	3.50492e-05	0.000424374	0.000902853	0.0298232	0.0217513	0.0674537	0.0390368	0.0259373	0.453805	0.360103
a	0.000235175	0.000151062	0.000273574	8.98787e-06	0.000650442	0.00320155	0.0476449	0.0295437	0.00861043	0.0448145	0.0157457	0.641454	0.207666
e	0.000453649	0.000686305	0.0027477	0.000569688	0.00105311	0.00217878	0.00582532	0.0113843	0.00722761	0.030306	0.0183291	0.521128	0.39811
</S>	4.18976e-05	0.00142772	0.00185666	0.00016441	0.00304359	0.00445196	0.00644254	0.0212863	0.00836868	0.128243	0.133685	0.0874653	0.603523
