 	cette	marmite	est	devenue	propre	depuis	que	je	l'	ai	bien	lavée	</S>
s	4.64159e-05	3.89527e-06	0.00050358	0.000392359	0.00725014	0.00100166	0.00156471	0.00235769	0.0436212	0.0530622	0.168516	0.455631	0.26605
i	0.000106516	7.55985e-06	0.000256865	0.000465111	0.00579613	0.00107	0.000881449	0.00148833	0.0237933	0.0282296	0.0627559	0.6776	0.197549
y	0.000820452	3.71408e-06	0.00299298	0.000827659	0.00537181	0.00361874	0.0106833	0.00851591	0.0432177	0.0575676	0.127599	0.161709	0.577072
í	0.00151596	4.13483e-05	0.0032743	0.00955228	0.0430309	0.0191287	0.0224544	0.0203152	0.11613	0.0670679	0.13796	0.178284	0.381245
a	0.00108894	2.81356e-05	0.00291827	0.000918336	0.00736922	0.00573611	0.0123433	0.0204793	0.0402894	0.0623156	0.0885971	0.333234	0.424683
o	0.00147991	0.000128577	0.00408441	0.00810621	0.0143589	0.00634572	0.00850187	0.0145686	0.041243	0.148254	0.306377	0.183488	0.263064
b	0.000151131	0.000480879	0.00361783	0.00212663	0.00548195	0.000684267	0.000801475	0.000585127	0.0327976	0.0740498	0.0901292	0.484928	0.304166
v	0.00048501	0.000405218	0.00684295	0.00555183	0.00672148	0.00252367	0.00186476	0.0003484	0.0474217	0.0893884	0.156206	0.299288	0.382953
έ	0.00428437	7.07248e-05	0.00261721	0.00663402	0.00493201	0.0132312	0.00254047	0.00028671	0.0583271	0.175034	0.315512	0.145737	0.270793
</S>	0.000774753	6.65439e-06	0.000540943	0.000146722	0.00128351	0.00083172	0.000906433	0.000772893	0.014998	0.0426303	0.149792	0.0766109	0.710705
