 	j'	ai	souffert	pour	décrasser	la	chambre	où	logeait	le	malade	</S>
é	0.000148777	0.00063607	0.00046224	0.00130771	0.000368834	0.0789211	0.063804	0.0979408	0.0511636	0.5668	0.0190853	0.119361
d	2.99157e-05	0.000639792	0.00573979	0.00859935	0.00687354	0.0130395	0.00493847	0.0587671	0.125918	0.518228	0.116764	0.140462
z	1.37849e-05	0.000163124	0.000776909	0.00304884	0.000980072	0.0177537	0.0097046	0.0249017	0.0941941	0.511072	0.0244029	0.312988
é	0.00200034	0.00186482	0.00130212	0.0202871	0.000398932	0.0726779	0.112016	0.0537153	0.0346953	0.281652	0.00754374	0.411846
o	0.000323104	0.000302337	9.84589e-05	0.00111093	0.000775541	0.0252683	0.016646	0.0558586	0.102441	0.411493	0.028705	0.356977
k	9.11461e-06	0.000193947	0.00301864	0.00623709	0.00473721	0.00437075	0.00196737	0.0126428	0.102538	0.237153	0.421415	0.205717
ω	3.19139e-07	1.40886e-05	0.0011693	0.000809771	0.0181336	0.000522169	0.000232568	0.00149748	0.0434541	0.014424	0.873161	0.0465816
n	1.52142e-05	3.26356e-05	0.000228763	0.000214047	0.00293947	0.000578157	0.0006038	0.00181297	0.0210434	0.00363778	0.958341	0.0105527
í	0.000229897	8.57314e-05	0.000759634	0.000921177	0.00380448	0.00182536	0.00348898	0.00819624	0.0504122	0.0459136	0.773019	0.111344
</S>	0.000241272	0.000104608	0.000596677	0.00406315	0.00232549	0.0108938	0.00515696	0.0215493	0.0519704	0.447851	0.101029	0.354218
