 	on	m'	a	informé	qu'	ils	ont	abattu	un	hippopotame	à	otsegne	</S>
u	0.00128307	0.0860432	0.00945957	0.0696241	0.282883	0.36959	0.0745314	0.00891354	0.0298464	0.00165608	0.00910344	0.0460266	0.0110387
b	0.00152461	0.000940438	0.0129506	0.10094	0.174202	0.0398363	0.160174	0.0209992	0.278018	0.0048677	0.0708036	0.0864598	0.0482839
h	0.00768594	0.00105198	0.00130657	0.00542262	0.157278	0.14	0.0764598	0.303772	0.0705864	0.0104738	0.0423672	0.0098632	0.173733
u	0.000640463	0.000372327	0.00296178	0.00799425	0.144604	0.0183423	0.0890086	0.0902546	0.265834	0.0400223	0.0952456	0.0676164	0.177103
ó	0.000167681	0.000119955	0.00213689	0.00138116	0.024759	0.00856191	0.138903	0.11291	0.364354	0.0366959	0.177516	0.0172161	0.11528
o	0.00104342	0.000547925	0.00926532	0.0012827	0.00370279	0.00207413	0.0414093	0.0974975	0.129119	0.433054	0.148342	0.0071245	0.125538
t	1.46364e-05	1.88593e-05	0.00193997	0.00630685	0.00106412	0.000679037	0.0056287	0.0191056	0.0469931	0.733605	0.0854697	0.00261716	0.0965575
s	7.45974e-05	4.93354e-05	0.000741696	0.000272026	0.00133658	0.000953849	0.00823438	0.0939849	0.0381301	0.585797	0.0965186	0.0408666	0.13304
ε	0.000118952	5.82929e-05	0.000604922	0.000244615	0.00360348	0.00304026	0.0260256	0.161743	0.0573279	0.246617	0.177542	0.241113	0.081961
n	0.000131893	6.70202e-05	0.000338785	6.21674e-05	0.0171648	0.0056524	0.0198059	0.0372658	0.0593379	0.0209275	0.258388	0.069293	0.511565
y	0.000217867	0.00016286	0.000498944	0.000339896	0.0116881	0.00756409	0.016423	0.0196513	0.0463966	0.0241709	0.163173	0.277455	0.432259
έ	0.00155922	0.00018901	0.000491619	0.000508192	0.0235449	0.00865812	0.0165042	0.00437425	0.0705565	0.00679882	0.179871	0.512928	0.174016
ε	0.000258067	0.000142946	0.000400507	4.59411e-05	0.0136373	0.00769062	0.0178175	0.00364803	0.0551781	0.00208094	0.273425	0.117421	0.508253
</S>	0.00166165	0.00112138	0.00242418	0.000291291	0.00789817	0.00793719	0.0164449	0.00663481	0.0523241	0.00326178	0.313545	0.0439593	0.542497
