 	mon	cadet	est	jaloux	de	moi	parce	que	notre	père	m'	a	donné	de	l'	argent	et	lui	en	a	refusé	</S>
g	0.0721069	0.00375207	0.0992731	0.157991	0.102874	0.071126	0.0995394	0.0338013	0.0890905	0.023384	0.0343042	0.0150198	0.00944782	0.0168131	0.0235747	0.0141388	0.0165706	0.0142159	0.0124635	0.00625554	0.0245401	0.0597179
á	0.316135	0.00865564	0.0431581	0.112222	0.0682084	0.162784	0.045543	0.0295949	0.0292978	0.00164952	0.0126229	0.00258216	0.000776413	0.00354168	0.014305	0.0718201	0.0071571	0.00441003	0.00302469	0.00050002	0.0263532	0.0356591
e	0.00135746	0.000247109	0.0370538	0.0840601	0.414539	0.176339	0.0930816	0.0590657	0.0231904	0.0123951	0.0195592	0.0116913	0.00317414	0.00561604	0.00931945	0.00542548	0.0103521	0.010791	0.00846373	0.00862862	0.00166633	0.00398358
k	0.000721113	0.0065937	0.0806222	0.551319	0.111391	0.093735	0.0504332	0.0417475	0.00200982	0.00320554	0.00323533	0.00605986	0.0118084	0.00739072	0.00214938	0.00352012	0.00274696	0.00317553	0.00389358	0.00247159	0.00522136	0.00654843
ú	5.32881e-05	0.0011883	0.0476225	0.679616	0.0591219	0.0269247	0.0456581	0.0596241	0.00209973	0.00372403	0.0012706	0.0033324	0.012511	0.0136398	0.0022449	0.00773439	0.00551966	0.00644668	0.00526408	0.00179088	0.00438662	0.0102263
t	0.000351236	0.000366187	0.0541778	0.673229	0.0828304	0.0157758	0.0291057	0.0192842	0.000546466	0.00134393	0.00106313	0.00467062	0.00920422	0.02766	0.00932927	0.00774994	0.0043103	0.00632793	0.00808084	0.00318164	0.00325573	0.0381559
s	0.00830832	0.000102202	0.0169845	0.358218	0.0788646	0.0283201	0.114456	0.0932487	0.0135855	0.0581015	0.00941029	0.0150921	0.0146114	0.0345842	0.012202	0.0103574	0.0216357	0.0372991	0.016472	0.0067421	0.0109339	0.0404699
í	0.000531775	7.31049e-05	0.0097041	0.236434	0.107415	0.0199888	0.129965	0.122967	0.00952133	0.00577964	0.00425581	0.00534169	0.00472984	0.0320045	0.0259522	0.0362922	0.0322585	0.0379341	0.0235779	0.00258836	0.0159837	0.136701
n	0.000624936	3.10453e-05	0.00384892	0.0202348	0.144943	0.089882	0.213189	0.225155	0.100264	0.073711	0.0361289	0.0215498	0.00531274	0.00732188	0.00848105	0.0103052	0.00885745	0.0106813	0.00714819	0.00299745	0.000858835	0.00847322
a	0.0251381	5.57517e-05	0.000414247	0.00531342	0.0222166	0.39603	0.161908	0.0693647	0.143165	0.0187492	0.067847	0.00661322	0.00245373	0.00398603	0.00609564	0.0104658	0.00253816	0.00201233	0.00172083	0.000454132	0.0269262	0.026532
t	0.000724256	3.78647e-05	0.00298134	0.00331563	0.0415647	0.185709	0.152036	0.175927	0.0729642	0.0453193	0.117859	0.0790033	0.0154761	0.0118133	0.0178611	0.0180862	0.0133019	0.0130847	0.0117679	0.00842272	0.00236646	0.0103783
á	0.00170954	8.86617e-05	0.00335247	0.018093	0.0351752	0.0232764	0.0791051	0.164492	0.0360106	0.28288	0.0194523	0.019407	0.0174726	0.0277925	0.0216598	0.0818937	0.0559183	0.0635335	0.0184701	0.00508953	0.00361628	0.021511
á	0.00150167	6.36805e-05	0.000867988	0.00271524	0.0113519	0.0202844	0.0525575	0.069895	0.0813812	0.532845	0.0438081	0.0244436	0.023029	0.0133455	0.00730295	0.0127161	0.0135956	0.0300584	0.0154694	0.00666347	0.00300748	0.0330966
á	0.000631871	0.000212431	0.00367642	0.00184023	0.0064291	0.0163943	0.0335516	0.0480347	0.102242	0.0989689	0.19764	0.189847	0.0767631	0.0352084	0.0268749	0.0179671	0.0321049	0.0388892	0.0294737	0.0222179	0.0062986	0.0147338
p	0.000527049	0.00145641	0.00786112	0.00843383	0.00248449	0.00342339	0.00433776	0.00587961	0.00410207	0.00783333	0.0446148	0.106404	0.431592	0.0946664	0.027927	0.0159522	0.0120401	0.0275386	0.0588726	0.0752141	0.0382364	0.0206031
έ	1.11606e-05	4.01603e-05	0.00216778	0.00883929	0.00328659	0.00440802	0.00961625	0.0131644	0.00262632	0.0102397	0.0624328	0.0884107	0.42853	0.107575	0.0220817	0.00843107	0.0117088	0.0363731	0.0528061	0.0670434	0.0364707	0.0237373
ε	0.000640747	5.74326e-05	0.00409509	0.0203485	0.0240459	0.0167147	0.0365819	0.0343005	0.0130724	0.0294924	0.0715663	0.065812	0.121271	0.110053	0.0617409	0.0345811	0.0393618	0.0748507	0.0640881	0.0613983	0.0273026	0.0886245
n	0.000489962	1.12888e-05	0.000661609	0.000822427	0.00769493	0.0137434	0.0205951	0.0228685	0.0784087	0.0245467	0.0657538	0.0561561	0.0280565	0.065788	0.110114	0.0657311	0.110637	0.122229	0.0971389	0.0824875	0.0130058	0.0130592
g	0.0147084	9.77947e-06	0.000139809	0.000818342	0.00416448	0.0678083	0.0350208	0.0188249	0.264327	0.0173	0.144039	0.0272288	0.0105776	0.0367957	0.103691	0.142004	0.030687	0.017608	0.0109365	0.0032968	0.0381828	0.0118317
á	0.00174221	1.19681e-05	0.000180531	0.000356875	0.00383424	0.185042	0.0342366	0.0192223	0.293074	0.0132863	0.134107	0.0259446	0.00600914	0.0123233	0.059743	0.138693	0.019901	0.0105404	0.00768373	0.0029579	0.0278721	0.00323761
m	1.42344e-05	2.64011e-06	0.000118917	0.000509083	0.00360526	0.00421711	0.0155115	0.0190546	0.0110167	0.00857368	0.0118973	0.0189001	0.010706	0.0891548	0.169306	0.149973	0.179738	0.175575	0.0824722	0.0202517	0.013689	0.015713
b	1.5102e-05	0.000184741	0.000954794	0.00176345	0.00335932	0.00102753	0.00770725	0.0143278	0.005327	0.00734533	0.00211714	0.00635228	0.0110411	0.0718481	0.0790265	0.226161	0.124563	0.182873	0.128374	0.0160197	0.00402646	0.105585
ώ	7.1558e-06	7.45967e-06	0.00012546	0.000909278	0.00269914	0.00108162	0.00706851	0.0119012	0.00734524	0.00151264	0.00112298	0.00254675	0.00346667	0.0394955	0.0864207	0.554471	0.0620646	0.113709	0.0788966	0.00360495	0.00784614	0.0136974
n	4.63482e-06	1.2487e-06	9.96657e-05	0.000592733	0.00249231	0.00166095	0.00917844	0.0161197	0.00503894	0.00592793	0.00364553	0.00688242	0.0139522	0.0712742	0.0726479	0.263845	0.115983	0.203297	0.12749	0.0378745	0.0144448	0.0275464
g	8.70274e-05	3.53565e-05	0.00056041	0.00445699	0.0029919	0.00778388	0.0127054	0.0130406	0.00838558	0.0111458	0.0220772	0.0223292	0.05334	0.147365	0.116987	0.251536	0.0804937	0.0757293	0.0410105	0.0159886	0.0495436	0.0624064
ω	0.000597925	1.30759e-05	0.000136029	0.00166866	0.00388445	0.013614	0.0353372	0.0281645	0.0507465	0.0107987	0.028106	0.0113706	0.00563267	0.0449682	0.100472	0.404408	0.0771936	0.0570614	0.0250991	0.00417786	0.0621058	0.0344435
a	0.000400924	8.39743e-06	0.000376888	0.000776074	0.0023635	0.00437634	0.00988961	0.0100841	0.0126583	0.00715579	0.0154303	0.0192295	0.0147585	0.0742147	0.0946841	0.129605	0.204507	0.126573	0.0888768	0.0727891	0.0304813	0.0807607
n	0.000125719	3.78266e-05	0.00289335	0.0036265	0.00352986	0.00220898	0.00361652	0.00526441	0.00210649	0.00150612	0.0146947	0.0274022	0.0412791	0.0680935	0.0343368	0.013531	0.0553595	0.0657138	0.136742	0.316855	0.134449	0.0666276
y	0.000411009	3.42154e-05	0.0011813	0.00276506	0.00441042	0.0156552	0.0112322	0.00984918	0.0202796	0.0014138	0.0484775	0.0278242	0.0135481	0.0441377	0.0688039	0.0292472	0.035456	0.0249739	0.0503953	0.0435829	0.398422	0.147899
í	0.00138874	1.53845e-05	0.000357189	0.0011598	0.00315384	0.0103322	0.00966946	0.00552806	0.0269011	0.00235079	0.0499929	0.0224503	0.00964795	0.0450714	0.0834316	0.0267133	0.0510007	0.0443352	0.0634346	0.0380952	0.418559	0.0864113
m	2.33685e-05	2.34349e-06	0.000136607	0.00021829	0.000408814	0.000897818	0.00254514	0.00310038	0.00675094	0.00408203	0.0231909	0.0291391	0.0508003	0.0744221	0.0415216	0.0115063	0.041989	0.054769	0.123121	0.132944	0.109644	0.288787
í	5.96438e-06	2.43997e-05	0.000964648	0.00138056	0.00490491	0.00081473	0.00611008	0.00994847	0.00263374	0.00142018	0.00235093	0.00799663	0.00763324	0.0758486	0.151304	0.176308	0.131873	0.14611	0.168337	0.0345364	0.00475808	0.064737
w	0.000130275	8.50454e-06	0.000470563	0.000295308	0.00191823	0.00148529	0.00341532	0.00464579	0.00784802	0.00623199	0.02729	0.0272472	0.0137744	0.0438807	0.0451635	0.0138626	0.0690057	0.0766573	0.117716	0.226935	0.0327721	0.279246
a	0.000773497	6.24754e-06	0.000811552	0.00192154	0.0026369	0.0018277	0.00584712	0.00910304	0.0152207	0.0538246	0.0520557	0.0309515	0.0277976	0.0562792	0.0419835	0.0131216	0.0505249	0.116127	0.131168	0.192621	0.071881	0.123516
</S>	2.18478e-05	5.13204e-06	8.49039e-05	0.000197424	0.000538933	0.000363373	0.00158682	0.0024026	0.00490956	0.00698768	0.00997058	0.00771288	0.00684732	0.0256639	0.0300862	0.0182849	0.096467	0.0976479	0.103346	0.157805	0.0473174	0.381752
