 	de	la	manière	dont	mon	coeur	palpite	je	ne	tiendrai	pas	jusqu'	à	demain	</S>
i	0.000940701	0.00114096	0.00382961	0.00103816	0.0191452	0.00271853	0.0134152	0.0564298	0.147941	0.231424	0.189174	0.142922	0.127685	0.00928491	0.0529112
m	0.000219307	0.000282813	0.000299114	0.00053253	0.0030981	0.00482065	0.0115533	0.0177995	0.054427	0.120682	0.0370452	0.220697	0.11426	0.169828	0.244456
b	0.000327224	0.00159838	0.00146178	0.000310322	0.00373977	0.00219673	0.00226056	0.0109247	0.0130454	0.0219971	0.00969446	0.0209765	0.105106	0.709673	0.0966882
y	2.52539e-05	0.000113949	0.000110307	0.000118844	0.000877858	0.000855215	0.00301984	0.00919037	0.00387576	0.00551069	0.00101796	0.00414321	0.0235421	0.874285	0.0733132
é	3.17878e-05	0.000116471	6.34025e-05	8.90402e-05	0.000730674	0.00134053	0.00561409	0.00699538	0.0071347	0.0312797	0.00666382	0.0245529	0.0190414	0.623112	0.273234
n	5.39198e-05	6.41279e-05	7.64279e-05	0.000331964	0.00199389	0.00374279	0.00674755	0.00772644	0.0100236	0.0543345	0.0176872	0.0969951	0.0725995	0.572809	0.154814
g	6.08013e-05	0.000352176	0.00020873	0.000125755	0.000646254	0.000565523	0.0024452	0.00560219	0.00908524	0.0536263	0.0363207	0.0561149	0.10593	0.61942	0.109496
í	0.000715935	0.00261761	0.00128892	0.000932294	0.00248273	0.00201695	0.0128135	0.0172918	0.0112409	0.0445148	0.0386605	0.0540414	0.0427004	0.499803	0.268879
o	0.00032217	0.00024844	0.001517	0.00182282	0.00635315	0.00175059	0.00552757	0.0146499	0.0182559	0.0194953	0.0350892	0.111317	0.246919	0.0366749	0.500057
p	0.000496712	0.00104846	0.00150048	0.00111365	0.00714276	0.00461355	0.0108886	0.0124262	0.0309783	0.0185728	0.0185034	0.11644	0.38	0.110025	0.28625
f	8.65902e-05	0.00042652	0.000193482	9.43574e-05	0.000236484	0.0034989	0.00137617	0.000427524	0.0121709	0.0639434	0.036789	0.683286	0.0554731	0.0505177	0.0914799
a	0.00112927	0.00195798	0.000420441	0.00020475	0.000251976	0.00117639	0.00137656	0.00101831	0.0146649	0.0971172	0.0891344	0.515575	0.0944299	0.0635954	0.117948
k	0.000322461	0.000261281	0.000306525	0.000151721	0.000509377	0.0011759	0.00101456	0.00181695	0.0119926	0.065799	0.0710681	0.598151	0.0826804	0.0346747	0.130075
a	0.000348795	0.00127913	0.00064999	0.000260516	0.000411194	0.00100197	0.00183155	0.000964289	0.00955593	0.0228332	0.0433102	0.245504	0.0679418	0.037597	0.566511
á	0.000110473	0.00030915	0.00071959	0.000384522	0.00150759	0.0038648	0.00532483	0.00507669	0.00813244	0.0124434	0.020767	0.159121	0.0368307	0.0191685	0.726239
</S>	0.000695692	0.000599254	0.0078211	0.00817348	0.0463599	0.00565001	0.0157904	0.0450273	0.0147229	0.00865811	0.0196865	0.0200173	0.210237	0.0123243	0.584237
