 	j'	ai	vu	une	nappe	de	sang	là	où	une	voiture	a	heurté	quelqu'	un	</S>
é	0.000181701	0.000532277	0.00017004	0.000896679	0.0014358	0.0147738	0.0153818	0.0430046	0.106216	0.15947	0.130243	0.284055	0.119799	0.0694343	0.0236805	0.0307251
d	4.92914e-05	0.001211	0.00162968	0.00313511	0.00497985	0.00851231	0.00921761	0.0301123	0.0546827	0.0499278	0.0412105	0.330056	0.261694	0.136562	0.0348516	0.0321684
z	1.38374e-05	0.000677016	0.00132849	0.00368127	0.00445998	0.0124245	0.00551109	0.0260205	0.0806541	0.0279715	0.0374719	0.1372	0.367397	0.0329425	0.0505119	0.211734
a	0.000344592	0.00147657	0.00277365	0.0180149	0.0051617	0.0142919	0.00364501	0.0503128	0.0541455	0.0672725	0.266697	0.132347	0.241348	0.00773348	0.0342957	0.10014
r	6.88819e-05	0.000287608	0.000243797	0.00105085	0.0015498	0.010378	0.00346417	0.0272725	0.0441754	0.0669408	0.0189236	0.20917	0.334535	0.134814	0.047437	0.0996888
í	9.18199e-05	0.000541722	0.00162444	0.00247589	0.00320698	0.00486357	0.00304904	0.0149094	0.0456254	0.0225405	0.0659761	0.203044	0.298464	0.0487554	0.0728183	0.212013
b	6.46394e-05	0.000178265	0.000197069	0.000809389	0.000949599	0.00272098	0.00290749	0.00980781	0.0188277	0.0420792	0.0172635	0.216918	0.242083	0.330802	0.0547242	0.0596666
á	0.000156071	0.000472257	0.000726214	0.00145147	0.00940745	0.0107264	0.00293979	0.0301913	0.0358939	0.0152023	0.0203076	0.0556537	0.0924663	0.255182	0.331809	0.137414
a	0.00058719	0.00189338	0.000840045	0.0023353	0.00615501	0.020772	0.00296173	0.0198028	0.0284354	0.0239183	0.0193055	0.107538	0.114847	0.18854	0.264911	0.197158
m	4.74694e-05	0.000187851	0.000237422	0.00055081	0.00136909	0.000711346	0.000448986	0.0043812	0.00505222	0.00600621	0.00611162	0.10671	0.239238	0.216878	0.182057	0.230014
o	2.72753e-05	0.000621988	0.00103584	0.0109735	0.00779785	0.0166267	0.000324933	0.0225464	0.0249831	0.0327536	0.0332855	0.126522	0.13031	0.133822	0.242177	0.216193
r	1.5258e-06	2.82849e-05	6.6929e-05	0.000714379	0.00138271	0.00112257	0.000518448	0.00503105	0.00836493	0.0203753	0.00480312	0.0713951	0.179384	0.225057	0.337791	0.143964
o	0.000807776	0.00142468	0.00045439	0.00350673	0.00121885	0.0122556	0.0132961	0.00713009	0.0245597	0.0175906	0.0298031	0.0964254	0.374207	0.100345	0.246903	0.0700717
m	0.000657251	0.000788917	0.000191279	0.0017125	0.000459021	0.00895549	0.0011519	0.00476537	0.0150016	0.0192211	0.0409393	0.0860189	0.346737	0.0748327	0.249533	0.149035
ó	0.000280075	0.00165986	0.00337258	0.0411954	0.0277661	0.0260473	0.00211825	0.0279899	0.0200287	0.0315209	0.0261919	0.0946351	0.165561	0.0639234	0.215901	0.251808
t	2.49606e-05	0.000268221	0.000340036	0.00274776	0.00233371	0.00491074	0.00164599	0.00639585	0.00898898	0.0191352	0.0123169	0.0457939	0.0676968	0.147744	0.42518	0.254477
ω	3.65877e-05	0.000293947	0.000949356	0.0021828	0.00591515	0.00349566	0.00269748	0.0115992	0.0105622	0.011947	0.0206925	0.0308068	0.0726686	0.160253	0.512382	0.153518
m	0.00022336	0.000171715	0.00030446	0.000394853	0.00122186	0.000655176	0.000677195	0.00444754	0.00763485	0.0118266	0.0841639	0.0180376	0.0801305	0.125372	0.601706	0.0630325
b	2.78274e-05	0.000142072	0.000268941	0.00252603	0.00670023	0.0024114	9.2469e-05	0.00724335	0.00710525	0.00949537	0.0436594	0.0404898	0.0598601	0.164228	0.461392	0.194357
í	8.22694e-05	0.000173566	0.000266053	0.00187856	0.00332808	0.00694743	0.000596972	0.0243607	0.0363484	0.0192845	0.00960326	0.0957316	0.0607143	0.111184	0.280438	0.349063
l	3.64475e-05	0.000263914	0.000415828	0.00200508	0.00388189	0.00281569	0.000677297	0.0173154	0.0110389	0.0169733	0.00882833	0.0950631	0.0848273	0.135289	0.132482	0.488086
i	0.000135564	0.00012796	0.000505877	0.000843209	0.00132976	0.00126272	0.00211013	0.00609422	0.00578354	0.00682277	0.0058049	0.0543563	0.178561	0.096346	0.213172	0.426744
</S>	0.000175671	0.000272626	0.000154322	0.000737246	0.000675067	0.00410573	0.00149824	0.00530491	0.00538957	0.00945102	0.0019516	0.0783567	0.0997746	0.111796	0.133487	0.546869
