 	les	soldats	l'	ont	fait	souffrir	dans	la	prison	parce	qu'	il	a	violé	une	fille	</S>
n	0.00280164	0.000462625	0.00191666	0.000802503	0.00341239	0.00753462	0.0229231	0.122789	0.479856	0.234561	0.0613975	0.0142738	0.00733899	0.0121508	0.00138391	0.000864494	0.0255306
a	0.0163905	0.00476189	0.0116068	0.00117254	0.00263261	0.00577945	0.00827815	0.052173	0.087815	0.383571	0.197386	0.0640336	0.0131354	0.00721068	0.00601892	0.00995904	0.128075
w	0.00126579	0.000151582	0.0075547	0.00375902	0.00123276	0.00295405	0.0055604	0.0188536	0.0167338	0.121099	0.186844	0.276564	0.225003	0.0286203	0.0302675	0.00572591	0.0678107
a	0.00940381	0.000833328	0.0160099	0.00775349	0.00598152	0.0101261	0.0178646	0.0718792	0.0185962	0.108287	0.331564	0.257387	0.0558618	0.00319368	0.0148212	0.00352995	0.0669064
á	0.000832272	6.88083e-05	0.00599009	0.00216326	0.000328771	0.000774111	0.00138132	0.00552986	0.00244142	0.0408801	0.128492	0.335297	0.286424	0.0367144	0.0468254	0.00164638	0.10421
p	0.00118913	0.000503003	0.00116298	0.0135121	0.033069	0.0153234	0.00773033	0.00725293	0.00520581	0.00192903	0.00198832	0.00634817	0.144809	0.667428	0.0230122	0.00715943	0.062377
ώ	2.13929e-06	2.9709e-06	2.06933e-05	0.000375943	0.0023969	0.00130887	0.000794998	0.000866139	0.00125131	0.00127408	0.000750938	0.0021426	0.0259798	0.933312	0.00526299	0.00100983	0.0232481
s	4.03767e-05	9.37917e-06	0.000730238	0.000661802	0.00261752	0.00344569	0.00583649	0.0326087	0.0442655	0.0129393	0.0143335	0.0152726	0.0616781	0.629641	0.100886	0.0036868	0.0713468
i	0.000123973	1.11482e-05	0.000632854	0.0010407	0.00715576	0.0104913	0.0148854	0.0586049	0.124885	0.0817306	0.0607578	0.0341397	0.0728526	0.23772	0.107336	0.00934278	0.178289
i	0.000875983	2.35717e-05	0.0027478	0.00192902	0.00073274	0.00166882	0.00433237	0.00990015	0.00181825	0.0601702	0.125071	0.109716	0.0860547	0.041782	0.197563	0.0236986	0.331916
m	0.000858887	0.000106865	0.000303255	0.000557543	0.00119851	0.00142631	0.00180363	0.00474943	0.00229284	0.0173361	0.0204027	0.0300029	0.0567943	0.040922	0.21673	0.260985	0.34353
w	0.000125716	0.00068338	0.000442416	0.000189175	0.000195929	0.000874709	0.00182186	0.00178036	9.63071e-05	0.00283664	0.00914338	0.00874796	0.0128308	0.00157722	0.0137299	0.904664	0.04026
á	0.000353576	0.000167673	2.62601e-05	1.41193e-05	1.54333e-05	5.84688e-05	9.39149e-05	5.55999e-05	2.11219e-05	0.000343471	0.000754564	0.0015978	0.000718082	0.000724232	0.000632429	0.990697	0.00372645
n	0.00555488	0.00666672	0.000952755	0.00034549	0.000476701	0.00150567	0.00465645	0.00600995	0.000275426	0.00474057	0.0170395	0.0109028	0.00866071	0.000974646	0.0938239	0.742875	0.0945391
a	0.00307115	0.00588117	0.00206847	0.000525696	0.00152584	0.00215185	0.00189588	0.00327517	0.00126502	0.00965818	0.0351683	0.0420472	0.0422637	0.00817617	0.17447	0.373369	0.293187
o	0.000929947	7.42231e-05	0.000581645	0.000225205	0.00035587	0.000375589	0.000550605	0.00289463	0.00332427	0.00490821	0.0318235	0.0348952	0.079515	0.0363131	0.5686	0.0406943	0.193939
y	3.52151e-05	8.51053e-05	0.000724034	0.00107032	0.00535559	0.00540377	0.00361965	0.00743967	0.00568343	0.00291384	0.00274	0.00269889	0.0846505	0.38664	0.232539	0.0717538	0.186647
ú	1.58528e-05	0.000235286	7.31575e-05	7.0059e-05	0.00215036	0.00161595	0.000786244	0.00249269	0.00271464	0.00198065	0.00266489	0.000990084	0.0224479	0.503375	0.352206	0.0289318	0.0772484
r	7.34048e-06	5.92302e-05	6.16782e-05	5.45699e-05	0.000588831	0.000685537	0.000476826	0.00159716	0.00209708	0.00287158	0.00278368	0.00145611	0.0242626	0.33484	0.102008	0.0425378	0.483612
u	0.000279646	0.000122262	0.000156151	6.97934e-05	0.00123966	0.00127435	0.000753002	0.00395559	0.0032524	0.00501331	0.0042329	0.00251133	0.0455989	0.297689	0.0659961	0.0340945	0.533761
</S>	0.0038799	6.65478e-05	0.00064209	0.000211762	0.000956474	0.00329346	0.00559769	0.00759048	0.00158493	0.00422811	0.00888315	0.00379317	0.0350563	0.233998	0.21659	0.0248067	0.448821
