 	les	élèves	parlent	à	propos	de	la	maladie	de	l'	enseignant	est-ce	le	sida	</S>
ώ	0.0468595	0.0119422	0.472379	0.192356	0.0398704	0.0448611	0.0268653	0.0722428	0.0164375	0.0185051	0.0057194	0.0131963	0.00515944	0.00794859	0.0256571
l	0.0234306	0.000330216	0.333494	0.515842	0.0188648	0.0468629	0.0103846	0.00387138	0.0118225	0.0151966	0.000385587	0.00241861	0.00833985	0.00157551	0.00718098
i	0.00821259	0.000802753	0.100403	0.27603	0.183466	0.0603145	0.0451968	0.025229	0.0233191	0.0290521	0.0134779	0.0177245	0.015122	0.0187767	0.182873
b	0.00825353	0.00141591	0.134279	0.51419	0.118104	0.0957789	0.0256523	0.0125046	0.0162411	0.0192285	0.0045394	0.00986274	0.0127625	0.00534103	0.021847
á	0.0579669	0.0116921	0.363281	0.2151	0.221633	0.0395156	0.0157894	0.0546111	0.00793451	0.00402912	0.00108728	0.00291759	0.000416802	0.00150714	0.00251916
a	0.0402451	0.00837724	0.390091	0.184228	0.186075	0.0576491	0.0376559	0.0197781	0.0213766	0.00893107	0.00040132	0.00274827	0.00253112	0.0043304	0.0355815
t	0.000709298	0.000505188	0.00870125	0.204878	0.53594	0.127947	0.0368014	0.0143557	0.00532568	0.00841318	0.014719	0.0133511	0.00537131	0.00431916	0.0186639
i	0.00168624	0.000234498	0.00820537	0.0788644	0.569273	0.0538343	0.0383458	0.185912	0.0182086	0.00668638	0.00761796	0.00385143	0.000446356	0.00595959	0.0208742
á	0.00232138	6.94723e-05	0.00899782	0.0617486	0.681694	0.0542802	0.043919	0.035453	0.010608	0.00755886	0.0204056	0.0141389	0.00460629	0.0127074	0.0414915
m	0.0021619	7.08592e-05	0.0109614	0.0665339	0.0494463	0.541286	0.156563	0.0367742	0.053966	0.0462517	0.0023888	0.00710407	0.0129419	0.00273978	0.0108096
ó	0.0048094	0.000338707	0.00789536	0.0326906	0.280648	0.183353	0.16781	0.045808	0.118287	0.0745557	0.00388691	0.0258304	0.0167589	0.00639276	0.0309353
n	0.000999652	3.8519e-05	0.00227188	0.035631	0.0941427	0.118126	0.190371	0.38831	0.0653521	0.0451	0.0193847	0.0202581	0.00500501	0.00700003	0.00800851
d	0.00364691	0.000342717	0.00858732	0.0453987	0.0476989	0.209655	0.251611	0.157621	0.0684579	0.0628076	0.0149225	0.030687	0.00864232	0.0253214	0.0645997
z	0.000577956	0.000224489	0.001503	0.0201695	0.050746	0.151703	0.253462	0.123117	0.0580408	0.0557555	0.0701667	0.0253897	0.00580934	0.0602405	0.123094
ó	8.09694e-05	0.000199037	0.000392782	0.0125551	0.0792998	0.0761852	0.276508	0.175119	0.0897775	0.0266475	0.0402218	0.0237926	0.00362885	0.0488993	0.146693
r	0.000187468	1.60883e-05	0.00410081	0.0245813	0.0332594	0.120051	0.121667	0.329714	0.169001	0.0876582	0.0252833	0.0319072	0.00731755	0.00683517	0.0384215
o	0.000306054	3.32039e-05	0.00109639	0.0142001	0.0392146	0.1125	0.136777	0.396916	0.164723	0.0852191	0.00654896	0.0126704	0.00487211	0.00241911	0.0225049
b	0.000713887	2.65334e-05	0.00165792	0.0172773	0.0110866	0.252751	0.141792	0.0858033	0.200597	0.189787	0.0129143	0.0489946	0.0192058	0.00245545	0.0149383
v	0.00407873	0.000971241	0.00429287	0.00968695	0.00386315	0.0380392	0.0809674	0.399669	0.181058	0.0912548	0.0126803	0.0636266	0.0331703	0.0130502	0.0635917
ú	0.0402542	0.000414781	0.0201628	0.00463094	0.00700304	0.0449424	0.121926	0.336908	0.186081	0.0992453	0.0131622	0.0372549	0.0150696	0.0070063	0.0659389
a	0.000824886	1.02003e-05	0.000194432	0.00834346	0.011995	0.0663292	0.271572	0.199601	0.150325	0.081056	0.0514801	0.103774	0.036202	0.0128119	0.00548068
y	0.000136852	1.94853e-06	0.000212893	0.00531774	0.00221575	0.050531	0.0869641	0.0326422	0.11861	0.237	0.0664032	0.24284	0.114478	0.00772069	0.0349255
ó	0.000544375	3.43551e-06	0.000527056	0.0104544	0.0028856	0.0275796	0.0640822	0.0205674	0.0874427	0.150485	0.315122	0.12304	0.0917921	0.063682	0.0417928
y	0.000252139	2.25138e-05	0.00100583	0.00887589	0.0013031	0.0121279	0.0292444	0.0248439	0.131546	0.167638	0.315584	0.0764526	0.0627247	0.133597	0.0347823
é	5.00821e-05	1.23997e-05	0.000247798	0.00769927	0.000827338	0.00427956	0.0202221	0.00422821	0.0176571	0.0362037	0.637073	0.0749227	0.0456276	0.131346	0.0196034
s	3.26565e-05	1.27242e-06	0.000164277	0.00283622	0.000824421	0.00827593	0.0301201	0.0381132	0.104612	0.0797004	0.37445	0.0855414	0.0922557	0.109146	0.0739263
i	2.06291e-05	9.2059e-07	6.45095e-05	0.00123578	0.000802951	0.00394596	0.0300954	0.0187513	0.0266665	0.0388588	0.431354	0.079281	0.0603984	0.210295	0.0982286
i	7.54537e-05	4.39293e-07	0.000104505	0.00146697	0.000287443	0.00894181	0.0272023	0.020063	0.0865196	0.122759	0.114257	0.122369	0.298732	0.0777172	0.119504
b	0.00015625	3.26825e-05	0.000203457	0.00208554	0.00233724	0.00749078	0.0154215	0.00943976	0.0278299	0.0433566	0.0358707	0.232036	0.152343	0.103779	0.367618
í	0.000912591	0.000559359	0.00698102	0.00772808	0.00202299	0.0237432	0.0768764	0.116499	0.0561645	0.0926571	0.0594435	0.159875	0.108784	0.173925	0.113829
n	0.000520609	3.70798e-05	0.00126026	0.002238	0.00102263	0.00510919	0.0226536	0.0244339	0.0360869	0.0246789	0.0981736	0.0319319	0.0412786	0.463564	0.247011
í	0.000309136	1.59685e-05	0.000302819	0.00138615	0.00212615	0.00854761	0.038025	0.0262782	0.0938471	0.0927459	0.0386654	0.0726962	0.0882385	0.201513	0.335303
y	0.000124287	1.17326e-05	0.000280002	0.00278954	0.000712846	0.018549	0.016917	0.00685488	0.0492704	0.0516966	0.0578551	0.192906	0.23823	0.118485	0.245317
í	0.0010081	1.81437e-05	0.000496745	0.00552663	0.00455541	0.0220205	0.0283604	0.02337	0.0476229	0.0597717	0.0527406	0.12687	0.129352	0.249507	0.248779
a	0.000304477	1.31909e-05	0.000441066	0.00396621	0.000875522	0.00905569	0.0136985	0.0105083	0.0473778	0.0529933	0.0410225	0.118542	0.160235	0.235064	0.305902
l	0.000173164	1.84084e-05	0.000336561	0.00563065	0.00292347	0.00809861	0.0105312	0.00497029	0.00293989	0.00673737	0.0912436	0.227917	0.131779	0.306134	0.200567
í	3.30049e-05	5.57973e-06	0.000145076	0.003097	0.00202405	0.00449345	0.0128417	0.00364094	0.00160486	0.00444566	0.14113	0.12995	0.0606269	0.498369	0.137593
s	9.2855e-06	1.33902e-06	9.78629e-05	0.00124207	0.000414628	0.00204324	0.0086749	0.00329766	0.00888177	0.0128874	0.121054	0.0586141	0.120858	0.456896	0.205028
i	7.94825e-06	4.80218e-07	1.27992e-05	0.000247281	0.000420967	0.000701173	0.00353657	0.00278435	0.00273904	0.00318646	0.0793527	0.0342946	0.0268334	0.633404	0.212478
d	2.47051e-05	2.43354e-07	3.9457e-05	0.000641177	0.000339542	0.00280657	0.00706535	0.00354436	0.017145	0.0163233	0.0509058	0.0682211	0.114259	0.283502	0.435183
á	1.27067e-05	1.48154e-06	2.45752e-05	0.000617449	0.000393358	0.00122971	0.00348499	0.00280948	0.00243383	0.00322572	0.0246521	0.0198445	0.0308722	0.615776	0.294622
</S>	0.000119331	9.58321e-07	0.000199068	0.00103926	0.000335324	0.00196608	0.00337737	0.00141409	0.00716084	0.00962902	0.0167548	0.0158493	0.0647461	0.337317	0.540091
