 	dieu	a	donné	à	jésus	le	nom	qui	dépasse	tout	autre	nom	en	honneur	</S>
p	0.000167699	0.00497236	0.026031	0.0312695	0.017033	0.05484	0.0168881	0.254242	0.119563	0.291008	0.0655203	0.023913	0.036582	0.0414267	0.0165437
é	6.7842e-05	0.000594305	0.00310272	0.0031999	0.00440854	0.021897	0.000348582	0.004359	0.5427	0.253434	0.0246549	0.00261975	0.00285481	0.0644792	0.071279
n	0.000234478	0.00117815	0.00524965	0.00634183	0.0146073	0.0519462	0.0033443	0.0180445	0.326676	0.332864	0.0500522	0.00654091	0.0135166	0.0269531	0.142451
d	0.000468769	0.00378881	0.00454778	0.00513996	0.00319728	0.0318318	0.0263455	0.0882856	0.446711	0.202334	0.0823733	0.0195196	0.0115105	0.0123075	0.0616386
í	0.000451357	0.00298615	0.00211047	0.00333421	0.00409997	0.054062	0.0268073	0.0895094	0.378836	0.200198	0.103498	0.0207227	0.00838572	0.0101175	0.0948811
a	0.000564893	0.00222974	0.00119126	0.00167784	0.00042112	0.0160152	0.0216482	0.164324	0.0486397	0.344532	0.266511	0.0500506	0.0614966	0.00568379	0.0150135
k	0.000424598	0.00259887	0.00835241	0.013594	0.00672626	0.026325	0.0105965	0.103463	0.0209855	0.161397	0.160196	0.231148	0.170517	0.0679027	0.0157724
ó	0.000208385	0.00106368	0.00324231	0.00300609	0.00265151	0.0558682	0.000486272	0.0101048	0.138344	0.340049	0.158971	0.015636	0.0486562	0.11076	0.110953
m	0.000122011	0.000316901	0.00177291	0.00166208	0.00496522	0.0354407	0.00089092	0.00876884	0.0970885	0.305379	0.0497788	0.0203161	0.0534391	0.0924295	0.327629
b	0.000424046	0.000901728	0.00189085	0.00742871	0.00125966	0.0188523	0.00633888	0.0433138	0.0412531	0.201098	0.26822	0.0463157	0.111177	0.0999002	0.151627
ó	0.00462853	0.00225834	0.00137397	0.0054026	0.00207326	0.0240107	0.0142558	0.0575342	0.213015	0.145739	0.166364	0.172259	0.0578577	0.0212432	0.111984
á	0.000276055	0.000611037	0.000726134	0.00105633	0.000565289	0.00732731	0.00171359	0.0377255	0.046883	0.266508	0.0950261	0.075515	0.178213	0.0976555	0.190198
t	0.000168932	0.00134286	0.00469962	0.00686589	0.00290568	0.0146858	0.00345782	0.0388884	0.00416146	0.0433996	0.0986895	0.0670582	0.371297	0.197198	0.145181
s	0.000119911	0.00066898	0.00222724	0.0020622	0.000920793	0.0105098	0.00123401	0.00523799	0.0106404	0.14674	0.104664	0.0288773	0.080243	0.405898	0.199957
ω	5.77312e-05	0.000155707	0.000573171	0.000538615	0.00036512	0.00504524	0.000541746	0.00361581	0.0180606	0.226792	0.205182	0.0363947	0.100219	0.283869	0.11859
m	0.000171176	0.00039057	0.000854406	0.000727841	0.000796542	0.00493468	0.00683953	0.0114384	0.026928	0.130998	0.139113	0.0698722	0.151881	0.122017	0.333039
é	0.000326106	0.000436832	0.00063881	0.0021338	0.00038872	0.00571465	0.00438822	0.0387532	0.0699729	0.144734	0.14548	0.069985	0.116585	0.245245	0.155218
n	0.000170203	0.000596716	0.000593081	0.0014614	0.000377643	0.00584029	0.00230121	0.0289759	0.0140777	0.100379	0.112975	0.0822943	0.23262	0.156562	0.260775
g	0.000370397	0.000267648	5.65427e-05	0.000451911	0.00034747	0.00200607	0.0212975	0.0726057	0.0059306	0.0128516	0.109521	0.69771	0.0289391	0.0116977	0.0359469
y	0.000368915	6.80323e-05	1.27693e-05	4.73219e-05	4.73969e-05	0.000354931	0.033917	0.0278852	0.00275737	0.00804942	0.0181983	0.881426	0.00778278	0.0058783	0.0132059
ε	0.00028489	0.000179226	2.96879e-05	0.000420751	0.00106313	0.00270476	0.00711163	0.0255094	0.0214955	0.0661766	0.494881	0.124338	0.0129881	0.0277667	0.215051
n	0.000184669	9.50788e-05	4.60921e-05	0.000409906	0.00131152	0.0069808	0.00851509	0.0250847	0.0376017	0.0812927	0.405618	0.0510935	0.023115	0.0157582	0.342893
d	0.000575589	0.000284484	0.000159208	0.00106149	0.000563156	0.0067564	0.00361093	0.0247572	0.0431212	0.144081	0.277854	0.0692919	0.0810354	0.0674033	0.279444
z	0.000110286	0.000105569	1.89374e-05	0.000223785	0.000402847	0.00331738	0.00549789	0.0281979	0.0630789	0.1013	0.353499	0.0861379	0.0245354	0.0370787	0.296495
ε	0.00295413	0.000709203	0.000287315	0.00123334	0.000933974	0.00819277	0.0093477	0.0205292	0.0453178	0.247375	0.34753	0.0493344	0.0555383	0.0376901	0.173026
</S>	0.000143432	0.000492814	0.000259038	0.000730756	0.000208481	0.00292719	0.00142957	0.0390156	0.0035555	0.0635543	0.0857912	0.0202923	0.238061	0.0376375	0.505902
