 	les	jeunes	gens	font	de	la	propagande	pour	l'	église	qu'	ils	viennent	d'	implanter	ici	dans	le	village	</S>
á	0.0737191	0.0749471	0.0367187	0.310755	0.337251	0.0784207	0.0198821	0.00457492	0.00282606	0.000867266	0.0012869	0.000287926	0.00315151	0.00720633	0.0104799	0.0124964	0.0111282	0.0015703	0.0010806	0.0113506
b	0.00875871	0.00691262	0.0688565	0.275439	0.298629	0.0837841	0.0126704	0.0242768	0.0119778	0.00394072	0.00708364	0.0203976	0.021984	0.0141715	0.00914337	0.0219645	0.0205729	0.0106828	0.00563884	0.0731159
v	0.0171452	0.0267735	0.0355982	0.318005	0.287426	0.122289	0.0496794	0.018098	0.0132542	0.00337486	0.0041242	0.00412166	0.019843	0.0132822	0.00411269	0.0192605	0.0114588	0.00716261	0.000207361	0.0247834
u	0.00983752	0.0139914	0.00392889	0.181501	0.271214	0.233513	0.166119	0.0202303	0.0236118	0.00724481	0.00745476	0.00225145	0.0030472	0.00751471	0.00484212	0.0133907	0.00844917	0.00268299	2.20204e-05	0.019153
m	0.00655933	0.00342994	0.00503753	0.0800059	0.288041	0.346189	0.170686	0.0271349	0.0133256	0.00421945	0.00207739	0.00122981	0.00195503	0.00637309	0.00226218	0.00842013	0.0116058	0.00149352	0.000512518	0.0194416
b	0.0115278	0.00165486	0.00547454	0.0458109	0.0876011	0.154658	0.243979	0.205257	0.11494	0.0307315	0.0476366	0.0113014	0.0119456	0.0104939	0.00190377	0.00426896	0.00172284	0.00330372	1.81142e-05	0.00577039
u	0.0381357	0.00929062	0.00341147	0.0236477	0.0910561	0.199619	0.331357	0.136237	0.0694316	0.0426447	0.0229674	0.00213897	0.00289912	0.00931537	0.00117761	0.00389368	0.00217252	0.000661652	6.91911e-05	0.00987308
s	0.00202447	0.000394071	0.000632648	0.0238554	0.18927	0.351568	0.0661679	0.173614	0.0724904	0.0228422	0.0295797	0.000773286	0.0105424	0.0163168	0.0144253	0.00635773	0.00509741	0.00365724	0.000361691	0.0100299
a	0.00856068	0.00121255	0.00013353	0.011553	0.0948739	0.274208	0.0431379	0.130835	0.159185	0.11085	0.0975803	0.00102908	0.00440946	0.0244284	0.010383	0.00333704	0.00503601	0.00328112	0.000615327	0.0153511
b	0.00375818	0.0045181	0.000455098	0.0138995	0.0284619	0.11952	0.233313	0.104971	0.126574	0.20951	0.0714076	0.00631317	0.0207229	0.0193319	0.0142176	0.00466178	0.00372265	0.00234625	0.00659088	0.0057039
á	0.012651	0.0296987	0.0103217	0.09839	0.0744216	0.139995	0.183881	0.0840432	0.116431	0.0597917	0.0433786	0.0224849	0.0378761	0.0211459	0.0221261	0.0127773	0.0184367	0.00442921	0.000743804	0.00697734
n	0.0036327	0.00805168	0.0166512	0.0775259	0.0293576	0.055427	0.322304	0.0994267	0.0867478	0.0591055	0.0246274	0.0410714	0.083505	0.0207886	0.0130395	0.0230811	0.0138529	0.00488007	0.000605085	0.0163191
d	0.00516601	0.0060151	0.0026926	0.00891697	0.0252224	0.0518737	0.132618	0.0877965	0.121449	0.116966	0.0367204	0.0110024	0.0409636	0.0212483	0.00708598	0.0273657	0.0292215	0.0199234	0.000255351	0.247497
z	0.00141009	0.00348118	0.000178121	0.0016594	0.0159144	0.0667968	0.209209	0.0499701	0.138264	0.379978	0.03143	0.0004739	0.0071385	0.0142027	0.0132396	0.00546991	0.00537857	0.00345735	0.000137423	0.0522103
a	0.000234884	0.000654711	3.01012e-05	0.000624168	0.0141412	0.0755295	0.444719	0.060638	0.113801	0.188712	0.0299514	0.000175534	0.00267028	0.013336	0.00539577	0.00305215	0.00278013	0.00124321	0.000207491	0.0421041
m	0.00113563	0.000723676	0.000421025	0.0108539	0.0420336	0.0527342	0.0432884	0.18728	0.133005	0.0349266	0.119217	0.0042185	0.0344252	0.0948052	0.0811069	0.0580635	0.0306826	0.0100987	0.00141425	0.0595659
b	0.00478457	0.000278398	0.000132754	0.000602237	0.00344585	0.0124473	0.015162	0.140555	0.115526	0.103582	0.21193	0.00930124	0.0338403	0.136238	0.0884794	0.0395118	0.0149487	0.0188356	0.000417035	0.0499809
é	0.0344712	0.0180859	0.0011422	0.00426917	0.0140847	0.0342299	0.0834396	0.122746	0.18139	0.0720095	0.047477	0.00680285	0.0463167	0.16032	0.0573936	0.0590508	0.0143317	0.00929639	6.27412e-05	0.0330808
y	0.00221379	0.00161556	0.00232977	0.00523682	0.00809895	0.0110571	0.0163659	0.0890564	0.0761236	0.0182869	0.0830155	0.0657252	0.238187	0.143261	0.107379	0.0842798	0.017069	0.00938478	8.79507e-05	0.0212258
é	0.00200873	0.000940266	0.000183579	0.00150904	0.00712417	0.0185599	0.0191899	0.044658	0.121636	0.283644	0.190284	0.00909145	0.06595	0.101218	0.0878702	0.0122859	0.00753252	0.00465832	0.00533761	0.0163176
é	0.000367685	0.000129278	7.65306e-05	0.000769406	0.00384928	0.00700806	0.0048881	0.0500054	0.0868964	0.0513615	0.176075	0.00727044	0.0932137	0.177203	0.191333	0.0549637	0.0309314	0.0136075	0.0034595	0.0465919
m	0.00207652	0.000889681	0.00118185	0.00715102	0.0235718	0.0151422	0.00241187	0.0166156	0.0205619	0.00456885	0.0209079	0.00389369	0.0553982	0.204301	0.251238	0.153265	0.113329	0.0486166	0.0107013	0.0441788
i	0.000791923	0.00141075	0.00095843	0.00372743	0.00610924	0.00670935	0.0042352	0.0266664	0.0619649	0.00560077	0.0159513	0.0238166	0.0466134	0.254063	0.268777	0.0863163	0.0943605	0.0240909	0.00138862	0.0664478
y	0.000396195	0.000846307	0.000393657	0.00434278	0.0100539	0.007723	0.00802254	0.0133697	0.0237063	0.00458245	0.0169569	0.00528845	0.020441	0.119329	0.447603	0.133962	0.103372	0.010366	0.00416366	0.065082
a	7.79847e-05	0.000263501	2.10352e-05	0.000598476	0.00256316	0.00675349	0.00316556	0.00487481	0.0369502	0.0317673	0.0192444	0.00240207	0.0245968	0.121691	0.417254	0.0526382	0.0626857	0.0214845	0.115022	0.0759465
á	0.000129885	5.85245e-05	8.15949e-06	0.000262383	0.000924061	0.00243032	0.00218943	0.00845154	0.0325396	0.0207985	0.0421374	0.00562253	0.0296205	0.184324	0.271246	0.091726	0.0800559	0.0148953	0.0460461	0.166535
l	0.000415848	0.000223624	0.00114519	0.000766308	0.00136754	0.00184332	0.00194671	0.00907459	0.015199	0.00810888	0.0389143	0.284307	0.0527593	0.0649492	0.0946483	0.138623	0.08651	0.128527	0.017683	0.052988
a	0.00101353	0.000330904	0.000328885	0.00125752	0.00237708	0.00259902	0.00123328	0.0149251	0.0259536	0.00820355	0.0310197	0.0246154	0.0626483	0.0677623	0.147004	0.147035	0.121267	0.0597994	0.00487917	0.275748
b	0.000353229	0.000312491	0.000203287	0.000952174	0.000600825	0.00134617	0.00147324	0.00699708	0.0199294	0.00890358	0.0574911	0.0782296	0.100174	0.109371	0.142733	0.170245	0.0960399	0.115076	0.044006	0.0455635
á	0.00626349	0.0257976	0.0102393	0.0214776	0.00654135	0.00923018	0.0124574	0.0361265	0.113927	0.0136094	0.0288532	0.464214	0.0825919	0.0496342	0.0217603	0.0445129	0.0227878	0.0152548	0.00334906	0.0113729
a	0.00211109	0.00774092	0.0115889	0.0159661	0.00274926	0.00388321	0.00458538	0.0145303	0.0455042	0.00661788	0.0186485	0.20761	0.163875	0.0631468	0.0665108	0.15835	0.0769786	0.0886105	0.0143933	0.0265992
s	0.000103992	2.1956e-05	0.000200439	0.000325022	0.00068961	0.000467495	0.000125244	0.00191138	0.00154732	0.000193601	0.00246497	0.00421567	0.0234585	0.0531869	0.112866	0.218342	0.241207	0.131977	0.00568363	0.201012
á	5.82693e-05	9.99981e-05	3.2695e-05	0.00145356	0.00710352	0.00630286	0.000796397	0.0040251	0.018845	0.00255578	0.00398329	0.000393375	0.00500084	0.0453932	0.122003	0.103522	0.328915	0.0551782	0.00207741	0.29226
p	0.000129648	0.000166023	5.58414e-05	0.000724296	0.000543121	0.000934556	0.000366494	0.00195632	0.00786682	0.00231961	0.00866414	0.00777662	0.0105091	0.0381986	0.0508634	0.088392	0.162018	0.139278	0.177809	0.301429
o	6.66639e-05	0.000221292	0.000102607	0.000476481	0.000244026	0.000327261	0.000225443	0.000874024	0.0020121	0.000975868	0.00220401	0.0037252	0.0219436	0.0220309	0.0118069	0.0775725	0.0781346	0.0375081	0.688231	0.0513174
o	6.07473e-05	6.25364e-05	4.0414e-05	9.6281e-05	0.000220774	0.000288655	0.000201893	0.000242661	0.000589999	0.000187872	0.000417779	0.000444546	0.00484729	0.0157198	0.0209488	0.036953	0.036184	0.0082397	0.84161	0.0326432
b	0.000882327	0.000172135	0.00023844	0.00186756	0.00322568	0.00319137	0.000430455	0.00461536	0.00595927	0.000805016	0.00636764	0.00172961	0.00574213	0.0315065	0.0363526	0.136831	0.22223	0.156552	0.0353459	0.345955
h	0.000224269	0.00103413	0.00239618	0.0162217	0.00822744	0.00629388	0.000907608	0.0119983	0.0190678	0.00183452	0.0100997	0.00750626	0.0252562	0.0460151	0.0128275	0.176253	0.232273	0.212651	0.00819483	0.200719
á	0.00200111	0.00322309	0.00078483	0.00374059	0.00285114	0.00360039	0.00349747	0.00997589	0.0174128	0.00405696	0.0104604	0.00744722	0.0250054	0.0762023	0.0290697	0.237129	0.19948	0.0614188	0.0376663	0.264976
</S>	0.000708773	0.00024608	0.000314734	0.000626165	0.000776311	0.0010597	0.000602912	0.00362163	0.00675782	0.00209993	0.0103168	0.0235351	0.0245394	0.0375408	0.0279933	0.104979	0.124979	0.137879	0.0679793	0.423444
