 	le	père	a	écrit	une	lettre	à	son	fils	qui	est	à	bazzaville	</S>
i	0.00299564	1.38887e-05	0.0045308	0.120595	0.208486	0.480589	0.0585187	0.0150361	0.000269964	0.0233558	0.0311212	0.0118441	0.00237302	0.040271
l	0.00144356	4.65736e-05	0.0255617	0.04903	0.118804	0.268487	0.283338	0.0696376	0.00930649	0.0726238	0.0364442	0.0190606	0.0010729	0.045144
a	0.0132406	0.000241934	0.00491978	0.0495165	0.0884266	0.194498	0.196566	0.101327	0.00604383	0.0777513	0.0356911	0.0157549	0.0108235	0.205199
m	0.0105887	0.000448455	0.00393746	0.00516035	0.0426188	0.0771395	0.293146	0.309712	0.0372556	0.113259	0.0186082	0.0164189	0.0327621	0.0389447
w	0.000877539	0.00109074	0.00149364	0.00178081	0.0134163	0.0165631	0.0758817	0.115623	0.637302	0.0385998	0.0136052	0.0159518	0.00807744	0.0597363
á	0.000756856	0.000109669	0.000441681	0.000745212	0.00515445	0.0238494	0.0915084	0.110025	0.700702	0.0325505	0.00979629	0.00536207	0.00694708	0.0120506
n	0.0246773	0.000116651	0.00146393	0.00229859	0.00631776	0.0118174	0.111224	0.480296	0.216041	0.0649566	0.0172447	0.0107394	0.00349541	0.0493113
a	0.0189625	0.00168942	0.00982631	0.0144732	0.0219549	0.0210806	0.0581666	0.212587	0.28283	0.0804225	0.017229	0.0141342	0.0201975	0.226447
y	0.00188555	0.000271205	0.0136662	0.00935108	0.0218737	0.0314634	0.152847	0.211463	0.0397719	0.238862	0.139495	0.093039	0.0270086	0.0190015
é	0.00995515	0.00014584	0.011206	0.00456169	0.0315718	0.0347684	0.138845	0.311793	0.0560361	0.184827	0.0450101	0.0426444	0.0841228	0.0445123
é	0.00243418	4.14251e-05	0.00305568	0.00150822	0.00697608	0.00877501	0.0867028	0.218743	0.0680328	0.240306	0.0589915	0.0966975	0.13369	0.0740456
d	0.000257152	0.000113844	0.00702276	0.0259172	0.0142561	0.0202107	0.0279524	0.0170374	0.00560425	0.084876	0.276516	0.319879	0.126623	0.0737347
i	0.000112518	2.33033e-05	0.00177456	0.00985839	0.0113558	0.00675864	0.0437222	0.0484173	0.0260478	0.074547	0.292374	0.383574	0.00992711	0.0915072
ó	2.80517e-05	3.87314e-06	0.000658617	0.00207795	0.0047396	0.00233189	0.0277247	0.0284914	0.0165436	0.0729974	0.224879	0.56617	0.0109925	0.0423612
n	0.000731876	2.96998e-05	0.00164859	0.0306836	0.00836244	0.00660175	0.0081042	0.00892039	0.00106312	0.0169267	0.0874196	0.275219	0.486885	0.0674037
g	0.000846125	1.38703e-05	0.000107738	0.000613902	0.00119826	0.00054224	0.00147655	0.00471589	0.00287678	0.00505994	0.00385679	0.00944968	0.931834	0.0374085
y	0.000133885	4.55238e-05	6.73964e-05	0.000130685	0.000320213	0.000276919	0.00048496	0.00177864	0.000610629	0.00158379	0.00201329	0.00429017	0.983285	0.00497911
ε	9.85904e-05	4.24554e-05	2.1209e-05	7.29874e-05	0.000773378	0.000584009	0.00177905	0.00302347	0.00537794	0.00737588	0.00846305	0.0117791	0.872012	0.0885973
l	0.000250606	6.22514e-05	9.69658e-05	0.0010794	0.00877309	0.00549251	0.0111522	0.0131998	0.0168627	0.0266163	0.0117697	0.0218926	0.500339	0.382413
έ	9.59693e-05	1.67008e-05	4.18485e-05	0.000334447	0.00137435	0.00237602	0.00798595	0.00416415	0.00367426	0.0389378	0.0986826	0.125944	0.14337	0.573002
</S>	0.000377469	4.59676e-06	0.000285343	0.000571365	0.00174227	0.00113796	0.00769731	0.00929869	0.00557042	0.0545371	0.0800979	0.175331	0.0339211	0.629428
